# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.241
metadata : {}


# id : NWRW1800000054.241.1.1
대입정원 3년간(2019~2012) 2만명 감축… 상위 60% 대학은 제외

대입정원	대입/NNG+정원/NNG
평가해	평가/NNG+하/XSV+아/EC
자율개선대학,	자율/NNG+개선/NNG+대학/NNG+,/SP
역량강화대학,	역량/NNG+강화/NNG+대학/NNG+,/SP
재정지원제한대학(Ⅰ·Ⅱ유형)	재정/NNG+지원/NNG+제한/NNG+대학/NNG+(/SS+Ⅰ/SW+·/SP+Ⅱ/SW+유형/NNG+)/SS
등	등/NNB
3등급으로	3/SN+등급/NNG+으로/JKB
나누기로	나누/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.241.5.2
대학 발전 계획 및 교육과정 운영 성과 등을 토대로 실시하는 1단계 평가에서 상위 60%에 든 대학은 자율개선대학으로 지정해 정원 감축을 권고하지 않기로 했다.

대학	대학/NNG
발전	발전/NNG
계획	계획/NNG
및	및/MAG
교육과정	교육/NNG+과정/NNG
운영	운영/NNG
성과	성과/NNG
등을	등/NNB+을/JKO
토대로	토대/NNG+로/JKB
실시하는	실시/NNG+하/XSV+는/ETM
1단계	1/SN+단계/NNG
평가에서	평가/NNG+에서/JKB
상위	상위/NNG
60%에	60/SN+%/SW+에/JKB
든	들/VV+ㄴ/ETM
대학은	대학/NNG+은/JX
자율개선대학으로	자율/NNG+개선/NNG+대학/NNG+으로/JKB
지정해	지정/NNG+하/XSV+아/EC
정원	정원/NNG
감축을	감축/NNG+을/JKO
권고하지	권고/NNG+하/XSV+지/EC
않기로	않/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.241.5.3
나머지 40% 대학은 대학 운영 건전성 및 교육과정 역량 제고 방안 등을 기준으로 2단계 평가를 실시해 역량강화대학(20%) 혹은 재정지원제한대학(20%)으로 다시 구분〈표〉한다.

나머지	나머지/NNG
40%	40/SN+%/SW
대학은	대학/NNG+은/JX
대학	대학/NNG
운영	운영/NNG
건전성	건전/NNG+성/XSN
및	및/MAG
교육과정	교육/NNG+과정/NNG
역량	역량/NNG
제고	제고/NNG
방안	방안/NNG
등을	등/NNB+을/JKO
기준으로	기준/NNG+으로/JKB
2단계	2/SN+단계/NNG
평가를	평가/NNG+를/JKO
실시해	실시/NNG+하/XSV+아/EC
역량강화대학(20%)	역량/NNG+강화/NNG+대학/NNG+(/SS+20/SN+%/SW+)/SS
혹은	혹은/MAG
재정지원제한대학(20%)으로	재정/NNG+지원/NNG+제한/NNG+대학/NNG+(/SS+20/SN+%/SW+)/SS+으로/JKB
다시	다시/MAG
구분〈표〉한다.	구분/NNG+〈/SS+표/NNG+〉/SS+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.241.5.4
이 40% 대학들은 학자금 대출, 국가장학금 지원 등에서 재정적 불이익과 함께 정원 감축을 권고받게 된다.

이	이/MMD
40%	40/SN+%/SW
대학들은	대학/NNG+들/XSN+은/JX
학자금	학자금/NNG
대출,	대출/NNG+,/SP
국가장학금	국가/NNG+장학금/NNG
지원	지원/NNG
등에서	등/NNB+에서/JKB
재정적	재정/NNG+적/XSN
불이익과	불/XPN+이익/NNG+과/JKB
함께	함께/MAG
정원	정원/NNG
감축을	감축/NNG+을/JKO
권고받게	권고/NNG+받/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.241.6.1
이해숙 교육부 대학평가 과장은 "2021년 대학 입학 자원은 2018학년도 대비 3만4000여 명 감소할 전망"이라며 "이 중 2만명은 정부 진단을 통해 감축하고 나머지는 시장에 맡겨 학생들이 선택하지 않는 부실 대학이 자연스럽게 도태되도록 할 것"이라고 말했다.

이해숙	이해숙/NNP
교육부	교육부/NNG
대학평가	대학/NNG+평가/NNG
과장은	과장/NNG+은/JX
"2021년	"/SS+2021/SN+년/NNB
대학	대학/NNG
입학	입학/NNG
자원은	자원/NNG+은/JX
2018학년도	2018/SN+학년도/NNG
대비	대비/NNG
3만4000여	3/SN+만/NR+4000/SN+여/XSN
명	명/NNB
감소할	감소/NNG+하/XSV+ㄹ/ETM
전망"이라며	전망/NNG+"/SS+이/VCP+라며/EC
"이	"/SS+이/NP
중	중/NNB
2만명은	2/SN+만/NR+명/NNB+은/JX
정부	정부/NNG
진단을	진단/NNG+을/JKO
통해	통하/VV+아/EC
감축하고	감축/NNG+하/XSV+고/EC
나머지는	나머지/NNG+는/JX
시장에	시장/NNG+에/JKB
맡겨	맡기/VV+어/EC
학생들이	학생/NNG+들/XSN+이/JKS
선택하지	선택/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
부실	부실/NNG
대학이	대학/NNG+이/JKS
자연스럽게	자연/NNG+스럽/XSA+게/EC
도태되도록	도태/NNG+되/XSV+도록/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.241.7.1
박근혜 정부는 지난 2013년 고교 졸업생 수가 56만명(2013년 기준)에서 2023년 40만명까지 줄어드는 데 대비한다는 이유로 '대학 정원 16만명 감축 프로젝트'를 발표했다.

박근혜	박근혜/NNP
정부는	정부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2013년	2013/SN+년/NNB
고교	고교/NNG
졸업생	졸업/NNG+생/XSN
수가	수/NNG+가/JKS
56만명(2013년	56/SN+만/NR+명/NNB+(/SS+2013/SN+년/NNB
기준)에서	기준/NNG+)/SS+에서/JKB
2023년	2023/SN+년/NNB
40만명까지	40/SN+만/NR+명/NNB+까지/JX
줄어드는	줄어들/VV+는/ETM
데	데/NNB
대비한다는	대비/NNG+하/XSV+ㄴ다는/ETM
이유로	이유/NNG+로/JKB
'대학	'/SS+대학/NNG
정원	정원/NNG
16만명	16/SN+만/NR+명/NNB
감축	감축/NNG
프로젝트'를	프로젝트/NNG+'/SS+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.241.7.2
1주기(2014~2016년) 4만명, 2주기(2017~2019년) 5만명, 3주기(2020~2022년) 7만명을 줄인다는 계획 아래 대학을 6개 등급으로 나눠 A등급(상위 17%) 대학을 제외한 모든 대학이 4~15%씩 정원을 줄이도록 했다.

1주기(2014~2016년)	1/SN+주기/NNG+(/SS+2014/SN+~/SO+2016/SN+년/NNB+)/SS
4만명,	4/SN+만/NR+명/NNB+,/SP
2주기(2017~2019년)	2/SN+주기/NNG+(/SS+2017/SN+~/SO+2019/SN+년/NNB+)/SS
5만명,	5/SN+만/NR+명/NNB+,/SP
3주기(2020~2022년)	3/SN+주기/NNG+(/SS+2020/SN+~/SO+2022/SN+년/NNB+)/SS
7만명을	7/SN+만/NR+명/NNB+을/JKO
줄인다는	줄이/VV+ㄴ다는/ETM
계획	계획/NNG
아래	아래/NNG
대학을	대학/NNG+을/JKO
6개	6/SN+개/NNB
등급으로	등급/NNG+으로/JKB
나눠	나누/VV+어/EC
A등급(상위	A/SL+등급/NNG+(/SS+상위/NNG
17%)	17/SN+%/SW+)/SS
제외한	제외/NNG+하/XSV+ㄴ/ETM
모든	모든/MMN
대학이	대학/NNG+이/JKS
4~15%씩	4/SN+~/SO+15/SN+%/SW+씩/XSN
정원을	정원/NNG+을/JKO
줄이도록	줄이/VV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.241.7.3
그 결과 2018학년도 입학 정원은 2013년 대비 약 5만6000명 줄었다.

그	그/MMD
결과	결과/NNG
2018학년도	2018/SN+학년도/NNG
입학	입학/NNG
정원은	정원/NNG+은/JX
2013년	2013/SN+년/NNB
대비	대비/NNG
약	약/MMA
5만6000명	5/SN+만/NR+6000/SN+명/NNB
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.241.7.4
하지만 "우수한 대학도 정원을 줄이게 했다"는 비판도 제기됐다.

하지만	하지만/MAJ
"우수한	"/SS+우수/NNG+하/XSA+ㄴ/ETM
대학도	대학/NNG+도/JX
정원을	정원/NNG+을/JKO
줄이게	줄이/VV+게/EC
했다"는	하/VX+았/EP+다/EF+"/SS+는/ETM
비판도	비판/NNG+도/JX
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.241.7.5
교육부 측은 "이번 개편안은 지난 정부 대학 구조개혁에서 불거진 문제점을 개선한 것"이라고 했다.

교육부	교육부/NNG
측은	측/NNB+은/JX
"이번	"/SS+이번/NNG
개편안은	개편안/NNG+은/JX
지난	지나/VV+ㄴ/ETM
정부	정부/NNG
대학	대학/NNG
구조개혁에서	구조/NNG+개혁/NNG+에서/JKB
불거진	불거지/VV+ㄴ/ETM
문제점을	문제점/NNG+을/JKO
개선한	개선/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.241.8.1
◇"부실 대학 퇴출 경로 열어야"

◇"부실	◇/SW+"/SS+부실/NNG
대학	대학/NNG
퇴출	퇴출/NNG
경로	경로/NNG
열어야"	열/VV+어야/EC+"/SS


# id : NWRW1800000054.241.9.1
현행법상 부실 대학 정원을 정부가 강제로 줄일 수 없도록 한 규정은 없다.

현행법상	현행법/NNG+상/XSN
부실	부실/NNG
대학	대학/NNG
정원을	정원/NNG+을/JKO
정부가	정부/NNG+가/JKS
강제로	강제/NNG+로/JKB
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
한	하/VX+ㄴ/ETM
규정은	규정/NNG+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.241.9.2
이 때문에 교육부는 최하위 등급을 받는 대학 중 ▲2015년 대학 구조개혁 평가에서 E등급을 받았거나 ▲부정·비리로 학사 운영이 불가능한 대학 ▲학생 충원율이 현저하게 낮은 대학 등을 '한계 대학'으로 선정한 뒤, 컨설팅을 통해 정상화 방안을 모색하고 이마저 불가능한 경우 폐쇄까지 검토하겠다는 입장이다.

이	이/NP
때문에	때문/NNB+에/JKB
교육부는	교육부/NNG+는/JX
최하위	최/XPN+하위/NNG
등급을	등급/NNG+을/JKO
받는	받/VV+는/ETM
대학	대학/NNG
중	중/NNB
▲2015년	▲/SW+2015/SN+년/NNB
구조개혁	구조/NNG+개혁/NNG
평가에서	평가/NNG+에서/JKB
E등급을	E/SL+등급/NNG+을/JKO
받았거나	받/VV+았/EP+거나/EC
▲부정·비리로	▲/SW+부정/NNG+·/SP+비리/NNG+로/JKB
학사	학사/NNG
운영이	운영/NNG+이/JKS
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
▲학생	▲/SW+학생/NNG
충원율이	충원/NNG+율/XSN+이/JKS
현저하게	현저하/VA+게/EC
낮은	낮/VA+은/ETM
등을	등/NNB+을/JKO
'한계	'/SS+한계/NNG
대학'으로	대학/NNG+'/SS+으로/JKB
선정한	선정/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
컨설팅을	컨설팅/NNG+을/JKO
통해	통하/VV+아/EC
정상화	정상/NNG+화/XSN
방안을	방안/NNG+을/JKO
모색하고	모색/NNG+하/XSV+고/EC
이마저	이/NP+마저/JX
경우	경우/NNG
폐쇄까지	폐쇄/NNG+까지/JX
검토하겠다는	검토/NNG+하/XSV+겠/EP+다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.241.10.1
하지만 대학을 강제로 폐쇄할 때 설립자 기여분을 일정 정도 되돌려 주도록 해 부실 대학의 퇴로를 열어 주도록 했던 대학구조개혁법안은 수년째 국회에서 계류하다 지난해 폐기됐다.

하지만	하지만/MAJ
대학을	대학/NNG+을/JKO
강제로	강제/NNG+로/JKB
폐쇄할	폐쇄/NNG+하/XSV+ㄹ/ETM
때	때/NNG
설립자	설립자/NNG
기여분을	기여/NNG+분/XSN+을/JKO
일정	일정/NNG
정도	정도/NNG
되돌려	되돌리/VV+어/EC
주도록	주/VX+도록/EC
해	하/VX+아/EC
부실	부실/NNG
대학의	대학/NNG+의/JKG
퇴로를	퇴로/NNG+를/JKO
열어	열/VV+어/EC
했던	하/VX+았/EP+던/ETM
대학구조개혁법안은	대학/NNG+구조/NNG+개혁/NNG+법안/NNG+은/JX
수년째	수년/NNG+째/XSN
국회에서	국회/NNG+에서/JKB
계류하다	계류/NNG+하/XSV+다/EC
지난해	지난해/NNG
폐기됐다.	폐기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.241.10.2
전문가들은 "부실 대학 폐쇄를 촉진하려면 교육부가 정원을 강제로 줄일 수 있도록 하고, 설립자들의 퇴로를 열어 주는 법안이 먼저 마련돼야 한다"고 지적한다.

전문가들은	전문가/NNG+들/XSN+은/JX
"부실	"/SS+부실/NNG
대학	대학/NNG
폐쇄를	폐쇄/NNG+를/JKO
촉진하려면	촉진/NNG+하/XSV+려면/EC
교육부가	교육부/NNG+가/JKS
정원을	정원/NNG+을/JKO
강제로	강제/NNG+로/JKB
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하고,	하/VX+고/EC+,/SP
설립자들의	설립자/NNG+들/XSN+의/JKG
퇴로를	퇴로/NNG+를/JKO
열어	열/VV+어/EC
주는	주/VX+는/ETM
법안이	법안/NNG+이/JKS
먼저	먼저/MAG
마련돼야	마련/NNG+되/XSV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.241.11.1
◇재정 지원도 전면 손질

◇재정	◇/SW+재정/NNG
지원도	지원/NNG+도/JX
전면	전면/NNG
손질	손질/NNG


# id : NWRW1800000054.241.12.1
연간 1조5000억원에 이르는 대학 재정지원 사업도 지원금 사용처를 제한하지 않는 방식으로 대학에 자율성을 주기로 했다.

연간	연간/NNG
1조5000억원에	1/SN+조/NR+5000/SN+억/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
대학	대학/NNG
재정지원	재정/NNG+지원/NNG
사업도	사업/NNG+도/JX
지원금	지원금/NNG
사용처를	사용처/NNG+를/JKO
제한하지	제한/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
방식으로	방식/NNG+으로/JKB
대학에	대학/NNG+에/JKB
자율성을	자율/NNG+성/XSN+을/JKO
주기로	주/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.241.12.2
지금까지는 대학들이 예산을 따기 위해 정부가 제시하는 사업 목적과 방향 등에 맞추느라 오히려 대학 고유의 경쟁력을 잃었다는 지적이 있다.

지금까지는	지금/NNG+까지/JX+는/JX
대학들이	대학/NNG+들/XSN+이/JKS
예산을	예산/NNG+을/JKO
따기	따/VV+기/ETN
위해	위하/VV+아/EC
정부가	정부/NNG+가/JKS
제시하는	제시/NNG+하/XSV+는/ETM
사업	사업/NNG
목적과	목적/NNG+과/JC
방향	방향/NNG
등에	등/NNB+에/JKB
맞추느라	맞추/VV+느라/EC
오히려	오히려/MAG
대학	대학/NNG
고유의	고유/NNG+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
잃었다는	잃/VV+었/EP+다는/ETM
지적이	지적/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.241.12.3
교육부는 일반 재정지원 사업과 특수목적 재정지원 사업 등 크게 두 가지로 단순화해, 내년에 자율개선대학으로 선정된 대학에는 2019년부터 이 돈을 지원하기로 했다.

교육부는	교육부/NNG+는/JX
일반	일반/NNG
재정지원	재정/NNG+지원/NNG
사업과	사업/NNG+과/JC
특수목적	특수/NNG+목적/NNG
사업	사업/NNG
등	등/NNB
크게	크/VA+게/EC
두	두/MMN
가지로	가지/NNB+로/JKB
단순화해,	단순/NNG+화/XSN+하/XSV+아/EC+,/SP
내년에	내년/NNG+에/JKB
자율개선대학으로	자율/NNG+개선/NNG+대학/NNG+으로/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
대학에는	대학/NNG+에/JKB+는/JX
2019년부터	2019/SN+년/NNB+부터/JX
이	이/MMD
돈을	돈/NNG+을/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.241.12.4
서울의 한 사립대 기획처장은 "이번 개편안으로 (지원금 운용에) 어느 정도 숨통이 트일 것 같다"고 말했다.

서울의	서울/NNP+의/JKG
한	한/MMN
사립대	사립대/NNG
기획처장은	기획처장/NNG+은/JX
"이번	"/SS+이번/NNG
개편안으로	개편안/NNG+으로/JKB
(지원금	(/SS+지원금/NNG
운용에)	운용/NNG+에/JKB+)/SS
어느	어느/MMD
정도	정도/NNG
숨통이	숨통/NNG+이/JKS
트일	트이/VV+ㄹ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


