# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.410
metadata : {}


# id : NWRW1800000048.410.1.1
새정치 ‘을지로 위원회’ 출범 2년 “을 대표하는 정당으로 바뀌어야 집권”

새정치	새정치/NNP
국회의원이	국회/NNG+의원/NNG+이/JKS
유통	유통/NNG
대기업과	대/XPN+기업/NNG+과/JC
중소기업	중소기업/NNG
간의	간/NNB+의/JKG
불공정	불/XPN+공정/NNG
계약	계약/NNG
문제,	문제/NNG+,/SP
삼성전자서비스·엘지유플러스	삼성전자서비스/NNP+·/SP+엘지유플러스/NNP
불법파견·불법도급	불법/NNG+파견/NNG+·/SP+불법/NNG+도급/NNG
문제	문제/NNG
등을	등/NNB+을/JKO
각각	각각/MAG
맡아	맡/VV+아/EC
현장에서	현장/NNG+에서/JKB
갈등을	갈등/NNG+을/JKO
조정하는	조정/NNG+하/XSV+는/ETM
데	데/NNB
힘을	힘/NNG+을/JKO
써왔다.	쓰/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.410.5.3
을지로위원회는 2년 동안 119차례의 현장 방문, 254차례의 간담회, 737차례의 기자회견 등을 진행했고, 50건이 넘는 갈등을 조정했다고 밝혔다.

을지로위원회는	을지로/NNP+위원회/NNG+는/JX
2년	2/SN+년/NNB
동안	동안/NNG
119차례의	119/SN+차례/NNG+의/JKG
현장	현장/NNG
방문,	방문/NNG+,/SP
254차례의	254/SN+차례/NNG+의/JKG
간담회,	간담회/NNG+,/SP
737차례의	737/SN+차례/NNG+의/JKG
기자회견	기자/NNG+회견/NNG
등을	등/NNB+을/JKO
진행했고,	진행/NNG+하/XSV+았/EP+고/EC+,/SP
50건이	50/SN+건/NNB+이/JKS
넘는	넘/VV+는/ETM
갈등을	갈등/NNG+을/JKO
조정했다고	조정/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.410.5.4
진보정당이 담당하던 노동과 서민의 문제를 끌어안았다는 평가가 나오는 이유다.

진보정당이	진보/NNG+정당/NNG+이/JKS
담당하던	담당/NNG+하/XSV+던/ETM
노동과	노동/NNG+과/JC
서민의	서민/NNG+의/JKG
문제를	문제/NNG+를/JKO
끌어안았다는	끌어안/VV+았/EP+다는/ETM
평가가	평가/NNG+가/JKS
나오는	나오/VV+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.410.5.5
지난 2·8 전당대회를 거치며 상설위원회로 확대 강화됐고 현재 지역시당이나 기초의회에도 비슷한 실험이 이뤄지고 있다.

지난	지나/VV+ㄴ/ETM
2·8	2/SN+·/SP+8/SN
전당대회를	전당/NNG+대회/NNG+를/JKO
거치며	거치/VV+며/EC
상설위원회로	상설/NNG+위원회/NNG+로/JKB
확대	확대/NNG
강화됐고	강화/NNG+되/XSV+었/EP+고/EC
현재	현재/MAG
지역시당이나	지역/NNG+시당/NNG+이나/JC
기초의회에도	기초/NNG+의회/NNG+에/JKB+도/JX
비슷한	비슷하/VA+ㄴ/ETM
실험이	실험/NNG+이/JKS
이뤄지고	이뤄지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.410.6.1
그러나 입법활동이 미흡했다는 지적은 극복해야 할 과제다.

그러나	그러나/MAJ
입법활동이	입법/NNG+활동/NNG+이/JKS
미흡했다는	미흡/NNG+하/XSA+았/EP+다는/ETM
지적은	지적/NNG+은/JX
극복해야	극복/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
과제다.	과제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.410.6.2
을지로위원회가 지난 2년 동안 통과시킨 법안은 상가건물임대차보호법, 이자제한법 등 9건에 그친다.

을지로위원회가	을지로/NNP+위원회/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
2년	2/SN+년/NNB
동안	동안/NNG
통과시킨	통과/NNG+시키/XSV+ㄴ/ETM
법안은	법안/NNG+은/JX
상가건물임대차보호법,	상가/NNG+건물/NNG+임대차/NNG+보호법/NNG+,/SP
이자제한법	이자/NNG+제한법/NNG
등	등/NNB
9건에	9/SN+건/NNB+에/JKB
그친다.	그치/VV+ㄴ다/EF+./SF


