# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.218
metadata : {}


# id : NWRW1800000041.218.1.1
“특별法 끝모를 투쟁보다 이젠 협상을”… 세월호유가족, 커지는 온건파 목소리

“특별法	“/SS+특별/NNG+法/SH
30일	30/SN+일/NNB
여야의	여야/NNG+의/JKG
타결안에	타결안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
각	각/MMD
당의	당/NNG+의/JKG
입장과	입장/NNG+과/JC
유가족	유가족/NNG
우려를	우려/NNG+를/JKO
해소하겠다는	해소/NNG+하/XSV+겠/EP+다는/ETM
의지를	의지/NNG+를/JKO
전달한	전달/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.218.5.3
면담 직후 이 원내대표는 “유가족의 의견이 반영될 수 있도록 최선을 다하겠다”고 말했다.

면담	면담/NNG
직후	직후/NNG
이	이/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
“유가족의	“/SS+유가족/NNG+의/JKG
의견이	의견/NNG+이/JKS
반영될	반영/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
최선을	최선/NNG+을/JKO
다하겠다”고	다/MAG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.218.5.4
박 원내대표는 “유가족들로부터 ‘유가족 참여’에 대한 협상에 즉각 임해 달라는 말을 들었다”고 전했다.

박	박/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
“유가족들로부터	“/SS+유가족/NNG+들/XSN+로부터/JKB
‘유가족	‘/SS+유가족/NNG
참여’에	참여/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
협상에	협상/NNG+에/JKB
즉각	즉각/MAG
임해	임하/VV+아/EC
달라는	달/VX+라는/ETM
말을	말/NNG+을/JKO
들었다”고	듣/VV+었/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.218.6.1
유가족 측은 두 원내대표의 방문을 긍정적으로 평가했다.

유가족	유가족/NNG
측은	측/NNB+은/JX
두	두/MMN
원내대표의	원내/NNG+대표/NNG+의/JKG
방문을	방문/NNG+을/JKO
긍정적으로	긍정/NNG+적/XSN+으로/JKB
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.218.6.2
분향소를 직접 찾아 조문하면서 진정성을 보였다는 것이다.

분향소를	분향소/NNG+를/JKO
직접	직접/MAG
찾아	찾/VV+아/EC
조문하면서	조문/NNG+하/XSV+면서/EC
진정성을	진정/NNG+성/XSN+을/JKO
보였다는	보이/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.218.6.3
가족대책위 전명선 위원장은 “우리의 마음을 헤아리고 앞으로 최선을 다하겠다는 모습을 보이는 등 아주 좋은 자리였다”고 말했다.

가족대책위	가족/NNG+대책위/NNG
전명선	전명선/NNP
위원장은	위원장/NNG+은/JX
“우리의	“/SS+우리/NP+의/JKG
마음을	마음/NNG+을/JKO
헤아리고	헤아리/VV+고/EC
앞으로	앞/NNG+으로/JKB
최선을	최선/NNG+을/JKO
다하겠다는	다/MAG+하/XSV+겠/EP+다는/ETM
모습을	모습/NNG+을/JKO
보이는	보이/VV+는/ETM
등	등/NNB
아주	아주/MAG
좋은	좋/VA+은/ETM
자리였다”고	자리/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.218.6.4
타결안 파기 요구를 철회하지는 않았지만, 전날 두 차례 기자회견에서 보인 강경한 태도에서 다소 누그러진 모습이었다.

타결안	타결안/NNG
파기	파기/NNG
요구를	요구/NNG+를/JKO
철회하지는	철회/NNG+하/XSV+지/EC+는/JX
않았지만,	않/VX+았/EP+지만/EC+,/SP
전날	전날/NNG
두	두/MMN
차례	차례/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
보인	보이/VV+ㄴ/ETM
강경한	강경/NNG+하/XSA+ㄴ/ETM
태도에서	태도/NNG+에서/JKB
다소	다소/MAG
누그러진	누그러지/VV+ㄴ/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.218.7.1
○ 커지는 온건파 목소리

○	○/SW
커지는	커지/VV+는/ETM
온건파	온건파/NNG
목소리	목소리/NNG


# id : NWRW1800000041.218.8.1
단원고 가족대책위가 일단 여야 원내대표 면담을 받아들이고, 즉각적인 투쟁에 나서지 않은 것은 협상을 원하는 유가족이 적지 않았기 때문이라는 분석이 있다.

단원고	단원고/NNP
가족대책위가	가족/NNG+대책위/NNG+가/JKS
일단	일단/MAG
여야	여야/NNG
원내대표	원내/NNG+대표/NNG
면담을	면담/NNG+을/JKO
받아들이고,	받아들이/VV+고/EC+,/SP
즉각적인	즉각/MAG+적/XSN+이/VCP+ㄴ/ETM
투쟁에	투쟁/NNG+에/JKB
나서지	나서/VV+지/EC
않은	않/VX+은/ETM
것은	것/NNB+은/JX
협상을	협상/NNG+을/JKO
원하는	원/NNG+하/XSV+는/ETM
유가족이	유가족/NNG+이/JKS
적지	적/VA+지/EC
않았기	않/VX+았/EP+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.218.8.2
지난달 30일 오후 9시경 합동분향소 앞 천막에서 전 위원장이 가족들에게 타결안 거부 배경을 설명할 때, 일부 유가족은 “일단 합의안을 받아들이지 그랬느냐”며 이의를 제기하기도 했다.

지난달	지난달/NNG
30일	30/SN+일/NNB
오후	오후/NNG
9시경	9/SN+시/NNB+경/XSN
합동분향소	합동/NNG+분향소/NNG
앞	앞/NNG
천막에서	천막/NNG+에서/JKB
전	전/NNP
위원장이	위원장/NNG+이/JKS
가족들에게	가족/NNG+들/XSN+에게/JKB
타결안	타결안/NNG
거부	거부/NNG
배경을	배경/NNG+을/JKO
설명할	설명/NNG+하/XSV+ㄹ/ETM
때,	때/NNG+,/SP
일부	일부/NNG
유가족은	유가족/NNG+은/JX
“일단	“/SS+일단/MAG
합의안을	합의안/NNG+을/JKO
받아들이지	받아들이/VV+지/EC
그랬느냐”며	그러/VV+었/EP+느냐/EF+”/SS+며/EC
이의를	이의/NNG+를/JKO
제기하기도	제기/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.218.8.3
기자회견이 진행되는 동안 “뭔 소리야.

기자회견이	기자/NNG+회견/NNG+이/JKS
진행되는	진행/NNG+되/XSV+는/ETM
동안	동안/NNG
“뭔	“/SS+뭔/MMD
소리야.	소리/NNG+이/VCP+야/EF+./SF


# id : NWRW1800000041.218.8.4
이거 정해진 거야?

이거	이거/NP
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
거야?	거/NNB+이/VCP+야/EF+?/SF


# id : NWRW1800000041.218.8.5
회의 안 해?”라는 목소리도 나왔다.

회의	회의/NNG
안	안/MAG
해?”라는	하/VV+아/EF+?/SF+”/SS+이/VCP+라는/ETM
목소리도	목소리/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.218.8.6
기자회견이 끝난 뒤 이어진 회의에서도 일부 유가족은 “회의도 없이 집행부가 단독으로 결정한 사안을 유가족 대책위 명의로 발표해도 되는 거냐”며 “합의안을 거부하면 대안은 있는 것이냐”고 반발했다.

기자회견이	기자/NNG+회견/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
이어진	이어지/VV+ㄴ/ETM
회의에서도	회의/NNG+에서/JKB+도/JX
일부	일부/NNG
유가족은	유가족/NNG+은/JX
“회의도	“/SS+회의/NNG+도/JX
없이	없이/MAG
집행부가	집행부/NNG+가/JKS
단독으로	단독/NNG+으로/JKB
결정한	결정/NNG+하/XSV+ㄴ/ETM
사안을	사안/NNG+을/JKO
유가족	유가족/NNG
대책위	대책위/NNG
명의로	명의/NNG+로/JKB
발표해도	발표/NNG+하/XSV+아도/EC
되는	되/VV+는/ETM
거냐”며	거/NNB+이/VCP+냐/EF+”/SS+며/EC
“합의안을	“/SS+합의안/NNG+을/JKO
거부하면	거부/NNG+하/XSV+면/EC
대안은	대안/NNG+은/JX
있는	있/VA+는/ETM
것이냐”고	것/NNB+이/VCP+냐/EF+”/SS+고/JKQ
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.218.9.1
그러나 온건파 유가족들은 5개월 넘도록 지속된 투쟁을 계속하기보다는 일단 협상을 진행하는 것이 바람직하다고 주장했다.

그러나	그러나/MAJ
온건파	온건파/NNG
유가족들은	유가족/NNG+들/XSN+은/JX
5개월	5/SN+개월/NNB
넘도록	넘/VV+도록/EC
지속된	지속/NNG+되/XSV+ㄴ/ETM
투쟁을	투쟁/NNG+을/JKO
계속하기보다는	계속/NNG+하/XSV+기/ETN+보다/JKB+는/JX
일단	일단/MAG
협상을	협상/NNG+을/JKO
진행하는	진행/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
바람직하다고	바람직하/VA+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.218.9.2
지난달 29일 총회에 참석한 단원고 2학년 학부모 A 씨는 “‘투쟁’ ‘끝까지 싸우겠다’는 말에 너무 지쳤다.

지난달	지난달/NNG
29일	29/SN+일/NNB
총회에	총회/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
단원고	단원고/NNP
2학년	2/SN+학년/NNG
학부모	학부모/NNG
A	A/SL
씨는	씨/NNB+는/JX
“‘투쟁’	“/SS+‘/SS+투쟁/NNG+’/SS
‘끝까지	‘/SS+끝/NNG+까지/JX
싸우겠다’는	싸우/VV+겠/EP+다/EF+’/SS+는/ETM
말에	말/NNG+에/JKB
너무	너무/MAG
지쳤다.	지치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.218.9.3
우리는 평범한 시민이지, 투사가 아니다”라고 강조했다.

우리는	우리/NP+는/JX
평범한	평범하/VA+ㄴ/ETM
시민이지,	시민/NNG+이/VCP+지/EC+,/SP
투사가	투사/NNG+가/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.218.10.1
반면 강경파 유가족들은 정치권에 계속 배신당한 만큼 타결안을 믿을 수 없다고 주장했다.

반면	반면/NNG
강경파	강경파/NNG
유가족들은	유가족/NNG+들/XSN+은/JX
정치권에	정치/NNG+권/XSN+에/JKB
계속	계속/MAG
배신당한	배신/NNG+당하/XSV+ㄴ/ETM
만큼	만큼/NNB
타결안을	타결안/NNG+을/JKO
믿을	믿/VV+을/ETM
수	수/NNB
없다고	없/VA+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.218.10.2
또 유가족 내부에서 나오는 일부 불만의 목소리를 ‘유가족 분열’로 보는 것을 경계했다.

또	또/MAG
유가족	유가족/NNG
내부에서	내부/NNG+에서/JKB
나오는	나오/VV+는/ETM
일부	일부/NNG
불만의	불만/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
‘유가족	‘/SS+유가족/NNG
분열’로	분열/NNG+’/SS+로/JKB
보는	보/VV+는/ETM
것을	것/NNB+을/JKO
경계했다.	경계/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.218.10.3
한 유가족은 “많은 사람들이 모이다보니 생각이 다를 수 있다.

한	한/MMN
유가족은	유가족/NNG+은/JX
“많은	“/SS+많/VA+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
모이다보니	모이/VV+다/EC+보/VX+니/EC
생각이	생각/NNG+이/JKS
다를	다르/VA+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.218.10.4
하지만 집행부의 결정이 곧 다수의 뜻이며, 유가족을 배제하려는 정치권의 시도로 인해 자꾸 꼬여 가는 것이다”라고 지적했다.

하지만	하지만/MAJ
집행부의	집행부/NNG+의/JKG
결정이	결정/NNG+이/JKS
곧	곧/MAG
다수의	다수/NNG+의/JKG
뜻이며,	뜻/NNG+이/VCP+며/EC+,/SP
유가족을	유가족/NNG+을/JKO
배제하려는	배제/NNG+하/XSV+려는/ETM
정치권의	정치/NNG+권/XSN+의/JKG
시도로	시도/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
자꾸	자꾸/MAG
꼬여	꼬이/VV+어/EC
가는	가/VX+는/ETM
것이다”라고	것/NNB+이/VCP+다/EF+”/SS+라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.218.11.1
한편 일반인 유가족 대책위는 타결안을 지지한다는 성명을 2일 발표할 예정이다.

한편	한편/MAG
일반인	일반인/NNG
유가족	유가족/NNG
대책위는	대책위/NNG+는/JX
타결안을	타결안/NNG+을/JKO
지지한다는	지지/NNG+하/XSV+ㄴ다는/ETM
성명을	성명/NNG+을/JKO
2일	2/SN+일/NNB
발표할	발표/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.218.11.2
유가족 대책위 관계자는 “타결안대로 추후 논의 과정에서 유가족들이 참여할 여지가 충분하다고 본다”고 밝혔다.

유가족	유가족/NNG
대책위	대책위/NNG
관계자는	관계자/NNG+는/JX
“타결안대로	“/SS+타결안/NNG+대로/JX
추후	추후/NNG
논의	논의/NNG
과정에서	과정/NNG+에서/JKB
유가족들이	유가족/NNG+들/XSN+이/JKS
참여할	참여/NNG+하/XSV+ㄹ/ETM
여지가	여지/NNB+가/JKS
충분하다고	충분하/VA+다고/EC
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


