# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.152
metadata : {}


# id : NWRW1800000038.152.1.1
"곤니치와" 사라진 관광명소 "니하오"가 채운다

"곤니치와"	"/SS+곤니치와/NNG+"/SS
5일 오후 7시 서울 동대문 두타 쇼핑몰에는 입구에서부터 중국인 수십 명이 진을 치고 있었다.

5일	5/SN+일/NNB
오후	오후/NNG
7시	7/SN+시/NNB
서울	서울/NNP
동대문	동대문/NNP
두타	두타/NNP
쇼핑몰에는	쇼핑몰/NNG+에/JKB+는/JX
입구에서부터	입구/NNG+에서/JKB+부터/JX
중국인	중국인/NNG
수십	수십/NR
명이	명/NNB+이/JKS
진을	진/NNG+을/JKO
치고	치/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.152.5.2
관광버스가 오기를 기다리는 이런 단체는 한 시간에 3~4개나 눈에 띄었다.

관광버스가	관광버스/NNG+가/JKS
오기를	오/VV+기/ETN+를/JKO
기다리는	기다리/VV+는/ETM
이런	이런/MMD
단체는	단체/NNG+는/JX
한	한/MMN
시간에	시간/NNB+에/JKB
3~4개나	3/SN+~/SO+4/SN+개/NNB+나/JX
눈에	눈/NNG+에/JKB
띄었다.	띄/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.152.5.3
관광버스를 기다리며 땅바닥에 앉아 귤을 먹는 중국인 아이, 자연스럽게 키스하고 있는 커플들도 있었다.

관광버스를	관광버스/NNG+를/JKO
기다리며	기다리/VV+며/EC
땅바닥에	땅바닥/NNG+에/JKB
앉아	앉/VV+아/EC
귤을	귤/NNG+을/JKO
먹는	먹/VV+는/ETM
중국인	중국인/NNG
아이,	아이/NNG+,/SP
자연스럽게	자연/NNG+스럽/XSA+게/EC
키스하고	키스/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
커플들도	커플/NNG+들/XSN+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.152.5.4
관광객을 안내하는 안내방송이 중국어로 나오자 지나가던 한국인 커플이 "오빠, 여기 중국이야?"라고 말했다.

관광객을	관광객/NNG+을/JKO
안내하는	안내/NNG+하/XSV+는/ETM
안내방송이	안내/NNG+방송/NNG+이/JKS
중국어로	중국어/NNP+로/JKB
나오자	나오/VV+자/EC
지나가던	지나가/VV+던/ETM
한국인	한국인/NNG
커플이	커플/NNG+이/JKS
"오빠,	"/SS+오빠/NNG+,/SP
여기	여기/NP
중국이야?"라고	중국/NNP+이/VCP+야/EF+?/SF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.152.6.1
두타에서 10년째 일하고 있는 한 직원은 "7~8년 전만 해도 일본인 관광객들이 대세였는데 2~3년 전부터는 중국인들이 급증했다. 현재는 중국인 관광객이 전체 관광객의 70%에 육박한다"고 말했다.

두타에서	두타/NNP+에서/JKB
10년째	10/SN+년/NNB+째/XSN
일하고	일/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
한	한/MMN
직원은	직원/NNG+은/JX
"7~8년	"/SS+7/SN+~/SO+8/SN+년/NNB
전만	전/NNG+만/JX
해도	하/VV+아도/EC
일본인	일본인/NNG
관광객들이	관광객/NNG+들/XSN+이/JKS
대세였는데	대세/NNG+이/VCP+었/EP+는데/EC
2~3년	2/SN+~/SO+3/SN+년/NNB
전부터는	전/NNG+부터/JX+는/JX
중국인들이	중국인/NNG+들/XSN+이/JKS
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF
현재는	현재/NNG+는/JX
중국인	중국인/NNG
관광객이	관광객/NNG+이/JKS
전체	전체/NNG
관광객의	관광객/NNG+의/JKG
70%에	70/SN+%/SW+에/JKB
육박한다"고	육박/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.152.6.2
홍익대에 다니는 중국인 유학생 자오자웨(23)씨는 "두타는 중국인 가이드와 협력이 잘되는 데다 가격정찰제의 확립으로 의심 많은 중국인도 바가지를 쓸 염려가 없다고 마음을 놓는다"고 말했다.

홍익대에	홍익대/NNP+에/JKB
다니는	다니/VV+는/ETM
중국인	중국인/NNG
유학생	유학/NNG+생/XSN
자오자웨(23)씨는	자오자웨/NNP+(/SS+23/SN+)/SS+씨/NNB+는/JX
"두타는	"/SS+두타/NNP+는/JX
가이드와	가이드/NNG+와/JKB
협력이	협력/NNG+이/JKS
잘되는	잘/MAG+되/XSV+는/ETM
데다	데/NNB+다/JX
가격정찰제의	가격/NNG+정찰/NNG+제/XSN+의/JKG
확립으로	확립/NNG+으로/JKB
의심	의심/NNG
많은	많/VA+은/ETM
중국인도	중국인/NNG+도/JX
바가지를	바가지/NNG+를/JKO
쓸	쓰/VV+ㄹ/ETM
염려가	염려/NNG+가/JKS
없다고	없/VA+다고/EC
마음을	마음/NNG+을/JKO
놓는다"고	놓/VV+는다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.152.6.3
중국인 관광객을 맞는 두타 점원들 입에서는 "첸밍(簽名·서명하세요)", "하오칸(好看·예쁘다)" 등 중국어가 익숙하게 흘러나오고 있었다.

중국인	중국인/NNG
관광객을	관광객/NNG+을/JKO
맞는	맞/VV+는/ETM
두타	두타/NNP
점원들	점원/NNG+들/XSN
입에서는	입/NNG+에서/JKB+는/JX
"첸밍(簽名·서명하세요)",	"/SS+첸밍/NA+(/SS+簽名/SH+·/SP+서명/NNG+하/XSV+시/EP+어요/EF+)/SS+"/SS+,/SP
"하오칸(好看·예쁘다)"	"/SS+하오칸/NA+(/SS+好看/SH+·/SP+예쁘/VA+다/EF+)/SS+"/SS
등	등/NNB
중국어가	중국어/NNP+가/JKS
익숙하게	익숙하/VA+게/EC
흘러나오고	흘러나오/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.152.7.1
중국인 관광객 쿵샹샹(孔祥翔·26)씨는 이런 현상에 대해 "장기 휴가 때 인근국에 여행 가는 중국인들이 늘어나고 있는데 여행지를 한국으로 택하는 데는 한류가 큰 역할을 한 것 같다"고 말했다.

중국인	중국인/NNG
관광객	관광객/NNG
쿵샹샹(孔祥翔·26)씨는	쿵샹샹/NNP+(/SS+孔祥翔/SH+·/SP+26/SN+)/SS+씨/NNB+는/JX
이런	이런/MMD
현상에	현상/NNG+에/JKB
대해	대하/VV+아/EC
"장기	"/SS+장기/NNG
휴가	휴가/NNG
때	때/NNG
인근국에	인근국/NNG+에/JKB
여행	여행/NNG
가는	가/VV+는/ETM
중국인들이	중국인/NNG+들/XSN+이/JKS
늘어나고	늘어나/VV+고/EC
있는데	있/VX+는데/EC
여행지를	여행지/NNG+를/JKO
한국으로	한국/NNP+으로/JKB
택하는	택하/VV+는/ETM
데는	데/NNB+는/JX
한류가	한류/NNG+가/JKS
큰	크/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
한	하/VV+ㄴ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.152.7.2
여기다 댜오위다오(釣魚島) 분쟁 등 중·일 외교 분쟁도 중국인 관광객의 발길을 한국으로 돌리게 하고 있다.

여기다	여기/NP+다/JX
댜오위다오(釣魚島)	댜오위다오/NNP+(/SS+釣魚島/SH+)/SS
분쟁	분쟁/NNG
등	등/NNB
중·일	중/NNP+·/SP+일/NNP
외교	외교/NNG
분쟁도	분쟁/NNG+도/JX
중국인	중국인/NNG
관광객의	관광객/NNG+의/JKG
발길을	발길/NNG+을/JKO
한국으로	한국/NNP+으로/JKB
돌리게	돌리/VV+게/EC
하고	하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.152.8.1
이와 대조적으로 일본 관광객 가이드 생활을 15년 넘게 하고 있는 강모(여·40)씨는 요즘 상황이 당혹스럽다.

이와	이/NP+와/JKB
대조적으로	대조/NNG+적/XSN+으로/JKB
일본	일본/NNP
관광객	관광객/NNG
가이드	가이드/NNG
생활을	생활/NNG+을/JKO
15년	15/SN+년/NNB
넘게	넘/VV+게/EC
하고	하/VX+고/EC
있는	있/VX+는/ETM
강모(여·40)씨는	강/NNP+모/NP+(/SS+여/NNG+·/SP+40/SN+)/SS+씨/NNB+는/JX
요즘	요즘/NNG
상황이	상황/NNG+이/JKS
당혹스럽다.	당혹/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000038.152.8.2
"작년 가을부터 한·일 외교 관계가 악화되면서 '명동이 초토화됐다'는 말이 퍼졌다.

"작년	"/SS+작년/NNG
가을부터	가을/NNG+부터/JX
한·일	한·일/NNP
외교	외교/NNG
관계가	관계/NNG+가/JKS
악화되면서	악화/NNG+되/XSV+면서/EC
'명동이	'/SS+명동/NNP+이/JKS
초토화됐다'는	초토/NNG+화/XSN+되/XSV+었/EP+다/EF+'/SS+는/ETM
말이	말/NNG+이/JKS
퍼졌다.	퍼지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.152.8.3
최근에는 엔화 약세 현상, 북한 핵실험에 대한 불안 급증 등으로 일본 관광객 수가 급감했다"고 했다.

최근에는	최근/NNG+에/JKB+는/JX
엔화	엔화/NNG
약세	약세/NNG
현상,	현상/NNG+,/SP
북한	북한/NNP
핵실험에	핵/NNG+실험/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불안	불안/NNG
급증	급증/NNG
등으로	등/NNB+으로/JKB
일본	일본/NNP
관광객	관광객/NNG
수가	수/NNG+가/JKS
급감했다"고	급감/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.152.8.4
"이전에는 월평균 8~9개 단체를 안내했는데 근래엔 2개 정도밖에 안내를 못 한다"는 것이 강씨의 말이다.

"이전에는	"/SS+이전/NNG+에/JKB+는/JX
월평균	월평균/NNG
8~9개	8/SN+~/SO+9/SN+개/NNB
단체를	단체/NNG+를/JKO
안내했는데	안내/NNG+하/XSV+았/EP+는데/EC
근래엔	근래/NNG+에/JKB+ㄴ/JX
2개	2/SN+개/NNB
정도밖에	정도/NNG+밖에/JX
안내를	안내/NNG+를/JKO
못	못/MAG
한다"는	하/VV+ㄴ다/EF+"/SS+는/ETM
것이	것/NNB+이/JKS
강씨의	강/NNP+씨/NNB+의/JKG
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.152.9.1
'일본인의 거리'로 불리는 서울 명동 중앙로의 화장품 골목도 이제 중국인 관광객 모시기에 여념이 없다.

'일본인의	'/SS+일본인/NNG+의/JKG
거리'로	거리/NNG+'/SS+로/JKB
불리는	불리/VV+는/ETM
서울	서울/NNP
명동	명동/NNP
중앙로의	중앙로/NNP+의/JKG
화장품	화장품/NNG
골목도	골목/NNG+도/JX
이제	이제/MAG
중국인	중국인/NNG
관광객	관광객/NNG
모시기에	모시/VV+기/ETN+에/JKB
여념이	여념/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.152.9.2
화장품 가게 네이처 리퍼블릭은 중국인들을 겨냥, 6만원짜리 영양크림을 2개 사면 증정품으로 아이패치(눈가 주름 방지팩) 8개, 마스크팩 8개, 화장솜 8박스를 주는 '2+888' 행사를 열고 있다.

화장품	화장품/NNG
가게	가게/NNG
네이처	네이처/NNP
리퍼블릭은	리퍼블릭/NNP+은/JX
중국인들을	중국인/NNG+들/XSN+을/JKO
겨냥,	겨냥/NNG+,/SP
6만원짜리	6/SN+만/NR+원/NNB+짜리/XSN
영양크림을	영양/NNG+크림/NNG+을/JKO
2개	2/SN+개/NNB
사면	사/VV+면/EC
증정품으로	증정품/NNG+으로/JKB
아이패치(눈가	아이/NNG+패치/NNG+(/SS+눈가/NNG
주름	주름/NNG
방지팩)	방지/NNG+팩/NNG+)/SS
8개,	8/SN+개/NNB+,/SP
마스크팩	마스크/NNG+팩/NNG
화장솜	화장/NNG+솜/NNG
8박스를	8/SN+박스/NNG+를/JKO
주는	주/VV+는/ETM
'2+888'	'/SS+2/SN++/SW+888/SN+'/SS
행사를	행사/NNG+를/JKO
열고	열/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.152.9.3
또 다른 화장품 가게 바닐라코에서는 중국어가 가능한 점원 5명 정도를 항상 배치해 놓는다.

또	또/MAG
다른	다른/MMD
화장품	화장품/NNG
가게	가게/NNG
바닐라코에서는	바닐라코/NNP+에서/JKB+는/JX
중국어가	중국어/NNP+가/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
점원	점원/NNG
5명	5/SN+명/NNB
정도를	정도/NNG+를/JKO
항상	항상/MAG
배치해	배치/NNG+하/XSV+아/EC
놓는다.	놓/VX+는다/EF+./SF


# id : NWRW1800000038.152.10.1
대형 레저·쇼핑타운인 서울 잠실 롯데월드 역시 중국인 관광객이 일본인 관광객을 압도하고 있다.

대형	대형/NNG
레저·쇼핑타운인	레저/NNG+·/SP+쇼핑/NNG+타운/NNG+이/VCP+ㄴ/ETM
서울	서울/NNP
잠실	잠실/NNP
롯데월드	롯데월드/NNP
역시	역시/MAG
중국인	중국인/NNG
관광객이	관광객/NNG+이/JKS
일본인	일본인/NNG
관광객을	관광객/NNG+을/JKO
압도하고	압도/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.152.10.2
롯데월드 남문의 외국인단체 전용매표소 직원은 관광객 방문 일지를 보여주며 "하루 평균 남문 외국인단체 전용매표소를 이용하는 외국인이 1300명인데, 이 중 80% 정도가 중화권이고 20%는 동남아인이다. 일본인 관광객은 1주일에 20~30명 정도로, 전체의 0.3%에 불과하다"고 말했다.

롯데월드	롯데월드/NNP
남문의	남문/NNG+의/JKG
외국인단체	외국인/NNG+단체/NNG
전용매표소	전용/NNG+매표소/NNG
직원은	직원/NNG+은/JX
관광객	관광객/NNG
방문	방문/NNG
일지를	일지/NNG+를/JKO
보여주며	보이/VV+어/EC+주/VX+며/EC
"하루	"/SS+하루/NNG
평균	평균/NNG
남문	남문/NNG
전용매표소를	전용/NNG+매표소/NNG+를/JKO
이용하는	이용/NNG+하/XSV+는/ETM
외국인이	외국인/NNG+이/JKS
1300명인데,	1300/SN+명/NNB+이/VCP+ㄴ데/EC+,/SP
이	이/MMD
중	중/NNB
80%	80/SN+%/SW
정도가	정도/NNG+가/JKS
중화권이고	중화/NNG+권/XSN+이/VCP+고/EC
20%는	20/SN+%/SW+는/JX
동남아인이다.	동남아인/NNG+이/VCP+다/EF+./SF
일본인	일본인/NNG
관광객은	관광객/NNG+은/JX
1주일에	1/SN+주일/NNB+에/JKB
20~30명	20/SN+~/SO+30/SN+명/NNB
정도로,	정도/NNG+로/JKB+,/SP
전체의	전체/NNG+의/JKG
0.3%에	0/SN+./SP+3/SN+%/SW+에/JKB
불과하다"고	불과/MAG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.152.11.1
하지만 중국 관광객 유치엔 아직도 해결되지 않은 문제점이 많다.

하지만	하지만/MAJ
중국	중국/NNP
관광객	관광객/NNG
유치엔	유치/NNG+에/JKB+ㄴ/JX
아직도	아직/MAG+도/JX
해결되지	해결/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
문제점이	문제점/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000038.152.11.2
류한순 한국관광공사 중국팀 차장은 "영세 관광업체가 저가 덤핑 상품을 판매하다 보니 자격 미달의 가이드를 고용하고 쇼핑을 강요해 한국에 대한 인상과 국가 이미지를 떨어뜨리는 경우가 많다"며 "이를 개선하지 않으면 한국을 찾는 중국인 관광객은 다시 줄어들 수도 있다"고 경고했다.

류한순	류한순/NNP
한국관광공사	한국관광공사/NNP
중국팀	중국/NNP+팀/NNG
차장은	차장/NNG+은/JX
"영세	"/SS+영세/NNG
관광업체가	관광업체/NNG+가/JKS
저가	저가/NNG
덤핑	덤핑/NNG
상품을	상품/NNG+을/JKO
판매하다	판매/NNG+하/XSV+다/EC
보니	보/VX+니/EC
자격	자격/NNG
미달의	미달/NNG+의/JKG
가이드를	가이드/NNG+를/JKO
고용하고	고용/NNG+하/XSV+고/EC
쇼핑을	쇼핑/NNG+을/JKO
강요해	강요/NNG+하/XSV+아/EC
한국에	한국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
인상과	인상/NNG+과/JC
국가	국가/NNG
이미지를	이미지/NNG+를/JKO
떨어뜨리는	떨어뜨리/VV+는/ETM
경우가	경우/NNG+가/JKS
많다"며	많/VA+다/EF+"/SS+며/EC
"이를	"/SS+이/NP+를/JKO
개선하지	개선/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
한국을	한국/NNP+을/JKO
찾는	찾/VV+는/ETM
중국인	중국인/NNG
관광객은	관광객/NNG+은/JX
다시	다시/MAG
줄어들	줄어들/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


