# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.277
metadata : {}


# id : NWRW1800000025.277.1.1
김치 없이 못사는 한국인에게 ‘잔인한 가을’

김치	김치/NNG
‘금(金)추’로	‘/SS+금/NNG+(/SS+金/SH+)/SS+추/NA+’/SS+로/JKB
불리는	불리/VV+는/ETM
상추가	상추/NNG+가/JKS
전년	전년/NNG
동기	동기/NNG
대비	대비/NNG
233.6%	233/SN+./SP+6/SN+%/SW
폭등한	폭등/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
비롯해	비롯하/VV+아/EC
호박	호박/NNG
219.9%,	219/SN+./SP+9/SN+%/SW+,/SP
열무	열무/NNG
205.6%,	205/SN+./SP+6/SN+%/SW+,/SP
무	무/NNG
165.6%,	165/SN+./SP+6/SN+%/SW+,/SP
시금치	시금치/NNG
151.4%,	151/SN+./SP+4/SN+%/SW+,/SP
오이	오이/NNG
133.7%,	133/SN+./SP+7/SN+%/SW+,/SP
배추	배추/NNG
118.9%의	118/SN+./SP+9/SN+%/SW+의/JKG
물가	물가/NNG
상승률을	상승/NNG+률/XSN+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.277.5.1
기획재정부는 △저온성 채소인 상추는 8월의 고온 현상 때문에 생육이 부진했고 △호박은 잦은 강우 때문에 일조시간이 부족했으며 △시금치는 작황이 나쁜 데다 추석 제수용 수요가 증가해 가격이 급등했다고 설명했다.

기획재정부는	기획/NNG+재정부/NNG+는/JX
△저온성	△/SW+저온/NNG+성/XSN
채소인	채소/NNG+이/VCP+ㄴ/ETM
상추는	상추/NNG+는/JX
8월의	8/SN+월/NNB+의/JKG
고온	고온/NNG
현상	현상/NNG
때문에	때문/NNB+에/JKB
생육이	생육/NNG+이/JKS
부진했고	부진/NNG+하/XSA+았/EP+고/EC
△호박은	△/SW+호박/NNG+은/JX
잦은	잦/VA+은/ETM
강우	강우/NNG
일조시간이	일조/NNG+시간/NNG+이/JKS
부족했으며	부족/NNG+하/XSA+았/EP+으며/EC
△시금치는	△/SW+시금치/NNG+는/JX
작황이	작황/NNG+이/JKS
나쁜	나쁘/VA+ㄴ/ETM
데다	데/NNB+다/JX
추석	추석/NNG
제수용	제수/NNG+용/XSN
수요가	수요/NNG+가/JKS
증가해	증가/NNG+하/XSV+아/EC
가격이	가격/NNG+이/JKS
급등했다고	급등/NNG+하/XSV+았/EP+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.277.5.2
배추도 주산지인 강원지역의 집중호우 피해 때문에 생산량이 평년의 60%에 불과했고 파는 태풍의 영향으로 경기지역 물량의 50%가 쓰러지는 피해가 발생했다.

배추도	배추/NNG+도/JX
주산지인	주산지/NNG+이/VCP+ㄴ/ETM
강원지역의	강원지역/NNP+의/JKG
집중호우	집중/NNG+호우/NNG
피해	피해/NNG
때문에	때문/NNB+에/JKB
생산량이	생산량/NNG+이/JKS
평년의	평년/NNG+의/JKG
60%에	60/SN+%/SW+에/JKB
불과했고	불과/MAG+하/XSA+았/EP+고/EC
파는	파/NNG+는/JX
태풍의	태풍/NNG+의/JKG
영향으로	영향/NNG+으로/JKB
경기지역	경기지역/NNP
물량의	물량/NNG+의/JKG
50%가	50/SN+%/SW+가/JKS
쓰러지는	쓰러지/VV+는/ETM
피해가	피해/NNG+가/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.277.6.1
윤종원 재정부 경제정책국장은 “8월의 폭염, 9월의 잦은 강우와 태풍 곤파스 때문에 기상변화에 민감한 채소류 가격이 급등했다”며 “재배기간이 짧은 시금치 상추와 가을 무 배추가 본격적으로 출하되는 이달 중·하순에는 물가가 안정되기 시작할 것”이라고 밝혔다.

윤종원	윤종원/NNP
재정부	재정부/NNG
경제정책국장은	경제/NNG+정책국장/NNG+은/JX
“8월의	“/SS+8/SN+월/NNB+의/JKG
폭염,	폭염/NNG+,/SP
9월의	9/SN+월/NNB+의/JKG
잦은	잦/VA+은/ETM
강우와	강우/NNG+와/JC
태풍	태풍/NNG
곤파스	곤파스/NNG
때문에	때문/NNB+에/JKB
기상변화에	기상/NNG+변화/NNG+에/JKB
민감한	민감/NNG+하/XSA+ㄴ/ETM
채소류	채소/NNG+류/XSN
가격이	가격/NNG+이/JKS
급등했다”며	급등/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“재배기간이	“/SS+재배/NNG+기간/NNG+이/JKS
짧은	짧/VA+은/ETM
시금치	시금치/NNG
상추와	상추/NNG+와/JC
가을	가을/NNG
무	무/NNG
배추가	배추/NNG+가/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
출하되는	출하/NNG+되/XSV+는/ETM
이달	이달/NNG
중·하순에는	중·하순/NNG+에/JKB+는/JX
물가가	물가/NNG+가/JKS
안정되기	안정/NNG+되/XSV+기/ETN
시작할	시작/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.277.6.2
윤 국장은 “시금치 상추 등 일부 채소는 무더위가 끝나면서 도매가격이 이미 하락세로 돌아섰다”고 덧붙였다.

윤	윤/NNP
국장은	국장/NNG+은/JX
“시금치	“/SS+시금치/NNG
상추	상추/NNG
등	등/NNB
일부	일부/NNG
채소는	채소/NNG+는/JX
무더위가	무더위/NNG+가/JKS
끝나면서	끝나/VV+면서/EC
도매가격이	도매가격/NNG+이/JKS
이미	이미/MAG
하락세로	하락세/NNG+로/JKB
돌아섰다”고	돌아서/VV+었/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.277.7.1
■포장김치 값도 줄줄이… ‘종가집 김치’ 등 내주 15%쯤 인상할듯

■포장김치	■/SW+포장/NNG+김치/NNG
값도	값/NNG+도/JX
줄줄이…	줄줄이/MAG+…/SE
‘종가집	‘/SS+종가집/NNG
김치’	김치/NNG+’/SS
등	등/NNB
내주	내주/NNG
15%쯤	15/SN+%/SW+쯤/XSN
인상할듯	인상/NNG+하/XSV+ㄹ듯/EC


# id : NWRW1800000025.277.8.1
국내 포장김치 시장의 60%가량을 차지하는 ‘대상 종가집 김치’ 가격이 이르면 5일경 15% 정도 오를 것으로 전망된다.

국내	국내/NNG
포장김치	포장/NNG+김치/NNG
시장의	시장/NNG+의/JKG
60%가량을	60/SN+%/SW+가량/XSN+을/JKO
차지하는	차지/NNG+하/XSV+는/ETM
‘대상	‘/SS+대상/NNP
종가집	종가집/NNG
김치’	김치/NNG+’/SS
가격이	가격/NNG+이/JKS
이르면	이르/VA+면/EC
5일경	5/SN+일/NNB+경/XSN
15%	15/SN+%/SW
정도	정도/NNG
오를	오르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.277.9.1
1일 업계 관계자에 따르면 대상과 이마트는 이날 최종 협상에 들어가 가격 인상폭을 조율하고 있다.

1일	1/SN+일/NNB
업계	업계/NNG
관계자에	관계자/NNG+에/JKB
따르면	따르/VV+면/EC
대상과	대상/NNP+과/JC
이마트는	이마트/NNP+는/JX
이날	이날/NNG
최종	최종/NNG
협상에	협상/NNG+에/JKB
들어가	들어가/VV+아/EC
가격	가격/NNG
인상폭을	인상/NNG+폭/NNG+을/JKO
조율하고	조율/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.277.9.2
추석 연휴 전부터 가격 협상을 벌여온 양측은 최근 견해차가 상당히 줄어들어 현재 15∼17% 선에서 협상을 벌이고 있으며 인상 시기는 5∼7일이 될 것으로 보인다.

추석	추석/NNG
연휴	연휴/NNG
전부터	전/NNG+부터/JX
가격	가격/NNG
협상을	협상/NNG+을/JKO
벌여온	벌이/VV+어/EC+오/VX+ㄴ/ETM
양측은	양측/NNG+은/JX
최근	최근/NNG
견해차가	견해차/NNG+가/JKS
상당히	상당히/MAG
줄어들어	줄어들/VV+어/EC
현재	현재/MAG
15∼17%	15/SN+∼/SO+17/SN+%/SW
선에서	선/NNG+에서/JKB
벌이고	벌이/VV+고/EC
있으며	있/VX+으며/EC
인상	인상/NNG
시기는	시기/NNG+는/JX
5∼7일이	5/SN+∼/SO+7/SN+일/NNB+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.277.9.3
이렇게 되면 ‘종가집 김치’의 대표 상품인 2.3kg의 판매가(대형마트 기준)는 현재 1만4950원에서 1만7000원 선으로 오를 것으로 예상된다.

이렇게	이렇/VA+게/EC
되면	되/VV+면/EC
‘종가집	‘/SS+종가집/NNG
김치’의	김치/NNG+’/SS+의/JKG
대표	대표/NNG
상품인	상품/NNG+이/VCP+ㄴ/ETM
2.3kg의	2/SN+./SP+3/SN+kg/SW+의/JKG
판매가(대형마트	판매/NNG+가/XSN+(/SS+대형/NNG+마트/NNG
기준)는	기준/NNG+)/SS+는/JX
현재	현재/MAG
1만4950원에서	1/SN+만/NR+4950/SN+원/NNB+에서/JKB
1만7000원	1/SN+만/NR+7000/SN+원/NNB
선으로	선/NNG+으로/JKB
오를	오르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.277.9.4
대상 측은 배추가격 급등에 따른 원가 인상을 반영해 당초 30% 이상 인상을 요구했지만 협상 과정에서 인상폭을 줄이기로 결정했다.

대상	대상/NNP
측은	측/NNB+은/JX
배추가격	배추/NNG+가격/NNG
급등에	급등/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
원가	원가/NNG
인상을	인상/NNG+을/JKO
반영해	반영/NNG+하/XSV+아/EC
당초	당초/NNG
30%	30/SN+%/SW
이상	이상/NNG
요구했지만	요구/NNG+하/XSV+았/EP+지만/EC
협상	협상/NNG
과정에서	과정/NNG+에서/JKB
인상폭을	인상/NNG+폭/NNG+을/JKO
줄이기로	줄이/VV+기/ETN+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.277.9.5
대상은 이마트와의 가격 협상 결과에 따라 슈퍼마켓 편의점 등 다른 유통채널의 가격 인상폭도 결정할 예정이다.

대상은	대상/NNP+은/JX
이마트와의	이마트/NNP+와/JKB+의/JKG
가격	가격/NNG
협상	협상/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
슈퍼마켓	슈퍼마켓/NNG
편의점	편의점/NNG
등	등/NNB
다른	다른/MMD
유통채널의	유통/NNG+채널/NNG+의/JKG
인상폭도	인상/NNG+폭/NNG+도/JX
결정할	결정/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.277.10.1
가격이 오르더라도 당분간 포장김치를 사는 것도 어려울 것으로 보인다.

가격이	가격/NNG+이/JKS
오르더라도	오르/VV+더라도/EC
당분간	당분간/MAG
포장김치를	포장/NNG+김치/NNG+를/JKO
사는	사/VV+는/ETM
것도	것/NNB+도/JX
어려울	어렵/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.277.10.2
대부분 포장김치 업체의 생산량이 절반 이하로 줄어든 상태인 데다 배추 작황 전망도 좋지 않기 때문이다.

대부분	대/XPN+부분/NNG
포장김치	포장/NNG+김치/NNG
업체의	업체/NNG+의/JKG
생산량이	생산량/NNG+이/JKS
절반	절반/NNG
이하로	이하/NNG+로/JKB
줄어든	줄어들/VV+ㄴ/ETM
상태인	상태/NNG+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
배추	배추/NNG
작황	작황/NNG
전망도	전망/NNG+도/JX
좋지	좋/VA+지/EC
않기	않/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.277.11.1
이에 앞서 농협은 ‘아름찬 김치’를 지난달 29일부터 20%가량 인상했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
농협은	농협/NNP+은/JX
‘아름찬	‘/SS+아름차/VA+ㄴ/ETM
김치’를	김치/NNG+’/SS+를/JKO
지난달	지난달/NNG
29일부터	29/SN+일/NNB+부터/JX
20%가량	20/SN+%/SW+가량/XSN
인상했다.	인상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.277.11.2
풀무원, CJ, 동원F&B 등 다른 포장김치 업체들도 10∼20% 가격을 인상할 예정으로 인상 시기를 저울질하고 있다.

풀무원,	풀무원/NNP+,/SP
CJ,	CJ/SL+,/SP
동원F&B	동원F&B/NNP
등	등/NNB
다른	다른/MMD
포장김치	포장/NNG+김치/NNG
업체들도	업체/NNG+들/XSN+도/JX
10∼20%	10/SN+∼/SO+20/SN+%/SW
가격을	가격/NNG+을/JKO
인상할	인상/NNG+하/XSV+ㄹ/ETM
예정으로	예정/NNG+으로/JKB
인상	인상/NNG
시기를	시기/NNG+를/JKO
저울질하고	저울/NNG+질/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.277.12.1
■배추 도둑까지 설치니… 고랭지밭-도심텃밭-주말농장 모두 표적

■배추	■/SW+배추/NNG
도둑까지	도둑/NNG+까지/JX
설치니…	설치/VV+니/EC+…/SE
고랭지밭-도심텃밭-주말농장	고랭지/NNG+밭/NNG+-/SO+도심/NNG+텃밭/NNG+-/SO+주말농장/NNG
모두	모두/MAG
표적	표적/NNG


# id : NWRW1800000025.277.13.1
배추 가격이 천정부지로 치솟으면서 배추 등 채소 도둑이 기승을 부리고 있다.

배추	배추/NNG
가격이	가격/NNG+이/JKS
천정부지로	천정부지/NNG+로/JKB
치솟으면서	치솟/VV+으면서/EC
등	등/NNB
채소	채소/NNG
도둑이	도둑/NNG+이/JKS
기승을	기승/NNG+을/JKO
부리고	부리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.277.13.2
강원 평창경찰서는 1일 고랭지 배추 400여 포기를 훔친 혐의(특수절도)로 이모 씨(73)와 채모 씨(65) 등 3명을 붙잡아 조사하고 있다.

강원	강원/NNP
평창경찰서는	평창경찰서/NNP+는/JX
1일	1/SN+일/NNB
고랭지	고랭지/NNG
배추	배추/NNG
400여	400/SN+여/XSN
포기를	포기/NNG+를/JKO
훔친	훔치/VV+ㄴ/ETM
혐의(특수절도)로	혐의/NNG+(/SS+특수/NNG+절도/NNG+)/SS+로/JKB
이모	이/NNP+모/NP
씨(73)와	씨/NNB+(/SS+73/SN+)/SS+와/JC
채모	채/NNP+모/NP
씨(65)	씨/NNB+(/SS+65/SN+)/SS
등	등/NNB
3명을	3/SN+명/NNB+을/JKO
붙잡아	붙잡/VV+아/EC
조사하고	조사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.277.13.3
경찰에 따르면 이 씨 등은 지난달 30일 낮 12시 17분경 평창군 용평면 어모 씨(63)의 고랭지 배추밭에서 주인이 없는 틈을 타 42만 원 상당의 배추 420여 포기를 1t 화물차에 싣고 달아나려 한 혐의를 받고 있다.

경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
이	이/NNP
씨	씨/NNB
등은	등/NNB+은/JX
지난달	지난달/NNG
30일	30/SN+일/NNB
낮	낮/NNG
12시	12/SN+시/NNB
17분경	17/SN+분/NNB+경/XSN
평창군	평창군/NNP
용평면	용평면/NNP
어모	어/NNP+모/NP
씨(63)의	씨/NNB+(/SS+63/SN+)/SS+의/JKG
고랭지	고랭지/NNG
배추밭에서	배추밭/NNG+에서/JKB
주인이	주인/NNG+이/JKS
없는	없/VA+는/ETM
틈을	틈/NNG+을/JKO
타	타/VV+아/EC
42만	42/SN+만/NR
원	원/NNB
상당의	상당/NNG+의/JKG
배추	배추/NNG
420여	420/SN+여/XSN
포기를	포기/NNG+를/JKO
1t	1/SN+t/SW
화물차에	화물차/NNG+에/JKB
싣고	싣/VV+고/EC
달아나려	달아나/VV+려/EC
한	하/VX+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.277.13.4
이 씨 등은 훔친 배추를 포대 자루에 넣고 나서 채 씨의 1t 화물차에 옮겨 싣던 중 밭주인인 어 씨에게 발각돼 덜미가 잡혔다.

이	이/NNP
씨	씨/NNB
등은	등/NNB+은/JX
훔친	훔치/VV+ㄴ/ETM
배추를	배추/NNG+를/JKO
포대	포대/NNG
자루에	자루/NNG+에/JKB
넣고	넣/VV+고/EC
나서	나/VX+아서/EC
채	채/NNP
씨의	씨/NNB+의/JKG
1t	1/SN+t/SW
화물차에	화물차/NNG+에/JKB
옮겨	옮기/VV+어/EC
싣던	싣/VV+던/ETM
중	중/NNB
밭주인인	밭주인/NNG+이/VCP+ㄴ/ETM
어	어/NNP
씨에게	씨/NNB+에게/JKB
발각돼	발각/NNG+되/XSV+어/EC
덜미가	덜미/NNG+가/JKS
잡혔다.	잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.277.14.1
도심 주변 텃밭이나 주말농장에서 가꾼 채소도 절도범들의 표적이 되고 있다.

도심	도심/NNG
주변	주변/NNG
텃밭이나	텃밭/NNG+이나/JC
주말농장에서	주말농장/NNG+에서/JKB
가꾼	가꾸/VV+ㄴ/ETM
채소도	채소/NNG+도/JX
절도범들의	절도범/NNG+들/XSN+의/JKG
표적이	표적/NNG+이/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.277.14.2
지난달 28일 경기 수원시 장안구 파장동에서 송모 씨(78·여)가 텃밭에 파종한 배추모종 120여 개를 도둑맞았다.

지난달	지난달/NNG
28일	28/SN+일/NNB
경기	경기/NNP
수원시	수원시/NNP
장안구	장안구/NNP
파장동에서	파장동/NNP+에서/JKB
송모	송/NNP+모/NP
씨(78·여)가	씨/NNB+(/SS+78/SN+·/SP+여/NNG+)/SS+가/JKS
텃밭에	텃밭/NNG+에/JKB
파종한	파종/NNG+하/XSV+ㄴ/ETM
배추모종	배추/NNG+모종/NNG
120여	120/SN+여/XSN
개를	개/NNB+를/JKO
도둑맞았다.	도둑맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.277.14.3
수원시 광교산에서 650m²(약 200평) 규모의 텃밭을 가꾸는 유재원 씨(67)는 “요즘 들어 자라지도 않은 배추를 훔쳐가는 일이 종종 발생하고 있다”며 “혹시 몰라 울타리를 치고 잠금장치도 새로 달았다”고 말했다.

수원시	수원시/NNP
광교산에서	광교산/NNP+에서/JKB
650m²(약	650/SN+m²/SW+(/SS+약/MMA
200평)	200/SN+평/NNB+)/SS
규모의	규모/NNG+의/JKG
텃밭을	텃밭/NNG+을/JKO
가꾸는	가꾸/VV+는/ETM
유재원	유재원/NNP
씨(67)는	씨/NNB+(/SS+67/SN+)/SS+는/JX
“요즘	“/SS+요즘/NNG
들어	들/VV+어/EC
자라지도	자라/VV+지/EC+도/JX
않은	않/VX+은/ETM
배추를	배추/NNG+를/JKO
훔쳐가는	훔치/VV+어/EC+가/VX+는/ETM
일이	일/NNG+이/JKS
종종	종종/MAG
발생하고	발생/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“혹시	“/SS+혹시/MAG
몰라	모르/VV+아/EC
울타리를	울타리/NNG+를/JKO
치고	치/VV+고/EC
잠금장치도	잠금장치/NNG+도/JX
새로	새로/MAG
달았다”고	달/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.277.15.1
■수입량 늘리는 수밖에… 정부 “배추 관세 없애고 中서 긴급수입”

■수입량	■/SW+수입량/NNG
늘리는	늘리/VV+는/ETM
수밖에…	수/NNB+밖에/JX+…/SE
정부	정부/NNG
“배추	“/SS+배추/NNG
관세	관세/NNG
없애고	없애/VV+고/EC
中서	中/SH+서/JKB
긴급수입”	긴급/NNG+수입/NNG+”/SS


# id : NWRW1800000025.277.16.1
치솟은 배추 가격 안정을 위해 정부가 배추 수입 시 적용하는 관세를 한시적으로 폐지하는 한편 중국산 배추를 추가 수입하는 방안을 검토하기로 했다.

치솟은	치솟/VV+은/ETM
배추	배추/NNG
가격	가격/NNG
안정을	안정/NNG+을/JKO
위해	위하/VV+아/EC
정부가	정부/NNG+가/JKS
수입	수입/NNG
시	시/NNB
적용하는	적용/NNG+하/XSV+는/ETM
관세를	관세/NNG+를/JKO
한시적으로	한시/NNG+적/XSN+으로/JKB
폐지하는	폐지/NNG+하/XSV+는/ETM
한편	한편/NNG
중국산	중국/NNP+산/XSN
배추를	배추/NNG+를/JKO
추가	추가/NNG
수입하는	수입/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토하기로	검토/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.277.17.1
농림수산식품부는 이 같은 내용을 담은 ‘김장철 배추 등 채소류 가격 안정대책’을 1일 발표했다.

농림수산식품부는	농림/NNG+수산/NNG+식품부/NNG+는/JX
이	이/NP
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
‘김장철	‘/SS+김장철/NNG
배추	배추/NNG
등	등/NNB
채소류	채소/NNG+류/XSN
가격	가격/NNG
안정대책’을	안정/NNG+대책/NNG+’/SS+을/JKO
1일	1/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.277.17.2
우선 정부는 10월 중국에서 배추 100t, 무 50t을 긴급 수입하기로 했다.

우선	우선/MAG
정부는	정부/NNG+는/JX
10월	10/SN+월/NNB
중국에서	중국/NNP+에서/JKB
배추	배추/NNG
100t,	100/SN+t/SW+,/SP
무	무/NNG
50t을	50/SN+t/SW+을/JKO
긴급	긴급/NNG
수입하기로	수입/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.277.17.3
농식품부는 “국내 수급 상황이 계속 좋지 않을 경우 추가 수입도 검토하고 있다”고 덧붙였다.

농식품부는	농식품부/NNG+는/JX
“국내	“/SS+국내/NNG
수급	수급/NNG
상황이	상황/NNG+이/JKS
계속	계속/MAG
좋지	좋/VA+지/EC
않을	않/VX+을/ETM
경우	경우/NNG
추가	추가/NNG
수입도	수입/NNG+도/JX
검토하고	검토/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.277.17.4
현재 각각 27%, 30%인 배추와 무의 수입 관세를 한시적으로 없앤다.

현재	현재/MAG
각각	각각/MAG
27%,	27/SN+%/SW+,/SP
30%인	30/SN+%/SW+이/VCP+ㄴ/ETM
배추와	배추/NNG+와/JC
무의	무/NNG+의/JKG
수입	수입/NNG
관세를	관세/NNG+를/JKO
한시적으로	한시/NNG+적/XSN+으로/JKB
없앤다.	없애/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.277.17.5
통상 1∼4월에 출하되는 월동배추의 출하시기를 12월로 앞당겨 가을배추 수요를 대체하기로 했다.

통상	통상/NNG
1∼4월에	1/SN+∼/SO+4/SN+월/NNB+에/JKB
출하되는	출하/NNG+되/XSV+는/ETM
월동배추의	월동/NNG+배추/NNG+의/JKG
출하시기를	출하/NNG+시기/NNG+를/JKO
12월로	12/SN+월/NNB+로/JKB
앞당겨	앞당기/VV+어/EC
가을배추	가을배추/NNG
수요를	수요/NNG+를/JKO
대체하기로	대체/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.277.17.6
