# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.29
metadata : {}


# id : NWRW1800000049.29.1.1
[위기관리 경영]‘성장 절벽’ 이동통신 시장 ‘플랫폼 개방’으로 돌파

[위기관리	[/SS+위기관리/NNG
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
클라우드	클라우드/NNG
서비스인	서비스/NNG+이/VCP+ㄴ/ETM
클라우드베리도	클라우드베리/NNP+도/JX
선보여	선보이/VV+어/EC
플랫폼	플랫폼/NNG
개방	개방/NNG
기세를	기세/NNG+를/JKO
몰아가고	몰아가/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.29.7.1
SK텔레콤이 추진하는 플랫폼 개방의 목적은 단순히 매출과 수익성 개선이 아니라 고객이 이용하는 수많은 생활, 산업 영역에서 고객의 편익을 향상시키고 비용을 절감하는 등의 혁신 가치를 창출하는 것이다.

SK텔레콤이	SK텔레콤/NNP+이/JKS
추진하는	추진/NNG+하/XSV+는/ETM
플랫폼	플랫폼/NNG
개방의	개방/NNG+의/JKG
목적은	목적/NNG+은/JX
단순히	단순히/MAG
매출과	매출/NNG+과/JC
수익성	수익/NNG+성/XSN
개선이	개선/NNG+이/JKS
아니라	아니/VCN+라/EC
고객이	고객/NNG+이/JKS
이용하는	이용/NNG+하/XSV+는/ETM
수많은	수많/VA+은/ETM
생활,	생활/NNG+,/SP
산업	산업/NNG
영역에서	영역/NNG+에서/JKB
고객의	고객/NNG+의/JKG
편익을	편익/NNG+을/JKO
향상시키고	향상/NNG+시키/XSV+고/EC
비용을	비용/NNG+을/JKO
절감하는	절감/NNG+하/XSV+는/ETM
등의	등/NNB+의/JKG
혁신	혁신/NNG
가치를	가치/NNG+를/JKO
창출하는	창출/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.29.7.2
SK텔레콤은 이를 바탕으로 위기를 극복해 나갈 계획이다.

SK텔레콤은	SK텔레콤/NNP+은/JX
이를	이/NP+를/JKO
바탕으로	바탕/NNG+으로/JKB
위기를	위기/NNG+를/JKO
극복해	극복/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.29.8.1
SK텔레콤 관계자는 “플랫폼 사업을 추진해 가입자를 확산시키고 플랫폼별로 SK텔레콤만의 차별점을 지속 구축할 예정”이라며 “이를 통해 주주, 고객, 사회로부터 미래가치를 인정받을 수 있는 ‘신성장동력’을 마련하는 데 주력할 것”이라고 말했다.

SK텔레콤	SK텔레콤/NNP
관계자는	관계자/NNG+는/JX
“플랫폼	“/SS+플랫폼/NNG
사업을	사업/NNG+을/JKO
추진해	추진/NNG+하/XSV+아/EC
가입자를	가입자/NNG+를/JKO
확산시키고	확산/NNG+시키/XSV+고/EC
플랫폼별로	플랫폼/NNG+별/XSN+로/JKB
SK텔레콤만의	SK텔레콤/NNP+만/JX+의/JKG
차별점을	차별점/NNG+을/JKO
지속	지속/NNG
구축할	구축/NNG+하/XSV+ㄹ/ETM
예정”이라며	예정/NNG+”/SS+이/VCP+라며/EC
“이를	“/SS+이/NP+를/JKO
통해	통하/VV+아/EC
주주,	주주/NNG+,/SP
고객,	고객/NNG+,/SP
사회로부터	사회/NNG+로부터/JKB
미래가치를	미래/NNG+가치/NNG+를/JKO
인정받을	인정/NNG+받/XSV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
‘신성장동력’을	‘/SS+신/XPN+성장/NNG+동력/NNG+’/SS+을/JKO
마련하는	마련/NNG+하/XSV+는/ETM
데	데/NNB
주력할	주력/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


