# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.115
metadata : {}


# id : NWRW1800000041.115.1.1
재미작가 김지원 1주기 맞아 ‘소설 선집’ 총 3권 출간

재미작가	재미/NNG+작가/NNG
있는	있/VA+는/ETM
선물이	선물/NNG+이/JKS
이것뿐이기	이것/NP+뿐/JX+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.115.5.4
지나온 날들에 대한 회한, 뉘우침, 수치감 같은 것이 가슴을 짓누르고 있기에 흔적을 지우고 싶어 하는 언니에 대해 공감하지 않는 것은 아니면서도, 이 세상이 아닌 영혼계에서의 사고는 다르리라, 허용하리라, 유추해 보며”라고 출간 배경을 밝혔다.

지나온	지나오/VV+ㄴ/ETM
날들에	날/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
회한,	회한/NNG+,/SP
뉘우침,	뉘우침/NNG+,/SP
수치감	수치감/NNG
같은	같/VA+은/ETM
것이	것/NNB+이/JKS
가슴을	가슴/NNG+을/JKO
짓누르고	짓누르/VV+고/EC
있기에	있/VX+기에/EC
흔적을	흔적/NNG+을/JKO
지우고	지우/VV+고/EC
싶어	싶/VX+어/EC
하는	하/VX+는/ETM
언니에	언니/NNG+에/JKB
대해	대하/VV+아/EC
공감하지	공감/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
것은	것/NNB+은/JX
아니면서도,	아니/VCN+면서/EC+도/JX+,/SP
이	이/MMD
세상이	세상/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
영혼계에서의	영혼/NNG+계/XSN+에서/JKB+의/JKG
사고는	사고/NNG+는/JX
다르리라,	다르/VA+리라/EF+,/SP
허용하리라,	허용/NNG+하/XSV+리라/EF+,/SP
유추해	유추/NNG+하/XSV+아/EC
보며”라고	보/VX+며/EC+”/SS+라고/JKQ
출간	출간/NNG
배경을	배경/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.115.6.1
이번 선집은 한 작가의 선집이나 전집에서 작품을 연대순으로 수록하는 틀에서 벗어나 각 권마다 그의 작품 세계에서 초·중·후기에 해당하는 중단편을 고르게 수록했다.

이번	이번/NNG
선집은	선집/NNG+은/JX
한	한/MMN
작가의	작가/NNG+의/JKG
선집이나	선집/NNG+이나/JC
전집에서	전집/NNG+에서/JKB
작품을	작품/NNG+을/JKO
연대순으로	연대순/NNG+으로/JKB
수록하는	수록/NNG+하/XSV+는/ETM
틀에서	틀/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
각	각/MMD
권마다	권/NNB+마다/JX
그의	그/NP+의/JKG
작품	작품/NNG
세계에서	세계/NNG+에서/JKB
초·중·후기에	초·중·후기/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
중단편을	중단편/NNG+을/JKO
고르게	고르/VA+게/EC
수록했다.	수록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.115.6.2
동생이 소장해 온 작가 사진 30여 점, 두 아들이 쓴 글, 문우(文友)인 소설가 이제하 서영은, 시인 문정희의 글을 함께 실었다.

동생이	동생/NNG+이/JKS
소장해	소장/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
작가	작가/NNG
사진	사진/NNG
30여	30/SN+여/XSN
점,	점/NNB+,/SP
두	두/MMN
아들이	아들/NNG+이/JKS
쓴	쓰/VV+ㄴ/ETM
글,	글/NNG+,/SP
문우(文友)인	문우/NNG+(/SS+文友/SH+)/SS+이/VCP+ㄴ/ETM
소설가	소설가/NNG
이제하	이제하/NNP
서영은,	서영은/NNP+,/SP
시인	시인/NNG
문정희의	문정희/NNP+의/JKG
글을	글/NNG+을/JKO
함께	함께/MAG
실었다.	싣/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.115.6.3
이제하는 “호기심 강한 체질이 이 좁은 나라에서는 도저히 채울 수 없는 갈증 때문에 뉴욕 같은 이방으로 그녀를 내몰았을지도 모르고 그런 낯선 풍습에 혼융된 감성은 각별한 아취마저 자아내고 있지만 그녀가 일생 파고든 정한의 근거는 늘 이 나라였다”고 적었다.

이제하는	이제하/NNP+는/JX
“호기심	“/SS+호기심/NNG
강한	강하/VA+ㄴ/ETM
체질이	체질/NNG+이/JKS
이	이/MMD
좁은	좁/VA+은/ETM
나라에서는	나라/NNG+에서/JKB+는/JX
도저히	도저히/MAG
채울	채우/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
갈증	갈증/NNG
때문에	때문/NNB+에/JKB
뉴욕	뉴욕/NNP
같은	같/VA+은/ETM
이방으로	이방/NNG+으로/JKB
그녀를	그녀/NP+를/JKO
내몰았을지도	내몰/VV+았/EP+을지/EF+도/JX
모르고	모르/VV+고/EC
그런	그런/MMD
낯선	낯설/VA+ㄴ/ETM
풍습에	풍습/NNG+에/JKB
혼융된	혼융/NNG+되/XSV+ㄴ/ETM
감성은	감성/NNG+은/JX
각별한	각별/NNG+하/XSA+ㄴ/ETM
아취마저	아취/NNG+마저/JX
자아내고	자아내/VV+고/EC
있지만	있/VX+지만/EC
그녀가	그녀/NP+가/JKS
일생	일생/NNG
파고든	파고들/VV+ㄴ/ETM
정한의	정한/NNG+의/JKG
근거는	근거/NNG+는/JX
늘	늘/MAG
나라였다”고	나라/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.115.7.1
1권의 표지는 이제하가 그린 캐리커처, 2권은 소설가 김승옥이 보낸 편지, 3권은 시인 김영태가 단편 ‘한밤 나그네’를 읽고 보낸 편지 및 그림으로 꾸몄다.

1권의	1/SN+권/NNB+의/JKG
표지는	표지/NNG+는/JX
이제하가	이제하/NNP+가/JKS
그린	그리/VV+ㄴ/ETM
캐리커처,	캐리커처/NNG+,/SP
2권은	2/SN+권/NNB+은/JX
소설가	소설가/NNG
김승옥이	김승옥/NNP+이/JKS
보낸	보내/VV+ㄴ/ETM
편지,	편지/NNG+,/SP
3권은	3/SN+권/NNB+은/JX
시인	시인/NNG
김영태가	김영태/NNP+가/JKS
단편	단편/NNG
‘한밤	‘/SS+한/XPN+밤/NNG
나그네’를	나그네/NNG+’/SS+를/JKO
읽고	읽/VV+고/EC
편지	편지/NNG
및	및/MAG
그림으로	그림/NNG+으로/JKB
꾸몄다.	꾸미/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.115.7.2
김지원의 문학 세계를 더 많은 독자와 나누고자 하는 유족의 뜻에 따라 이번 선집은 출간 뒤 1년 동안 권당 5000원의 특별 보급가로 판매된다.

김지원의	김지원/NNP+의/JKG
문학	문학/NNG
세계를	세계/NNG+를/JKO
더	더/MAG
많은	많/VA+은/ETM
독자와	독자/NNG+와/JKB
나누고자	나누/VV+고자/EC
하는	하/VX+는/ETM
유족의	유족/NNG+의/JKG
뜻에	뜻/NNG+에/JKB
따라	따르/VV+아/EC
이번	이번/NNG
선집은	선집/NNG+은/JX
출간	출간/NNG
뒤	뒤/NNG
1년	1/SN+년/NNB
동안	동안/NNG
권당	권/NNB+당/XSN
5000원의	5000/SN+원/NNB+의/JKG
특별	특별/NNG
보급가로	보급/NNG+가/XSN+로/JKB
판매된다.	판매/NNG+되/XSV+ㄴ다/EF+./SF


