# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.419
metadata : {}


# id : NWRW1800000038.419.1.1
敎文委 소속 서상기, 피감기관 증인석에 앉은 까닭은?

敎文委	敎文委/SH
체육·문화 분야 기관장을 겸한 의원이 여럿 있지만, 서 의원처럼 자기 상임위 산하 피감 기관장인 경우는 없다.

체육·문화	체육/NNG+·/SP+문화/NNG
분야	분야/NNG
기관장을	기관장/NNG+을/JKO
겸한	겸/NNB+하/XSV+ㄴ/ETM
의원이	의원/NNG+이/JKS
여럿	여럿/NNG
있지만,	있/VA+지만/EC+,/SP
서	서/NNP
의원처럼	의원/NNG+처럼/JKB
자기	자기/NP
상임위	상임위/NNG
산하	산하/NNG
피감	피감/NNG
기관장인	기관장/NNG+이/VCP+ㄴ/ETM
경우는	경우/NNG+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.419.4.2
서 의원은 감독자와 피감자라는 두 신분을 다 갖고 있지만, 이날 여야 간사 합의로 피감 기관장 신분으로만 국감에 참여하게 됐다.

서	서/NNP
의원은	의원/NNG+은/JX
감독자와	감독자/NNG+와/JC
피감자라는	피감자/NNG+이/VCP+라는/ETM
두	두/MMN
신분을	신분/NNG+을/JKO
다	다/MAG
갖고	갖/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
이날	이날/NNG
여야	여야/NNG
간사	간사/NNG
합의로	합의/NNG+로/JKB
피감	피감/NNG
기관장	기관장/NNG
신분으로만	신분/NNG+으로/JKB+만/JX
국감에	국감/NNG+에/JKB
참여하게	참여/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.419.5.1
하지만 감사 시작부터 여야 공방이 벌어졌다.

하지만	하지만/MAJ
감사	감사/NNG
시작부터	시작/NNG+부터/JX
여야	여야/NNG
공방이	공방/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.419.5.2
야당에선 "상임위를 사·보임(일시적으로 바꾸는 것)하든지, 하루빨리 국민생활체육회 회장직에서 사임하라. '셀프(self)' 국감도 아니고 이게 뭐냐"고 했다.

야당에선	야당/NNG+에서/JKB+ㄴ/JX
"상임위를	"/SS+상임위/NNG+를/JKO
사·보임(일시적으로	사·보임/NNG+(/SS+일시/NNG+적/XSN+으로/JKB
바꾸는	바꾸/VV+는/ETM
것)하든지,	것/NNB+)/SS+하/XSV+든지/EC+,/SP
하루빨리	하루빨리/MAG
국민생활체육회	국민/NNG+생활/NNG+체육회/NNG
회장직에서	회장직/NNG+에서/JKB
사임하라.	사임/NNG+하/XSV+라/EF+./SF
'셀프(self)'	'/SS+셀프/NNG+(/SS+self/SL+)/SS+'/SS
국감도	국감/NNG+도/JX
아니고	아니/VCN+고/EC
이게	이거/NP+이/JKS
뭐냐"고	뭐/NP+이/VCP+냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.419.5.3
반면 새누리당은 "생체협은 당초 문화방송위 산하였는데, 정부조직법 개편으로 '문화'가 교육과학위로 오면서 같은 상임위가 된 것 아니냐. 서 의원이 의도한 게 아니다"고 했다.

반면	반면/NNG
새누리당은	새누리당/NNP+은/JX
"생체협은	"/SS+생체협/NNG+은/JX
당초	당초/NNG
문화방송위	문화방송위/NNG
산하였는데,	산하/NNG+이/VCP+었/EP+는데/EC+,/SP
정부조직법	정부/NNG+조직법/NNG
개편으로	개편/NNG+으로/JKB
'문화'가	'/SS+문화/NNG+'/SS+가/JKS
교육과학위로	교육과학위/NNG+로/JKB
오면서	오/VV+면서/EC
같은	같/VA+은/ETM
상임위가	상임위/NNG+가/JKC
된	되/VV+ㄴ/ETM
것	것/NNB
아니냐.	아니/VCN+냐/EF+./SF
서	서/NNP
의원이	의원/NNG+이/JKS
의도한	의도/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKC
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.419.6.1
감사 시작 때 서 의원이 새누리당 상징색인 빨간색 넥타이를 한 것도 지적을 받았다.

감사	감사/NNG
시작	시작/NNG
때	때/NNG
서	서/NNP
의원이	의원/NNG+이/JKS
새누리당	새누리당/NNP
상징색인	상징색/NNG+이/VCP+ㄴ/ETM
빨간색	빨간색/NNG
넥타이를	넥타이/NNG+를/JKO
한	하/VV+ㄴ/ETM
것도	것/NNB+도/JX
지적을	지적/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.419.6.2
민주당 안민석 의원이 "왜 특정 정당 색깔의 넥타이를 했느냐. 야당을 자극하려는 것으로 오해할 수 있다"고 하자, 서 의원은 곧바로 넥타이를 풀었다.

민주당	민주당/NNP
안민석	안민석/NNP
의원이	의원/NNG+이/JKS
"왜	"/SS+왜/MAG
특정	특정/NNG
정당	정당/NNG
색깔의	색깔/NNG+의/JKG
넥타이를	넥타이/NNG+를/JKO
했느냐.	하/VV+았/EP+느냐/EF+./SF
야당을	야당/NNG+을/JKO
자극하려는	자극/NNG+하/XSV+려는/ETM
것으로	것/NNB+으로/JKB
오해할	오해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
하자,	하/VV+자/EC+,/SP
서	서/NNP
의원은	의원/NNG+은/JX
곧바로	곧바로/MAG
풀었다.	풀/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.419.6.3
오후에는 아예 분홍색 넥타이로 바꿨다.

오후에는	오후/NNG+에/JKB+는/JX
아예	아예/MAG
분홍색	분홍색/NNG
넥타이로	넥타이/NNG+로/JKB
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.419.7.1
한편 이날 야당 의원들은 서 의원이 문화부로부터 매달 판공비 500만원을 현금으로 받았다는 의혹을 제기했다.

한편	한편/MAG
이날	이날/NNG
야당	야당/NNG
의원들은	의원/NNG+들/XSN+은/JX
서	서/NNP
의원이	의원/NNG+이/JKS
문화부로부터	문화부/NNG+로부터/JKB
매달	매달/MAG
판공비	판공비/NNG
500만원을	500/SN+만/NR+원/NNB+을/JKO
현금으로	현금/NNG+으로/JKB
받았다는	받/VV+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.419.7.2
서 의원은 "현금을 직접 받은 게 아니라 생체협 명의 계좌로 입금된 판공비를 생체협 법인카드를 통해 사용한 것"이라고 했다.

서	서/NNP
의원은	의원/NNG+은/JX
"현금을	"/SS+현금/NNG+을/JKO
직접	직접/MAG
받은	받/VV+은/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
생체협	생체협/NNG
명의	명의/NNG
계좌로	계좌/NNG+로/JKB
입금된	입금/NNG+되/XSV+ㄴ/ETM
판공비를	판공비/NNG+를/JKO
법인카드를	법인/NNG+카드/NNG+를/JKO
통해	통하/VV+아/EC
사용한	사용/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


