# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.85
metadata : {}


# id : NWRW1800000038.85.1.1
'김 병사' 왜 이리 웃겨?… 요즘 예능, 일반인 출연자 뜬다

'김	'/SS+김/NNP
천연의	천연/NNG+의/JKG
맛에	맛/NNG+에/JKB
끌리는	끌리/VV+는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"알려지지	"/SS+알려지/VV+지/EC
않은	않/VX+은/ETM
일반인들의	일반인/NNG+들/XSN+의/JKG
모습이	모습/NNG+이/JKS
포맷과	포맷/NNG+과/JKB
잘	잘/MAG
맞아떨어지면	맞아떨어지/VV+면/EC
연예인	연예인/NNG
못지않은	못지않/VA+은/ETM
파괴력을	파괴력/NNG+을/JKO
낼	내/VV+ㄹ/ETM
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.85.4.8
'우리동네 예체능' 유호진 PD는 "지난달 2일 방송을 탄 광주광역시 쌍촌동 볼링팀 손원호씨를 잊을 수가 없다. 열두 번 연속 스트라이크를 쳤는데, 연예인보다 방송 분량을 많이 내보낼 수밖에 없게끔 얘기를 만들어주더라"고 말했다.

'우리동네	'/SS+우리/NP+동네/NNG
예체능'	예체능/NNG+'/SS
유호진	유호진/NNP
PD는	PD/SL+는/JX
"지난달	"/SS+지난달/NNG
2일	2/SN+일/NNB
방송을	방송/NNG+을/JKO
탄	타/VV+ㄴ/ETM
광주광역시	광주광역시/NNP
쌍촌동	쌍촌동/NNP
볼링팀	볼링/NNG+팀/NNG
손원호씨를	손원호/NNP+씨/NNB+를/JKO
잊을	잊/VV+을/ETM
수가	수/NNB+가/JKS
없다.	없/VA+다/EF+./SF
열두	열두/MMN
번	번/NNB
연속	연속/NNG
스트라이크를	스트라이크/NNG+를/JKO
쳤는데,	치/VV+었/EP+는데/EC+,/SP
연예인보다	연예인/NNG+보다/JKB
방송	방송/NNG
분량을	분량/NNG+을/JKO
많이	많이/MAG
내보낼	내보내/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없게끔	없/VA+게끔/EC
얘기를	얘기/NNG+를/JKO
만들어주더라"고	만들/VV+어/EC+주/VX+더라/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.85.4.9
토크쇼도 마찬가지.

토크쇼도	토크쇼/NNG+도/JX
마찬가지.	마찬가지/NNG+./SF


# id : NWRW1800000038.85.4.10
KBS '안녕하세요'도 일반인 한 명이 연예인들 사이에 앉아 고민을 털어놓고, 이를 주제로 대화가 진행된다.

KBS	KBS/SL
'안녕하세요'도	'/SS+안녕/NNG+하/XSA+시/EP+어요/EF+'/SS+도/JX
일반인	일반인/NNG
한	한/MMN
명이	명/NNB+이/JKS
연예인들	연예인/NNG+들/XSN
사이에	사이/NNG+에/JKB
앉아	앉/VV+아/EC
고민을	고민/NNG+을/JKO
털어놓고,	털어놓/VV+고/EC+,/SP
이를	이/NP+를/JKO
주제로	주제/NNG+로/JKB
대화가	대화/NNG+가/JKS
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.85.4.11
KBS 한동규 PD는 "리얼버라이어티뿐 아니라 토크쇼에서도 '리얼리티'는 공감과 소재 확장 면에서 중요한 요소"라고 말했다.

KBS	KBS/SL
한동규	한동규/NNP
PD는	PD/SL+는/JX
"리얼버라이어티뿐	"/SS+리얼/NNG+버라이어티/NNG+뿐/JX
아니라	아니/VCN+라/EC
토크쇼에서도	토크쇼/NNG+에서/JKB+도/JX
'리얼리티'는	'/SS+리얼리티/NNG+'/SS+는/JX
공감과	공감/NNG+과/JC
소재	소재/NNG
확장	확장/NNG
면에서	면/NNG+에서/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
요소"라고	요소/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.85.4.12
여러 쌍의 연예인과 일반인 엄마를 초대해 이야길 나누는 KBS '해피선데이―맘마미아'는 25일 방영분에선 4명이었던 스타들의 어머니를 7명으로 늘렸다.

여러	여러/MMN
쌍의	쌍/NNG+의/JKG
연예인과	연예인/NNG+과/JKB
일반인	일반인/NNG
엄마를	엄마/NNG+를/JKO
초대해	초대/NNG+하/XSV+아/EC
이야길	이야기/NNG+ㄹ/JKO
나누는	나누/VV+는/ETM
KBS	KBS/SL
'해피선데이―맘마미아'는	'/SS+해피선데이―맘마미아/NNG+'/SS+는/JX
25일	25/SN+일/NNB
방영분에선	방영/NNG+분/XSN+에서/JKB+ㄴ/JX
4명이었던	4/SN+명/NNB+이/VCP+었/EP+던/ETM
스타들의	스타/NNG+들/XSN+의/JKG
어머니를	어머니/NNG+를/JKO
7명으로	7/SN+명/NNB+으로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.85.4.13
KBS 조현아 PD는 "엄마들을 늘려달라는 시청자 요구가 많았고 어떨 땐 연예인보다 엄마들의 방송 분량이 더 많을 때도 있다"고 말했다.

KBS	KBS/SL
조현아	조현아/NNP
PD는	PD/SL+는/JX
"엄마들을	"/SS+엄마/NNG+들/XSN+을/JKO
늘려달라는	늘리/VV+어/EC+달/VX+라는/ETM
시청자	시청자/NNG
요구가	요구/NNG+가/JKS
많았고	많/VA+았/EP+고/EC
어떨	어떻/VA+ㄹ/ETM
땐	때/NNG+ㄴ/JX
연예인보다	연예인/NNG+보다/JKB
엄마들의	엄마/NNG+들/XSN+의/JKG
방송	방송/NNG
분량이	분량/NNG+이/JKS
더	더/MAG
많을	많/VA+을/ETM
때도	때/NNG+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.85.5.1
일각에선 일반인의 TV 노출에 대한 우려도 제기된다.

일각에선	일각/NNG+에서/JKB+ㄴ/JX
일반인의	일반인/NNG+의/JKG
TV	TV/SL
노출에	노출/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려도	우려/NNG+도/JX
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.85.5.2
실제로 지난 19일 '짝' 기자 간담회에서 한 출연자는 "방송 이후 심각한 악플에 시달렸다"고 털어놓았다.

실제로	실제로/MAG
지난	지나/VV+ㄴ/ETM
19일	19/SN+일/NNB
'짝'	'/SS+짝/NNG+'/SS
기자	기자/NNG
간담회에서	간담회/NNG+에서/JKB
한	한/MMN
출연자는	출연자/NNG+는/JX
"방송	"/SS+방송/NNG
이후	이후/NNG
심각한	심각하/VA+ㄴ/ETM
악플에	악플/NNG+에/JKB
시달렸다"고	시달리/VV+었/EP+다/EF+"/SS+고/JKQ
털어놓았다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.85.5.3
'진짜사나이' 방송 게시판에는 '제작진이 부대를 떠나면 그간 웃고 떠든 벌로 선임들에게 시달릴 김형근 이병이 걱정된다'는 글도 올라왔다.

'진짜사나이'	'/SS+진짜/NNG+사나이/NNG+'/SS
방송	방송/NNG
게시판에는	게시판/NNG+에/JKB+는/JX
'제작진이	'/SS+제작진/NNG+이/JKS
부대를	부대/NNG+를/JKO
떠나면	떠나/VV+면/EC
그간	그/NP+간/XSN
웃고	웃/VV+고/EC
떠든	떠들/VV+ㄴ/ETM
벌로	벌/NNG+로/JKB
선임들에게	선임/NNG+들/XSN+에게/JKB
시달릴	시달리/VV+ㄹ/ETM
김형근	김형근/NNP
이병이	이병/NNG+이/JKS
걱정된다'는	걱정/NNG+되/XSV+ㄴ다/EF+'/SS+는/ETM
글도	글/NNG+도/JX
올라왔다.	올라오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.85.5.4
한석현 서울YMCA 시청자시민운동본부 간사는 "편집 과정에서 일반인 출연자가 본래 성격과 다르게 방송되는 경우가 있을 수 있다"며 "이들은 다시 일상으로 돌아가야 하는 만큼 후유증을 겪지 않도록 제작진의 주의가 필요하다"고 말했다.

한석현	한석현/NNP
서울YMCA	서울/NNP+YMCA/SL
시청자시민운동본부	시청자/NNG+시민운동/NNG+본부/NNG
간사는	간사/NNG+는/JX
"편집	"/SS+편집/NNG
과정에서	과정/NNG+에서/JKB
일반인	일반인/NNG
출연자가	출연자/NNG+가/JKS
본래	본래/NNG
성격과	성격/NNG+과/JKB
다르게	다르/VA+게/EC
방송되는	방송/NNG+되/XSV+는/ETM
경우가	경우/NNG+가/JKS
있을	있/VA+을/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"이들은	"/SS+이/NP+들/XSN+은/JX
다시	다시/MAG
일상으로	일상/NNG+으로/JKB
돌아가야	돌아가/VV+아야/EC
하는	하/VX+는/ETM
만큼	만큼/NNB
후유증을	후유증/NNG+을/JKO
겪지	겪/VV+지/EC
않도록	않/VX+도록/EC
제작진의	제작진/NNG+의/JKG
주의가	주의/NNG+가/JKS
필요하다"고	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


