# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.346
metadata : {}


# id : NWRW1800000046.346.1.1
李총리 교체로 가닥

李총리	李/SH+총리/NNG
총리의	총리/NNG+의/JKG
혐의가	혐의/NNG+가/JKS
해소될	해소/NNG+되/XSV+ㄹ/ETM
정도의	정도/NNG+의/JKG
상황이	상황/NNG+이/JKS
없으면	없/VA+으면/EC
청와대	청와대/NNP
차원의	차원/NNG+의/JKG
조치가	조치/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.346.4.3
이에 앞서 김무성 대표도 당 안팎의 의견을 취합한 결과 "교체가 불가피하다"는 결론을 내리고, 박 대통령에게 건의한 것으로 전해졌다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
김무성	김무성/NNP
대표도	대표/NNG+도/JX
당	당/NNG
안팎의	안팎/NNG+의/JKG
의견을	의견/NNG+을/JKO
취합한	취합/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
"교체가	"/SS+교체/NNG+가/JKS
불가피하다"는	불가피하/VA+다/EF+"/SS+는/ETM
결론을	결론/NNG+을/JKO
내리고,	내리/VV+고/EC+,/SP
박	박/NNP
대통령에게	대통령/NNG+에게/JKB
건의한	건의/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.346.4.4
당 고위 관계자는 "김 대표가 이틀 동안 주요 의원들의 의견을 들었다"고 했다.

당	당/NNG
고위	고위/NNG
관계자는	관계자/NNG+는/JX
"김	"/SS+김/NNP
대표가	대표/NNG+가/JKS
이틀	이틀/NNG
동안	동안/NNG
주요	주요/NNG
의원들의	의원/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
들었다"고	듣/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.346.5.1
한편 박 대통령은 이날 회동에서 "의혹을 완전히 해소할 수 있는 일이라면 어떠한 조치라도 검토할 용의가 있다"며 "특검을 하는 것이 진실 규명에 도움이 되면 그 또한 마다할 이유가 없다"고 말했다고 김 대표가 밝혔다.

한편	한편/MAG
박	박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
회동에서	회동/NNG+에서/JKB
"의혹을	"/SS+의혹/NNG+을/JKO
완전히	완전히/MAG
해소할	해소/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일이라면	일/NNG+이/VCP+라면/EC
어떠한	어떠하/VA+ㄴ/ETM
조치라도	조치/NNG+이/VCP+라도/EC
검토할	검토/NNG+하/XSV+ㄹ/ETM
용의가	용의/NNG+가/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"특검을	"/SS+특검/NNG+을/JKO
하는	하/VV+는/ETM
것이	것/NNB+이/JKS
진실	진실/NNG
규명에	규명/NNG+에/JKB
도움이	도움/NNG+이/JKC
되면	되/VV+면/EC
그	그/NP
또한	또한/MAG
마다할	마다하/VV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
김	김/NNP
대표가	대표/NNG+가/JKS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.346.5.2
박 대통령은 이와 함께 "공무원연금 개혁은 어떠한 일이 있더라도 꼭 관철시켜야 한다"며 "일자리 창출 법안 등 여러 민생 경제 법안을 4월 국회에서 꼭 처리해달라"고 당부했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이와	이/NP+와/JKB
함께	함께/MAG
"공무원연금	"/SS+공무원/NNG+연금/NNG
개혁은	개혁/NNG+은/JX
어떠한	어떠하/VA+ㄴ/ETM
일이	일/NNG+이/JKS
있더라도	있/VA+더라도/EC
꼭	꼭/MAG
관철시켜야	관철/NNG+시키/XSV+어야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"일자리	"/SS+일자리/NNG
창출	창출/NNG
법안	법안/NNG
등	등/NNB
여러	여러/MMN
민생	민생/NNG
경제	경제/NNG
법안을	법안/NNG+을/JKO
4월	4/SN+월/NNB
국회에서	국회/NNG+에서/JKB
처리해달라"고	처리/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.346.6.1
김 대표는 "박 대통령이 장기간 출국을 앞두고 여러 현안에 대해 당 대표의 의견을 듣고 싶다고 했고, 저는 당 내외에서 분출되는 여러 의견을 가감 없이 대통령에게 말씀드렸다"고 밝혔다.

김	김/NNP
대표는	대표/NNG+는/JX
"박	"/SS+박/NNP
대통령이	대통령/NNG+이/JKS
장기간	장기간/NNG
출국을	출국/NNG+을/JKO
앞두고	앞두/VV+고/EC
여러	여러/MMN
현안에	현안/NNG+에/JKB
대해	대하/VV+아/EC
당	당/NNG
대표의	대표/NNG+의/JKG
의견을	의견/NNG+을/JKO
듣고	듣/VV+고/EC
싶다고	싶/VX+다고/EC
했고,	하/VV+았/EP+고/EC+,/SP
저는	저/NP+는/JX
내외에서	내외/NNG+에서/JKB
분출되는	분출/NNG+되/XSV+는/ETM
가감	가감/NNG
없이	없이/MAG
대통령에게	대통령/NNG+에게/JKB
말씀드렸다"고	말씀/NNG+드리/VV+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.346.6.2
박 대통령은 이날 오후 3시부터 청와대에서 김 대표와 배석자 없이 40분간 회동했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
3시부터	3/SN+시/NNB+부터/JX
청와대에서	청와대/NNP+에서/JKB
김	김/NNP
대표와	대표/NNG+와/JKB
배석자	배석자/NNG
없이	없이/MAG
40분간	40/SN+분/NNB+간/XSN
회동했다.	회동/NNG+하/XSV+았/EP+다/EF+./SF


