# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.194
metadata : {}


# id : NWRW1800000044.194.1.1
“세월호 선원들, 자신들만 아는 통로로 탈출”

“세월호	“/SS+세월호/NNP
# id : NWRW1800000044.194.6.2
선장 등이 승객 대피 의무를 어기고 배를 버린 사실이 드러난 데 이어, 승무원들이 승객들이 모르는 통로로 서둘러 탈출했다는 진술까지 나와 법적 책임과 도덕적 해이 논란이 더 거세질 것으로 보인다.

선장	선장/NNG
등이	등/NNB+이/JKS
승객	승객/NNG
대피	대피/NNG
의무를	의무/NNG+를/JKO
어기고	어기/VV+고/EC
배를	배/NNG+를/JKO
버린	버리/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러난	드러나/VV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
승무원들이	승무원/NNG+들/XSN+이/JKS
승객들이	승객/NNG+들/XSN+이/JKS
모르는	모르/VV+는/ETM
통로로	통로/NNG+로/JKB
서둘러	서두르/VV+어/EC
탈출했다는	탈출/NNG+하/XSV+았/EP+다는/ETM
진술까지	진술/NNG+까지/JX
나와	나오/VV+아/EC
법적	법/NNG+적/XSN
책임과	책임/NNG+과/JC
도덕적	도덕/NNG+적/XSN
해이	해이/NNG
논란이	논란/NNG+이/JKS
더	더/MAG
거세질	거세지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.194.7.1
수사본부는 기관장 박아무개(48)씨한테서 “조타실에 있다가 선장의 퇴선 명령을 듣고 기관실 선원들에게 전화로 퇴선 가능한 지점에서 준비하라고 지시하고, 선원들만 아는 통로를 통해 3층으로 내려가 기관실에 있던 선원들과 함께 퇴선했다”는 진술을 확보한 것으로 전해졌다.

수사본부는	수사본부/NNG+는/JX
기관장	기관장/NNG
박아무개(48)씨한테서	박/NNP+아무개/NP+(/SS+48/SN+)/SS+씨/NNB+한테서/JKB
“조타실에	“/SS+조타실/NNG+에/JKB
있다가	있/VV+다가/EC
선장의	선장/NNG+의/JKG
퇴선	퇴선/NNG
명령을	명령/NNG+을/JKO
듣고	듣/VV+고/EC
기관실	기관실/NNG
선원들에게	선원/NNG+들/XSN+에게/JKB
전화로	전화/NNG+로/JKB
가능한	가능/NNG+하/XSA+ㄴ/ETM
지점에서	지점/NNG+에서/JKB
준비하라고	준비/NNG+하/XSV+라고/EC
지시하고,	지시/NNG+하/XSV+고/EC+,/SP
선원들만	선원/NNG+들/XSN+만/JX
아는	알/VV+는/ETM
통로를	통로/NNG+를/JKO
통해	통하/VV+아/EC
3층으로	3/SN+층/NNG+으로/JKB
내려가	내려가/VV+아/EC
기관실에	기관실/NNG+에/JKB
있던	있/VV+던/ETM
선원들과	선원/NNG+들/XSN+과/JKB
함께	함께/MAG
퇴선했다”는	퇴선/NNG+하/XSV+았/EP+다/EF+”/SS+는/ETM
진술을	진술/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.194.7.2
박씨 등이 해경 경비정을 타고 탈출할 때쯤 이준석(69·구속) 선장 등 10여명도 조타실에 있다가 해경 경비정을 타고 탈출했다.

박씨	박/NNP+씨/NNB
등이	등/NNB+이/JKS
해경	해경/NNG
경비정을	경비정/NNG+을/JKO
타고	타/VV+고/EC
탈출할	탈출/NNG+하/XSV+ㄹ/ETM
때쯤	때/NNG+쯤/XSN
이준석(69·구속)	이준석/NNP+(/SS+69/SN+·/SP+구속/NNG+)/SS
선장	선장/NNG
등	등/NNB
10여명도	10/SN+여/XSN+명/NNB+도/JX
조타실에	조타실/NNG+에/JKB
있다가	있/VV+다가/EC
탈출했다.	탈출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.194.7.3
이때 선내 방송은 “제자리에 있으라”고 승객들에게 반복 안내하고 있었다.

이때	이때/NNG
선내	선내/NNG
방송은	방송/NNG+은/JX
“제자리에	“/SS+제자리/NNG+에/JKB
있으라”고	있/VV+으라/EF+”/SS+고/JKQ
승객들에게	승객/NNG+들/XSN+에게/JKB
반복	반복/NNG
안내하고	안내/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.194.8.1
또 검찰은 조타수 조아무개(55·구속)씨가 이전에도 이번과 비슷한 조타 실수를 했다는 진술도 확보했다.

또	또/MAG
검찰은	검찰/NNG+은/JX
조타수	조타수/NNG
조아무개(55·구속)씨가	조/NNP+아무개/NP+(/SS+55/SN+·/SP+구속/NNG+)/SS+씨/NNB+가/JKS
이전에도	이전/NNG+에/JKB+도/JX
이번과	이번/NNG+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
조타	조타/NNG
실수를	실수/NNG+를/JKO
했다는	하/VV+았/EP+다는/ETM
진술도	진술/NNG+도/JX
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.194.8.2
세월호의 원래 선장인 신아무개씨는 “조씨가 (과거에) 인천대교 밑에서 급하게 조타기(키)를 돌리는 (변침) 실수를 한 적이 있어 입출항 때는 일을 맡기지 않는다”고 진술한 것으로 전해졌다.

세월호의	세월호/NNP+의/JKG
원래	원래/MAG
선장인	선장/NNG+이/VCP+ㄴ/ETM
신아무개씨는	신/NNP+아무개/NP+씨/NNB+는/JX
“조씨가	“/SS+조/NNP+씨/NNB+가/JKS
(과거에)	(/SS+과거/NNG+에/JKB+)/SS
인천대교	인천대교/NNP
밑에서	밑/NNG+에서/JKB
급하게	급하/VA+게/EC
조타기(키)를	조타기/NNG+(/SS+키/NNG+)/SS+를/JKO
돌리는	돌리/VV+는/ETM
(변침)	(/SS+변침/NNG+)/SS
실수를	실수/NNG+를/JKO
한	하/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있어	있/VA+어/EC
입출항	입출항/NNG
때는	때/NNG+는/JX
일을	일/NNG+을/JKO
맡기지	맡기/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
진술한	진술/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.194.8.3
사고 당시 조타실에 있던 3등항해사 박아무개(26·여·구속)씨는 ‘내가 할 일은 다했다’는 취지로 변침 이유를 설명하고 있으나 조씨는 “5도만 틀려고 했는데 100도 정도 돌아갔다”며 기계 결함을 주장한 바 있다.

사고	사고/NNG
당시	당시/NNG
조타실에	조타실/NNG+에/JKB
있던	있/VV+던/ETM
3등항해사	3/SN+등/NNB+항해사/NNG
박아무개(26·여·구속)씨는	박/NNP+아무개/NP+(/SS+26/SN+·/SP+여/NNG+·/SP+구속/NNG+)/SS+씨/NNB+는/JX
‘내가	‘/SS+내/NP+가/JKS
할	하/VV+ㄹ/ETM
일은	일/NNG+은/JX
다했다’는	다/MAG+하/XSV+았/EP+다/EF+’/SS+는/ETM
취지로	취지/NNG+로/JKB
변침	변침/NNG
이유를	이유/NNG+를/JKO
설명하고	설명/NNG+하/XSV+고/EC
있으나	있/VX+으나/EC
조씨는	조/NNP+씨/NNB+는/JX
“5도만	“/SS+5/SN+도/NNB+만/JX
틀려고	틀/VV+려고/EC
했는데	하/VX+았/EP+는데/EC
100도	100/SN+도/NNB
정도	정도/NNG
돌아갔다”며	돌아가/VV+았/EP+다/EF+”/SS+며/EC
기계	기계/NNG
결함을	결함/NNG+을/JKO
주장한	주장/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.194.9.1
신씨는 또 지난해 2월 일본에서 들여온 선박에 승선 정원을 921명으로 117명 늘리고 무게도 239t 늘리는 증축을 해 취항한 세월호가 복원력(기울었을 때 원상회복하는 능력)에 문제가 있었다고 말한 것으로 알려졌다.

신씨는	신/NNP+씨/NNB+는/JX
또	또/MAG
지난해	지난해/NNG
2월	2/SN+월/NNB
일본에서	일본/NNP+에서/JKB
들여온	들여오/VV+ㄴ/ETM
선박에	선박/NNG+에/JKB
승선	승선/NNG
정원을	정원/NNG+을/JKO
921명으로	921/SN+명/NNB+으로/JKB
117명	117/SN+명/NNB
늘리고	늘리/VV+고/EC
무게도	무게/NNG+도/JX
239t	239/SN+t/SW
늘리는	늘리/VV+는/ETM
증축을	증축/NNG+을/JKO
해	하/VV+아/EC
취항한	취항/NNG+하/XSV+ㄴ/ETM
세월호가	세월호/NNP+가/JKS
복원력(기울었을	복원력/NNG+(/SS+기울/VV+었/EP+을/ETM
때	때/NNG
원상회복하는	원상회복/NNG+하/XSV+는/ETM
능력)에	능력/NNG+)/SS+에/JKB
문제가	문제/NNG+가/JKS
있었다고	있/VV+었/EP+다고/EC
말한	말/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.194.9.2
수사본부는 이날 배 개조 업체 관련자를 소환해 증축 과정의 문제점을 조사했다.

수사본부는	수사본부/NNG+는/JX
이날	이날/NNG
배	배/NNG
개조	개조/NNG
업체	업체/NNG
관련자를	관련자/NNG+를/JKO
소환해	소환/NNG+하/XSV+아/EC
증축	증축/NNG
과정의	과정/NNG+의/JKG
문제점을	문제점/NNG+을/JKO
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.194.10.1
선장 이씨는 급변침 직전인 오전 8시47분께 조타실에서 방향을 5~6도 틀라고 지시한 뒤 담배를 피우고 옷을 갈아입으러 간 사이에 선체가 기울었다고 진술한 것으로 전해졌다.

선장	선장/NNG
이씨는	이/NNP+씨/NNB+는/JX
급변침	급변침/NNG
직전인	직전/NNG+이/VCP+ㄴ/ETM
오전	오전/NNG
8시47분께	8/SN+시/NNB+47/SN+분/NNB+께/XSN
조타실에서	조타실/NNG+에서/JKB
방향을	방향/NNG+을/JKO
5~6도	5/SN+~/SO+6/SN+도/NNB
틀라고	틀/VV+라고/EC
지시한	지시/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
담배를	담배/NNG+를/JKO
피우고	피우/VV+고/EC
옷을	옷/NNG+을/JKO
갈아입으러	갈아입/VV+으러/EC
간	가/VV+ㄴ/ETM
사이에	사이/NNG+에/JKB
선체가	선체/NNG+가/JKS
기울었다고	기울/VV+었/EP+다고/EC
진술한	진술/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.194.11.1
수사본부는 이런 상황을 종합할 때 승객 구호 의무를 저버린 책임이 탈출한 승무원 15명 모두에게 있다고 보고 처벌 범위를 확대하기로 했다.

수사본부는	수사본부/NNG+는/JX
이런	이런/MMD
상황을	상황/NNG+을/JKO
종합할	종합/NNG+하/XSV+ㄹ/ETM
때	때/NNG
승객	승객/NNG
구호	구호/NNG
의무를	의무/NNG+를/JKO
저버린	저버리/VV+ㄴ/ETM
책임이	책임/NNG+이/JKS
탈출한	탈출/NNG+하/XSV+ㄴ/ETM
승무원	승무원/NNG
15명	15/SN+명/NNB
모두에게	모두/NNG+에게/JKB
있다고	있/VA+다고/EC
보고	보/VV+고/EC
처벌	처벌/NNG
범위를	범위/NNG+를/JKO
확대하기로	확대/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.194.11.2
수사본부는 이날 세월호 항해사 3명과 기관장 등 4명을 체포했다.

수사본부는	수사본부/NNG+는/JX
이날	이날/NNG
세월호	세월호/NNP
항해사	항해사/NNG
3명과	3/SN+명/NNB+과/JC
기관장	기관장/NNG
등	등/NNB
4명을	4/SN+명/NNB+을/JKO
체포했다.	체포/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.194.11.3
수사본부는 이들에게 유기치사와 수난구호법 위반 혐의를 적용해 구속영장을 청구할 방침이다.

수사본부는	수사본부/NNG+는/JX
이들에게	이/NP+들/XSN+에게/JKB
유기치사와	유기/NNG+치사/NNG+와/JC
수난구호법	수난/NNG+구호법/NNG
위반	위반/NNG
혐의를	혐의/NNG+를/JKO
적용해	적용/NNG+하/XSV+아/EC
구속영장을	구속/NNG+영장/NNG+을/JKO
청구할	청구/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.194.12.1
사고 발생 엿새째인 이날 해군과 해경, 민간 합동 구조대는 승객들이 몰려 있는 것으로 추정되는 세월호 선체 3·4층 진입을 집중 시도했다.

사고	사고/NNG
발생	발생/NNG
엿새째인	엿새/NNG+째/XSN+이/VCP+ㄴ/ETM
이날	이날/NNG
해군과	해군/NNG+과/JC
해경,	해경/NNG+,/SP
민간	민간/NNG
합동	합동/NNG
구조대는	구조대/NNG+는/JX
승객들이	승객/NNG+들/XSN+이/JKS
몰려	몰리/VV+어/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
세월호	세월호/NNP
선체	선체/NNG
3·4층	3/SN+·/SP+4/SN+층/NNG
진입을	진입/NNG+을/JKO
집중	집중/NNG
시도했다.	시도/NNG+하/XSV+았/EP+다/EF+./SF


