# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.352
metadata : {}


# id : NWRW1800000052.352.1.1
민변, 국정원에 ‘탈북’ 식당종업원들 접견 요청

민변,	민변/NNP+,/SP
민변은 이들의 한국 입국과 관련해 남과 북의 당국이 ‘자발적 탈북’과 ‘국정원에 의한 유인납치’라고 맞서는 상황에서, 국제인권 기준(유엔 자유권위원회의 ‘북한이탈주민의 구금에 대한 권고사항’)에 맞게 이들이 변호인의 조력을 받아 자유롭게 의사 표시를 할 수 있도록 해야 한다고 촉구하고 있다.

민변은	민변/NNP+은/JX
이들의	이/NP+들/XSN+의/JKG
한국	한국/NNP
입국과	입국/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
남과	남/NNP+과/JC
북의	북/NNP+의/JKG
당국이	당국/NNG+이/JKS
‘자발적	‘/SS+자발/NNG+적/XSN
탈북’과	탈북/NNG+’/SS+과/JC
‘국정원에	‘/SS+국정원/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
유인납치’라고	유인/NNG+납치/NNG+’/SS+라고/JKQ
맞서는	맞서/VV+는/ETM
상황에서,	상황/NNG+에서/JKB+,/SP
국제인권	국제/NNG+인권/NNG
기준(유엔	기준/NNG+(/SS+유엔/NNP
자유권위원회의	자유/NNG+권/XSN+위원회/NNG+의/JKG
‘북한이탈주민의	‘/SS+북한/NNP+이탈/NNG+주민/NNG+의/JKG
구금에	구금/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
권고사항’)에	권고/NNG+사항/NNG+’/SS+)/SS+에/JKB
맞게	맞/VV+게/EC
이들이	이/NP+들/XSN+이/JKS
변호인의	변호인/NNG+의/JKG
조력을	조력/NNG+을/JKO
받아	받/VV+아/EC
자유롭게	자유/NNG+롭/XSA+게/EC
의사	의사/NNG
표시를	표시/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해야	하/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
촉구하고	촉구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.352.6.1
민변 통일위원회는 15일 “집단탈북을 둘러싼 여러 의혹을 해소하고 투명하고 공개적인 검증을 위해 이들에 대한 접견신청서를 13일 국정원에 냈다”고 밝혔다.

민변	민변/NNP
통일위원회는	통일/NNG+위원회/NNG+는/JX
15일	15/SN+일/NNB
“집단탈북을	“/SS+집단/NNG+탈북/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
여러	여러/MMN
의혹을	의혹/NNG+을/JKO
해소하고	해소/NNG+하/XSV+고/EC
투명하고	투명/NNG+하/XSA+고/EC
공개적인	공개/NNG+적/XSN+이/VCP+ㄴ/ETM
검증을	검증/NNG+을/JKO
위해	위하/VV+아/EC
이들에	이/NP+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
접견신청서를	접견/NNG+신청서/NNG+를/JKO
13일	13/SN+일/NNB
국정원에	국정원/NNG+에/JKB
냈다”고	내/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.352.6.2
민변 통일위원회는 16일 오후, ‘집단탈북’ 종업원들이 국정원 조사를 받고 있는 북한이탈주민센터(옛 합동신문센터) 앞에서 ‘북한 해외식당 종업원 리은경 외 11명 긴급 접견 기자회견’을 열기로 했다.

민변	민변/NNP
통일위원회는	통일/NNG+위원회/NNG+는/JX
16일	16/SN+일/NNB
오후,	오후/NNG+,/SP
‘집단탈북’	‘/SS+집단/NNG+탈북/NNG+’/SS
종업원들이	종업원/NNG+들/XSN+이/JKS
국정원	국정원/NNG
조사를	조사/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
북한이탈주민센터(옛	북한이탈주민센터/NNP+(/SS+옛/MMA
합동신문센터)	합동신문센터/NNP+)/SS
앞에서	앞/NNG+에서/JKB
‘북한	‘/SS+북한/NNP
해외식당	해외/NNG+식당/NNG
종업원	종업원/NNG
리은경	리은경/NNP
외	외/NNB
11명	11/SN+명/NNB
긴급	긴급/NNG
접견	접견/NNG
기자회견’을	기자/NNG+회견/NNG+’/SS+을/JKO
열기로	열/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.352.6.3
민변은 “집단 입국한 종업원의 가족들은 <시엔엔>(CNN) 인터뷰, 유엔인권이사회 등을 통해 그들의 송환과 가족 면담을 요구하고 있으나 우리 정부는 자발적 탈북이라는 입장만 되풀이하며 어떠한 정보도 제공하지 않고 있다”며 접견 신청 이유를 설명했다.

민변은	민변/NNP+은/JX
“집단	“/SS+집단/NNG
입국한	입국/NNG+하/XSV+ㄴ/ETM
종업원의	종업원/NNG+의/JKG
가족들은	가족/NNG+들/XSN+은/JX
<시엔엔>(CNN)	</SS+시엔엔/NNP+>/SS+(/SS+CNN/SL+)/SS
인터뷰,	인터뷰/NNG+,/SP
유엔인권이사회	유엔/NNP+인권/NNG+이사회/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
그들의	그/NP+들/XSN+의/JKG
송환과	송환/NNG+과/JC
가족	가족/NNG
면담을	면담/NNG+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
있으나	있/VX+으나/EC
우리	우리/NP
정부는	정부/NNG+는/JX
자발적	자발/NNG+적/XSN
탈북이라는	탈북/NNG+이/VCP+라는/ETM
입장만	입장/NNG+만/JX
되풀이하며	되풀이/NNG+하/XSV+며/EC
어떠한	어떠하/VA+ㄴ/ETM
정보도	정보/NNG+도/JX
제공하지	제공/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
접견	접견/NNG
신청	신청/NNG
이유를	이유/NNG+를/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.352.7.1
4월7일 입국한 ‘집단탈북’ 종업원들은 40일 가까이 북한이탈주민센터에서 외부와 완전히 차단된 채 국정원 합동신문을 받고 있는 것으로 알려졌다.

4월7일	4/SN+월/NNB+7/SN+일/NNB
입국한	입국/NNG+하/XSV+ㄴ/ETM
‘집단탈북’	‘/SS+집단/NNG+탈북/NNG+’/SS
종업원들은	종업원/NNG+들/XSN+은/JX
40일	40/SN+일/NNB
가까이	가까이/MAG
북한이탈주민센터에서	북한이탈주민센터/NNP+에서/JKB
외부와	외부/NNG+와/JKB
완전히	완전히/MAG
차단된	차단/NNG+되/XSV+ㄴ/ETM
채	채/NNB
국정원	국정원/NNG
합동신문을	합동/NNG+신문/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


