# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.240
metadata : {}


# id : NWRW1800000045.240.1.1
“젊은 삼성농구 경기력 167cm… 185cm까지 성장시킬 것”

“젊은	“/SS+젊/VA+은/ETM
이들을	이/NP+들/XSN+을/JKO
정상급	정상급/NNG
선수로	선수/NNG+로/JKB
성장시켜	성장/NNG+시키/XSV+어/EC
보겠다는	보/VX+겠/EP+다는/ETM
얘기였다.	얘기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.240.4.3
이 감독도 일찍부터 명성을 떨친 것은 아니었다.

이	이/NNP
감독도	감독/NNG+도/JX
일찍부터	일찍/MAG+부터/JX
명성을	명성/NNG+을/JKO
떨친	떨치/VV+ㄴ/ETM
것은	것/NNB+은/JX
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000045.240.4.4
그는 홍익대사범대부속고 1학년 때 키가 172cm밖에 되지 않아 큰 주목을 받지 못했다.

그는	그/NP+는/JX
홍익대사범대부속고	홍익대사범대부속고/NNP
1학년	1/SN+학년/NNG
때	때/NNG
키가	키/NNG+가/JKS
172cm밖에	172/SN+cm/SW+밖에/JX
되지	되/VV+지/EC
않아	않/VX+아/EC
큰	크/VA+ㄴ/ETM
주목을	주목/NNG+을/JKO
받지	받/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.240.4.5
그러나 키 크는 데 도움을 준다는 음식을 먹는 등 노력 끝에 고교 졸업반 때 182cm까지 성장했고, 동국대총장배 대회 우승(1990년)을 이끌며 이름을 알렸다.

그러나	그러나/MAJ
키	키/NNG
크는	크/VV+는/ETM
데	데/NNB
도움을	도움/NNG+을/JKO
준다는	주/VV+ㄴ다는/ETM
음식을	음식/NNG+을/JKO
먹는	먹/VV+는/ETM
등	등/NNB
노력	노력/NNG
끝에	끝/NNG+에/JKB
고교	고교/NNG
졸업반	졸업반/NNG
때	때/NNG
182cm까지	182/SN+cm/SW+까지/JX
성장했고,	성장/NNG+하/XSV+았/EP+고/EC+,/SP
동국대총장배	동국대/NNP+총장/NNG+배/NNB
대회	대회/NNG
우승(1990년)을	우승/NNG+(/SS+1990/SN+년/NNB+)/SS+을/JKO
이끌며	이끌/VV+며/EC
이름을	이름/NNG+을/JKO
알렸다.	알리/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.240.4.6
이 감독은 “사실 내 목표는 185cm까지 자라는 것이었다”면서 “나는 실패했지만 우리 선수들은 기량을 빠르게 발전시켜 내 ‘희망 신장’까지 자랐으면 좋겠다”고 말했다.

이	이/NNP
감독은	감독/NNG+은/JX
“사실	“/SS+사실/MAG
내	나/NP+의/JKG
목표는	목표/NNG+는/JX
185cm까지	185/SN+cm/SW+까지/JX
자라는	자라/VV+는/ETM
것이었다”면서	것/NNB+이/VCP+었/EP+다/EF+”/SS+면서/EC
“나는	“/SS+나/NP+는/JX
실패했지만	실패/NNG+하/XSV+았/EP+지만/EC
우리	우리/NP
선수들은	선수/NNG+들/XSN+은/JX
기량을	기량/NNG+을/JKO
빠르게	빠르/VA+게/EC
발전시켜	발전/NNG+시키/XSV+어/EC
‘희망	‘/SS+희망/NNG
신장’까지	신장/NNG+’/SS+까지/JX
자랐으면	자라/VV+았/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.240.5.1
2015∼2016시즌을 준비 중인 이 감독은 “선수 때는 늘 목표를 높게 잡았다.

2015∼2016시즌을	2015/SN+∼/SO+2016/SN+시즌/NNG+을/JKO
준비	준비/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
이	이/NNP
감독은	감독/NNG+은/JX
“선수	“/SS+선수/NNG
때는	때/NNG+는/JX
늘	늘/MAG
목표를	목표/NNG+를/JKO
높게	높/VA+게/EC
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.240.5.2
그런데 지금은 6강 플레이오프 진출을 최우선으로 생각하고 있다”고 말했다.

그런데	그런데/MAJ
지금은	지금/NNG+은/JX
6강	6/SN+강/NNB
플레이오프	플레이오프/NNG
진출을	진출/NNG+을/JKO
최우선으로	최/XPN+우선/NNG+으로/JKB
생각하고	생각/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.240.5.3
악몽 같은 사령탑 데뷔 시즌을 보낸 탓인지 2년 차 감독의 포부는 조심스러웠다.

악몽	악몽/NNG
같은	같/VA+은/ETM
사령탑	사령탑/NNG
데뷔	데뷔/NNG
시즌을	시즌/NNG+을/JKO
보낸	보내/VV+ㄴ/ETM
탓인지	탓/NNG+이/VCP+ㄴ지/EC
2년	2/SN+년/NNB
차	차/NNB
감독의	감독/NNG+의/JKG
포부는	포부/NNG+는/JX
조심스러웠다.	조심/NNG+스럽/XSA+었/EP+다/EF+./SF


# id : NWRW1800000045.240.5.4
선수시절 9년 연속 올스타 팬 투표 1위를 차지하는 등 프로농구 최고의 별이었던 이 감독이지만 감독 첫 시즌이었던 지난 시즌(2014∼2015시즌)에 10개 구단 중 최하위(11승 43패)의 수모를 겪었다.

선수시절	선수/NNG+시절/NNG
9년	9/SN+년/NNB
연속	연속/NNG
올스타	올스타/NNG
팬	팬/NNG
투표	투표/NNG
1위를	1/SN+위/NNB+를/JKO
차지하는	차지/NNG+하/XSV+는/ETM
등	등/NNB
프로농구	프로/NNG+농구/NNG
최고의	최고/NNG+의/JKG
별이었던	별/NNG+이/VCP+었/EP+던/ETM
이	이/NNP
감독이지만	감독/NNG+이/VCP+지만/EC
감독	감독/NNG
첫	첫/MMN
시즌이었던	시즌/NNG+이/VCP+었/EP+던/ETM
지난	지나/VV+ㄴ/ETM
시즌(2014∼2015시즌)에	시즌/NNG+(/SS+2014/SN+∼/SO+2015/SN+시즌/NNG+)/SS+에/JKB
10개	10/SN+개/NNB
구단	구단/NNG
중	중/NNB
최하위(11승	최/XPN+하위/NNG+(/SS+11/SN+승/NNB
43패)의	43/SN+패/NNB+)/SS+의/JKG
수모를	수모/NNG+를/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.240.5.5
그는 “선수 때도 그렇게 많이 패한 적은 없다”며 아쉬워했다.

그는	그/NP+는/JX
“선수	“/SS+선수/NNG
때도	때/NNG+도/JX
그렇게	그렇/VA+게/EC
많이	많이/MAG
패한	패/NNG+하/XSV+ㄴ/ETM
적은	적/NNB+은/JX
없다”며	없/VA+다/EF+”/SS+며/EC
아쉬워했다.	아쉬워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.240.6.1
비시즌 기간에 삼성은 모비스의 3시즌 연속 우승을 이끈 리카르도 라틀리프(26)와 문태영(37), SK의 노련한 가드 주희정(38)을 영입해 전력을 보강했다.

비시즌	비/XPN+시즌/NNG
기간에	기간/NNG+에/JKB
삼성은	삼성/NNP+은/JX
모비스의	모비스/NNP+의/JKG
3시즌	3/SN+시즌/NNG
연속	연속/NNG
우승을	우승/NNG+을/JKO
이끈	이끌/VV+ㄴ/ETM
리카르도	리카르도/NNP
라틀리프(26)와	라틀리프/NNP+(/SS+26/SN+)/SS+와/JC
문태영(37),	문태영/NNP+(/SS+37/SN+)/SS+,/SP
SK의	SK/SL+의/JKG
노련한	노련하/VA+ㄴ/ETM
가드	가드/NNG
주희정(38)을	주희정/NNP+(/SS+38/SN+)/SS+을/JKO
영입해	영입/NNG+하/XSV+아/EC
전력을	전력/NNG+을/JKO
보강했다.	보강/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.240.6.2
우승 후보로 급부상했다는 주위의 평가에 이 감독은 고개를 저었다.

우승	우승/NNG
후보로	후보/NNG+로/JKB
급부상했다는	급부상/NNG+하/XSV+았/EP+다는/ETM
주위의	주위/NNG+의/JKG
평가에	평가/NNG+에/JKB
이	이/NNP
감독은	감독/NNG+은/JX
고개를	고개/NNG+를/JKO
저었다.	젓/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.240.6.3
“팀의 완성도를 높이기 위한 퍼즐 맞추기를 시작했을 뿐입니다.”

“팀의	“/SS+팀/NNG+의/JKG
완성도를	완성도/NNG+를/JKO
높이기	높이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
퍼즐	퍼즐/NNG
맞추기를	맞추/VV+기/ETN+를/JKO
시작했을	시작/NNG+하/XSV+았/EP+을/ETM
뿐입니다.”	뿐/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000045.240.6.4
정상급 선수를 데려와도 조직력이 허술하면 좋은 성적을 내기가 어렵다는 얘기다.

정상급	정상급/NNG
선수를	선수/NNG+를/JKO
데려와도	데려오/VV+아도/EC
조직력이	조직력/NNG+이/JKS
허술하면	허술하/VA+면/EC
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
내기가	내/VV+기/ETN+가/JKS
어렵다는	어렵/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.240.7.1
이 감독은 라틀리프와 주희정에게 각각 ‘팀 승리의 주연’과 ‘군기 반장’이 되라는 특명을 내렸다.

이	이/NNP
감독은	감독/NNG+은/JX
라틀리프와	라틀리프/NNP+와/JC
주희정에게	주희정/NNP+에게/JKB
각각	각각/MAG
‘팀	‘/SS+팀/NNG
승리의	승리/NNG+의/JKG
주연’과	주연/NNG+’/SS+과/JC
‘군기	‘/SS+군기/NNG
반장’이	반장/NNG+’/SS+이/JKC
되라는	되/VV+라는/ETM
특명을	특명/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.240.7.2
그는 “모비스에서 라틀리프는 함지훈 등 노련한 동료의 도움을 받았지만 삼성 선수들은 어리기 때문에 기복이 있다.

그는	그/NP+는/JX
“모비스에서	“/SS+모비스/NNP+에서/JKB
라틀리프는	라틀리프/NNP+는/JX
함지훈	함지훈/NNP
등	등/NNB
노련한	노련하/VA+ㄴ/ETM
동료의	동료/NNG+의/JKG
도움을	도움/NNG+을/JKO
받았지만	받/VV+았/EP+지만/EC
삼성	삼성/NNP
선수들은	선수/NNG+들/XSN+은/JX
어리기	어리/VA+기/ETN
때문에	때문/NNB+에/JKB
기복이	기복/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.240.7.3
스스로 팀 승리의 주연이 돼야 한다.

스스로	스스로/MAG
팀	팀/NNG
승리의	승리/NNG+의/JKG
주연이	주연/NNG+이/JKC
돼야	되/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.240.7.4
고참 주희정은 SK에서처럼 후배들을 잘 이끌어줘야 한다”고 했다.

고참	고참/NNG
주희정은	주희정/NNP+은/JX
SK에서처럼	SK/SL+에서/JKB+처럼/JKB
후배들을	후배/NNG+들/XSN+을/JKO
잘	잘/MAG
이끌어줘야	이끌/VV+어/EC+주/VX+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.240.7.5
주희정은 후배들과 주 4회 자체 야간훈련을 진행하고 있다.

주희정은	주희정/NNP+은/JX
후배들과	후배/NNG+들/XSN+과/JKB
주	주/NNG
4회	4/SN+회/NNB
자체	자체/NNG
야간훈련을	야간/NNG+훈련/NNG+을/JKO
진행하고	진행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.240.7.6
라틀리프는 “모비스에서도 함지훈이 부상당하면 내가 팀의 중심을 잡았다”며 웃었다.

라틀리프는	라틀리프/NNP+는/JX
“모비스에서도	“/SS+모비스/NNP+에서/JKB+도/JX
함지훈이	함지훈/NNP+이/JKS
부상당하면	부상/NNG+당하/XSV+면/EC
내가	내/NP+가/JKS
팀의	팀/NNG+의/JKG
중심을	중심/NNG+을/JKO
잡았다”며	잡/VV+았/EP+다/EF+”/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.240.8.1
라틀리프와 문태영은 지난 시즌까지 이 감독의 은사인 ‘만수(萬手)’ 유재학 모비스 감독이 데리고 있던 선수들이다.

라틀리프와	라틀리프/NNP+와/JC
문태영은	문태영/NNP+은/JX
지난	지나/VV+ㄴ/ETM
시즌까지	시즌/NNG+까지/JX
이	이/NNP
감독의	감독/NNG+의/JKG
은사인	은사/NNG+이/VCP+ㄴ/ETM
‘만수(萬手)’	‘/SS+만수/NNP+(/SS+萬手/SH+)/SS+’/SS
유재학	유재학/NNP
모비스	모비스/NNP
감독이	감독/NNG+이/JKS
데리고	데리/VV+고/EC
있던	있/VX+던/ETM
선수들이다.	선수/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000045.240.8.2
이 감독은 연세대 시절에 코치인 유 감독의 지도를 받았다.

이	이/NNP
감독은	감독/NNG+은/JX
연세대	연세대/NNP
시절에	시절/NNG+에/JKB
코치인	코치/NNG+이/VCP+ㄴ/ETM
유	유/NNP
감독의	감독/NNG+의/JKG
지도를	지도/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.240.8.3
이 감독은 “유 감독님께서 두 선수를 다루는 법을 알려주시면서 ‘잘 활용해 봐라’고 하셨다.

이	이/NNP
감독은	감독/NNG+은/JX
“유	“/SS+유/NNP
감독님께서	감독/NNG+님/XSN+께서/JKS
두	두/MMN
선수를	선수/NNG+를/JKO
다루는	다루/VV+는/ETM
법을	법/NNB+을/JKO
알려주시면서	알리/VV+어/EC+주/VX+시/EP+면서/EC
‘잘	‘/SS+잘/MAG
활용해	활용/NNG+하/XSV+아/EC
봐라’고	보/VX+아라/EF+’/SS+고/JKQ
하셨다.	하/VV+시/EP+었/EP+다/EF+./SF


# id : NWRW1800000045.240.8.4
또 ‘나도 사령탑 초기 힘든 시절을 견뎌내며 농구 색깔을 찾았다’며 ‘주위의 말에 흔들리지 말고 이상민 감독만의 농구를 찾아라’라고 조언했다”고 말했다.

또	또/MAG
‘나도	‘/SS+나/NP+도/JX
사령탑	사령탑/NNG
초기	초기/NNG
힘든	힘들/VA+ㄴ/ETM
시절을	시절/NNG+을/JKO
견뎌내며	견디/VV+어/EC+내/VX+며/EC
농구	농구/NNG
색깔을	색깔/NNG+을/JKO
찾았다’며	찾/VV+았/EP+다/EF+’/SS+며/EC
‘주위의	‘/SS+주위/NNG+의/JKG
말에	말/NNG+에/JKB
흔들리지	흔들리/VV+지/EC
말고	말/VX+고/EC
이상민	이상민/NNP
감독만의	감독/NNG+만/JX+의/JKG
농구를	농구/NNG+를/JKO
찾아라’라고	찾/VV+아라/EF+’/SS+라고/JKQ
조언했다”고	조언/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.240.8.5
이 감독에게 유 감독은 이번 시즌 반드시 넘어야 할 산이기도 하다.

이	이/NNP
감독에게	감독/NNG+에게/JKB
유	유/NNP
감독은	감독/NNG+은/JX
이번	이번/NNG
시즌	시즌/NNG
반드시	반드시/MAG
넘어야	넘/VV+어야/EC
할	하/VX+ㄹ/ETM
산이기도	산/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000045.240.8.6
삼성은 모비스에 특정 팀 상대 최다 연패인 ‘20연패’를 기록 중이기 때문이다.

삼성은	삼성/NNP+은/JX
모비스에	모비스/NNP+에/JKB
특정	특정/NNG
팀	팀/NNG
상대	상대/NNG
최다	최다/NNG
연패인	연패/NNG+이/VCP+ㄴ/ETM
‘20연패’를	‘/SS+20/SN+연패/NNG+’/SS+를/JKO
기록	기록/NNG
중이기	중/NNB+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.240.8.7
이 감독은 “이번 시즌에는 라틀리프 등을 앞세워 반드시 모비스를 꺾겠다”고 말했다.

이	이/NNP
감독은	감독/NNG+은/JX
“이번	“/SS+이번/NNG
시즌에는	시즌/NNG+에/JKB+는/JX
라틀리프	라틀리프/NNP
등을	등/NNB+을/JKO
앞세워	앞세우/VV+어/EC
반드시	반드시/MAG
모비스를	모비스/NNP+를/JKO
꺾겠다”고	꺾/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.240.9.1
삼성은 16일 서울 잠실학생체육관에서 열린 오리온스와의 2015 농구 프로-아마 최강전에서 65-87로 졌다.

삼성은	삼성/NNP+은/JX
16일	16/SN+일/NNB
서울	서울/NNP
잠실학생체육관에서	잠실학생체육관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
오리온스와의	오리온스/NNP+와/JKB+의/JKG
2015	2015/SN
농구	농구/NNG
프로-아마	프로/NNG+-/SO+아마/NNG
최강전에서	최강전/NNG+에서/JKB
65-87로	65/SN+-/SO+87/SN+로/JKB
졌다.	지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.240.9.2
삼성은 라틀리프(19득점)와 문태영(15득점)이 활약했지만 기존 선수들과 손발을 맞춘 시간이 짧았던 탓에 조직력에 문제를 드러냈다.

삼성은	삼성/NNP+은/JX
라틀리프(19득점)와	라틀리프/NNP+(/SS+19/SN+득점/NNG+)/SS+와/JC
문태영(15득점)이	문태영/NNP+(/SS+15/SN+득점/NNG+)/SS+이/JKS
활약했지만	활약/NNG+하/XSV+았/EP+지만/EC
기존	기존/NNG
선수들과	선수/NNG+들/XSN+과/JKB
손발을	손발/NNG+을/JKO
맞춘	맞추/VV+ㄴ/ETM
시간이	시간/NNG+이/JKS
짧았던	짧/VA+았/EP+던/ETM
탓에	탓/NNG+에/JKB
조직력에	조직력/NNG+에/JKB
문제를	문제/NNG+를/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.240.9.3
여기에 계속 약점으로 지적되던 가드진의 부진이 겹치면서 큰 점수차로 졌다.

여기에	여기/NP+에/JKB
계속	계속/MAG
약점으로	약점/NNG+으로/JKB
지적되던	지적/NNG+되/XSV+던/ETM
가드진의	가드진/NNG+의/JKG
부진이	부진/NNG+이/JKS
겹치면서	겹치/VV+면서/EC
큰	크/VA+ㄴ/ETM
점수차로	점수/NNG+차/NNG+로/JKB
졌다.	지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.240.9.4
이 감독의 퍼즐 맞추기는 계속되고 있다.

이	이/NNP
감독의	감독/NNG+의/JKG
퍼즐	퍼즐/NNG
맞추기는	맞추/VV+기/ETN+는/JX
계속되고	계속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


