# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.318
metadata : {}


# id : NWRW1800000041.318.1.1
[단독]“故박지영씨 10여차례 ‘승객 탈출’ 물었지만 브리지에선 응답 없어”

[단독]“故박지영씨	[/SS+단독/NNG+]/SS+“/SS+故/SH+박지영/NNP+씨/NNB
씨에게	씨/NNB+에게/JKB
대응방안을	대응/NNG+방안/NNG+을/JKO
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.318.5.2
이에 박 씨는 무전기로 다른 승무원들에게 “어떻게 대응해야 하느냐”고 물었지만 답신이 오지 않았다.

이에	이/NP+에/JKB
박	박/NNP
씨는	씨/NNB+는/JX
무전기로	무전기/NNG+로/JKB
다른	다른/MMD
승무원들에게	승무원/NNG+들/XSN+에게/JKB
“어떻게	“/SS+어떻/VA+게/EC
대응해야	대응/NNG+하/XSV+아야/EC
하느냐”고	하/VX+느냐/EF+”/SS+고/JKQ
물었지만	묻/VV+었/EP+지만/EC
답신이	답신/NNG+이/JKS
오지	오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.318.5.3
박 씨 등 3층 승무원들은 답신이 없자 매뉴얼대로 “구명조끼를 입고 제자리에서 안전하게 있으라”고 안내방송을 했다.

박	박/NNP
씨	씨/NNB
등	등/NNB
3층	3/SN+층/NNG
승무원들은	승무원/NNG+들/XSN+은/JX
답신이	답신/NNG+이/JKS
없자	없/VA+자/EC
매뉴얼대로	매뉴얼/NNG+대로/JX
“구명조끼를	“/SS+구명조끼/NNG+를/JKO
입고	입/VV+고/EC
제자리에서	제자리/NNG+에서/JKB
안전하게	안전/NNG+하/XSA+게/EC
있으라”고	있/VX+으라/EF+”/SS+고/JKQ
안내방송을	안내/NNG+방송/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.318.5.4
안내방송은 승무원 A 씨(33)가 했다.

안내방송은	안내/NNG+방송/NNG+은/JX
승무원	승무원/NNG
A	A/SL
씨(33)가	씨/NNB+(/SS+33/SN+)/SS+가/JKS
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.318.6.1
박 씨는 세월호가 급격하게 기울자 계속 무전기로 “탈출해도 되느냐”고 물었다.

박	박/NNP
씨는	씨/NNB+는/JX
세월호가	세월호/NNP+가/JKS
급격하게	급격하/VA+게/EC
기울자	기울/VV+자/EC
계속	계속/MAG
무전기로	무전기/NNG+로/JKB
“탈출해도	“/SS+탈출/NNG+하/XSV+아도/EC
되느냐”고	되/VV+느냐/EF+”/SS+고/JKQ
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.318.6.2
그러나 답신은 여전히 오지 않았다.

그러나	그러나/MAJ
답신은	답신/NNG+은/JX
여전히	여전히/MAG
오지	오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.318.6.3
오전 9시 30분경 세월호 상공에 해경 구조헬기가 도착하자 박 씨는 큰 소리로 “모두 탈출하세요”라고 했다.

오전	오전/NNG
9시	9/SN+시/NNB
30분경	30/SN+분/NNB+경/XSN
세월호	세월호/NNP
상공에	상공/NNG+에/JKB
해경	해경/NNG
구조헬기가	구조/NNG+헬기/NNG+가/JKS
도착하자	도착/NNG+하/XSV+자/EC
박	박/NNP
씨는	씨/NNB+는/JX
큰	크/VA+ㄴ/ETM
소리로	소리/NNG+로/JKB
“모두	“/SS+모두/MAG
탈출하세요”라고	탈출/NNG+하/XSV+시/EP+어요/EF+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.318.7.1
강 씨는 “박 씨가 퇴선명령을 하자 승무원 정현선 씨(28·여·사망)와 사무장 양대홍 씨(46·실종), A 씨가 3, 4층에서 학생들에게 구명조끼를 입히며 탈출을 도왔다”며 “정 씨와 교차한 마지막 눈빛이 잊혀지지 않는다”고 말했다.

강	강/NNP
씨는	씨/NNB+는/JX
“박	“/SS+박/NNP
씨가	씨/NNB+가/JKS
퇴선명령을	퇴선/NNG+명령/NNG+을/JKO
하자	하/VV+자/EC
승무원	승무원/NNG
정현선	정현선/NNP
씨(28·여·사망)와	씨/NNB+(/SS+28/SN+·/SP+여/NNG+·/SP+사망/NNG+)/SS+와/JC
사무장	사무장/NNG
양대홍	양대홍/NNP
씨(46·실종),	씨/NNB+(/SS+46/SN+·/SP+실종/NNG+)/SS+,/SP
A	A/SL
3,	3/SN+,/SP
4층에서	4/SN+층/NNG+에서/JKB
학생들에게	학생/NNG+들/XSN+에게/JKB
구명조끼를	구명조끼/NNG+를/JKO
입히며	입히/VV+며/EC
탈출을	탈출/NNG+을/JKO
도왔다”며	돕/VV+았/EP+다/EF+”/SS+며/EC
“정	“/SS+정/NNP
씨와	씨/NNB+와/JKB
교차한	교차/NNG+하/XSV+ㄴ/ETM
마지막	마지막/NNG
눈빛이	눈빛/NNG+이/JKS
잊혀지지	잊혀지/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.318.8.1
또 다른 승객 한승선 씨(37·화물기사)도 퇴선명령이 지연되는 상황을 지켜봤다.

또	또/MAG
다른	다른/MMD
승객	승객/NNG
한승선	한승선/NNP
씨(37·화물기사)도	씨/NNB+(/SS+37/SN+·/SP+화물/NNG+기사/NNG+)/SS+도/JX
퇴선명령이	퇴선/NNG+명령/NNG+이/JKS
지연되는	지연/NNG+되/XSV+는/ETM
상황을	상황/NNG+을/JKO
지켜봤다.	지켜보/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.318.8.2
한 씨는 “숨진 박 씨와 안내방송을 하던 A 씨가 무전기 회신을 기다렸지만 오지 않았다”고 말했다.

한	한/NNP
씨는	씨/NNB+는/JX
“숨진	“/SS+숨지/VV+ㄴ/ETM
박	박/NNP
씨와	씨/NNB+와/JC
안내방송을	안내/NNG+방송/NNG+을/JKO
하던	하/VV+던/ETM
A	A/SL
씨가	씨/NNB+가/JKS
무전기	무전기/NNG
회신을	회신/NNG+을/JKO
기다렸지만	기다리/VV+었/EP+지만/EC
오지	오/VV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.318.9.1
한편 선장 이준석 씨(69) 등 브리지에 있던 승무원들은 오전 10시경 구조된 뒤 전남 707호(급수선) 뱃머리에서 세월호가 침몰하는 것을 지켜봤다.

한편	한편/NNG
선장	선장/NNG
이준석	이준석/NNP
씨(69)	씨/NNB+(/SS+69/SN+)/SS
등	등/NNB
브리지에	브리지/NNG+에/JKB
있던	있/VA+던/ETM
승무원들은	승무원/NNG+들/XSN+은/JX
오전	오전/NNG
10시경	10/SN+시/NNB+경/XSN
구조된	구조/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
전남	전남/NNP
707호(급수선)	707호/NNG+(/SS+급수선/NNG+)/SS
뱃머리에서	뱃머리/NNG+에서/JKB
세월호가	세월호/NNP+가/JKS
침몰하는	침몰/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
지켜봤다.	지켜보/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.318.9.2
이 씨 등 선원 7명 중 빨간색 작업복을 입은 1명만 옷이 젖어 있을 뿐 나머지 6명은 바닷물에 젖지도 않은 상태였다.

이	이/NNP
씨	씨/NNB
등	등/NNB
선원	선원/NNG
7명	7/SN+명/NNB
중	중/NNB
빨간색	빨간색/NNG
작업복을	작업복/NNG+을/JKO
입은	입/VV+은/ETM
1명만	1/SN+명/NNB+만/JX
옷이	옷/NNG+이/JKS
젖어	젖/VV+어/EC
있을	있/VX+을/ETM
뿐	뿐/NNB
나머지	나머지/NNG
6명은	6/SN+명/NNB+은/JX
바닷물에	바닷물/NNG+에/JKB
젖지도	젖/VV+지/EC+도/JX
않은	않/VX+은/ETM
상태였다.	상태/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.318.9.3
당시 전남 707호에 함께 구조돼 있던 강병기 씨는 “선장 이 씨 등 선원들이 뱃머리에서 자기들끼리 모여 귓속말을 하며 손가락으로 쉬쉬하는 행동을 했다”며 “그날 오후 병원에서 지폐를 말리던 사람이 선장 이 씨라는 사실을 뒤늦게 알았다.

당시	당시/NNG
전남	전남/NNP
707호에	707호/NNG+에/JKB
함께	함께/MAG
구조돼	구조/NNG+되/XSV+어/EC
있던	있/VX+던/ETM
강병기	강병기/NNP
씨는	씨/NNB+는/JX
“선장	“/SS+선장/NNG
이	이/NNP
씨	씨/NNB
등	등/NNB
선원들이	선원/NNG+들/XSN+이/JKS
뱃머리에서	뱃머리/NNG+에서/JKB
자기들끼리	자기/NNG+들/XSN+끼리/XSN
모여	모이/VV+어/EC
귓속말을	귓속말/NNG+을/JKO
하며	하/VV+며/EC
손가락으로	손가락/NNG+으로/JKB
쉬쉬하는	쉬쉬하/VV+는/ETM
행동을	행동/NNG+을/JKO
했다”며	하/VV+았/EP+다/EF+”/SS+며/EC
“그날	“/SS+그날/NNG
오후	오후/NNG
병원에서	병원/NNG+에서/JKB
지폐를	지폐/NNG+를/JKO
말리던	말리/VV+던/ETM
사람이	사람/NNG+이/JKS
선장	선장/NNG
씨라는	씨/NNB+이/VCP+라는/ETM
사실을	사실/NNG+을/JKO
뒤늦게	뒤늦/VA+게/EC
알았다.	알/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.318.9.4
당시 모습을 떠올리면 분노가 치민다”고 말했다.

당시	당시/NNG
모습을	모습/NNG+을/JKO
떠올리면	떠올리/VV+면/EC
분노가	분노/NNG+가/JKS
치민다”고	치밀/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


