# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.80
metadata : {}


# id : NWRW1800000038.80.1.1
가슴, 찌른듯 아프고 갑갑… 호흡기 질환 의심해야

가슴,	가슴/NNG+,/SP
할지	하/VX+ㄹ지/EF
판단하기	판단/NNG+하/XSV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000038.80.4.3
노년에 많이 생기는 4가지 증상을 진료 과(科) 별로 나눠 알아본다.

노년에	노년/NNG+에/JKB
많이	많이/MAG
생기는	생기/VV+는/ETM
4가지	4/SN+가지/NNB
증상을	증상/NNG+을/JKO
진료	진료/NNG
과(科)	과/NNG+(/SS+科/SH+)/SS
별로	별/XSN+로/JKB
나눠	나누/VV+어/EC
알아본다.	알아보/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.80.5.1
◇손발저림

◇손발저림	◇/SW+손발/NNG+저리/VV+ㅁ/ETN


# id : NWRW1800000038.80.6.1
▷순환기내과·혈관외과=손발이 시린듯 아프고 통증 부위가 차갑다면 동맥경화로 인해 혈관의 직경이 크게 줄어든 말초동맥질환일 수 있다.

▷순환기내과·혈관외과=손발이	▷/SW+순환기내과/NNG+·/SP+혈관외과/NNG+=/SW+손발/NNG+이/JKS
시린듯	시리/VA+ㄴ/ETM+듯/NNB
아프고	아프/VA+고/EC
통증	통증/NNG
부위가	부위/NNG+가/JKS
차갑다면	차갑/VA+다면/EC
동맥경화로	동맥/NNG+경화/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
혈관의	혈관/NNG+의/JKG
직경이	직경/NNG+이/JKS
크게	크/VA+게/EC
줄어든	줄어들/VV+ㄴ/ETM
말초동맥질환일	말초/NNG+동맥/NNG+질환/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.80.6.2
이상지혈증·동맥경화증·당뇨병을 앓는 사람에게 많이 나타난다.

이상지혈증·동맥경화증·당뇨병을	이상/NNG+지혈증/NNG+·/SP+동맥/NNG+경화증/NNG+·/SP+당뇨병/NNG+을/JKO
앓는	앓/VV+는/ETM
사람에게	사람/NNG+에게/JKB
많이	많이/MAG
나타난다.	나타나/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.80.7.1
▷신경과=손발저림이 좌우 양쪽 모두 나타나면 말초신경이 손상된 말초신경병증일 가능성이 크다.

▷신경과=손발저림이	▷/SW+신경과/NNG+=/SW+손발/NNG+저리/VV+ㅁ/ETN+이/JKS
좌우	좌우/NNG
양쪽	양쪽/NNG
모두	모두/MAG
나타나면	나타나/VV+면/EC
말초신경이	말초/NNG+신경/NNG+이/JKS
손상된	손상/NNG+되/XSV+ㄴ/ETM
말초신경병증일	말초/NNG+신경/NNG+병증/NNG+이/VCP+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000038.80.7.2
화끈거리면서 물건을 잘 놓친다.

화끈거리면서	화끈거리/VV+면서/EC
물건을	물건/NNG+을/JKO
잘	잘/MAG
놓친다.	놓치/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.80.8.1
▷신경외과·신경과=목 디스크가 있어도 손이 저린다.

▷신경외과·신경과=목	▷/SW+신경외과/NNG+·/SP+신경과/NNG+=/SW+목/NNG
디스크가	디스크/NNG+가/JKS
있어도	있/VA+어도/EC
손이	손/NNG+이/JKS
저린다.	저리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.80.8.2
김영수병원 김영수 원장은 "목을 뒤로 젖혀서 저린 손 방향으로 고개를 돌렸을 때 증상이 심해지면 목 디스크일 가능성이 높다"고 말했다.

김영수병원	김영수병원/NNP
김영수	김영수/NNP
원장은	원장/NNG+은/JX
"목을	"/SS+목/NNG+을/JKO
뒤로	뒤/NNG+로/JKB
젖혀서	젖히/VV+어서/EC
저린	저리/VA+ㄴ/ETM
손	손/NNG
방향으로	방향/NNG+으로/JKB
고개를	고개/NNG+를/JKO
돌렸을	돌리/VV+었/EP+을/ETM
때	때/NNG
증상이	증상/NNG+이/JKS
심해지면	심하/VA+아/EC+지/VX+면/EC
목	목/NNG
디스크일	디스크/NNG+이/VCP+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다"고	높/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.80.8.3
목 디스크가 있으면 어깨에서 손가락으로 통증 범위가 확대될 수 있다.

목	목/NNG
디스크가	디스크/NNG+가/JKS
있으면	있/VA+으면/EC
어깨에서	어깨/NNG+에서/JKB
손가락으로	손가락/NNG+으로/JKB
통증	통증/NNG
범위가	범위/NNG+가/JKS
확대될	확대/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.80.9.1
◇가슴답답증

◇가슴답답증	◇/SW+가슴/NNG+답답증/NNG


# id : NWRW1800000038.80.10.1
▷심장내과=가슴이 답답하며, 맥박이 정상 범위(60~100회/1분)를 벗어나거나 가슴이 쥐어짜는 듯이 아픈 증상이 함께 나타나면 부정맥·협심증 같은 심혈관질환일 가능성이 높다.

▷심장내과=가슴이	▷/SW+심장내과/NNG+=/SW+가슴/NNG+이/JKS
답답하며,	답답하/VA+며/EC+,/SP
맥박이	맥박/NNG+이/JKS
정상	정상/NNG
범위(60~100회/1분)를	범위/NNG+(/SS+60/SN+~/SO+100/SN+회/NNB+//SP+1/SN+분/NNB+)/SS+를/JKO
벗어나거나	벗어나/VV+거나/EC
가슴이	가슴/NNG+이/JKS
쥐어짜는	쥐어짜/VV+는/ETM
듯이	듯이/NNB
아픈	아프/VA+ㄴ/ETM
증상이	증상/NNG+이/JKS
함께	함께/MAG
나타나면	나타나/VV+면/EC
부정맥·협심증	부정맥/NNG+·/SP+협심증/NNG
같은	같/VA+은/ETM
심혈관질환일	심혈관/NNG+질환/NNG+이/VCP+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000038.80.11.1
▷호흡기내과=가슴이 쿡쿡 찌르듯 아프고, 자세를 바꿀 때마다 가슴답답증이 나타났다 사라지면 늑연골염 같은 흉부 근골격계 염증질환을 의심해야 한다.

▷호흡기내과=가슴이	▷/SW+호흡기내과/NNG+=/SW+가슴/NNG+이/JKS
쿡쿡	쿡쿡/MAG
찌르듯	찌르/VV+듯/EC
아프고,	아프/VA+고/EC+,/SP
자세를	자세/NNG+를/JKO
바꿀	바꾸/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
가슴답답증이	가슴/NNG+답답증/NNG+이/JKS
나타났다	나타나/VV+았/EP+다/EC
사라지면	사라지/VV+면/EC
늑연골염	늑연골염/NNG
같은	같/VA+은/ETM
흉부	흉부/NNG
근골격계	근골격/NNG+계/XSN
염증질환을	염증/NNG+질환/NNG+을/JKO
의심해야	의심/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.80.11.2
숨을 들이마실 때에 증상이 생기면 기흉·늑막염·천식 같은 호흡기질환일 수 있다.

숨을	숨/NNG+을/JKO
들이마실	들이마시/VV+ㄹ/ETM
때에	때/NNG+에/JKB
증상이	증상/NNG+이/JKS
생기면	생기/VV+면/EC
기흉·늑막염·천식	기흉/NNG+·/SP+늑막염/NNG+·/SP+천식/NNG
같은	같/VA+은/ETM
호흡기질환일	호흡기/NNG+질환/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.80.12.1
▷정신건강의학과=얼굴에 열감이 있고 우울·불안·소화불량·설사를 동반할 땐 화병을 의심해봐야 한다.

▷정신건강의학과=얼굴에	▷/SW+정신/NNG+건강/NNG+의학과/NNG+=/SW+얼굴/NNG+에/JKB
열감이	열감/NNG+이/JKS
있고	있/VA+고/EC
우울·불안·소화불량·설사를	우울/NNG+·/SP+불안/NNG+·/SP+소화/NNG+불량/NNG+·/SP+설사/NNG+를/JKO
동반할	동반/NNG+하/XSV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
화병을	화병/NNG+을/JKO
의심해봐야	의심/NNG+하/XSV+아/EC+보/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.80.13.1
▷내분비내과=심장이 두근거리면서 더위에 민감하면 갑상선기능항진증일 가능성이 크다.

▷내분비내과=심장이	▷/SW+내분비내과/NNG+=/SW+심장/NNG+이/JKS
두근거리면서	두근거리/VV+면서/EC
더위에	더위/NNG+에/JKB
민감하면	민감/NNG+하/XSA+면/EC
갑상선기능항진증일	갑상선/NNG+기능/NNG+항진증/NNG+이/VCP+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000038.80.14.1
◇어지럼증

◇어지럼증	◇/SW+어지럼증/NNG


# id : NWRW1800000038.80.15.1
▷이비인후과=서울성모병원 이비인후과 박시내 교수는 "앉거나 누웠다가 일어날 때 어지럼증이 심하면 이석증일 수 있다"며 "고개를 움직일 때마다 이석이 반고리관 안에서 흔들려 어지럼증을 유발한 것"이라고 말했다.

▷이비인후과=서울성모병원	▷/SW+이비인후과/NNG+=/SW+서울성모병원/NNP
이비인후과	이비인후과/NNG
박시내	박시내/NNP
교수는	교수/NNG+는/JX
"앉거나	"/SS+앉/VV+거나/EC
누웠다가	눕/VV+었/EP+다가/EC
일어날	일어나/VV+ㄹ/ETM
때	때/NNG
어지럼증이	어지럼증/NNG+이/JKS
심하면	심하/VA+면/EC
이석증일	이석증/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"고개를	"/SS+고개/NNG+를/JKO
움직일	움직이/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
이석이	이석/NNG+이/JKS
반고리관	반고리관/NNG
안에서	안/NNG+에서/JKB
흔들려	흔들리/VV+어/EC
어지럼증을	어지럼증/NNG+을/JKO
유발한	유발/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.80.15.2
감기를 앓고 난 뒤 빙빙 도는 어지럼증이 하루 이상 지속되면 전정신경염일 수 있다.

감기를	감기/NNG+를/JKO
앓고	앓/VV+고/EC
난	나/VX+ㄴ/ETM
뒤	뒤/NNG
빙빙	빙빙/MAG
도는	돌/VV+는/ETM
어지럼증이	어지럼증/NNG+이/JKS
하루	하루/NNG
이상	이상/NNG
지속되면	지속/NNG+되/XSV+면/EC
전정신경염일	전정/NNG+신경염/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.80.15.3
바이러스 감염 탓에 잘 생긴다.

바이러스	바이러스/NNG
감염	감염/NNG
탓에	탓/NNG+에/JKB
잘	잘/MAG
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.80.16.1
▷신경과=가만히 있거나 누워 있을 때조차 어지럽고 두통이 동반되면 편두통을 의심해봐야 한다.

▷신경과=가만히	▷/SW+신경과/NNG+=/SW+가만히/MAG
있거나	있/VV+거나/EC
누워	눕/VV+어/EC
있을	있/VX+을/ETM
때조차	때/NNG+조차/JX
어지럽고	어지럽/VA+고/EC
두통이	두통/NNG+이/JKS
동반되면	동반/NNG+되/XSV+면/EC
편두통을	편두통/NNG+을/JKO
의심해봐야	의심/NNG+하/XSV+아/EC+보/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.80.16.2
이 경우 어지러운 상태가 1시간 가까이 지속된다.

이	이/MMD
경우	경우/NNG
어지러운	어지럽/VA+ㄴ/ETM
상태가	상태/NNG+가/JKS
1시간	1/SN+시간/NNB
가까이	가까이/MAG
지속된다.	지속/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.80.17.1
▷순환기내과=띵한 느낌이 들면서 주저앉을 정도로 어지러우면 부정맥·기립성저혈압·빈혈 같은 심혈관질환 탓일 가능성이 크다.

▷순환기내과=띵한	▷/SW+순환기내과/NNG+=/SW+띵/MAG+하/XSA+ㄴ/ETM
느낌이	느낌/NNG+이/JKS
들면서	들/VV+면서/EC
주저앉을	주저앉/VV+을/ETM
정도로	정도/NNG+로/JKB
어지러우면	어지럽/VA+으면/EC
부정맥·기립성저혈압·빈혈	부정맥/NNG+·/SP+기립/NNG+성/XSN+저/XPN+혈압/NNG+·/SP+빈혈/NNG
같은	같/VA+은/ETM
심혈관질환	심혈관/NNG+질환/NNG
탓일	탓/NNG+이/VCP+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000038.80.18.1
◇두통

◇두통	◇/SW+두통/NNG


# id : NWRW1800000038.80.19.1
▷신경과=메스껍고 머리가 울리면서 아프면 편두통일 수 있다.

▷신경과=메스껍고	▷/SW+신경과/NNG+=/SW+메스껍/VA+고/EC
머리가	머리/NNG+가/JKS
울리면서	울리/VV+면서/EC
아프면	아프/VA+면/EC
편두통일	편두통/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.80.19.2
스트레스가 심할 때 머리가 조이는 것처럼 아프면 긴장형 두통이 생긴 것이다.

스트레스가	스트레스/NNG+가/JKS
심할	심하/VA+ㄹ/ETM
때	때/NNG
머리가	머리/NNG+가/JKS
조이는	조이/VV+는/ETM
것처럼	것/NNB+처럼/JKB
아프면	아프/VA+면/EC
긴장형	긴장/NNG+형/XSN
두통이	두통/NNG+이/JKS
생긴	생기/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.80.19.3
▷신경외과=전기가 통하듯 머리가 찌릿찌릿하고 번쩍하는 느낌이 드는 두통은 머리 뒷쪽을 지나가는 후두신경 손상이 원인일 수 있다.

▷신경외과=전기가	▷/SW+신경외과/NNG+=/SW+전기/NNG+가/JKS
통하듯	통하/VV+듯/EC
머리가	머리/NNG+가/JKS
찌릿찌릿하고	찌릿찌릿/MAG+하/XSA+고/EC
번쩍하는	번쩍/MAG+하/XSV+는/ETM
느낌이	느낌/NNG+이/JKS
드는	들/VV+는/ETM
두통은	두통/NNG+은/JX
머리	머리/NNG
뒷쪽을	뒷쪽/NNG+을/JKO
지나가는	지나가/VV+는/ETM
후두신경	후두/NNG+신경/NNG
손상이	손상/NNG+이/JKS
원인일	원인/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.80.19.4
뒤통수가 따끔거리기도 한다.

뒤통수가	뒤통수/NNG+가/JKS
따끔거리기도	따끔거리/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.80.20.1
▷마취통증의학과·재활의학과=머리를 누르는 묵직한 두통이 목이나 어깨로 뻗치면서 나타나면 근막동통증후군일 수 있다.

▷마취통증의학과·재활의학과=머리를	▷/SW+마취/NNG+통증/NNG+의학과/NNG+·/SP+재활/NNG+의학과/NNG+=/SW+머리/NNG+를/JKO
누르는	누르/VV+는/ETM
묵직한	묵직하/VA+ㄴ/ETM
두통이	두통/NNG+이/JKS
목이나	목/NNG+이나/JC
어깨로	어깨/NNG+로/JKB
뻗치면서	뻗치/VV+면서/EC
나타나면	나타나/VV+면/EC
근막동통증후군일	근막/NNG+동통/NNG+증후군/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.80.20.2
강남세브란스병원 재활의학과 박중현 교수는 "신문이나 책을 볼 때 구부정하거나 목 디스크·척추관협착증을 앓는 노인에게 잘 생긴다"고 말했다.

강남세브란스병원	강남세브란스병원/NNP
재활의학과	재활/NNG+의학과/NNG
박중현	박중현/NNP
교수는	교수/NNG+는/JX
"신문이나	"/SS+신문/NNG+이나/JC
책을	책/NNG+을/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
구부정하거나	구부정하/VA+거나/EC
목	목/NNG
디스크·척추관협착증을	디스크/NNG+·/SP+척추관/NNG+협착증/NNG+을/JKO
앓는	앓/VV+는/ETM
노인에게	노인/NNG+에게/JKB
잘	잘/MAG
생긴다"고	생기/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


