# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.343
metadata : {}


# id : NWRW1800000054.343.1.1
무산스님 "나라가 '三毒(탐욕·분노·어리석음) 불' 빠져… 그 불길 잡아야 대권 잡아"

무산스님	무산/NNP+스님/NNG
사람들이	사람/NNG+들/XSN+이/JKS
'누가	'/SS+누구/NP+가/JKS
대통령이	대통령/NNG+이/JKC
되느냐?'고	되/VV+느냐/EF+?/SF+'/SS+고/JKQ
물으면	묻/VV+으면/EC
'삼독(三毒·탐욕,	'/SS+삼독/NNG+(/SS+三毒/SH+·/SP+탐욕/NNG+,/SP
분노,	분노/NNG+,/SP
어리석음)의	어리석/VA+음/ETN+)/SS+의/JKG
불길을	불길/NNG+을/JKO
잡는	잡/VV+는/ETM
사람이	사람/NNG+이/JKS
민심도	민심/NNG+도/JX
잡고	잡/VV+고/EC
대권도	대권/NNG+도/JX
잡는다'고	잡/VV+는다/EF+'/SS+고/JKQ
정중하게	정중하/VA+게/EC
전하십시오."	전하/VV+시/EP+ㅂ시오/EF+./SF+"/SS


# id : NWRW1800000054.343.4.1
10일 오전 강원도 인제군 백담사에서 열린 동안거(冬安居) 해제 법문에서 불교 조계종 기본선원 조실(祖室) 무산(霧山·사진) 스님이 대통령 탄핵 심판과 대선을 둘러싸고 권력 놀음에 빠진 정치판을 질타했다.

10일	10/SN+일/NNB
오전	오전/NNG
강원도	강원도/NNP
인제군	인제군/NNP
백담사에서	백담사/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
동안거(冬安居)	동안거/NNG+(/SS+冬安居/SH+)/SS
해제	해제/NNG
법문에서	법문/NNG+에서/JKB
불교	불교/NNG
조계종	조계종/NNP
기본선원	기본선원/NNG
조실(祖室)	조실/NNG+(/SS+祖室/SH+)/SS
무산(霧山·사진)	무산/NNP+(/SS+霧山/SH+·/SP+사진/NNG+)/SS
스님이	스님/NNG+이/JKS
대통령	대통령/NNG
탄핵	탄핵/NNG
심판과	심판/NNG+과/JC
대선을	대선/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
권력	권력/NNG
놀음에	놀음/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
정치판을	정치판/NNG+을/JKO
질타했다.	질타/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.343.4.2
일반 대중에겐 오현 스님으로 더 잘 알려진 불교계 원로 무산 스님의 이날 법문은 석 달 만에 세상에 나가는 선승(禪僧)들에게 던진 것이지만, 진짜 과녁은 산문(山門) 너머 '삼독의 불바다에 빠진 세상'을 향했다.

일반	일반/NNG
대중에겐	대중/NNG+에게/JKB+ㄴ/JX
오현	오현/NNP
스님으로	스님/NNG+으로/JKB
더	더/MAG
잘	잘/MAG
알려진	알려지/VV+ㄴ/ETM
불교계	불교/NNG+계/XSN
원로	원로/NNG
무산	무산/NNG
스님의	스님/NNG+의/JKG
이날	이날/NNG
법문은	법문/NNG+은/JX
석	석/MMN
달	달/NNB
만에	만/NNB+에/JKB
세상에	세상/NNG+에/JKB
나가는	나가/VV+는/ETM
선승(禪僧)들에게	선승/NNG+(/SS+禪僧/SH+)/SS+들/XSN+에게/JKB
던진	던지/VV+ㄴ/ETM
것이지만,	것/NNB+이/VCP+지만/EC+,/SP
진짜	진짜/NNG
과녁은	과녁/NNG+은/JX
산문(山門)	산문/NNG+(/SS+山門/SH+)/SS
너머	너머/NNG
'삼독의	'/SS+삼독/NNG+의/JKG
불바다에	불바다/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
세상'을	세상/NNG+'/SS+을/JKO
향했다.	향하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.343.4.3
무산 스님은 백담사 무문관(無門關)에서 다른 8명의 스님과 함께 밖에서 문을 걸어 잠근 1인실에 스스로를 유폐시키고 오직 밥 구멍 하나로 세상과 소통하며 석달간 정진(精進)했다.

무산	무산/NNP
스님은	스님/NNG+은/JX
백담사	백담사/NNP
무문관(無門關)에서	무문관/NNG+(/SS+無門關/SH+)/SS+에서/JKB
다른	다른/MMD
8명의	8/SN+명/NNB+의/JKG
스님과	스님/NNG+과/JKB
함께	함께/MAG
밖에서	밖/NNG+에서/JKB
문을	문/NNG+을/JKO
걸어	걸/VV+어/EC
잠근	잠그/VV+ㄴ/ETM
1인실에	1인실/NNG+에/JKB
스스로를	스스로/NNG+를/JKO
유폐시키고	유폐/NNG+시키/XSV+고/EC
오직	오직/MAG
밥	밥/NNG
구멍	구멍/NNG
하나로	하나/NR+로/JKB
세상과	세상/NNG+과/JKB
소통하며	소통/NNG+하/XSV+며/EC
석달간	석/MMN+달/NNB+간/XSN
정진(精進)했다.	정진/NNG+(/SS+精進/SH+)/SS+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.343.5.1
무산 스님은 "부처님은 어느 날 산에 올라 '비구들이여, 세계가 불타고 있다. 탐욕의 불, 분노의 불, 어리석음의 불길이 맹렬히 타오르고 있다'고 설파하셨다"며 "중생은 남의 허물을 다 보면서 정작 자신의 허물은 못 본다"고 했다.

무산	무산/NNP
스님은	스님/NNG+은/JX
"부처님은	"/SS+부처/NNP+님/XSN+은/JX
어느	어느/MMD
날	날/NNG
산에	산/NNG+에/JKB
올라	오르/VV+아/EC
'비구들이여,	'/SS+비구/NNG+들/XSN+이여/JKV+,/SP
세계가	세계/NNG+가/JKS
불타고	불타/VV+고/EC
있다.	있/VX+다/EF+./SF
탐욕의	탐욕/NNG+의/JKG
불,	불/NNG+,/SP
분노의	분노/NNG+의/JKG
어리석음의	어리석/VA+음/ETN+의/JKG
불길이	불길/NNG+이/JKS
맹렬히	맹렬히/MAG
타오르고	타오르/VV+고/EC
있다'고	있/VX+다/EF+'/SS+고/JKQ
설파하셨다"며	설파/NNG+하/XSV+시/EP+었/EP+다/EF+"/SS+며/EC
"중생은	"/SS+중생/NNG+은/JX
남의	남/NNG+의/JKG
허물을	허물/NNG+을/JKO
다	다/MAG
보면서	보/VV+면서/EC
정작	정작/MAG
자신의	자신/NNG+의/JKG
허물은	허물/NNG+은/JX
못	못/MAG
본다"고	보/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.343.5.2
그는 "그러나 삼독의 불길을 잡으면 자기 허물이 보인다. 자기 허물을 보면 남의 허물이 보이지 않는다. 자기 허물을 보는 사람은 공명정대한 사람이고, 이번에 공명정대한 사람이 대통령이 된다는 뜻"이라고 말했다.

그는	그/NP+는/JX
"그러나	"/SS+그러나/MAJ
삼독의	삼독/NNG+의/JKG
불길을	불길/NNG+을/JKO
잡으면	잡/VV+으면/EC
자기	자기/NNG
허물이	허물/NNG+이/JKS
보인다.	보이/VV+ㄴ다/EF+./SF
허물을	허물/NNG+을/JKO
보면	보/VV+면/EC
남의	남/NNG+의/JKG
보이지	보이/VV+지/EC
않는다.	않/VX+는다/EF+./SF
보는	보/VV+는/ETM
사람은	사람/NNG+은/JX
공명정대한	공명정대/NNG+하/XSA+ㄴ/ETM
사람이고,	사람/NNG+이/VCP+고/EC+,/SP
이번에	이번/NNG+에/JKB
사람이	사람/NNG+이/JKS
대통령이	대통령/NNG+이/JKC
된다는	되/VV+ㄴ다는/ETM
뜻"이라고	뜻/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.343.6.1
무산 스님은 또 "오늘의 고통, 중생의 아픔을 화두로 삼아야 한다"고 강조했다.

무산	무산/NNP
스님은	스님/NNG+은/JX
또	또/MAG
"오늘의	"/SS+오늘/NNG+의/JKG
고통,	고통/NNG+,/SP
중생의	중생/NNG+의/JKG
아픔을	아픔/NNG+을/JKO
화두로	화두/NNG+로/JKB
삼아야	삼/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.343.6.2
"이 뭣고, '무(無)', 뜰 앞의 잣나무 같은 중국의 화두(話頭)에는 오늘의 고통, 중생의 삶, 아픔이 없습니다.

"이	"/SS+이/MMD
뭣고,	뭣/NP+이/VCP+고/EC+,/SP
'무(無)',	'/SS+무/NNG+(/SS+無/SH+)/SS+'/SS+,/SP
뜰	뜰/NNG
앞의	앞/NNG+의/JKG
잣나무	잣나무/NNG
같은	같/VA+은/ETM
중국의	중국/NNP+의/JKG
화두(話頭)에는	화두/NNG+(/SS+話頭/SH+)/SS+에/JKB+는/JX
오늘의	오늘/NNG+의/JKG
고통,	고통/NNG+,/SP
중생의	중생/NNG+의/JKG
삶,	삶/NNG+,/SP
아픔이	아픔/NNG+이/JKS
없습니다.	없/VA+습니다/EF+./SF


# id : NWRW1800000054.343.6.3
불심(佛心)의 근원은 중생심이며 중생의 아픔이 없는 화두는 사구(死句) 흙덩어리입니다."

불심(佛心)의	불심/NNG+(/SS+佛心/SH+)/SS+의/JKG
근원은	근원/NNG+은/JX
중생심이며	중생심/NNG+이/VCP+며/EC
중생의	중생/NNG+의/JKG
아픔이	아픔/NNG+이/JKS
없는	없/VA+는/ETM
화두는	화두/NNG+는/JX
사구(死句)	사구/NNG+(/SS+死句/SH+)/SS
흙덩어리입니다."	흙덩어리/NNG+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000054.343.6.4
그는 이어 "흙덩어리를 던지면 개는 흙덩이를 쫓고, 사자는 던지는 놈을 물어뜯고 울부짖습니다. 여러분은 지금 흙덩어리를 던지는 이 노골(老骨), 이 늙은이의 말을 물어뜯고 자신의 울음소리를 내야 한다"고 일렀다.

그는	그/NP+는/JX
이어	이어/MAG
"흙덩어리를	"/SS+흙덩어리/NNG+를/JKO
던지면	던지/VV+면/EC
개는	개/NNG+는/JX
흙덩이를	흙덩이/NNG+를/JKO
쫓고,	쫓/VV+고/EC+,/SP
사자는	사자/NNG+는/JX
던지는	던지/VV+는/ETM
놈을	놈/NNB+을/JKO
물어뜯고	물어뜯/VV+고/EC
울부짖습니다.	울부짖/VV+습니다/EF+./SF
여러분은	여러분/NP+은/JX
지금	지금/MAG
흙덩어리를	흙덩어리/NNG+를/JKO
이	이/MMD
노골(老骨),	노골/NNG+(/SS+老骨/SH+)/SS+,/SP
늙은이의	늙은이/NNG+의/JKG
말을	말/NNG+을/JKO
자신의	자신/NNG+의/JKG
울음소리를	울음소리/NNG+를/JKO
내야	내/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
일렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.343.7.1
'중생의 아픔을 화두 삼으라'는 무산 스님의 법문은 선승들과 대선을 앞두고 꿈틀거리는 '잠룡(潛龍)'들을 동시에 겨눈 것이었다.

'중생의	'/SS+중생/NNG+의/JKG
아픔을	아픔/NNG+을/JKO
화두	화두/NNG
삼으라'는	삼/VV+으라/EF+'/SS+는/ETM
무산	무산/NNP
스님의	스님/NNG+의/JKG
법문은	법문/NNG+은/JX
선승들과	선승/NNG+들/XSN+과/JKB
대선을	대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
꿈틀거리는	꿈틀거리/VV+는/ETM
'잠룡(潛龍)'들을	'/SS+잠룡/NNG+(/SS+潛龍/SH+)/SS+'/SS+들/XSN+을/JKO
동시에	동시/NNG+에/JKB
겨눈	겨누/VV+ㄴ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.343.7.2
여러 권의 시집을 펴낸 시인이기도 한 무산 스님은 법문 말미에 자신의 작품 '오늘'을 읊었다.

여러	여러/MMN
권의	권/NNB+의/JKG
시집을	시집/NNG+을/JKO
펴낸	펴내/VV+ㄴ/ETM
시인이기도	시인/NNG+이/VCP+기/ETN+도/JX
한	하/VX+ㄴ/ETM
무산	무산/NNP
스님은	스님/NNG+은/JX
법문	법문/NNG
말미에	말미/NNG+에/JKB
자신의	자신/NNG+의/JKG
작품	작품/NNG
'오늘'을	'/SS+오늘/NNP+'/SS+을/JKO
읊었다.	읊/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.343.8.1
'가재도 잉어도 다 살았던 봇도랑에/맑은 물 흘러들지 않고 더러운 물만 흘러들어/진흙탕 좋아하는 미꾸라지 놈들/용트림 할 만한 오늘.'

'가재도	'/SS+가재/NNG+도/JX
잉어도	잉어/NNG+도/JX
다	다/MAG
살았던	살/VV+았/EP+던/ETM
봇도랑에/맑은	봇도랑/NNG+에/JKB+//SP+맑/VA+은/ETM
물	물/NNG
흘러들지	흘러들/VV+지/EC
않고	않/VX+고/EC
더러운	더럽/VA+ㄴ/ETM
물만	물/NNG+만/JX
흘러들어/진흙탕	흘러들/VV+어/EC+//SP+진흙탕/NNG
좋아하는	좋아하/VV+는/ETM
미꾸라지	미꾸라지/NNG
놈들/용트림	놈/NNB+들/XSN+//SP+용트림/NNG
할	하/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
오늘.'	오늘/NNG+./SF+'/SS


