# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.379
metadata : {}


# id : NWRW1800000038.379.1.1
朴대통령 "아버지 살던 신당동 집, 세금들여 공원화 안돼"

朴대통령	朴/SH+대통령/NNG
무더워지고	무덥/VA+어/EC+지/VX+고/EC
있는데	있/VX+는데/EC
전력난	전력난/NNG
때문에	때문/NNB+에/JKB
걱정이	걱정/NNG+이/JKS
크다.	크/VA+다/EF+./SF
청와대가	청와대/NNP+가/JKS
솔선수범해서	솔선수범/NNG+하/XSV+아서/EC
전력	전력/NNG
소모를	소모/NNG+를/JKO
줄여달라"며	줄이/VV+어/EC+달/VX+라/EF+"/SS+며/EC
"저도	"/SS+저/NP+도/JX
요즘	요즘/NNG
에어컨을	에어컨/NNG+을/JKO
전혀	전혀/MAG
틀지	틀/VV+지/EC
않고	않/VX+고/EC
지내고	지내/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.379.5.2
허태열 비서실장과 수석비서관들이 넥타이를 풀고 와이셔츠 차림으로 회의에 참석한 것을 보고 박 대통령은 "잘했다"면서 "여름에 윗도리 입고 어떤 때는 넥타이까지 매고 (회의)하는데 전기를 절약해야 하는 상황에서 말도 안 되는 얘기"라고 했다.

허태열	허태열/NNP
비서실장과	비서실장/NNG+과/JC
수석비서관들이	수석/NNG+비서관/NNG+들/XSN+이/JKS
넥타이를	넥타이/NNG+를/JKO
풀고	풀/VV+고/EC
와이셔츠	와이셔츠/NNG
차림으로	차림/NNG+으로/JKB
회의에	회의/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
보고	보/VV+고/EC
박	박/NNP
대통령은	대통령/NNG+은/JX
"잘했다"면서	"/SS+잘/MAG+하/XSV+았/EP+다/EF+"/SS+면서/EC
"여름에	"/SS+여름/NNG+에/JKB
윗도리	윗도리/NNG
입고	입/VV+고/EC
어떤	어떤/MMD
때는	때/NNG+는/JX
넥타이까지	넥타이/NNG+까지/JX
매고	매/VV+고/EC
(회의)하는데	(/SS+회의/NNG+)/SS+하/VV+는데/EC
전기를	전기/NNG+를/JKO
절약해야	절약/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
상황에서	상황/NNG+에서/JKB
말도	말/NNG+도/JX
안	안/MAG
되는	되/VV+는/ETM
얘기"라고	얘기/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.379.5.3
이날 회의가 열린 청와대 집현실에는 선풍기도 틀지 않았다.

이날	이날/NNG
회의가	회의/NNG+가/JKS
열린	열리/VV+ㄴ/ETM
청와대	청와대/NNP
집현실에는	집현실/NNG+에/JKB+는/JX
선풍기도	선풍기/NNG+도/JX
틀지	틀/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


