# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.230
metadata : {}


# id : NWRW1800000029.230.1.1
장학금의 ‘나비효과’… 2년새 36억

장학금의	장학금/NNG+의/JKG
이 때문에 장학금 이름도 작은 움직임이 큰 변화를 일으키는 나비효과의 ‘버터플라이’와 학교 상징인 푸른색의 ‘블루’를 합쳐 지었다.

이	이/MMD
때문에	때문/NNB+에/JKB
장학금	장학금/NNG
이름도	이름/NNG+도/JX
작은	작/VA+은/ETM
움직임이	움직임/NNG+이/JKS
큰	크/VA+ㄴ/ETM
변화를	변화/NNG+를/JKO
일으키는	일으키/VV+는/ETM
나비효과의	나비/NNG+효과/NNG+의/JKG
‘버터플라이’와	‘/SS+버터플라이/NNG+’/SS+와/JC
학교	학교/NNG
상징인	상징/NNG+이/VCP+ㄴ/ETM
푸른색의	푸른색/NNG+의/JKG
‘블루’를	‘/SS+블루/NNG+’/SS+를/JKO
합쳐	합치/VV+어/EC
지었다.	짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.230.6.1
시간이 지나면서 작은 돈은 정말로 큰 돈이 됐다.

시간이	시간/NNG+이/JKS
지나면서	지나/VV+면서/EC
작은	작/VA+은/ETM
돈은	돈/NNG+은/JX
정말로	정말로/MAG
큰	크/VA+ㄴ/ETM
돈이	돈/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.230.6.2
2년 만에 36억8624만 원이 모였다.

2년	2/SN+년/NNB
만에	만/NNB+에/JKB
36억8624만	36/SN+억/NR+8624/SN+만/NR
원이	원/NNB+이/JKS
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.230.6.3
지금까지 673명이 참여했다.

지금까지	지금/NNG+까지/JX
673명이	673/SN+명/NNB+이/JKS
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.230.6.4
기부 횟수는 2701건에 이른다.

기부	기부/NNG
횟수는	횟수/NNG+는/JX
2701건에	2701/SN+건/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.230.6.5
80학번 이후 동문의 기부는 278건이나 됐다.

80학번	80/SN+학번/NNG
이후	이후/NNG
동문의	동문/NNG+의/JKG
기부는	기부/NNG+는/JX
278건이나	278/SN+건/NNB+이나/JX
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.230.6.6
기부자 명단에는 구학서 신세계 회장, 김종훈 외교통상부 통상교섭본부장, 김창근 SK케미칼 부회장, 서창우 한국파파존스 대표이사, 안용찬 애경그룹 생활·항공부문 부회장의 이름이 보인다.

기부자	기부자/NNG
명단에는	명단/NNG+에/JKB+는/JX
구학서	구학서/NNP
신세계	신세계/NNP
회장,	회장/NNG+,/SP
김종훈	김종훈/NNP
외교통상부	외교/NNG+통상부/NNG
통상교섭본부장,	통상/NNG+교섭/NNG+본부장/NNG+,/SP
김창근	김창근/NNP
SK케미칼	SK케미칼/NNP
부회장,	부회장/NNG+,/SP
서창우	서창우/NNP
한국파파존스	한국파파존스/NNP
대표이사,	대표/NNG+이사/NNG+,/SP
안용찬	안용찬/NNP
애경그룹	애경그룹/NNP
생활·항공부문	생활/NNG+·/SP+항공/NNG+부문/NNG
부회장의	부회장/NNG+의/JKG
이름이	이름/NNG+이/JKS
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.230.7.1
선배들의 이야기가 알려지자 재학생들이 동참했다.

선배들의	선배/NNG+들/XSN+의/JKG
이야기가	이야기/NNG+가/JKS
알려지자	알려지/VV+자/EC
재학생들이	재학/NNG+생/XSN+들/XSN+이/JKS
동참했다.	동참/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.230.7.2
김찬석 씨(경영학과·21)는 “장학금으로 학교를 다니면서 받은 도움을 조금이나마 돌려주고 싶었다.

김찬석	김찬석/NNP
씨(경영학과·21)는	씨/NNB+(/SS+경영학과/NNG+·/SP+21/SN+)/SS+는/JX
“장학금으로	“/SS+장학금/NNG+으로/JKB
학교를	학교/NNG+를/JKO
다니면서	다니/VV+면서/EC
받은	받/VV+은/ETM
도움을	도움/NNG+을/JKO
조금이나마	조금/NNG+이나마/JX
돌려주고	돌려주/VV+고/EC
싶었다.	싶/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.230.7.3
학생이라 약간 부담스럽긴 하지만 내 블루 버터플라이가 후배들에게도 이어졌으면 좋겠다”고 했다.

학생이라	학생/NNG+이/VCP+라/EC
약간	약간/MAG
부담스럽긴	부담/NNG+스럽/XSA+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
내	나/NP+의/JKG
블루	블루/NNG
버터플라이가	버터플라이/NNG+가/JKS
후배들에게도	후배/NNG+들/XSN+에게/JKB+도/JX
이어졌으면	이어지/VV+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.230.8.1
이들의 기부금은 가정형편이 어렵지만 학업 성적이 우수한 상경·경영계열 신입생에게 전달된다.

이들의	이/NP+들/XSN+의/JKG
기부금은	기부금/NNG+은/JX
가정형편이	가정/NNG+형편/NNG+이/JKS
어렵지만	어렵/VA+지만/EC
학업	학업/NNG
성적이	성적/NNG+이/JKS
우수한	우수/NNG+하/XSA+ㄴ/ETM
상경·경영계열	상경/NNG+·/SP+경영/NNG+계열/NNG
신입생에게	신입/NNG+생/XSN+에게/JKB
전달된다.	전달/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.230.8.2
올해는 28명을 선발했다.

올해는	올해/NNG+는/JX
28명을	28/SN+명/NNB+을/JKO
선발했다.	선발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.230.8.3
지금까지 모두 83명이 도움을 받았다.

지금까지	지금/NNG+까지/JX
모두	모두/MAG
83명이	83/SN+명/NNB+이/JKS
도움을	도움/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.230.8.4
올해 장학증서를 받은 이승준 씨(경제학과·19)는 “블루 버터플라이는 수시전형에 합격했지만 가정형편 때문에 다른 대학에 갈까 고민하던 내게 희망을 줬다”고 말했다.

올해	올해/NNG
장학증서를	장학/NNG+증서/NNG+를/JKO
받은	받/VV+은/ETM
이승준	이승준/NNP
씨(경제학과·19)는	씨/NNB+(/SS+경제학과/NNG+·/SP+19/SN+)/SS+는/JX
“블루	“/SS+블루/NNG
버터플라이는	버터플라이/NNG+는/JX
수시전형에	수시/NNG+전형/NNG+에/JKB
합격했지만	합격/NNG+하/XSV+았/EP+지만/EC
가정형편	가정/NNG+형편/NNG
때문에	때문/NNB+에/JKB
다른	다른/MMD
대학에	대학/NNG+에/JKB
갈까	가/VV+ㄹ까/EF
고민하던	고민/NNG+하/XSV+던/ETM
내게	나/NP+에게/JKB
희망을	희망/NNG+을/JKO
줬다”고	주/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.230.9.1
이 장학금은 지난해 아시아태평양 PR상 공공캠페인 부문에서 대상에 뽑혔다.

이	이/MMD
장학금은	장학금/NNG+은/JX
지난해	지난해/NNG
아시아태평양	아시아/NNP+태평양/NNP
PR상	PR/SL+상/NNG
공공캠페인	공공/NNG+캠페인/NNG
부문에서	부문/NNG+에서/JKB
대상에	대상/NNG+에/JKB
뽑혔다.	뽑히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.230.9.2
아시아태평양 지역에서 1년간 진행된 성공적인 PR 사례로 인정받은 셈이다.

아시아태평양	아시아/NNP+태평양/NNP
지역에서	지역/NNG+에서/JKB
1년간	1/SN+년/NNB+간/XSN
진행된	진행/NNG+되/XSV+ㄴ/ETM
성공적인	성공/NNG+적/XSN+이/VCP+ㄴ/ETM
PR	PR/SL
사례로	사례/NNG+로/JKB
인정받은	인정/NNG+받/XSV+은/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.230.10.1
작은 돈이 만든 큰 기적의 힘은 이제 다른 대학으로도 뻗어나가려 한다.

작은	작/VA+은/ETM
돈이	돈/NNG+이/JKS
만든	만들/VV+ㄴ/ETM
큰	크/VA+ㄴ/ETM
기적의	기적/NNG+의/JKG
힘은	힘/NNG+은/JX
이제	이제/MAG
다른	다른/MMD
대학으로도	대학/NNG+으로/JKB+도/JX
뻗어나가려	뻗/VV+어/EC+나가/VX+려/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.230.10.2
김영진 동창회장(55·한독약품 대표)은 “다른 대학의 동창회에서도 벤치마킹을 하고 싶다는 문의가 많이 와 방법을 알려주려고 한다.

김영진	김영진/NNP
동창회장(55·한독약품	동창회장/NNG+(/SS+55/SN+·/SP+한독약품/NNP
대표)은	대표/NNG+)/SS+은/JX
“다른	“/SS+다른/MMD
대학의	대학/NNG+의/JKG
동창회에서도	동창회/NNG+에서/JKB+도/JX
벤치마킹을	벤치마킹/NNG+을/JKO
하고	하/VV+고/EC
싶다는	싶/VX+다는/ETM
문의가	문의/NNG+가/JKS
많이	많이/MAG
와	오/VV+아/EC
방법을	방법/NNG+을/JKO
알려주려고	알리/VV+어/EC+주/VX+려고/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.230.10.3
비싼 학비 때문에 고통 받는 대학생들에게 꿈이 됐으면 좋겠다”고 말했다.

비싼	비싸/VA+ㄴ/ETM
학비	학비/NNG
때문에	때문/NNB+에/JKB
고통	고통/NNG
받는	받/VV+는/ETM
대학생들에게	대학/NNG+생/XSN+들/XSN+에게/JKB
꿈이	꿈/NNG+이/JKC
됐으면	되/VV+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


