# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.137
metadata : {}


# id : NWRW1800000049.137.1.1
[임희윤 기자의 싱글노트]온난화의 비극… 우리가 무슨 짓을 한 거지?

[임희윤	[/SS+임희윤/NNP
사운드트랙	사운드트랙/NNG
작업을	작업/NNG+을/JKO
맡았다고	맡/VV+았/EP+다고/EC
들었기	듣/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.137.7.3
영국 포스트록 밴드 모과이, 영화 ‘브로크백 마운틴’의 아르헨티나 영화음악가 구스타보 산타올랄라까지 힘을 보탠 ‘비포 더 플러드’(사진)의 소리 풍경은 해수면 상승처럼 느리고 평화롭지만 엄습하는 이미지를 조성한다.

영국	영국/NNP
포스트록	포스트/NNG+록/NNG
밴드	밴드/NNG
모과이,	모과이/NNP+,/SP
영화	영화/NNG
‘브로크백	‘/SS+브로크백/NNP
마운틴’의	마운틴/NNP+’/SS+의/JKG
아르헨티나	아르헨티나/NNP
영화음악가	영화/NNG+음악가/NNG
구스타보	구스타보/NNP
산타올랄라까지	산타올랄라/NNP+까지/JX
힘을	힘/NNG+을/JKO
보탠	보태/VV+ㄴ/ETM
‘비포	‘/SS+비포/NNP
더	더/NNP
플러드’(사진)의	플러드/NNP+’/SS+(/SS+사진/NNG+)/SS+의/JKG
소리	소리/NNG
풍경은	풍경/NNG+은/JX
해수면	해수면/NNG
상승처럼	상승/NNG+처럼/JKB
느리고	느리/VA+고/EC
평화롭지만	평화/NNG+롭/XSA+지만/EC
엄습하는	엄습/NNG+하/XSV+는/ETM
이미지를	이미지/NNG+를/JKO
조성한다.	조성/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.137.8.1
마지막 장면과 함께 시작되는 주제곡 ‘A Minute to Breathe’에서 레즈너는 차오르며 목을 조여 오는 물의 이미지를 피아노에서 왼손의 움직임으로 표현해낸다.

마지막	마지막/NNG
장면과	장면/NNG+과/JKB
함께	함께/MAG
시작되는	시작/NNG+되/XSV+는/ETM
주제곡	주제곡/NNG
‘A	‘/SS+A/SL
Minute	Minute/SL
to	to/SL
Breathe’에서	Breathe/SL+’/SS+에서/JKB
레즈너는	레즈너/NNP+는/JX
차오르며	차오르/VV+며/EC
목을	목/NNG+을/JKO
조여	조이/VV+어/EC
오는	오/VX+는/ETM
물의	물/NNG+의/JKG
이미지를	이미지/NNG+를/JKO
피아노에서	피아노/NNG+에서/JKB
왼손의	왼손/NNG+의/JKG
움직임으로	움직임/NNG+으로/JKB
표현해낸다.	표현/NNG+하/XSV+아/EC+내/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.137.8.2
먹먹한 목소리와 멜로디.

먹먹한	먹먹하/VA+ㄴ/ETM
목소리와	목소리/NNG+와/JC
멜로디.	멜로디/NNG+./SF


# id : NWRW1800000049.137.8.3
부표처럼 뇌리에 들러붙어 온종일 날 놓아주지 않는다.

부표처럼	부표/NNG+처럼/JKB
뇌리에	뇌리/NNG+에/JKB
들러붙어	들러붙/VV+어/EC
온종일	온종일/MAG
날	나/NP+ㄹ/JKO
놓아주지	놓아주/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000049.137.9.1
‘우리는 평가될 것이다/우리가 무엇을 남기고 떠나느냐에 따라서.’

‘우리는	‘/SS+우리/NP+는/JX
평가될	평가/NNG+되/XSV+ㄹ/ETM
것이다/우리가	것/NNB+이/VCP+다/EF+//SP+우리/NP+가/JKS
무엇을	무엇/NP+을/JKO
남기고	남기/VV+고/EC
떠나느냐에	떠나/VV+느냐/EF+에/JKB
따라서.’	따르/VV+아서/EC+./SF+’/SS


