# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.205
metadata : {}


# id : NWRW1800000036.205.1.1
일진학생들한테 정기상납받은 조폭 검거

일진학생들한테	일진/NNG+학생/NNG+들/XSN+한테/JKB
걸쳐	걸치/VV+어/EC
290여만원을	290/SN+여/XSN+만/NR+원/NNB+을/JKO
빼앗은	빼앗/VV+은/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.205.6.3
안산지역의 이아무개(17)군 등 20명은 문신시술 비용을 마련하기 위해 지난해 1~8월 안산·수원 등지 후배들로부터 금품을 뜯거나 절도 범행을 교사한 뒤 훔쳐온 스마트폰을 되팔아 돈을 챙긴 혐의를 받고 있다.

안산지역의	안산지역/NNP+의/JKG
이아무개(17)군	이/NNP+아무개/NP+(/SS+17/SN+)/SS+군/NNB
등	등/NNB
20명은	20/SN+명/NNB+은/JX
문신시술	문신/NNG+시술/NNG
비용을	비용/NNG+을/JKO
마련하기	마련/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
지난해	지난해/NNG
1~8월	1/SN+~/SO+8/SN+월/NNB
안산·수원	안산/NNP+·/SP+수원/NNP
등지	등지/NNB
후배들로부터	후배/NNG+들/XSN+로부터/JKB
금품을	금품/NNG+을/JKO
뜯거나	뜯/VV+거나/EC
절도	절도/NNG
범행을	범행/NNG+을/JKO
교사한	교사/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
훔쳐온	훔치/VV+어/EC+오/VV+ㄴ/ETM
스마트폰을	스마트폰/NNG+을/JKO
되팔아	되팔/VV+아/EC
돈을	돈/NNG+을/JKO
챙긴	챙기/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.205.7.1
경찰은 “폭력조직원들은 중고생 일진들을 합숙훈련시키고 조직 규율을 위반하거나 탈퇴하면 집단폭행했다”며 “폭력조직원들이 중고생 일진들을 갈취하고 일진들이 다시 또래들을 갈취하는 악순환이 이어졌다”고 말했다.

경찰은	경찰/NNG+은/JX
“폭력조직원들은	“/SS+폭력/NNG+조직원/NNG+들/XSN+은/JX
중고생	중/NNG+고/NNG+생/XSN
일진들을	일진/NNG+들/XSN+을/JKO
합숙훈련시키고	합숙/NNG+훈련/NNG+시키/XSV+고/EC
조직	조직/NNG
규율을	규율/NNG+을/JKO
위반하거나	위반/NNG+하/XSV+거나/EC
탈퇴하면	탈퇴/NNG+하/XSV+면/EC
집단폭행했다”며	집단/NNG+폭행/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“폭력조직원들이	“/SS+폭력/NNG+조직원/NNG+들/XSN+이/JKS
갈취하고	갈취/NNG+하/XSV+고/EC
일진들이	일진/NNG+들/XSN+이/JKS
다시	다시/MAG
또래들을	또래/NNG+들/XSN+을/JKO
갈취하는	갈취/NNG+하/XSV+는/ETM
악순환이	악순환/NNG+이/JKS
이어졌다”고	이어지/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.205.8.1
경찰은 안성 폭력조직 파라다이스파 행동대원 3명과 용인폭력조직 용청회파 추종세력 2명 등 5명을 상습갈취 등의 혐의로 구속했다.

경찰은	경찰/NNG+은/JX
안성	안성/NNP
폭력조직	폭력/NNG+조직/NNG
파라다이스파	파라다이스파/NNP
행동대원	행동대원/NNG
3명과	3/SN+명/NNB+과/JC
용인폭력조직	용인/NNP+폭력/NNG+조직/NNG
용청회파	용청회파/NNP
추종세력	추종/NNG+세력/NNG
2명	2/SN+명/NNB
등	등/NNB
5명을	5/SN+명/NNB+을/JKO
상습갈취	상습/NNG+갈취/NNG
등의	등/NNB+의/JKG
혐의로	혐의/NNG+로/JKB
구속했다.	구속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.205.8.2
또 중고생 13명을 포함해 폭력 조직원과 추종세력 44명을 불구속 입건했다.

또	또/MAG
중고생	중/NNG+고/NNG+생/XSN
13명을	13/SN+명/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
폭력	폭력/NNG
조직원과	조직원/NNG+과/JC
추종세력	추종/NNG+세력/NNG
44명을	44/SN+명/NNB+을/JKO
불구속	불/XPN+구속/NNG
입건했다.	입건/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.205.8.3
죄질이 심하지 않은 중고생 43명에 대해서는 관련 사실을 학교에 통보했다.

죄질이	죄질/NNG+이/JKS
심하지	심하/VA+지/EC
않은	않/VX+은/ETM
중고생	중/NNG+고/NNG+생/XSN
43명에	43/SN+명/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
관련	관련/NNG
사실을	사실/NNG+을/JKO
학교에	학교/NNG+에/JKB
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


