# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.326
metadata : {}


# id : NWRW1800000026.326.1.1
[특파원 칼럼] 오바마에 대한 오해를 보며

[특파원	[/SS+특파원/NNG
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.326.3.3
CNN 방송은 "미국민의 3분의 1만이 그를 기독교인으로 제대로 알고 있다"고 보도했다.

CNN	CNN/SL
방송은	방송/NNG+은/JX
"미국민의	"/SS+미/NNP+국민/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
1만이	1/SN+만/JX+이/JKS
그를	그/NP+를/JKO
기독교인으로	기독교인/NNG+으로/JKB
제대로	제대로/MAG
알고	알/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.326.4.1
이 때문에 오바마 대통령이 28일 공개석상에서 한 '신앙고백'에는 절박한 심정이 묻어났다.

이	이/MMD
때문에	때문/NNB+에/JKB
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
28일	28/SN+일/NNB
공개석상에서	공개/NNG+석상/NNG+에서/JKB
한	하/VV+ㄴ/ETM
'신앙고백'에는	'/SS+신앙/NNG+고백/NNG+'/SS+에/JKB+는/JX
절박한	절박하/VA+ㄴ/ETM
심정이	심정/NNG+이/JKS
묻어났다.	묻어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.326.4.2
그는 뉴멕시코주의 타운홀 미팅에서 총 12개의 문장으로 자신이 기독교인임을 강조했다.

그는	그/NP+는/JX
뉴멕시코주의	뉴멕시코주/NNP+의/JKG
타운홀	타운홀/NNG
미팅에서	미팅/NNG+에서/JKB
총	총/MMA
12개의	12/SN+개/NNB+의/JKG
문장으로	문장/NNG+으로/JKB
자신이	자신/NNG+이/JKS
기독교인임을	기독교인/NNG+이/VCP+ㅁ/ETN+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.326.4.3
신앙생활을 하지 않는 어머니 밑에서 자랐지만 스스로 기독교인이 되기로 결심했다고 밝혔다.

신앙생활을	신앙생활/NNG+을/JKO
하지	하/VV+지/EC
않는	않/VX+는/ETM
어머니	어머니/NNG
밑에서	밑/NNG+에서/JKB
자랐지만	자라/VV+았/EP+지만/EC
스스로	스스로/MAG
기독교인이	기독교인/NNG+이/JKC
되기로	되/VV+기/ETN+로/JKB
결심했다고	결심/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.326.4.4
또 "나의 공직 활동도 기독교 신앙을 드러내는 것의 일부"라고도 했다.

또	또/MAG
"나의	"/SS+나/NP+의/JKG
공직	공직/NNG
활동도	활동/NNG+도/JX
기독교	기독교/NNG
신앙을	신앙/NNG+을/JKO
드러내는	드러내/VV+는/ETM
것의	것/NNB+의/JKG
일부"라고도	일부/NNG+"/SS+라고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.326.5.1
오바마 대통령은 일부 보수층으로부터 "미국에서 태어나지 않아 원래 대통령 출마 자격이 없었다"는 오해도 받고 있다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
일부	일부/NNG
보수층으로부터	보수/NNG+층/XSN+으로부터/JKB
"미국에서	"/SS+미국/NNP+에서/JKB
태어나지	태어나/VV+지/EC
않아	않/VX+아/EC
원래	원래/MAG
대통령	대통령/NNG
출마	출마/NNG
자격이	자격/NNG+이/JKS
없었다"는	없/VA+었/EP+다/EF+"/SS+는/ETM
오해도	오해/NNG+도/JX
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.326.5.2
미국의 헌법은 미국 영토에서 태어난 사람만이 대통령 피선거권을 갖도록 규정하고 있다.

미국의	미국/NNP+의/JKG
헌법은	헌법/NNG+은/JX
미국	미국/NNP
영토에서	영토/NNG+에서/JKB
태어난	태어나/VV+ㄴ/ETM
사람만이	사람/NNG+만/JX+이/JKS
대통령	대통령/NNG
피선거권을	피/XPN+선거/NNG+권/XSN+을/JKO
갖도록	갖/VV+도록/EC
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.326.5.3
오바마는 출생증명서에 의해 '1961년 8월 4일 하와이생(生)'임이 입증됐다.

오바마는	오바마/NNP+는/JX
출생증명서에	출생증명서/NNG+에/JKB
의해	의하/VV+아/EC
'1961년	'/SS+1961/SN+년/NNB
8월	8/SN+월/NNB
4일	4/SN+일/NNB
하와이생(生)'임이	하와이/NNP+생/XSN+(/SS+生/SH+)/SS+'/SS+이/VCP+ㅁ/ETN+이/JKS
입증됐다.	입증/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.326.5.4
하지만 반(反)오바마 성향의 인터넷 홈페이지, 라디오 방송 등에서는 끊임없이 이 문제를 제기하고 있다.

하지만	하지만/MAJ
반(反)오바마	반/XPN+(/SS+反/SH+)/SS+오바마/NNP
성향의	성향/NNG+의/JKG
인터넷	인터넷/NNG
홈페이지,	홈페이지/NNG+,/SP
라디오	라디오/NNG
방송	방송/NNG
등에서는	등/NNB+에서/JKB+는/JX
끊임없이	끊임없이/MAG
이	이/MMD
문제를	문제/NNG+를/JKO
제기하고	제기/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.326.5.5
"미국 시민이 아닌 사람이 대통령에 선출됐다"고 제소(提訴)당한 적도 있다.

"미국	"/SS+미국/NNP
시민이	시민/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
사람이	사람/NNG+이/JKS
대통령에	대통령/NNG+에/JKB
선출됐다"고	선출/NNG+되/XSV+었/EP+다/EF+"/SS+고/JKQ
제소(提訴)당한	제소/NNG+(/SS+提訴/SH+)/SS+당하/VV+ㄴ/ETM
적도	적/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.326.6.1
전통적으로 미국 대통령은 여론의 강한 견제를 받아왔다.

전통적으로	전통/NNG+적/XSN+으로/JKB
미국	미국/NNP
대통령은	대통령/NNG+은/JX
여론의	여론/NNG+의/JKG
강한	강하/VA+ㄴ/ETM
견제를	견제/NNG+를/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.326.6.2
하지만 대통령의 정체성 자체가 문제 된 적은 극히 드물었다.

하지만	하지만/MAJ
대통령의	대통령/NNG+의/JKG
정체성	정체/NNG+성/XSN
자체가	자체/NNG+가/JKS
문제	문제/NNG
된	되/VV+ㄴ/ETM
적은	적/NNB+은/JX
극히	극히/MAG
드물었다.	드물/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.326.6.3
그런 점에서 이 사례들은 '미국 최초의 흑인 대통령'인 오바마의 당선을 계기로 정치 양극화가 심화되고 있음을 상징한다.

그런	그런/MMD
점에서	점/NNG+에서/JKB
이	이/MMD
사례들은	사례/NNG+들/XSN+은/JX
'미국	'/SS+미국/NNP
최초의	최초/NNG+의/JKG
흑인	흑인/NNG
대통령'인	대통령/NNG+'/SS+이/VCP+ㄴ/ETM
오바마의	오바마/NNP+의/JKG
당선을	당선/NNG+을/JKO
계기로	계기/NNG+로/JKB
정치	정치/NNG
양극화가	양극/NNG+화/XSN+가/JKS
심화되고	심화/NNG+되/XSV+고/EC
있음을	있/VX+음/ETN+을/JKO
상징한다.	상징/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.326.7.1
오바마 대통령을 싫어하는 일부 백인들은 그가 회교국가인 인도네시아에서 어린 시절을 보낸 사실을 강조하며 그의 종교를 의심한다.

오바마	오바마/NNP
대통령을	대통령/NNG+을/JKO
싫어하는	싫어하/VV+는/ETM
일부	일부/NNG
백인들은	백인/NNG+들/XSN+은/JX
그가	그/NP+가/JKS
회교국가인	회교/NNG+국가/NNG+이/VCP+ㄴ/ETM
인도네시아에서	인도네시아/NNP+에서/JKB
어린	어리/VA+ㄴ/ETM
시절을	시절/NNG+을/JKO
보낸	보내/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
강조하며	강조/NNG+하/XSV+며/EC
그의	그/NP+의/JKG
종교를	종교/NNG+를/JKO
의심한다.	의심/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.326.7.2
그의 아버지가 케냐 출신임을 거론하며 출생지가 분명하지 않다고 말하는 이들을 만나는 것도 어렵지 않다.

그의	그/NP+의/JKG
아버지가	아버지/NNG+가/JKS
케냐	케냐/NNP
출신임을	출신/NNG+이/VCP+ㅁ/ETN+을/JKO
거론하며	거론/NNG+하/XSV+며/EC
출생지가	출생지/NNG+가/JKS
분명하지	분명/MAG+하/XSA+지/EC
않다고	않/VX+다고/EC
말하는	말/NNG+하/XSV+는/ETM
이들을	이/NNB+들/XSN+을/JKO
만나는	만나/VV+는/ETM
것도	것/NNB+도/JX
어렵지	어렵/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000026.326.7.3
평균 실업률이 10%를 웃도는 경제위기도 오바마 대통령에 대한 분노를 점증시키고 있다.

평균	평균/NNG
실업률이	실업/NNG+률/XSN+이/JKS
10%를	10/SN+%/SW+를/JKO
웃도는	웃돌/VV+는/ETM
경제위기도	경제/NNG+위기/NNG+도/JX
오바마	오바마/NNP
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
분노를	분노/NNG+를/JKO
점증시키고	점증/NNG+시키/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.326.8.1
오는 11월 2일 총선과 지방선거를 동시에 실시하는 미국의 중간선거를 앞두고 이런 현상은 계속 심화돼왔다.

오는	오/VV+는/ETM
11월	11/SN+월/NNB
2일	2/SN+일/NNB
총선과	총선/NNG+과/JC
지방선거를	지방/NNG+선거/NNG+를/JKO
동시에	동시/NNG+에/JKB
실시하는	실시/NNG+하/XSV+는/ETM
미국의	미국/NNP+의/JKG
중간선거를	중간/NNG+선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
이런	이런/MMD
현상은	현상/NNG+은/JX
계속	계속/MAG
심화돼왔다.	심화/NNG+되/XSV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.326.8.2
애리조나주 이민법 논쟁은 미국을 갈라 놓았다.

애리조나주	애리조나주/NNP
이민법	이민법/NNG
논쟁은	논쟁/NNG+은/JX
미국을	미국/NNP+을/JKO
갈라	가르/VV+아/EC
놓았다.	놓/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.326.8.3
9·11 테러가 발생한 '그라운드 제로' 주변에 이슬람 사원 모스크가 들어설 수 있는지를 놓고도 여름 내내 논쟁을 벌였다.

9·11	9/SN+·/SP+11/SN
테러가	테러/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
'그라운드	'/SS+그라운드/NNG
제로'	제로/NNG+'/SS
주변에	주변/NNG+에/JKB
이슬람	이슬람/NNG
사원	사원/NNG
모스크가	모스크/NNP+가/JKS
들어설	들어서/VV+ㄹ/ETM
수	수/NNB
있는지를	있/VA+는지/EC+를/JKO
놓고도	놓/VV+고/EC+도/JX
여름	여름/NNG
내내	내내/MAG
논쟁을	논쟁/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.326.9.1
미국 사회의 양극화 현상은 우리에게 결코 좋은 신호가 아니다.

미국	미국/NNP
사회의	사회/NNG+의/JKG
양극화	양극/NNG+화/XSN
현상은	현상/NNG+은/JX
우리에게	우리/NP+에게/JKB
결코	결코/MAG
좋은	좋/VA+은/ETM
신호가	신호/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000026.326.9.2
미국 사회가 분열하는 방향으로 간다면, 초당파(超黨派)에 바탕을 둔 외교를 펼치기가 쉽지 않다.

미국	미국/NNP
사회가	사회/NNG+가/JKS
분열하는	분열/NNG+하/XSV+는/ETM
방향으로	방향/NNG+으로/JKB
간다면,	가/VV+ㄴ다면/EC+,/SP
초당파(超黨派)에	초/XPN+당파/NNG+(/SS+超黨派/SH+)/SS+에/JKB
바탕을	바탕/NNG+을/JKO
둔	두/VV+ㄴ/ETM
외교를	외교/NNG+를/JKO
펼치기가	펼치/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000026.326.9.3
당장 한·미 FTA 처리도 영향을 받을 수밖에 없다.

당장	당장/NNG
한·미	한·미/NNP
FTA	FTA/SL
처리도	처리/NNG+도/JX
영향을	영향/NNG+을/JKO
받을	받/VV+을/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.326.9.4
중간선거 후, 불과 1주일 만에 방한(訪韓)하는 오바마 대통령이 축 처진 어깨로 G20 회의장에 나타날지도 모른다.

중간선거	중간/NNG+선거/NNG
후,	후/NNG+,/SP
불과	불과/MAG
1주일	1/SN+주일/NNB
만에	만/NNB+에/JKB
방한(訪韓)하는	방한/NNG+(/SS+訪韓/SH+)/SS+하/VV+는/ETM
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
축	축/MAG
처진	처지/VV+ㄴ/ETM
어깨로	어깨/NNG+로/JKB
G20	G/SL+20/SN
회의장에	회의장/NNG+에/JKB
나타날지도	나타나/VV+ㄹ지/EC+도/JX
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.326.10.1
이제는 미국의 내부 사정을 헤아리고 중간선거 결과에도 신경을 쓰면서 외교를 해야 할 시대를 살고 있다.

이제는	이제/NNG+는/JX
미국의	미국/NNP+의/JKG
내부	내부/NNG
사정을	사정/NNG+을/JKO
헤아리고	헤아리/VV+고/EC
중간선거	중간/NNG+선거/NNG
결과에도	결과/NNG+에/JKB+도/JX
신경을	신경/NNG+을/JKO
쓰면서	쓰/VV+면서/EC
외교를	외교/NNG+를/JKO
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
시대를	시대/NNG+를/JKO
살고	살/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.326.10.2
'특채 파동'으로 뿌리째 조직이 흔들리는 외교부가 이런 상황에 제대로 대처할 수 있을지 걱정이 앞선다.

'특채	'/SS+특채/NNG
파동'으로	파동/NNG+'/SS+으로/JKB
뿌리째	뿌리/NNG+째/XSN
조직이	조직/NNG+이/JKS
흔들리는	흔들리/VV+는/ETM
외교부가	외교부/NNG+가/JKS
이런	이런/MMD
상황에	상황/NNG+에/JKB
제대로	제대로/MAG
대처할	대처/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EC
걱정이	걱정/NNG+이/JKS
앞선다.	앞서/VV+ㄴ다/EF+./SF


