# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.14
metadata : {}


# id : NWRW1800000030.14.1.1
中, 5년간 공항 45개 짓는다

中,	中/SH+,/SP
2015년	2015/SN+년/NNB
220곳으로	220/SN+곳/NNG+으로/JKB
늘어나고	늘어나/VV+고/EC
운용	운용/NNG
항공기도	항공기/NNG+도/JX
같은	같/VA+은/ETM
기간	기간/NNG
2600대에서	2600/SN+대/NNB+에서/JKB
4500대로	4500/SN+대/NNB+로/JKB
증가하게	증가/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.14.5.1
중국이 대규모 공항 신설에 나서는 것은 항공 운송 수요가 해마다 급증하고 있기 때문이다.

중국이	중국/NNP+이/JKS
대규모	대/XPN+규모/NNG
공항	공항/NNG
신설에	신설/NNG+에/JKB
나서는	나서/VV+는/ETM
것은	것/NNB+은/JX
항공	항공/NNG
운송	운송/NNG
수요가	수요/NNG+가/JKS
해마다	해마다/MAG
급증하고	급증/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.14.5.2
민항국에 따르면 '11차 경제개발 5개년 계획(2006~2010)' 기간에 항공 운송 수요는 연평균 14.1%씩 증가했고 지난해 항공 운송 승객수는 2억6700만명에 달했다.

민항국에	민항국/NNG+에/JKB
따르면	따르/VV+면/EC
'11차	'/SS+11/SN+차/NNB
경제개발	경제/NNG+개발/NNG
5개년	5/SN+개년/NNB
계획(2006~2010)'	계획/NNG+(/SS+2006/SN+~/SO+2010/SN+)/SS+'/SS
기간에	기간/NNG+에/JKB
항공	항공/NNG
운송	운송/NNG
수요는	수요/NNG+는/JX
연평균	연평균/NNG
14.1%씩	14/SN+./SP+1/SN+%/SW+씩/XSN
증가했고	증가/NNG+하/XSV+았/EP+고/EC
지난해	지난해/NNG
승객수는	승객/NNG+수/NNG+는/JX
2억6700만명에	2/SN+억/NR+6700/SN+만/NR+명/NNB+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.14.5.3
5년 뒤에는 이 숫자가 4억5000만명까지 늘어날 것이라는 게 민항국의 예상이다.

5년	5/SN+년/NNB
뒤에는	뒤/NNG+에/JKB+는/JX
이	이/MMD
숫자가	숫자/NNG+가/JKS
4억5000만명까지	4/SN+억/NR+5000/SN+만/NR+명/NNB+까지/JX
늘어날	늘어나/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
게	거/NNB+이/JKS
민항국의	민항국/NNG+의/JKG
예상이다.	예상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.14.6.1
새로 건설되는 공항은 경제가 낙후된 중국 중·서부 지역이 주 대상이다.

새로	새로/MAG
건설되는	건설/NNG+되/XSV+는/ETM
공항은	공항/NNG+은/JX
경제가	경제/NNG+가/JKS
낙후된	낙후/NNG+되/XSV+ㄴ/ETM
중국	중국/NNP
중·서부	중/NNG+·/SP+서부/NNG
지역이	지역/NNG+이/JKS
주	주/MMA
대상이다.	대상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.14.6.2
중·서부 지역에 건설되는 공항은 33곳으로 전체 신설 공항의 73.3%를 차지한다.

중·서부	중/NNG+·/SP+서부/NNG
지역에	지역/NNG+에/JKB
건설되는	건설/NNG+되/XSV+는/ETM
공항은	공항/NNG+은/JX
33곳으로	33/SN+곳/NNG+으로/JKB
전체	전체/NNG
신설	신설/NNG
공항의	공항/NNG+의/JKG
73.3%를	73/SN+./SP+3/SN+%/SW+를/JKO
차지한다.	차지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.14.7.1
그러나 현재 운용 중인 175곳 공항 중 130곳이 적자를 내고 있어 대규모 공항 신설의 경제성에 대한 회의론도 제기되고 있다.

그러나	그러나/MAJ
현재	현재/MAG
운용	운용/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
175곳	175/SN+곳/NNG
공항	공항/NNG
중	중/NNB
130곳이	130/SN+곳/NNG+이/JKS
적자를	적자/NNG+를/JKO
내고	내/VV+고/EC
있어	있/VX+어/EC
대규모	대/XPN+규모/NNG
신설의	신설/NNG+의/JKG
경제성에	경제/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
회의론도	회의/NNG+론/XSN+도/JX
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.14.7.2
민항국은 이에 대해 공공시설로 영리만 추구할 것이 아니라 관광산업 활성화와 외부 투자 유치, 긴급 재난 구호 등 다양한 효과를 고려해야 한다는 입장이다.

민항국은	민항국/NNG+은/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
공공시설로	공공시설/NNG+로/JKB
영리만	영리/NNG+만/JX
추구할	추구/NNG+하/XSV+ㄹ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
관광산업	관광/NNG+산업/NNG
활성화와	활성/NNG+화/XSN+와/JC
외부	외부/NNG
투자	투자/NNG
유치,	유치/NNG+,/SP
긴급	긴급/NNG
재난	재난/NNG
구호	구호/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
효과를	효과/NNG+를/JKO
고려해야	고려/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.14.8.1
민항국은 구체적인 사례로 2009년 문을 연 이후 관광객 증가 등으로 GDP(지역총생산)가 56%나 증가한 윈난(雲南)성의 텅충공항, 공항 신설 이후 61개 외자 기업을 유치한 장쑤(江蘇)성 화이안(淮安)공항 등을 들었다.

민항국은	민항국/NNG+은/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
사례로	사례/NNG+로/JKB
2009년	2009/SN+년/NNB
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
이후	이후/NNG
관광객	관광객/NNG
증가	증가/NNG
등으로	등/NNB+으로/JKB
GDP(지역총생산)가	GDP/SL+(/SS+지역/NNG+총생산/NNG+)/SS+가/JKS
56%나	56/SN+%/SW+나/JX
증가한	증가/NNG+하/XSV+ㄴ/ETM
윈난(雲南)성의	윈난/NNP+(/SS+雲南/SH+)/SS+성/NNG+의/JKG
텅충공항,	텅충공항/NNP+,/SP
공항	공항/NNG
신설	신설/NNG
61개	61/SN+개/NNB
외자	외자/NNG
기업을	기업/NNG+을/JKO
유치한	유치/NNG+하/XSV+ㄴ/ETM
장쑤(江蘇)성	장쑤/NNP+(/SS+江蘇/SH+)/SS+성/NNG
화이안(淮安)공항	화이안/NNP+(/SS+淮安/SH+)/SS+공항/NNG
등을	등/NNB+을/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.14.8.2
또 지난해 칭하이(靑海)성 위수(玉樹) 대지진 때에도 현지 공항 덕분에 신속한 구조가 가능했다는 주장이다.

또	또/MAG
지난해	지난해/NNG
칭하이(靑海)성	칭하이/NNP+(/SS+靑海/SH+)/SS+성/NNG
위수(玉樹)	위수/NNP+(/SS+玉樹/SH+)/SS
대지진	대/XPN+지진/NNG
때에도	때/NNG+에/JKB+도/JX
현지	현지/NNG
공항	공항/NNG
덕분에	덕분/NNG+에/JKB
신속한	신속/NNG+하/XSA+ㄴ/ETM
구조가	구조/NNG+가/JKS
가능했다는	가능/NNG+하/XSA+았/EP+다는/ETM
주장이다.	주장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.14.9.1
리 국장은 "공항은 고속철도에 비해 훨씬 적은 비용이 들면서도 경제 효과는 더 크다"면서 "공항이 중·서부 농촌지역 경제 활성화에 크게 기여할 것"이라고 말했다.

리	리/NNP
국장은	국장/NNG+은/JX
"공항은	"/SS+공항/NNG+은/JX
고속철도에	고속/NNG+철도/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
훨씬	훨씬/MAG
적은	적/VA+은/ETM
비용이	비용/NNG+이/JKS
들면서도	들/VV+면서/EC+도/JX
경제	경제/NNG
효과는	효과/NNG+는/JX
더	더/MAG
크다"면서	크/VA+다/EF+"/SS+면서/EC
"공항이	"/SS+공항/NNG+이/JKS
중·서부	중/NNG+·/SP+서부/NNG
농촌지역	농촌/NNG+지역/NNG
활성화에	활성/NNG+화/XSN+에/JKB
크게	크/VA+게/EC
기여할	기여/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


