# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.185
metadata : {}


# id : NWRW1800000044.185.1.1
“휴진 의사와의 통화 몰래 녹음하라” 복지부, 일선 공무원에 지시 드러나

“휴진	“/SS+휴진/NNG
방법이	방법/NNG+이/JKS
어려우면,	어렵/VA+으면/EC+,/SP
의사	의사/NNG
자택	자택/NNG
방문도	방문/NNG+도/JX
하라고	하/VV+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.185.5.4
이 대응 지침은 복지부 보건의료정책관이 9일 시·도지사에게 보낸 ‘업무 연락’(사진)에 첨부됐다.

이	이/MMD
대응	대응/NNG
지침은	지침/NNG+은/JX
복지부	복지부/NNG
보건의료정책관이	보건/NNG+의료/NNG+정책관/NNG+이/JKS
9일	9/SN+일/NNB
시·도지사에게	시·도지사/NNG+에게/JKB
보낸	보내/VV+ㄴ/ETM
‘업무	‘/SS+업무/NNG
연락’(사진)에	연락/NNG+’/SS+(/SS+사진/NNG+)/SS+에/JKB
첨부됐다.	첨부/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.185.6.1
특히 지침에는 의사들 가운데 ‘중점관리 대상’을 미리 분류해 우선적으로 명령서를 의원 출입문 등에 부착하고 사진·동영상을 촬영하라고 지시했다.

특히	특히/MAG
지침에는	지침/NNG+에/JKB+는/JX
의사들	의사/NNG+들/XSN
가운데	가운데/NNG
‘중점관리	‘/SS+중점/NNG+관리/NNG
대상’을	대상/NNG+’/SS+을/JKO
미리	미리/MAG
분류해	분류/NNG+하/XSV+아/EC
우선적으로	우선/NNG+적/XSN+으로/JKB
명령서를	명령서/NNG+를/JKO
의원	의원/NNG
출입문	출입문/NNG
등에	등/NNB+에/JKB
부착하고	부착/NNG+하/XSV+고/EC
사진·동영상을	사진/NNG+·/SP+동영상/NNG+을/JKO
촬영하라고	촬영/NNG+하/XSV+라고/EC
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.185.6.2
<한겨레> 취재 결과, ‘중점관리 대상’ 의사는 집단휴진 참여를 적극 독려한 시·도 및 시·군·구 의사회 회장과 임원 등인 것으로 나타났다.

<한겨레>	</SS+한겨레/NNP+>/SS
취재	취재/NNG
결과,	결과/NNG+,/SP
‘중점관리	‘/SS+중점/NNG+관리/NNG
대상’	대상/NNG+’/SS
의사는	의사/NNG+는/JX
집단휴진	집단/NNG+휴진/NNG
참여를	참여/NNG+를/JKO
적극	적극/NNG
독려한	독려/NNG+하/XSV+ㄴ/ETM
시·도	시·도/NNG
및	및/MAG
시·군·구	시·군·구/NNG
의사회	의사회/NNG
회장과	회장/NNG+과/JC
임원	임원/NNG
등인	등/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.185.7.1
충남의사회 간부는 “지난 10일 공무원이 업무개시 명령서를 병원 정문은 물론 아파트 현관문에 부착하고, 보건소 홈페이지에도 올려놨다”고 알려왔다고 대한의사협회가 밝혔다.

충남의사회	충남의사회/NNP
간부는	간부/NNG+는/JX
“지난	“/SS+지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
공무원이	공무원/NNG+이/JKS
업무개시	업무/NNG+개시/NNG
명령서를	명령서/NNG+를/JKO
병원	병원/NNG
정문은	정문/NNG+은/JX
물론	물론/MAG
아파트	아파트/NNG
현관문에	현관문/NNG+에/JKB
부착하고,	부착/NNG+하/XSV+고/EC+,/SP
보건소	보건소/NNG
홈페이지에도	홈페이지/NNG+에/JKB+도/JX
올려놨다”고	올려놓/VV+았/EP+다/EF+”/SS+고/JKQ
알려왔다고	알리/VV+어/EC+오/VX+았/EP+다고/EC
대한의사협회가	대한의사협회/NNP+가/JKS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.185.7.2
송형곤 대한의사협회 대변인은 “공무원을 조직적으로 동원해 의협 지도부를 별도 분류하고 압박한 것도 모자라 회원(의사) 개인과의 통화 내용을 비밀리에 녹음해 보고하도록 했다니 경악스럽다.

송형곤	송형곤/NNP
대한의사협회	대한의사협회/NNP
대변인은	대변인/NNG+은/JX
“공무원을	“/SS+공무원/NNG+을/JKO
조직적으로	조직/NNG+적/XSN+으로/JKB
동원해	동원/NNG+하/XSV+아/EC
의협	의협/NNP
지도부를	지도부/NNG+를/JKO
별도	별도/NNG
분류하고	분류/NNG+하/XSV+고/EC
압박한	압박/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
모자라	모자라/VV+아/EC
회원(의사)	회원/NNG+(/SS+의사/NNG+)/SS
개인과의	개인/NNG+과/JKB+의/JKG
통화	통화/NNG
내용을	내용/NNG+을/JKO
비밀리에	비밀/NNG+리/XSN+에/JKB
녹음해	녹음/NNG+하/XSV+아/EC
보고하도록	보고/NNG+하/XSV+도록/EC
했다니	하/VX+았/EP+다니/EC
경악스럽다.	경악/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000044.185.7.3
비정상적인 채증 사실을 확인해 대응하겠다”고 말했다.

비정상적인	비/XPN+정상/NNG+적/XSN+이/VCP+ㄴ/ETM
채증	채증/NNG
사실을	사실/NNG+을/JKO
확인해	확인/NNG+하/XSV+아/EC
대응하겠다”고	대응/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.185.8.1
정삼현 변호사는 “정부가 공무원을 동원해 개인 간 녹음 내용을 (휴진) 증거로 삼아 보고하도록 한 것은 민간인 사찰이나 다름없는 행위”라고 지적했다.

정삼현	정삼현/NNP
변호사는	변호사/NNG+는/JX
“정부가	“/SS+정부/NNG+가/JKS
공무원을	공무원/NNG+을/JKO
동원해	동원/NNG+하/XSV+아/EC
개인	개인/NNG
간	간/NNB
녹음	녹음/NNG
내용을	내용/NNG+을/JKO
(휴진)	(/SS+휴진/NNG+)/SS
증거로	증거/NNG+로/JKB
삼아	삼/VV+아/EC
보고하도록	보고/NNG+하/XSV+도록/EC
한	하/VX+ㄴ/ETM
것은	것/NNB+은/JX
민간인	민간인/NNG
사찰이나	사찰/NNG+이나/JX
다름없는	다름없/VA+는/ETM
행위”라고	행위/NNG+”/SS+라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.185.8.2
이에 권덕철 보건복지부 보건의료정책관은 “휴진한 의원에 대해 사실 여부를 직접 만나서 확인하도록 하고, 전화 통화가 필요한 경우 확실한 채증을 위해 전화 통화를 녹음하도록 했다.

이에	이/NP+에/JKB
권덕철	권덕철/NNP
보건복지부	보건/NNG+복지부/NNG
보건의료정책관은	보건/NNG+의료/NNG+정책관/NNG+은/JX
“휴진한	“/SS+휴진/NNG+하/XSV+ㄴ/ETM
의원에	의원/NNG+에/JKB
대해	대하/VV+아/EC
사실	사실/NNG
여부를	여부/NNG+를/JKO
직접	직접/MAG
만나서	만나/VV+아서/EC
확인하도록	확인/NNG+하/XSV+도록/EC
하고,	하/VX+고/EC+,/SP
전화	전화/NNG
통화가	통화/NNG+가/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
경우	경우/NNG
확실한	확실하/VA+ㄴ/ETM
채증을	채증/NNG+을/JKO
위해	위하/VV+아/EC
통화를	통화/NNG+를/JKO
녹음하도록	녹음/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.185.8.3
당사자 사이의 통화 녹음은 법적으로 문제가 되지 않으나, 문제가 될 수 있는 지역에서는 녹음 사실을 통보하라고 한 것으로 알고 있다”고 말했다.

당사자	당사자/NNG
사이의	사이/NNG+의/JKG
통화	통화/NNG
녹음은	녹음/NNG+은/JX
법적으로	법/NNG+적/XSN+으로/JKB
문제가	문제/NNG+가/JKC
되지	되/VV+지/EC
않으나,	않/VX+으나/EC+,/SP
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
지역에서는	지역/NNG+에서/JKB+는/JX
녹음	녹음/NNG
사실을	사실/NNG+을/JKO
통보하라고	통보/NNG+하/XSV+라고/EC
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


