# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.25
metadata : {}


# id : NWRW1800000049.25.1.1
[기업人]태양광 발전기술 ‘독보적’… 직원 행복이 최우선

[기업人]태양광	[/SS+기업/NNG+人/SH+]/SS+태양광/NNG
에너지	에너지/NNG
시장에	시장/NNG+에/JKB
도전장을	도전장/NNG+을/JKO
내밀었다.	내밀/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.25.5.1
장 대표는 대만 국적의 기업인으로 글로벌적인 시각에서 국내 에너지 문제에 접근했다.

장	장/NNP
대표는	대표/NNG+는/JX
대만	대만/NNP
국적의	국적/NNG+의/JKG
기업인으로	기업인/NNG+으로/JKB
글로벌적인	글로벌/NNG+적/XSN+이/VCP+ㄴ/ETM
시각에서	시각/NNG+에서/JKB
국내	국내/NNG
에너지	에너지/NNG
문제에	문제/NNG+에/JKB
접근했다.	접근/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.25.5.2
그는 고려대 경영학과를 졸업하고 삼미, 코오롱상사 등 국내 대기업에서 해외 곳곳을 누비며 여러 바이어를 상대하는 무역업무를 도맡았다.

그는	그/NP+는/JX
고려대	고려대/NNP
경영학과를	경영학과/NNG+를/JKO
졸업하고	졸업/NNG+하/XSV+고/EC
삼미,	삼미/NNP+,/SP
코오롱상사	코오롱상사/NNP
등	등/NNB
국내	국내/NNG
대기업에서	대/XPN+기업/NNG+에서/JKB
해외	해외/NNG
곳곳을	곳곳/NNG+을/JKO
누비며	누비/VV+며/EC
여러	여러/MMN
바이어를	바이어/NNG+를/JKO
상대하는	상대/NNG+하/XSV+는/ETM
무역업무를	무역/NNG+업무/NNG+를/JKO
도맡았다.	도맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.25.5.3
잘나가는 ‘상사맨’으로 일했던 장 대표는 2009년 새로운 도전을 시작했다.

잘나가는	잘나가/VV+는/ETM
‘상사맨’으로	‘/SS+상사/NNG+맨/NNG+’/SS+으로/JKB
일했던	일/NNG+하/XSV+았/EP+던/ETM
장	장/NNP
대표는	대표/NNG+는/JX
2009년	2009/SN+년/NNB
새로운	새롭/VA+ㄴ/ETM
도전을	도전/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.25.5.4
국내에서 태동기였던 태양광 모듈시장을 선점한다면 승산이 있다는 판단에서 1인 기업으로 창업에 나선 것이다.

국내에서	국내/NNG+에서/JKB
태동기였던	태동기/NNG+이/VCP+었/EP+던/ETM
태양광	태양광/NNG
모듈시장을	모듈/NNG+시장/NNG+을/JKO
선점한다면	선점/NNG+하/XSV+ㄴ다면/EC
승산이	승산/NNG+이/JKS
있다는	있/VA+다는/ETM
판단에서	판단/NNG+에서/JKB
1인	1/SN+인/NNG
기업으로	기업/NNG+으로/JKB
창업에	창업/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.25.5.5
그리고 ‘기업은 무한도전’이라는 특유의 승부사 기질을 발휘해 성공신화를 썼다.

그리고	그리고/MAJ
‘기업은	‘/SS+기업/NNG+은/JX
무한도전’이라는	무한/NNG+도전/NNG+’/SS+이/VCP+라는/ETM
특유의	특유/NNG+의/JKG
승부사	승부사/NNG
기질을	기질/NNG+을/JKO
발휘해	발휘/NNG+하/XSV+아/EC
성공신화를	성공/NNG+신화/NNG+를/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.25.6.1
“2006년 에너지에 대한 지식도 없이 가능성만 보고 무작정 중국으로 날아가 6개월간 시장조사만 했지요.”

“2006년	“/SS+2006/SN+년/NNB
에너지에	에너지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지식도	지식/NNG+도/JX
없이	없이/MAG
가능성만	가능/NNG+성/XSN+만/JX
보고	보/VV+고/EC
무작정	무/XPN+작정/NNG
중국으로	중국/NNP+으로/JKB
날아가	날아가/VV+아/EC
6개월간	6/SN+개월/NNB+간/XSN
시장조사만	시장/NNG+조사/NNG+만/JX
했지요.”	하/VV+았/EP+지요/EF+./SF+”/SS


# id : NWRW1800000049.25.6.2
꼭 10년이 지난 2016년 여름, 서울 서초구 반포동 소재 사무실에서 장 대표는 지난 시간을 회상하며 차분하게 대화를 이어갔다.

꼭	꼭/MAG
10년이	10/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
2016년	2016/SN+년/NNB
여름,	여름/NNG+,/SP
서울	서울/NNP
서초구	서초구/NNP
반포동	반포동/NNP
소재	소재/NNG
사무실에서	사무실/NNG+에서/JKB
장	장/NNP
대표는	대표/NNG+는/JX
시간을	시간/NNG+을/JKO
회상하며	회상/NNG+하/XSV+며/EC
차분하게	차분하/VA+게/EC
대화를	대화/NNG+를/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.25.6.3
아스트로너지쏠라코리아는 태양광 발전시스템 기술을 바탕으로 국내외 곳곳에서 대규모 사업을 펼치고 있다.

아스트로너지쏠라코리아는	아스트로너지쏠라코리아/NNP+는/JX
태양광	태양광/NNG
발전시스템	발전/NNG+시스템/NNG
기술을	기술/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
국내외	국내외/NNG
곳곳에서	곳곳/NNG+에서/JKB
대규모	대/XPN+규모/NNG
사업을	사업/NNG+을/JKO
펼치고	펼치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.25.6.4
전기 및 전력 분야에서 중국 내 4대 유한기업으로 손꼽히는 친트(CHINT)그룹의 자회사이지만, 국내에서 경제활동을 하며 해외에서 국부를 창출하는 애국기업이다.

전기	전기/NNG
및	및/MAG
전력	전력/NNG
분야에서	분야/NNG+에서/JKB
중국	중국/NNP
내	내/NNB
4대	4/SN+대/NNG
유한기업으로	유한/NNG+기업/NNG+으로/JKB
손꼽히는	손꼽히/VV+는/ETM
친트(CHINT)그룹의	친트/NNP+(/SS+CHINT/SL+)/SS+그룹/NNG+의/JKG
자회사이지만,	자회사/NNG+이/VCP+지만/EC+,/SP
국내에서	국내/NNG+에서/JKB
경제활동을	경제/NNG+활동/NNG+을/JKO
하며	하/VV+며/EC
해외에서	해외/NNG+에서/JKB
국부를	국부/NNG+를/JKO
창출하는	창출/NNG+하/XSV+는/ETM
애국기업이다.	애국/NNG+기업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.25.7.1
2009년 창업과 동시에 강원도 춘천 ‘붕어섬 생태에너지관광지’에 9MW 규모의 태양광 발전소를 조성하면서 이 회사의 신화가 시작됐다.

2009년	2009/SN+년/NNB
창업과	창업/NNG+과/JKB
동시에	동시/NNG+에/JKB
강원도	강원도/NNP
춘천	춘천/NNP
‘붕어섬	‘/SS+붕어섬/NNP
생태에너지관광지’에	생태/NNG+에너지/NNG+관광지/NNG+’/SS+에/JKB
9MW	9/SN+MW/SW
규모의	규모/NNG+의/JKG
태양광	태양광/NNG
발전소를	발전소/NNG+를/JKO
조성하면서	조성/NNG+하/XSV+면서/EC
이	이/MMD
회사의	회사/NNG+의/JKG
신화가	신화/NNG+가/JKS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.25.7.2
장 대표는 꼬박 열흘 동안 매일 붕어섬으로 출근해 기후변화와 태양광 발전량 등을 직접 확인해 나갔다.

장	장/NNP
대표는	대표/NNG+는/JX
꼬박	꼬박/MAG
열흘	열흘/NNG
동안	동안/NNG
매일	매일/MAG
붕어섬으로	붕어섬/NNP+으로/JKB
출근해	출근/NNG+하/XSV+아/EC
기후변화와	기후/NNG+변화/NNG+와/JC
태양광	태양광/NNG
발전량	발전량/NNG
등을	등/NNB+을/JKO
직접	직접/MAG
확인해	확인/NNG+하/XSV+아/EC
나갔다.	나가/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.25.7.3
물안개가 많아 태양광 효율이 떨어진다는 주변의 우려와 통념을 깨고 결국 성공을 거둔 의미 있는 프로젝트다.

물안개가	물안개/NNG+가/JKS
많아	많/VA+아/EC
태양광	태양광/NNG
효율이	효율/NNG+이/JKS
떨어진다는	떨어지/VV+ㄴ다는/ETM
주변의	주변/NNG+의/JKG
우려와	우려/NNG+와/JC
통념을	통념/NNG+을/JKO
깨고	깨/VV+고/EC
결국	결국/MAG
성공을	성공/NNG+을/JKO
거둔	거두/VV+ㄴ/ETM
의미	의미/NNG
있는	있/VA+는/ETM
프로젝트다.	프로젝트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.25.8.1
현재 국내에서 개발 중인 프로젝트 규모는 약 100MW에 달한다.

현재	현재/MAG
국내에서	국내/NNG+에서/JKB
개발	개발/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
프로젝트	프로젝트/NNG
규모는	규모/NNG+는/JX
약	약/MMA
100MW에	100/SN+MW/SW+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.25.8.2
올해 중 제주도에도 태양광 발전시설을 계획 중인 장 대표는 “2020년까지 ESS(태양광에너지 저장장치)와 태양광 발전 기술력을 접목해 국내 ESS 태양광 시장에서 독보적인 역할을 해나갈 것”이라고 말했다.

올해	올해/NNG
중	중/NNB
제주도에도	제주도/NNP+에/JKB+도/JX
태양광	태양광/NNG
발전시설을	발전/NNG+시설/NNG+을/JKO
계획	계획/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
장	장/NNP
대표는	대표/NNG+는/JX
“2020년까지	“/SS+2020/SN+년/NNB+까지/JX
ESS(태양광에너지	ESS/SL+(/SS+태양광/NNG+에너지/NNG
저장장치)와	저장/NNG+장치/NNG+)/SS+와/JC
발전	발전/NNG
기술력을	기술력/NNG+을/JKO
접목해	접목/NNG+하/XSV+아/EC
국내	국내/NNG
ESS	ESS/SL
시장에서	시장/NNG+에서/JKB
독보적인	독보/NNG+적/XSN+이/VCP+ㄴ/ETM
역할을	역할/NNG+을/JKO
해나갈	하/VV+아/EC+나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.25.8.3
이에 올해 11월 일본 홋카이도에 22MW급 ESS를 설치하는 프로젝트에 착수할 예정이다.

이에	이/NP+에/JKB
올해	올해/NNG
11월	11/SN+월/NNB
일본	일본/NNP
홋카이도에	홋카이도/NNP+에/JKB
22MW급	22/SN+MW/SW+급/NNG
ESS를	ESS/SL+를/JKO
설치하는	설치/NNG+하/XSV+는/ETM
프로젝트에	프로젝트/NNG+에/JKB
착수할	착수/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.25.9.1
한편 장 대표는 기업가로서 사회적 역할과 책임을 다한다는 신념으로 꾸준히 나눔경영을 실천하고 있다.

한편	한편/MAG
장	장/NNP
대표는	대표/NNG+는/JX
기업가로서	기업가/NNG+로서/JKB
사회적	사회/NNG+적/XSN
역할과	역할/NNG+과/JC
책임을	책임/NNG+을/JKO
다한다는	다/MAG+하/XSV+ㄴ다는/ETM
신념으로	신념/NNG+으로/JKB
꾸준히	꾸준히/MAG
나눔경영을	나눔/NNG+경영/NNG+을/JKO
실천하고	실천/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.25.9.2
최근 어린이공연문화재단 ‘행복한 아이’에 이사직으로 선출되는 등 사회공헌 활동에도 적극적으로 동참할 계획이다.

최근	최근/NNG
어린이공연문화재단	어린이/NNG+공연/NNG+문화/NNG+재단/NNG
‘행복한	‘/SS+행복/NNG+하/XSA+ㄴ/ETM
아이’에	아이/NNG+’/SS+에/JKB
이사직으로	이사직/NNG+으로/JKB
선출되는	선출/NNG+되/XSV+는/ETM
등	등/NNB
사회공헌	사회/NNG+공헌/NNG
활동에도	활동/NNG+에/JKB+도/JX
적극적으로	적극/NNG+적/XSN+으로/JKB
동참할	동참/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.25.9.3
아울러 장 대표는 ‘직원들은 내 가족들이며 그들이 행복해야 한다’는 가치관으로 직원들에게 늘 먼저 다가가 소통하려고 노력한다.

아울러	아울러/MAG
장	장/NNP
대표는	대표/NNG+는/JX
‘직원들은	‘/SS+직원/NNG+들/XSN+은/JX
내	나/NP+의/JKG
가족들이며	가족/NNG+들/XSN+이/VCP+며/EC
그들이	그/NP+들/XSN+이/JKS
행복해야	행복/NNG+하/XSA+아야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
가치관으로	가치관/NNG+으로/JKB
직원들에게	직원/NNG+들/XSN+에게/JKB
늘	늘/MAG
먼저	먼저/MAG
다가가	다가가/VV+아/EC
소통하려고	소통/NNG+하/XSV+려고/EC
노력한다.	노력/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.25.9.4
그는 “70여 명의 직원들에게 든든한 버팀목이 돼줄 것”이라며 “꾸준한 복지정책으로 건강한 기업문화를 만들어 나갈 것”이라고 밝혔다.

그는	그/NP+는/JX
“70여	“/SS+70/SN+여/XSN
명의	명/NNB+의/JKG
직원들에게	직원/NNG+들/XSN+에게/JKB
든든한	든든하/VA+ㄴ/ETM
버팀목이	버팀목/NNG+이/JKC
돼줄	되/VV+어/EC+주/VX+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“꾸준한	“/SS+꾸준하/VA+ㄴ/ETM
복지정책으로	복지/NNG+정책/NNG+으로/JKB
건강한	건강/NNG+하/XSA+ㄴ/ETM
기업문화를	기업/NNG+문화/NNG+를/JKO
만들어	만들/VV+어/EC
나갈	나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


