# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.224
metadata : {}


# id : NWRW1800000021.224.1.1
“두딸이 ‘돌아올수 없는 문’ 오가는 모습 못잊어”

“두딸이	“/SS+두/MMN+딸/NNG+이/JKS
“오늘 내 두 딸, 아프리카인의 후손이기도 한 내 두 딸이 ‘돌아올 수 없는 문’ 밖으로 나갔다가 다시 되돌아가곤 하는 걸 봤다.

“오늘	“/SS+오늘/MAG
내	나/NP+의/JKG
두	두/MMN
딸,	딸/NNG+,/SP
아프리카인의	아프리카인/NNG+의/JKG
후손이기도	후손/NNG+이/VCP+기/ETN+도/JX
한	하/VV+ㄴ/ETM
딸이	딸/NNG+이/JKS
‘돌아올	‘/SS+돌아오/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
문’	문/NNG+’/SS
밖으로	밖/NNG+으로/JKB
나갔다가	나가/VV+았/EP+다가/EC
다시	다시/MAG
되돌아가곤	되돌아가/VV+곤/EC
하는	하/VX+는/ETM
걸	거/NNB+ㄹ/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.224.4.2
그 이미지를 결코 잊지 못할 것이다.

그	그/MMD
이미지를	이미지/NNG+를/JKO
결코	결코/MAG
잊지	잊/VV+지/EC
못할	못하/VX+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.224.4.3
그 요새는 세상에 악(惡·pure evil)이 존재함을 일깨워줬다.

그	그/MMD
요새는	요새/NNG+는/JX
세상에	세상/NNG+에/JKB
악(惡·pure	악/NNG+(/SS+惡/SH+·/SP+pure/SL
evil)이	evil/SL+)/SS+이/JKS
존재함을	존재/NNG+하/XSV+ㅁ/ETN+을/JKO
일깨워줬다.	일깨우/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.224.4.4
현재도 존재하는 그런 종류의 악에 대해 맞서 싸워야 함을 가르쳐줬다.

현재도	현재/NNG+도/JX
존재하는	존재/NNG+하/XSV+는/ETM
그런	그런/MMD
종류의	종류/NNG+의/JKG
악에	악/NNG+에/JKB
대해	대하/VV+아/EC
맞서	맞서/VV+어/EC
싸워야	싸우/VV+어야/EC
함을	하/VX+ㅁ/ETN+을/JKO
가르쳐줬다.	가르치/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.224.4.5
그리고 바람은 항상 인류의 진전을 향해 분다는 것을 일깨워줬다.”

그리고	그리고/MAJ
바람은	바람/NNG+은/JX
항상	항상/MAG
인류의	인류/NNG+의/JKG
진전을	진전/NNG+을/JKO
향해	향하/VV+아/EC
분다는	불/VV+ㄴ다는/ETM
것을	것/NNB+을/JKO
일깨워줬다.”	일깨우/VV+어/EC+주/VX+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000021.224.5.1
그는 또 “나에겐 아프리카의 피가 흐른다”며 부족의 존경받는 어른이었지만 영국인들의 요리사로 일하며 ‘보이(boy)’로 불렸던 할아버지, 염소를 치며 미국 유학의 꿈을 키웠던 아버지에 대해 얘기했다.

그는	그/NP+는/JX
또	또/MAG
“나에겐	“/SS+나/NP+에게/JKB+ㄴ/JX
아프리카의	아프리카/NNP+의/JKG
피가	피/NNG+가/JKS
흐른다”며	흐르/VV+ㄴ다/EF+”/SS+며/EC
부족의	부족/NNG+의/JKG
존경받는	존경/NNG+받/XSV+는/ETM
어른이었지만	어른/NNG+이/VCP+었/EP+지만/EC
영국인들의	영국인/NNG+들/XSN+의/JKG
요리사로	요리사/NNG+로/JKB
일하며	일/NNG+하/XSV+며/EC
‘보이(boy)’로	‘/SS+보이/NNG+(/SS+boy/SL+)/SS+’/SS+로/JKB
불렸던	불리/VV+었/EP+던/ETM
할아버지,	할아버지/NNG+,/SP
염소를	염소/NNG+를/JKO
치며	치/VV+며/EC
미국	미국/NNP
유학의	유학/NNG+의/JKG
꿈을	꿈/NNG+을/JKO
키웠던	키우/VV+었/EP+던/ETM
아버지에	아버지/NNG+에/JKB
대해	대하/VV+아/EC
얘기했다.	얘기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.224.5.2
그러면서 아프리카 국민에게 가난과 저개발, 전쟁에서 벗어나기 위한 책임감을 당부했다.

그러면서	그러/VV+면서/EC
아프리카	아프리카/NNP
국민에게	국민/NNG+에게/JKB
가난과	가난/NNG+과/JC
저개발,	저/XPN+개발/NNG+,/SP
전쟁에서	전쟁/NNG+에서/JKB
벗어나기	벗어나/VV+기/ETN
위한	위하/VV+ㄴ/ETM
책임감을	책임감/NNG+을/JKO
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.224.6.1
“아프리카의 미래는 아프리카인에게 달렸다.

“아프리카의	“/SS+아프리카/NNP+의/JKG
미래는	미래/NNG+는/JX
아프리카인에게	아프리카인/NNG+에게/JKB
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.224.6.2
부패와 압제를 떨쳐버리고 가난과 질병에 맞서 싸워야 한다.

부패와	부패/NNG+와/JC
압제를	압제/NNG+를/JKO
떨쳐버리고	떨치/VV+어/EC+버리/VX+고/EC
가난과	가난/NNG+과/JC
질병에	질병/NNG+에/JKB
맞서	맞서/VV+어/EC
싸워야	싸우/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.224.6.3
여러분의 걸음마다 미국은 동반자로, 친구로 옆에 함께 있을 것임을 약속한다.”

여러분의	여러분/NP+의/JKG
걸음마다	걸음/NNG+마다/JX
미국은	미국/NNP+은/JX
동반자로,	동반자/NNG+로/JKB+,/SP
친구로	친구/NNG+로/JKB
옆에	옆/NNG+에/JKB
함께	함께/MAG
있을	있/VV+을/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
약속한다.”	약속/NNG+하/XSV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000021.224.7.1
이어 “아프리카에 필요한 건 철권통치자가 아니라 강건한 제도”라며 “한국에서부터 싱가포르에 이르기까지, 역사는 정부가 국민과 하부구조를 위해 투자했을 때 그 나라가 번영함을 보여 주었다”고 강조했다.

이어	이어/MAG
“아프리카에	“/SS+아프리카/NNP+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
철권통치자가	철권통치자/NNG+가/JKC
아니라	아니/VCN+라/EC
강건한	강건하/VA+ㄴ/ETM
제도”라며	제도/NNG+”/SS+이/VCP+라며/EC
“한국에서부터	“/SS+한국/NNP+에서부터/JKB
싱가포르에	싱가포르/NNP+에/JKB
이르기까지,	이르/VV+기/ETN+까지/JX+,/SP
역사는	역사/NNG+는/JX
정부가	정부/NNG+가/JKS
국민과	국민/NNG+과/JC
하부구조를	하부/NNG+구조/NNG+를/JKO
위해	위하/VV+아/EC
투자했을	투자/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
그	그/MMD
나라가	나라/NNG+가/JKS
번영함을	번영/NNG+하/XSV+ㅁ/ETN+을/JKO
보여	보이/VV+어/EC
주었다”고	주/VX+었/EP+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.224.8.1
그는 앞서 11일 이탈리아 주요 8개국(G8) 정상회의 폐막 기자회견에서도 “사실 내 아버지가 미국으로 유학왔을 당시(1950년대 후반)에는 케냐가 한국보다 잘살았다.

그는	그/NP+는/JX
앞서	앞서/MAG
11일	11/SN+일/NNB
이탈리아	이탈리아/NNP
주요	주요/NNG
8개국(G8)	8/SN+개국/NNB+(/SS+G/SL+8/SN+)/SS
정상회의	정상/NNG+회의/NNG
폐막	폐막/NNG
기자회견에서도	기자/NNG+회견/NNG+에서/JKB+도/JX
“사실	“/SS+사실/MAG
내	나/NP+의/JKG
아버지가	아버지/NNG+가/JKS
미국으로	미국/NNP+으로/JKB
유학왔을	유학/NNG+오/VV+았/EP+을/ETM
당시(1950년대	당시/NNG+(/SS+1950/SN+년대/NNB
후반)에는	후반/NNG+)/SS+에/JKB+는/JX
케냐가	케냐/NNP+가/JKS
한국보다	한국/NNP+보다/JKB
잘살았다.	잘살/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.224.8.2
그런데 오늘날 한국은 매우 발전하고 상당히 부유한 국가가 되었지만 케냐는 여전히 심각한 빈곤에 허덕이고 있다”고 말했다.

그런데	그런데/MAJ
오늘날	오늘날/NNG
한국은	한국/NNP+은/JX
매우	매우/MAG
발전하고	발전/NNG+하/XSV+고/EC
상당히	상당히/MAG
부유한	부유/NNG+하/XSA+ㄴ/ETM
국가가	국가/NNG+가/JKC
되었지만	되/VV+었/EP+지만/EC
케냐는	케냐/NNP+는/JX
여전히	여전히/MAG
심각한	심각하/VA+ㄴ/ETM
빈곤에	빈곤/NNG+에/JKB
허덕이고	허덕이/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.224.8.3
그러면서 “한국 정부는 민간 부문 및 시민사회와 협력해 투명성과 책임성, 효율성을 담보할 수 있는 일련의 제도적 장치를 창출할 수 있었으며 이는 아주 두드러진 경제적 발전으로 이어졌다”며 “아프리카 국가들이 똑같은 일을 못해낼 이유가 없다”고 격려했다.

그러면서	그러/VV+면서/EC
“한국	“/SS+한국/NNP
정부는	정부/NNG+는/JX
민간	민간/NNG
부문	부문/NNG
및	및/MAG
시민사회와	시민/NNG+사회/NNG+와/JKB
협력해	협력/NNG+하/XSV+아/EC
투명성과	투명/NNG+성/XSN+과/JC
책임성,	책임/NNG+성/XSN+,/SP
효율성을	효율/NNG+성/XSN+을/JKO
담보할	담보/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일련의	일련/NNG+의/JKG
제도적	제도/NNG+적/XSN
장치를	장치/NNG+를/JKO
창출할	창출/NNG+하/XSV+ㄹ/ETM
있었으며	있/VA+었/EP+으며/EC
이는	이/NP+는/JX
아주	아주/MAG
두드러진	두드러지/VV+ㄴ/ETM
경제적	경제/NNG+적/XSN
발전으로	발전/NNG+으로/JKB
이어졌다”며	이어지/VV+었/EP+다/EF+”/SS+며/EC
“아프리카	“/SS+아프리카/NNP
국가들이	국가/NNG+들/XSN+이/JKS
똑같은	똑같/VA+은/ETM
일을	일/NNG+을/JKO
못해낼	못/MAG+해내/VV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.224.8.4
오바마 대통령의 가나 방문은 만 24시간도 안 되는 짧은 일정이었지만 취임 후 첫 아프리카 방문답게 가나 국민의 뜨거운 환영을 받았다.

오바마	오바마/NNP
대통령의	대통령/NNG+의/JKG
가나	가나/NNP
방문은	방문/NNG+은/JX
만	만/MMA
24시간도	24/SN+시간/NNB+도/JX
안	안/MAG
되는	되/VV+는/ETM
짧은	짧/VA+은/ETM
일정이었지만	일정/NNG+이/VCP+었/EP+지만/EC
취임	취임/NNG
후	후/NNG
첫	첫/MMN
아프리카	아프리카/NNP
방문답게	방문/NNG+답/XSA+게/EC
국민의	국민/NNG+의/JKG
뜨거운	뜨겁/VA+ㄴ/ETM
환영을	환영/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


