# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.159
metadata : {}


# id : NWRW1800000038.159.1.1
대통령·재벌총수 구속시켰던 '칼잡이 검사', 사퇴하며 "내 단죄에 몇 명이나 승복했을지…"

대통령·재벌총수	대통령/NNG+·/SP+재벌/NNG+총수/NNG
부산고검장의	부산고검장/NNG+의/JKG
글도	글/NNG+도/JX
화제가	화제/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.159.6.2
그는 '하늘이 사람에게 큰일을 맡기고자 하면 반드시 먼저 그 마음과 뜻을 흔들어 괴롭힌다'는 맹자 고자편(告子篇) 한 구절을 인용하며 현재의 검찰 위기를 잘 넘기자고 했다.

그는	그/NP+는/JX
'하늘이	'/SS+하늘/NNG+이/JKS
사람에게	사람/NNG+에게/JKB
큰일을	큰일/NNG+을/JKO
맡기고자	맡기/VV+고자/EC
하면	하/VX+면/EC
반드시	반드시/MAG
먼저	먼저/MAG
그	그/MMD
마음과	마음/NNG+과/JC
뜻을	뜻/NNG+을/JKO
흔들어	흔들/VV+어/EC
괴롭힌다'는	괴롭히/VV+ㄴ다/EF+'/SS+는/ETM
맹자	맹자/NNP
고자편(告子篇)	고자편/NNG+(/SS+告子篇/SH+)/SS
한	한/MMN
구절을	구절/NNG+을/JKO
인용하며	인용/NNG+하/XSV+며/EC
현재의	현재/NNG+의/JKG
검찰	검찰/NNG
위기를	위기/NNG+를/JKO
잘	잘/MAG
넘기자고	넘기/VV+자고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.159.7.1
최교일 지검장과 이창세(15기) 법무부 출입국외국인정책본부장, 송해은(15기) 사법연수원 부원장은 간단한 글로 퇴임 인사를 대신했다.

최교일	최교일/NNP
지검장과	지검장/NNG+과/JC
이창세(15기)	이창세/NNP+(/SS+15/SN+기/NNG+)/SS
법무부	법무부/NNG
출입국외국인정책본부장,	출입국/NNG+외국인/NNG+정책/NNG+본부장/NNG+,/SP
송해은(15기)	송해은/NNP+(/SS+15/SN+기/NNG+)/SS
사법연수원	사법/NNG+연수원/NNG
부원장은	부원장/NNG+은/JX
간단한	간단하/VA+ㄴ/ETM
글로	글/NNG+로/JKB
퇴임	퇴임/NNG
인사를	인사/NNG+를/JKO
대신했다.	대신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.159.7.2
최 지검장은 "'아쉬울 때 헤어지는 것이 좋다'는 것이 늘 해왔던 말인데, 조금 아쉬울 때 떠나게 됐다"고 했고, 이 본부장과 송 부원장은 '거친 언행으로 마음을 상하신 분들에게 이 자리를 빌려 사과의 말씀을 드린다'는 내용을 남겼다.

최	최/NNP
지검장은	지검장/NNG+은/JX
"'아쉬울	"/SS+'/SS+아쉽/VA+ㄹ/ETM
때	때/NNG
헤어지는	헤어지/VV+는/ETM
것이	것/NNB+이/JKS
좋다'는	좋/VA+다/EF+'/SS+는/ETM
늘	늘/MAG
해왔던	하/VV+아/EC+오/VX+았/EP+던/ETM
말인데,	말/NNG+이/VCP+ㄴ데/EC+,/SP
조금	조금/MAG
아쉬울	아쉽/VA+ㄹ/ETM
떠나게	떠나/VV+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
이	이/MMD
본부장과	본부장/NNG+과/JC
송	송/NNP
부원장은	부원장/NNG+은/JX
'거친	'/SS+거칠/VA+ㄴ/ETM
언행으로	언행/NNG+으로/JKB
마음을	마음/NNG+을/JKO
상하신	상하/VV+시/EP+ㄴ/ETM
분들에게	분/NNB+들/XSN+에게/JKB
자리를	자리/NNG+를/JKO
빌려	빌리/VV+어/EC
사과의	사과/NNG+의/JKG
말씀을	말씀/NNG+을/JKO
드린다'는	드리/VV+ㄴ다/EF+'/SS+는/ETM
내용을	내용/NNG+을/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


