# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.362
metadata : {}


# id : NWRW1800000046.362.1.1
거슬리는 시행령 다 손본다는 野

거슬리는	거슬리/VV+는/ETM
충돌했던	충돌/NNG+하/XSV+았/EP+던/ETM
전반으로	전반/NNG+으로/JKB
전선을	전선/NNG+을/JKO
확대하고	확대/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.362.5.3
새정치연합 강기정 정책위의장은 "법률이 위임한 권한을 넘어서는 시행령에 대해선 시정 조치를 할 계획"이라며 "그동안 시행령에 너무 많은 권한을 위임한 탓에 정부의 재량권이 너무 넓어졌다"고 말했다.

새정치연합	새정치연합/NNP
강기정	강기정/NNP
정책위의장은	정책위/NNG+의장/NNG+은/JX
"법률이	"/SS+법률/NNG+이/JKS
위임한	위임/NNG+하/XSV+ㄴ/ETM
권한을	권한/NNG+을/JKO
넘어서는	넘어서/VV+는/ETM
시행령에	시행령/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
시정	시정/NNG
조치를	조치/NNG+를/JKO
할	하/VV+ㄹ/ETM
계획"이라며	계획/NNG+"/SS+이/VCP+라며/EC
"그동안	"/SS+그동안/NNG
너무	너무/MAG
많은	많/VA+은/ETM
탓에	탓/NNG+에/JKB
정부의	정부/NNG+의/JKG
재량권이	재량/NNG+권/XSN+이/JKS
넓어졌다"고	넓어지/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.362.5.4
국회에서는 "야당이 이참에 눈엣가시 같던 시행령을 다 손보려는 것 아니냐"는 말도 나왔다.

국회에서는	국회/NNG+에서/JKB+는/JX
"야당이	"/SS+야당/NNG+이/JKS
이참에	이참/NNG+에/JKB
눈엣가시	눈엣가시/NNG
같던	같/VA+던/ETM
시행령을	시행령/NNG+을/JKO
다	다/MAG
손보려는	손보/VV+려는/ETM
것	것/NNB
아니냐"는	아니/VCN+냐/EF+"/SS+는/ETM
말도	말/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.362.6.1
그러나 야당과 함께 국회법을 개정했던 새누리당은 여론과 정부의 반발을 의식한 듯 언급을 자제했다.

그러나	그러나/MAJ
야당과	야당/NNG+과/JKB
함께	함께/MAG
국회법을	국회법/NNG+을/JKO
개정했던	개정/NNG+하/XSV+았/EP+던/ETM
새누리당은	새누리당/NNP+은/JX
여론과	여론/NNG+과/JC
정부의	정부/NNG+의/JKG
반발을	반발/NNG+을/JKO
의식한	의식/NNG+하/XSV+ㄴ/ETM
듯	듯/NNB
언급을	언급/NNG+을/JKO
자제했다.	자제/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.362.6.2
새누리당 조해진 원내수석부대표는 "정부 시행령에 대한 국회의 개정 요구는 국회 상임위에서 여야 합의가 있어야 한다"며 "야당 혼자서 시행령 개정을 요구할 수는 없다"고 말했다.

새누리당	새누리당/NNP
조해진	조해진/NNP
원내수석부대표는	원내/NNG+수석/NNG+부대표/NNG+는/JX
"정부	"/SS+정부/NNG
시행령에	시행령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국회의	국회/NNG+의/JKG
개정	개정/NNG
요구는	요구/NNG+는/JX
국회	국회/NNG
상임위에서	상임위/NNG+에서/JKB
여야	여야/NNG
합의가	합의/NNG+가/JKS
있어야	있/VA+어야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"야당	"/SS+야당/NNG
혼자서	혼자/NNG+서/JKS
시행령	시행령/NNG
개정을	개정/NNG+을/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.362.7.1
새정치연합은 자신들이 "모법(母法)과 상충한다"고 주장해왔던 시행령에 대한 전면적 실태 조사를 이미 상당 부분 마친 상태다.

새정치연합은	새정치연합/NNP+은/JX
자신들이	자신/NNG+들/XSN+이/JKS
"모법(母法)과	"/SS+모법/NNG+(/SS+母法/SH+)/SS+과/JKB
상충한다"고	상충/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
주장해왔던	주장/NNG+하/XSV+아/EC+오/VX+았/EP+던/ETM
시행령에	시행령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전면적	전면/NNG+적/XSN
실태	실태/NNG
조사를	조사/NNG+를/JKO
이미	이미/MAG
상당	상당/NNG
부분	부분/NNG
마친	마치/VV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.362.7.2
야당이 그 결과를 1일 일부 발표하게 되면 입법부와 행정부, 경우에 따라 입법부와 사법부 간 갈등이 고조될 가능성이 있다.

야당이	야당/NNG+이/JKS
그	그/MMD
결과를	결과/NNG+를/JKO
1일	1/SN+일/NNB
일부	일부/NNG
발표하게	발표/NNG+하/XSV+게/EC
되면	되/VV+면/EC
입법부와	입법부/NNG+와/JC
행정부,	행정부/NNG+,/SP
경우에	경우/NNG+에/JKB
따라	따르/VV+아/EC
사법부	사법부/NNG
간	간/NNB
갈등이	갈등/NNG+이/JKS
고조될	고조/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.362.7.3
A3면에 계속

A3면에	A/SL+3/SN+면/NNG+에/JKB
계속	계속/MAG


