# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.111
metadata : {}


# id : NWRW1800000044.111.1.1
“포스 디멘션과 연주하면 초월의 경지”

“포스	“/SS+포스/NNG
1980년	1980/SN+년/NNB
알	알/NNP
디	디/NNP
메올라,	메올라/NNP+,/SP
파코	파코/NNP
데	데/NNP
루치아와	루치아/NNP+와/JKB
기타	기타/NNG
트리오로	트리오/NNG+로/JKB
연주한	연주/NNG+하/XSV+ㄴ/ETM
공연	공연/NNG
실황	실황/NNG
앨범	앨범/NNG
<프라이데이	</SS+프라이데이/NNP
나이트	나이트/NNP
인	인/NNP
샌프란시스코>는	샌프란시스코/NNP+>/SS+는/JX
명반으로	명반/NNG+으로/JKB
평가받는다.	평가/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000044.111.4.5
내한을 앞둔 그와 전자우편 인터뷰를 했다.

내한을	내한/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
그와	그/NP+와/JKB
전자우편	전자/NNG+우편/NNG
인터뷰를	인터뷰/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.111.5.1
­퓨전 재즈를 대표하는 기타리스트로 알려져 있다.

­퓨전	­/SO+퓨전/NNG
재즈를	재즈/NNG+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
기타리스트로	기타리스트/NNG+로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.111.6.1
“로큰롤, 아르앤비(R&B;), 인도 음악, 플라멩코 음악 등을 들으면서 자랐다.

“로큰롤,	“/SS+로큰롤/NNG+,/SP
아르앤비(R&B;),	아르앤비/NNG+(/SS+R/SL+&/SW+B/SL+;/SP+)/SS+,/SP
인도	인도/NNP
음악,	음악/NNG+,/SP
플라멩코	플라멩코/NNG
음악	음악/NNG
등을	등/NNB+을/JKO
들으면서	듣/VV+으면서/EC
자랐다.	자라/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.111.6.2
한번도 퓨전 음악가가 되고 싶어한 적은 없다.

한번도	한/MMN+번/NNB+도/JX
퓨전	퓨전/NNG
음악가가	음악가/NNG+가/JKC
되고	되/VV+고/EC
싶어한	싶/VX+어/EC+하/VX+ㄴ/ETM
적은	적/NNB+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.111.6.3
단지 내 음악인생과 다른 문화, 다양한 장르의 음악에 대한 사랑 때문에 그렇게 보이는 것 같다.

단지	단지/MAG
내	나/NP+의/JKG
음악인생과	음악/NNG+인생/NNG+과/JC
다른	다르/VA+ㄴ/ETM
문화,	문화/NNG+,/SP
다양한	다양/NNG+하/XSA+ㄴ/ETM
장르의	장르/NNG+의/JKG
음악에	음악/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사랑	사랑/NNG
때문에	때문/NNB+에/JKB
그렇게	그렇/VA+게/EC
보이는	보이/VV+는/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000044.111.6.4
나는 최초의 퓨전 음악가가 아니다.

나는	나/NP+는/JX
최초의	최초/NNG+의/JKG
퓨전	퓨전/NNG
음악가가	음악가/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000044.111.6.5
마하비슈누 오케스트라를 결성하기 훨씬 전부터 마일스 데이비스, 토니 윌리엄스와 함께 연주했던 음악들은 분명 퓨전 음악의 일종이었다.”

마하비슈누	마하비슈누/NNP
오케스트라를	오케스트라/NNG+를/JKO
결성하기	결성/NNG+하/XSV+기/ETN
훨씬	훨씬/MAG
전부터	전/NNG+부터/JX
마일스	마일스/NNP
데이비스,	데이비스/NNP+,/SP
토니	토니/NNP
윌리엄스와	윌리엄스/NNP+와/JKB
함께	함께/MAG
연주했던	연주/NNG+하/XSV+았/EP+던/ETM
음악들은	음악/NNG+들/XSN+은/JX
분명	분명/MAG
퓨전	퓨전/NNG
음악의	음악/NNG+의/JKG
일종이었다.”	일종/NNG+이/VCP+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000044.111.7.1
­리멤버 샥티를 통해 인도 음악과 재즈를 결합하는 시도도 했다.

­리멤버	­/SO+리멤버/NNP
샥티를	샥티/NNP+를/JKO
통해	통하/VV+아/EC
인도	인도/NNP
음악과	음악/NNG+과/JC
재즈를	재즈/NNG+를/JKO
결합하는	결합/NNG+하/XSV+는/ETM
시도도	시도/NNG+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.111.8.1
“난 결코 인도 음악과 재즈의 퓨전 밴드를 만들려고 한 적이 없다.

“난	“/SS+나/NP+ㄴ/JX
결코	결코/MAG
인도	인도/NNP
음악과	음악/NNG+과/JC
재즈의	재즈/NNG+의/JKG
퓨전	퓨전/NNG
밴드를	밴드/NNG+를/JKO
만들려고	만들/VV+려고/EC
한	하/VX+ㄴ/ETM
적이	적/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.111.8.2
리멤버 샥티는 인도의 최고 음악가들과 함께 연주하고 싶은 개인적 욕심에서 비롯됐다.

리멤버	리멤버/NNP
샥티는	샥티/NNP+는/JX
인도의	인도/NNP+의/JKG
최고	최고/NNG
음악가들과	음악가/NNG+들/XSN+과/JKB
함께	함께/MAG
연주하고	연주/NNG+하/XSV+고/EC
싶은	싶/VX+은/ETM
개인적	개인/NNG+적/XSN
욕심에서	욕심/NNG+에서/JKB
비롯됐다.	비롯되/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.111.8.3
재즈와 인도 음악은 많은 공통점을 갖고 있다.

재즈와	재즈/NNG+와/JC
인도	인도/NNP
음악은	음악/NNG+은/JX
많은	많/VA+은/ETM
공통점을	공통점/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.111.8.4
그들은 즉흥연주의 대가들로, 리듬을 매우 정교한 단계로까지 발전시켰다.

그들은	그/NP+들/XSN+은/JX
즉흥연주의	즉흥/NNG+연주/NNG+의/JKG
대가들로,	대가/NNG+들/XSN+로/JKB+,/SP
리듬을	리듬/NNG+을/JKO
매우	매우/MAG
정교한	정교하/VA+ㄴ/ETM
단계로까지	단계/NNG+로/JKB+까지/JX
발전시켰다.	발전/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.111.8.5
이 대단한 음악가들과 함께 연주하는 건 내 인생에서 최고 기쁨 중 하나다.”

이	이/MMD
대단한	대단하/VA+ㄴ/ETM
음악가들과	음악가/NNG+들/XSN+과/JKB
함께	함께/MAG
연주하는	연주/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
내	나/NP+의/JKG
인생에서	인생/NNG+에서/JKB
최고	최고/NNG
기쁨	기쁨/NNG
중	중/NNB
하나다.”	하나/NR+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000044.111.9.1
­알 디 메올라, 파코 데 루치아와 함께한 기타 트리오가 유명하다.

­알	­/SO+알/NNP
디	디/NNP
메올라,	메올라/NNP+,/SP
파코	파코/NNP
데	데/NNP
루치아와	루치아/NNP+와/JKB
함께한	함께/MAG+하/XSV+ㄴ/ETM
기타	기타/NNG
트리오가	트리오/NNG+가/JKS
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000044.111.10.1
“1979년 프랑스 라디오에서 파코 데 루치아의 연주를 들었다.

“1979년	“/SS+1979/SN+년/NNB
프랑스	프랑스/NNP
라디오에서	라디오/NNG+에서/JKB
파코	파코/NNP
데	데/NNP
루치아의	루치아/NNP+의/JKG
연주를	연주/NNG+를/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.111.10.2
크게 감동을 받아 그에게 전화를 걸어 만났고, 좋은 친구가 됐다.

크게	크/VA+게/EC
감동을	감동/NNG+을/JKO
받아	받/VV+아/EC
그에게	그/NP+에게/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
만났고,	만나/VV+았/EP+고/EC+,/SP
좋은	좋/VA+은/ETM
친구가	친구/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.111.10.3
그리고 미국 출신 기타리스트 래리 코옐을 초청해 기타 트리오를 결성했다.

그리고	그리고/MAJ
미국	미국/NNP
출신	출신/NNG
기타리스트	기타리스트/NNG
래리	래리/NNP
코옐을	코옐/NNP+을/JKO
초청해	초청/NNG+하/XSV+아/EC
기타	기타/NNG
트리오를	트리오/NNG+를/JKO
결성했다.	결성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.111.10.4
하지만 1980년 래리가 탈퇴하면서 알 디 메올라가 대신하게 됐다.

하지만	하지만/MAJ
1980년	1980/SN+년/NNB
래리가	래리/NNP+가/JKS
탈퇴하면서	탈퇴/NNG+하/XSV+면서/EC
알	알/NNP
디	디/NNP
메올라가	메올라/NNP+가/JKS
대신하게	대신/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.111.10.5
이 트리오는 세계적으로 엄청난 성공을 거뒀다.

이	이/MMD
트리오는	트리오/NNG+는/JX
세계적으로	세계/NNG+적/XSN+으로/JKB
엄청난	엄청나/VA+ㄴ/ETM
성공을	성공/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.111.10.6
기타 트리오를 결성한 이유는 어쿠스틱 기타를 연주하기 위해서였는데, 더 중요한 이유는 플라멩코 음악을 배워보고 싶어서였다.

기타	기타/NNG
트리오를	트리오/NNG+를/JKO
결성한	결성/NNG+하/XSV+ㄴ/ETM
이유는	이유/NNG+는/JX
어쿠스틱	어쿠스틱/NNG
기타를	기타/NNG+를/JKO
연주하기	연주/NNG+하/XSV+기/ETN
위해서였는데,	위하/VV+아서/EC+이/VCP+었/EP+는데/EC+,/SP
더	더/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
플라멩코	플라멩코/NNG
음악을	음악/NNG+을/JKO
배워보고	배우/VV+어/EC+보/VX+고/EC
싶어서였다.	싶/VX+어서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.111.10.7
가장 위대한 플라멩코 기타리스트 파코 데 루치아와 연주하는 것보다 더 좋은 방법이 또 있겠는가?”

가장	가장/MAG
위대한	위대하/VA+ㄴ/ETM
플라멩코	플라멩코/NNG
기타리스트	기타리스트/NNG
파코	파코/NNP
데	데/NNP
루치아와	루치아/NNP+와/JKB
연주하는	연주/NNG+하/XSV+는/ETM
것보다	것/NNB+보다/JKB
더	더/MAG
좋은	좋/VA+은/ETM
방법이	방법/NNG+이/JKS
또	또/MAG
있겠는가?”	있/VA+겠/EP+는가/EF+?/SF+”/SS


# id : NWRW1800000044.111.11.1
­알 디 메올라, 파코 데 루치아와 함께한 기타 트리오, 리멤버 샥티, 파이브 피스 밴드로 내한한 적이 있다.

­알	­/SO+알/NNP
디	디/NNP
메올라,	메올라/NNP+,/SP
파코	파코/NNP
데	데/NNP
루치아와	루치아/NNP+와/JKB
함께한	함께/MAG+하/XSV+ㄴ/ETM
기타	기타/NNG
트리오,	트리오/NNG+,/SP
리멤버	리멤버/NNP
샥티,	샥티/NNP+,/SP
파이브	파이브/NNP
피스	피스/NNP
밴드로	밴드/NNP+로/JKB
내한한	내한/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.111.11.2
이번에는 포스 디멘션과 함께 온다.

이번에는	이번/NNG+에/JKB+는/JX
포스	포스/NNP
디멘션과	디멘션/NNP+과/JKB
함께	함께/MAG
온다.	오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.111.12.1
“이 밴드를 결성한 지 10년이 돼간다.

“이	“/SS+이/MMD
밴드를	밴드/NNG+를/JKO
결성한	결성/NNG+하/XSV+ㄴ/ETM
지	지/NNB
10년이	10/SN+년/NNB+이/JKC
돼간다.	되/VV+어/EC+가/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.111.12.2
4명의 멤버들이 함께 연주하면 일종의 해방감을 느끼게 된다.

4명의	4/SN+명/NNB+의/JKG
멤버들이	멤버/NNG+들/XSN+이/JKS
함께	함께/MAG
연주하면	연주/NNG+하/XSV+면/EC
일종의	일종/NNG+의/JKG
해방감을	해방감/NNG+을/JKO
느끼게	느끼/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.111.12.3
음악이 초월의 경지에 다다를 때만 느낄 수 있는, 내가 생각하는 음악의 진정한 목표라 할 수 있다.

음악이	음악/NNG+이/JKS
초월의	초월/NNG+의/JKG
경지에	경지/NNG+에/JKB
다다를	다다르/VV+ㄹ/ETM
때만	때/NNG+만/JX
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있는,	있/VA+는/ETM+,/SP
내가	내/NP+가/JKS
생각하는	생각/NNG+하/XSV+는/ETM
음악의	음악/NNG+의/JKG
진정한	진정하/VA+ㄴ/ETM
목표라	목표/NNG+이/VCP+라/EC
할	하/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.111.12.4
종종 함께 공연하는 리멤버 샥티를 빼고는 포스 디멘션이 현재 내가 활동하고 있는 유일한 밴드다.

종종	종종/MAG
함께	함께/MAG
공연하는	공연/NNG+하/XSV+는/ETM
리멤버	리멤버/NNP
샥티를	샥티/NNP+를/JKO
빼고는	빼/VV+고/EC+는/JX
포스	포스/NNG
디멘션이	디멘션/NNP+이/JKS
현재	현재/MAG
내가	내/NP+가/JKS
활동하고	활동/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
밴드다.	밴드/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.111.12.5
게다가 이 밴드는 1970년대부터 지금까지 내가 해온 모든 음악의 레퍼토리를 연주한다.

게다가	게다가/MAG
이	이/MMD
밴드는	밴드/NNG+는/JX
1970년대부터	1970/SN+년대/NNB+부터/JX
지금까지	지금/NNG+까지/JX
내가	내/NP+가/JKS
해온	하/VV+아/EC+오/VX+ㄴ/ETM
모든	모든/MMN
음악의	음악/NNG+의/JKG
레퍼토리를	레퍼토리/NNG+를/JKO
연주한다.	연주/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.111.12.6
이번 무대에서 보여주겠다.”

이번	이번/NNG
무대에서	무대/NNG+에서/JKB
보여주겠다.”	보이/VV+어/EC+주/VX+겠/EP+다/EF+./SF+”/SS


# id : NWRW1800000044.111.13.1
­당신에게 기타란 어떤 존재인가?

­당신에게	­/SO+당신/NP+에게/JKB
기타란	기타/NNG+란/JX
어떤	어떤/MMD
존재인가?	존재/NNG+이/VCP+ㄴ가/EF+?/SF


# id : NWRW1800000044.111.13.2
언제까지 음악을 계속할 것인가?

언제까지	언제/NP+까지/JX
음악을	음악/NNG+을/JKO
계속할	계속/NNG+하/XSV+ㄹ/ETM
것인가?	것/NNB+이/VCP+ㄴ가/EF+?/SF


# id : NWRW1800000044.111.14.1
“기타는 현세의 내 목소리다.

“기타는	“/SS+기타/NNG+는/JX
현세의	현세/NNG+의/JKG
내	나/NP+의/JKG
목소리다.	목소리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.111.14.2
11살 때 기타를 발견한 이후 줄곧 이 악기를 사랑해왔다.

11살	11/SN+살/NNB
때	때/NNG
기타를	기타/NNG+를/JKO
발견한	발견/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
줄곧	줄곧/MAG
이	이/MMD
악기를	악기/NNG+를/JKO
사랑해왔다.	사랑/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.111.14.3
물론 언젠가는 기타를 연주하는 게 육체적으로 매우 힘들 때가 올 것이다.

물론	물론/MAG
언젠가는	언젠가/MAG+는/JX
기타를	기타/NNG+를/JKO
연주하는	연주/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
육체적으로	육체/NNG+적/XSN+으로/JKB
매우	매우/MAG
힘들	힘들/VA+ㄹ/ETM
때가	때/NNG+가/JKS
올	오/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.111.14.4
그러면 연주를 멈출 것이다.

그러면	그러면/MAJ
연주를	연주/NNG+를/JKO
멈출	멈추/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.111.14.5
하지만 지금은 아니다.”

하지만	하지만/MAJ
지금은	지금/NNG+은/JX
아니다.”	아니/VCN+다/EF+./SF+”/SS


# id : NWRW1800000044.111.14.6
(02)941-1150.

(02)941-1150.	(/SS+02/SN+)/SS+941/SN+-/SO+1150/SN+./SF


