# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.62
metadata : {}


# id : NWRW1800000048.62.1.1
법원, 실제로 ‘재벌 봐주기 판결’ 했다

법원,	법원/NNG+,/SP
실형을 선고받더라도 재벌 피고인은 일반 피고인보다 복역기간이 평균 19개월 짧았다.

실형을	실형/NNG+을/JKO
선고받더라도	선고/NNG+받/XSV+더라도/EC
재벌	재벌/NNG
피고인은	피고인/NNG+은/JX
일반	일반/NNG
피고인보다	피고인/NNG+보다/JKB
복역기간이	복역/NNG+기간/NNG+이/JKS
평균	평균/NNG
19개월	19/SN+개월/NNB
짧았다.	짧/VA+았/EP+다/EF+./SF


# id : NWRW1800000048.62.10.2
같은 재벌이더라도 10대 재벌에 속하면 집행유예를 받을 확률이 더 높아졌다.

같은	같/VA+은/ETM
재벌이더라도	재벌/NNG+이/VCP+더라도/EC
10대	10/SN+대/NNG
재벌에	재벌/NNG+에/JKB
속하면	속하/VV+면/EC
집행유예를	집행/NNG+유예/NNG+를/JKO
받을	받/VV+을/ETM
확률이	확률/NNG+이/JKS
더	더/MAG
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.62.10.3
10대 그룹 관련 피고인이 집행유예를 받을 확률은 재벌이 아닌 피고인보다 11.1%포인트 높았지만, 10대 이하 재벌그룹의 경우 8.6%포인트 높았다.

10대	10/SN+대/NNG
그룹	그룹/NNG
관련	관련/NNG
피고인이	피고인/NNG+이/JKS
집행유예를	집행/NNG+유예/NNG+를/JKO
받을	받/VV+을/ETM
확률은	확률/NNG+은/JX
재벌이	재벌/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
피고인보다	피고인/NNG+보다/JKB
11.1%포인트	11/SN+./SP+1/SN+%포인트/NNG
높았지만,	높/VA+았/EP+지만/EC+,/SP
이하	이하/NNG
재벌그룹의	재벌/NNG+그룹/NNG+의/JKG
경우	경우/NNG
8.6%포인트	8/SN+./SP+6/SN+%포인트/NNG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000048.62.11.1
변호사 선임에도 차이가 컸다.

변호사	변호사/NNG
선임에도	선임/NNG+에/JKB+도/JX
차이가	차이/NNG+가/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000048.62.11.2
재벌 피고인은 평균 4.4명의 변호사를 선임했는데, 이 중 전직 고위 판·검사 출신이 평균 2명 포함됐다.

재벌	재벌/NNG
피고인은	피고인/NNG+은/JX
평균	평균/NNG
4.4명의	4/SN+./SP+4/SN+명/NNB+의/JKG
변호사를	변호사/NNG+를/JKO
선임했는데,	선임/NNG+하/XSV+았/EP+는데/EC+,/SP
이	이/MMD
중	중/NNB
전직	전직/NNG
고위	고위/NNG
판·검사	판·검사/NNG
출신이	출신/NNG+이/JKS
2명	2/SN+명/NNB
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.62.11.3
재벌이 아닌 피고인의 경우 변호인을 평균 3.8명 선임했고 ‘전관’ 출신이 1.4명이었다.

재벌이	재벌/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
피고인의	피고인/NNG+의/JKG
경우	경우/NNG
변호인을	변호인/NNG+을/JKO
평균	평균/NNG
3.8명	3/SN+./SP+8/SN+명/NNB
선임했고	선임/NNG+하/XSV+았/EP+고/EC
‘전관’	‘/SS+전관/NNG+’/SS
출신이	출신/NNG+이/JKS
1.4명이었다.	1/SN+./SP+4/SN+명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.62.12.1
최 연구위원은 “사법부의 재벌 편향성은 재벌(총수)에 대한 실형 판결이 가져올 경제 전반의 리스크를 감안한 것 같다”고 설명했다.

최	최/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
“사법부의	“/SS+사법부/NNG+의/JKG
재벌	재벌/NNG
편향성은	편향/NNG+성/XSN+은/JX
재벌(총수)에	재벌/NNG+(/SS+총수/NNG+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
실형	실형/NNG
판결이	판결/NNG+이/JKS
가져올	가져오/VV+ㄹ/ETM
경제	경제/NNG
전반의	전반/NNG+의/JKG
리스크를	리스크/NNG+를/JKO
감안한	감안/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.62.12.2
경제에 끼치는 영향을 우려해 대기업 총수에게 실형을 선고하기 어렵다는 이른바 ‘대마불옥(大馬不獄)’이 작용했다는 것이다.

경제에	경제/NNG+에/JKB
끼치는	끼치/VV+는/ETM
영향을	영향/NNG+을/JKO
우려해	우려/NNG+하/XSV+아/EC
대기업	대/XPN+기업/NNG
총수에게	총수/NNG+에게/JKB
실형을	실형/NNG+을/JKO
선고하기	선고/NNG+하/XSV+기/ETN
어렵다는	어렵/VA+다는/ETM
이른바	이른바/MAG
‘대마불옥(大馬不獄)’이	‘/SS+대마불옥/NNG+(/SS+大馬不獄/SH+)/SS+’/SS+이/JKS
작용했다는	작용/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.62.12.3
이어 그는 “경제범죄가 계열사 간 내부거래의 형태로 발생하는 경우 한국 법원은 여전히 소수주주와 외부 투자자의 입장에 서기보다는 그룹 전체의 이익을 위한 것이었다고 보는 관행을 버리지 못하는 것도 사법부의 재벌 편향성을 가중시키는 원인”이라고 지적했다.

이어	이어/MAG
그는	그/NP+는/JX
“경제범죄가	“/SS+경제/NNG+범죄/NNG+가/JKS
계열사	계열사/NNG
간	간/NNB
내부거래의	내부/NNG+거래/NNG+의/JKG
형태로	형태/NNG+로/JKB
발생하는	발생/NNG+하/XSV+는/ETM
경우	경우/NNG
한국	한국/NNP
법원은	법원/NNG+은/JX
여전히	여전히/MAG
소수주주와	소수/NNG+주주/NNG+와/JC
외부	외부/NNG
투자자의	투자자/NNG+의/JKG
입장에	입장/NNG+에/JKB
서기보다는	서/VV+기/ETN+보다/JKB+는/JX
그룹	그룹/NNG
전체의	전체/NNG+의/JKG
이익을	이익/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
것이었다고	것/NNB+이/VCP+었/EP+다고/EC
보는	보/VV+는/ETM
관행을	관행/NNG+을/JKO
버리지	버리/VV+지/EC
못하는	못하/VX+는/ETM
것도	것/NNB+도/JX
사법부의	사법부/NNG+의/JKG
재벌	재벌/NNG
편향성을	편향/NNG+성/XSN+을/JKO
가중시키는	가중/NNG+시키/XSV+는/ETM
원인”이라고	원인/NNG+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


