# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.244
metadata : {}


# id : NWRW1800000033.244.1.1
경찰청서 돌아온 김두현 “집 떠나보니 집의 소중함 알겠더라”

경찰청서	경찰청/NNG+서/JKB
찾아간	찾아가/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
수원과	수원/NNP+과/JC
서울의	서울/NNP+의/JKG
라이벌전이	라이벌전/NNG+이/JKS
열린	열리/VV+ㄴ/ETM
수원월드컵경기장이었다.	수원월드컵경기장/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.244.4.3
그는 4만3352명의 관중과 함께 친정팀의 경기를 지켜보며 군 시절에 느낀 ‘프로 생활의 소중함’을 곱씹었다.

그는	그/NP+는/JX
4만3352명의	4/SN+만/NR+3352/SN+명/NNB+의/JKG
관중과	관중/NNG+과/JKB
함께	함께/MAG
친정팀의	친정/NNG+팀/NNG+의/JKG
경기를	경기/NNG+를/JKO
지켜보며	지켜보/VV+며/EC
군	군/NNG
시절에	시절/NNG+에/JKB
느낀	느끼/VV+ㄴ/ETM
‘프로	‘/SS+프로/NNG
생활의	생활/NNG+의/JKG
소중함’을	소중하/VA+ㅁ/ETN+’/SS+을/JKO
곱씹었다.	곱씹/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.244.4.4
경기 화성시 수원블루윙스 클럽하우스에서 만난 그는 “경찰청에서 실업 축구를 비롯해 다양한 곳에서 온 선수들과 함께 생활했다.

경기	경기/NNP
화성시	화성시/NNP
수원블루윙스	수원블루윙스/NNP
클럽하우스에서	클럽하우스/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
그는	그/NP+는/JX
“경찰청에서	“/SS+경찰청/NNG+에서/JKB
실업	실업/NNG
축구를	축구/NNG+를/JKO
비롯해	비롯하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
온	오/VV+ㄴ/ETM
선수들과	선수/NNG+들/XSN+과/JKB
함께	함께/MAG
생활했다.	생활/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.244.4.5
어려운 환경에서 축구를 해 온 동료를 보며 내가 얼마나 좋은 환경과 많은 팬들의 사랑 속에서 축구를 해 왔는지를 깨달았다”고 말했다.

어려운	어렵/VA+ㄴ/ETM
환경에서	환경/NNG+에서/JKB
축구를	축구/NNG+를/JKO
해	하/VV+아/EC
온	오/VX+ㄴ/ETM
동료를	동료/NNG+를/JKO
보며	보/VV+며/EC
내가	내/NP+가/JKS
얼마나	얼마나/MAG
좋은	좋/VA+은/ETM
환경과	환경/NNG+과/JC
많은	많/VA+은/ETM
팬들의	팬/NNG+들/XSN+의/JKG
사랑	사랑/NNG
속에서	속/NNG+에서/JKB
왔는지를	오/VX+았/EP+는지/EF+를/JKO
깨달았다”고	깨닫/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.244.5.1
21일 현재 수원은 리그 3위를 달리고 있다.

21일	21/SN+일/NNB
현재	현재/MAG
수원은	수원/NNP+은/JX
리그	리그/NNG
3위를	3/SN+위/NNB+를/JKO
달리고	달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.244.5.2
K리그 최종 순위 1, 2위 팀은 아시아축구연맹(AFC) 챔피언스리그 진출권이, 3위 팀은 AFC 챔피언스리그 출전을 위한 플레이오프에 나갈 기회가 주어진다.

K리그	K/SL+리그/NNG
최종	최종/NNG
순위	순위/NNG
1,	1/SN+,/SP
2위	2/SN+위/NNB
팀은	팀/NNG+은/JX
아시아축구연맹(AFC)	아시아축구연맹/NNP+(/SS+AFC/SL+)/SS
챔피언스리그	챔피언스리그/NNG
진출권이,	진출/NNG+권/XSN+이/JKS+,/SP
3위	3/SN+위/NNB
AFC	AFC/SL
출전을	출전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
플레이오프에	플레이오프/NNG+에/JKB
나갈	나가/VV+ㄹ/ETM
기회가	기회/NNG+가/JKS
주어진다.	주어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.244.5.3
AFC 챔피언스리그에 진출하기 위해 갈 길이 바쁜 수원은 재치 있는 패스와 강력한 중거리 슛 능력을 지닌 김두현의 복귀가 반갑다.

AFC	AFC/SL
챔피언스리그에	챔피언스리그/NNG+에/JKB
진출하기	진출/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
갈	가/VV+ㄹ/ETM
길이	길/NNG+이/JKS
바쁜	바쁘/VA+ㄴ/ETM
수원은	수원/NNP+은/JX
재치	재치/NNG
있는	있/VA+는/ETM
패스와	패스/NNG+와/JC
강력한	강력/NNG+하/XSA+ㄴ/ETM
중거리	중거리/NNG
슛	슛/NNG
능력을	능력/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
김두현의	김두현/NNP+의/JKG
복귀가	복귀/NNG+가/JKS
반갑다.	반갑/VA+다/EF+./SF


# id : NWRW1800000033.244.6.1
김두현은 “점유율을 높이면서 세밀한 패스로 상대를 압박하는 미드필더가 되고 싶다.

김두현은	김두현/NNP+은/JX
“점유율을	“/SS+점유/NNG+율/XSN+을/JKO
높이면서	높이/VV+면서/EC
세밀한	세밀하/VA+ㄴ/ETM
패스로	패스/NNG+로/JKB
상대를	상대/NNG+를/JKO
압박하는	압박/NNG+하/XSV+는/ETM
미드필더가	미드필더/NNG+가/JKC
되고	되/VV+고/EC
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000033.244.6.2
팀도 내게 그런 역할을 원한다고 생각한다”고 말했다.

팀도	팀/NNG+도/JX
내게	나/NP+에게/JKB
그런	그런/MMD
역할을	역할/NNG+을/JKO
원한다고	원/NNG+하/XSV+ㄴ다고/EC
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.244.6.3
그에게 “수원 선수들이 군 입대 전과 많이 바뀌어 손발을 맞추기 어렵지 않겠느냐”고 묻자 “경찰청 말년 휴가 때 수원 선수들과 함께 훈련을 했다.

그에게	그/NP+에게/JKB
“수원	“/SS+수원/NNP
선수들이	선수/NNG+들/XSN+이/JKS
군	군/NNG
입대	입대/NNG
전과	전/NNG+과/JKB
많이	많이/MAG
바뀌어	바뀌/VV+어/EC
손발을	손발/NNG+을/JKO
맞추기	맞추/VV+기/ETN
어렵지	어렵/VA+지/EC
않겠느냐”고	않/VX+겠/EP+느냐/EF+”/SS+고/JKQ
묻자	묻/VV+자/EC
“경찰청	“/SS+경찰청/NNG
말년	말년/NNG
휴가	휴가/NNG
때	때/NNG
수원	수원/NNP
선수들과	선수/NNG+들/XSN+과/JKB
함께	함께/MAG
훈련을	훈련/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.244.6.4
군대 있을 때 TV로 수원의 경기를 보며 ‘이미지 트레이닝’을 했기 때문에 크게 문제될 게 없다”며 자신감을 보였다.

군대	군대/NNG
있을	있/VV+을/ETM
때	때/NNG
TV로	TV/SL+로/JKB
수원의	수원/NNP+의/JKG
경기를	경기/NNG+를/JKO
보며	보/VV+며/EC
‘이미지	‘/SS+이미지/NNG
트레이닝’을	트레이닝/NNG+’/SS+을/JKO
했기	하/VV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
크게	크/VA+게/EC
문제될	문제/NNG+되/XSV+ㄹ/ETM
게	거/NNB+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
자신감을	자신감/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.244.7.1
6일 부산과의 경기에 교체 출전해 복귀전을 치른 그는 A매치로 인한 약 2주간의 K리그 휴식기에도 홀로 훈련장에 나와 슈팅, 패스 등 개인 훈련을 했다.

6일	6/SN+일/NNB
부산과의	부산/NNP+과/JKB+의/JKG
경기에	경기/NNG+에/JKB
교체	교체/NNG
출전해	출전/NNG+하/XSV+아/EC
복귀전을	복귀전/NNG+을/JKO
치른	치르/VV+ㄴ/ETM
그는	그/NP+는/JX
A매치로	A/SL+매치/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
약	약/MMA
2주간의	2/SN+주/NNB+간/XSN+의/JKG
K리그	K/SL+리그/NNG
휴식기에도	휴식기/NNG+에/JKB+도/JX
홀로	홀로/MAG
훈련장에	훈련장/NNG+에/JKB
나와	나오/VV+아/EC
슈팅,	슈팅/NNG+,/SP
패스	패스/NNG
등	등/NNB
개인	개인/NNG
훈련을	훈련/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.244.7.2
하루빨리 팀에 보탬이 되고 싶기 때문이다.

하루빨리	하루빨리/MAG
팀에	팀/NNG+에/JKB
보탬이	보탬/NNG+이/JKC
되고	되/VV+고/EC
싶기	싶/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.244.7.3
김두현은 “초심으로 돌아가기 위해 등번호도 2001년 수원 입단 당시의 25번으로 바꿨다.

김두현은	김두현/NNP+은/JX
“초심으로	“/SS+초심/NNG+으로/JKB
돌아가기	돌아가/VV+기/ETN
위해	위하/VV+아/EC
등번호도	등/NNG+번호/NNG+도/JX
2001년	2001/SN+년/NNB
수원	수원/NNP
입단	입단/NNG
당시의	당시/NNG+의/JKG
25번으로	25/SN+번/NNB+으로/JKB
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.244.7.4
수원이 AFC 챔피언스리그 진출과 리그 우승이라는 두 마리 토끼를 모두 잡을 수 있도록 최선을 다하겠다”고 말했다.

수원이	수원/NNP+이/JKS
AFC	AFC/SL
챔피언스리그	챔피언스리그/NNG
진출과	진출/NNG+과/JC
리그	리그/NNG
우승이라는	우승/NNG+이/VCP+라는/ETM
두	두/MMN
마리	마리/NNB
토끼를	토끼/NNG+를/JKO
모두	모두/MAG
잡을	잡/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
최선을	최선/NNG+을/JKO
다하겠다”고	다/MAG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


