# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.208
metadata : {}


# id : NWRW1800000053.208.1.1
법무-행안장관-검경 수장 4人‘1987’ 동반관람

법무-행안장관-검경	법무/NNG+-/SO+행안/NNG+장관/NNG+-/SO+검경/NNG
끝날	끝나/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
5분가량	5/SN+분/NNB+가량/XSN
울음을	울음/NNG+을/JKO
멈추지	멈추/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.208.5.1
영화엔 1987년 민주화 운동을 하던 서울대 학생 박종철 씨가 경찰 조사 도중 ‘탁 치니 억 하고’ 사망했다는 당국의 발표가 고문치사를 숨긴 조작이었다는 동아일보의 연쇄 특종 보도가 나온다.

영화엔	영화/NNG+에/JKB+ㄴ/JX
1987년	1987/SN+년/NNB
민주화	민주/NNG+화/XSN
운동을	운동/NNG+을/JKO
하던	하/VV+던/ETM
서울대	서울대/NNP
학생	학생/NNG
박종철	박종철/NNP
씨가	씨/NNB+가/JKS
경찰	경찰/NNG
조사	조사/NNG
도중	도중/NNG
‘탁	‘/SS+탁/MAG
치니	치/VV+니/EC
억	억/IC
하고’	하/VV+고/EC+’/SS
사망했다는	사망/NNG+하/XSV+았/EP+다는/ETM
당국의	당국/NNG+의/JKG
발표가	발표/NNG+가/JKS
고문치사를	고문치사/NNG+를/JKO
숨긴	숨기/VV+ㄴ/ETM
조작이었다는	조작/NNG+이/VCP+었/EP+다는/ETM
동아일보의	동아일보/NNP+의/JKG
연쇄	연쇄/NNG
특종	특종/NNG
보도가	보도/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.208.5.2
동아일보는 1987년 1월 16일자 사회면 머리기사로 ‘대학생 경찰 조사받다 사망’이란 제목의 기사를 보도했다.

동아일보는	동아일보/NNP+는/JX
1987년	1987/SN+년/NNB
1월	1/SN+월/NNB
16일자	16/SN+일/NNB+자/NNG
사회면	사회면/NNG
머리기사로	머리기사/NNG+로/JKB
‘대학생	‘/SS+대학/NNG+생/XSN
경찰	경찰/NNG
조사받다	조사/NNG+받/XSV+다/EC
사망’이란	사망/NNG+’/SS+이/VCP+란/ETM
제목의	제목/NNG+의/JKG
기사를	기사/NNG+를/JKO
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.208.5.3
또 같은 해 1월 19일자 1면 머리기사의 제목은 ‘물고문 도중 질식사’였다.

또	또/MAG
같은	같/VA+은/ETM
해	해/NNG
1월	1/SN+월/NNB
19일자	19/SN+일/NNB+자/NNG
1면	1/SN+면/NNG
머리기사의	머리기사/NNG+의/JKG
제목은	제목/NNG+은/JX
‘물고문	‘/SS+물고문/NNG
도중	도중/NNG
질식사’였다.	질식사/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.208.5.4
당시 대통령정무수석은 동아일보 편집국장에게 전화를 해 “귀지(貴紙)가 이겼어.

당시	당시/NNG
대통령정무수석은	대통령/NNG+정무/NNG+수석/NNG+은/JX
동아일보	동아일보/NNP
편집국장에게	편집국장/NNG+에게/JKB
전화를	전화/NNG+를/JKO
해	하/VV+아/EC
“귀지(貴紙)가	“/SS+귀지/NNG+(/SS+貴紙/SH+)/SS+가/JKS
이겼어.	이기/VV+었/EP+어/EF+./SF


# id : NWRW1800000053.208.5.5
진상을 밝히기로 결정했어”라고 말했다.

진상을	진상/NNG+을/JKO
밝히기로	밝히/VV+기/ETN+로/JKB
결정했어”라고	결정/NNG+하/XSV+았/EP+어/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.208.5.6
민주화의 분수령이 된 특종은 6월 민주항쟁을 거쳐 대통령 직선제로 이어졌다.

민주화의	민주/NNG+화/XSN+의/JKG
분수령이	분수령/NNG+이/JKC
된	되/VV+ㄴ/ETM
특종은	특종/NNG+은/JX
6월	6/SN+월/NNB
민주항쟁을	민주/NNG+항쟁/NNG+을/JKO
거쳐	거치/VV+어/EC
대통령	대통령/NNG
직선제로	직선/NNG+제/XSN+로/JKB
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.208.6.1
박 장관은 영화 관람 후 “민주주의가 약화됐을 때 국가권력의 폭력성, 잔인성이 나타난다”고 말했다.

박	박/NNP
장관은	장관/NNG+은/JX
영화	영화/NNG
관람	관람/NNG
후	후/NNG
“민주주의가	“/SS+민주주의/NNG+가/JKS
약화됐을	약화/NNG+되/XSV+었/EP+을/ETM
때	때/NNG
국가권력의	국가/NNG+권력/NNG+의/JKG
폭력성,	폭력/NNG+성/XSN+,/SP
잔인성이	잔인/NNG+성/XSN+이/JKS
나타난다”고	나타나/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.208.6.2
김 장관은 영화에서 시위대가 애국가를 부르는 장면을 거론하며 “애국가를 괄시하지 않으면 좋겠다.

김	김/NNP
장관은	장관/NNG+은/JX
영화에서	영화/NNG+에서/JKB
시위대가	시위대/NNG+가/JKS
애국가를	애국가/NNG+를/JKO
부르는	부르/VV+는/ETM
장면을	장면/NNG+을/JKO
거론하며	거론/NNG+하/XSV+며/EC
“애국가를	“/SS+애국가/NNG+를/JKO
괄시하지	괄시/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
좋겠다.	좋/VA+겠/EP+다/EF+./SF


# id : NWRW1800000053.208.6.3
보수건 진보건 우리 공동체를 회복시켜 준 게 애국가”라고 강조했다.

보수건	보수/NNG+이/VCP+건/EC
진보건	진보/NNG+이/VCP+건/EC
우리	우리/NP
공동체를	공동체/NNG+를/JKO
회복시켜	회복/NNG+시키/XSV+어/EC
준	주/VX+ㄴ/ETM
게	거/NNB+이/JKS
애국가”라고	애국가/NNG+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.208.6.4
또 “태극기가 그때도 귀한 상징이었다.

또	또/MAG
“태극기가	“/SS+태극기/NNG+가/JKS
그때도	그때/NNG+도/JX
귀한	귀하/VA+ㄴ/ETM
상징이었다.	상징/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.208.6.5
보수 진보가 집회 때마다 그리 하는 걸(태극기를 놓고 갈등 빚는 상황을) 바꿨음 좋겠다”고 말했다.

보수	보수/NNG
진보가	진보/NNG+가/JKS
집회	집회/NNG
때마다	때/NNG+마다/JX
그리	그리/MAG
하는	하/VV+는/ETM
걸(태극기를	거/NNB+ㄹ/JKO+(/SS+태극기/NNG+를/JKO
놓고	놓/VV+고/EC
갈등	갈등/NNG
빚는	빚/VV+는/ETM
상황을)	상황/NNG+을/JKO+)/SS
바꿨음	바꾸/VV+었/EP+음/ETN
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.208.7.1
문 총장은 “그 시대를 살았던 우리 이야기다.

문	문/NNP
총장은	총장/NNG+은/JX
“그	“/SS+그/MMD
시대를	시대/NNG+를/JKO
살았던	살/VV+았/EP+던/ETM
우리	우리/NP
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.208.7.2
당시 민주화는 거대담론이었는데 지금은 민주화를 세밀하게 어떻게 운영할 것인지 논의하고 있다”고 소감을 밝혔다.

당시	당시/NNG
민주화는	민주/NNG+화/XSN+는/JX
거대담론이었는데	거대/NNG+담론/NNG+이/VCP+었/EP+는데/EC
지금은	지금/NNG+은/JX
민주화를	민주/NNG+화/XSN+를/JKO
세밀하게	세밀하/VA+게/EC
어떻게	어떻/VA+게/EC
운영할	운영/NNG+하/XSV+ㄹ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EF
논의하고	논의/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
소감을	소감/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.208.7.3
이 청장은 “과거 (경찰이) 잘못한 부분에 대해 크게 반성하고 성찰해서 경찰도 시대에 맞는 인권 경찰을 구현할 수 있도록 노력하겠다”고 말했다.

이	이/NNP
청장은	청장/NNG+은/JX
“과거	“/SS+과거/NNG
(경찰이)	(/SS+경찰/NNG+이/JKS+)/SS
잘못한	잘못/MAG+하/XSV+ㄴ/ETM
부분에	부분/NNG+에/JKB
대해	대하/VV+아/EC
크게	크/VA+게/EC
반성하고	반성/NNG+하/XSV+고/EC
성찰해서	성찰/NNG+하/XSV+아서/EC
경찰도	경찰/NNG+도/JX
시대에	시대/NNG+에/JKB
맞는	맞/VV+는/ETM
인권	인권/NNG
경찰을	경찰/NNG+을/JKO
구현할	구현/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.208.7.4
네 사람의 동반 영화 관람은 법무부 측 제안으로 성사됐다.

네	네/MMN
사람의	사람/NNG+의/JKG
동반	동반/NNG
영화	영화/NNG
관람은	관람/NNG+은/JX
법무부	법무부/NNG
측	측/NNB
제안으로	제안/NNG+으로/JKB
성사됐다.	성사/NNG+되/XSV+었/EP+다/EF+./SF


