# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.265
metadata : {}


# id : NWRW1800000049.265.1.1
[김희균 기자의 교육&공감]법과 소통이 사라진 교육정책

[김희균	[/SS+김희균/NNP
# id : NWRW1800000049.265.5.2
여기서 주목할 부분이 바로 ‘법을 고쳐서라도’이다.

여기서	여기/NP+서/JKB
주목할	주목/NNG+하/XSV+ㄹ/ETM
부분이	부분/NNG+이/JKS
바로	바로/MAG
‘법을	‘/SS+법/NNG+을/JKO
고쳐서라도’이다.	고치/VV+어서/EC+라도/JX+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000049.265.6.1
이 문제는 정부가 시행령만 땜질식으로 고쳤기 때문에 더 비틀린 사안이다.

이	이/MMD
문제는	문제/NNG+는/JX
정부가	정부/NNG+가/JKS
시행령만	시행령/NNG+만/JX
땜질식으로	땜질식/NNG+으로/JKB
고쳤기	고치/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
더	더/MAG
비틀린	비틀리/VV+ㄴ/ETM
사안이다.	사안/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.265.6.2
정부가 누리과정 예산을 교육감의 책임으로 넘긴 이후 반발이 가라앉지 않자 교육부는 지난해 10월 급히 지방교육재정교부금법 시행령을 개정했다.

정부가	정부/NNG+가/JKS
누리과정	누리/NNG+과정/NNG
예산을	예산/NNG+을/JKO
교육감의	교육감/NNG+의/JKG
책임으로	책임/NNG+으로/JKB
넘긴	넘기/VV+ㄴ/ETM
이후	이후/NNG
반발이	반발/NNG+이/JKS
가라앉지	가라앉/VV+지/EC
않자	않/VX+자/EC
교육부는	교육부/NNG+는/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
급히	급히/MAG
지방교육재정교부금법	지방/NNG+교육/NNG+재정/NNG+교부금/NNG+법/NNG
시행령을	시행령/NNG+을/JKO
개정했다.	개정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.265.6.3
그러나 교육감들은 이 시행령이 상위법인 지방교육재정교부금법 및 영유아보육법에 어긋난다며 오히려 반발 수위를 높였다.

그러나	그러나/MAJ
교육감들은	교육감/NNG+들/XSN+은/JX
이	이/MMD
시행령이	시행령/NNG+이/JKS
상위법인	상위법/NNG+이/VCP+ㄴ/ETM
지방교육재정교부금법	지방/NNG+교육/NNG+재정/NNG+교부금/NNG+법/NNG
및	및/MAG
영유아보육법에	영유아/NNG+보육법/NNG+에/JKB
어긋난다며	어긋나/VV+ㄴ다며/EC
오히려	오히려/MAG
반발	반발/NNG
수위를	수위/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.265.7.1
수년간 야당 및 교육감들과 갈등의 골만 키운 정부는 지난주 재정개혁 대책을 통해 지방교육재정교부금법을 개정하겠다는 방침을 밝혔다.

수년간	수년/NNG+간/XSN
야당	야당/NNG
및	및/MAG
교육감들과	교육감/NNG+들/XSN+과/JKB
갈등의	갈등/NNG+의/JKG
골만	골/NNG+만/JX
키운	키우/VV+ㄴ/ETM
정부는	정부/NNG+는/JX
지난주	지난주/NNG
재정개혁	재정/NNG+개혁/NNG
대책을	대책/NNG+을/JKO
통해	통하/VV+아/EC
지방교육재정교부금법을	지방/NNG+교육/NNG+재정/NNG+교부금/NNG+법/NNG+을/JKO
개정하겠다는	개정/NNG+하/XSV+겠/EP+다는/ETM
방침을	방침/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.265.7.2
대통령의 주문대로 법을 고쳐 누리과정 예산 문제를 해결하겠다는 것이다.

대통령의	대통령/NNG+의/JKG
주문대로	주문/NNG+대로/JX
법을	법/NNG+을/JKO
고쳐	고치/VV+어/EC
누리과정	누리/NNG+과정/NNG
예산	예산/NNG
문제를	문제/NNG+를/JKO
해결하겠다는	해결/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.265.7.3
야당과 교육감들이 손을 잡고 극렬히 반대하는 내용의 법 개정을, 그것도 거대 야당이 포진한 20대 국회에서 개정하겠다니….

야당과	야당/NNG+과/JC
교육감들이	교육감/NNG+들/XSN+이/JKS
손을	손/NNG+을/JKO
잡고	잡/VV+고/EC
극렬히	극렬히/MAG
반대하는	반대/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
법	법/NNG
개정을,	개정/NNG+을/JKO+,/SP
그것도	그것/NP+도/JX
거대	거대/NNG
야당이	야당/NNG+이/JKS
포진한	포진/NNG+하/XSV+ㄴ/ETM
20대	20/SN+대/NNB
국회에서	국회/NNG+에서/JKB
개정하겠다니….	개정/NNG+하/XSV+겠/EP+다니/EF+…/SE+./SF


# id : NWRW1800000049.265.7.4
이런 ‘근자감(근거 없는 자신감)’은 도대체 어디서 나오는지 의아할 뿐이다.

이런	이런/MMD
‘근자감(근거	‘/SS+근자감/NNG+(/SS+근거/NNG
없는	없/VA+는/ETM
자신감)’은	자신감/NNG+)/SS+’/SS+은/JX
도대체	도대체/MAG
어디서	어디/NP+서/JKB
나오는지	나오/VV+는지/EC
의아할	의아/NNG+하/XSA+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.265.8.1
19대 국회에서 여야 간 큰 의견 차로 답보 상태인 대표적인 법안이 대학구조개혁에 관한 법률안이다.

19대	19/SN+대/NNB
국회에서	국회/NNG+에서/JKB
여야	여야/NNG
간	간/NNB
큰	크/VA+ㄴ/ETM
의견	의견/NNG
차로	차/NNG+로/JKB
답보	답보/NNG
상태인	상태/NNG+이/VCP+ㄴ/ETM
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
법안이	법안/NNG+이/JKS
대학구조개혁에	대학/NNG+구조/NNG+개혁/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률안이다.	법률안/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.265.8.2
당정은 2023년까지 대입 정원을 16만 명 줄이기 위해 대학구조개혁법 제정을 추진했지만 야당은 퇴출 대학의 자산 처리 문제를 제기하며 이 법안에 반대해 왔다.

당정은	당정/NNG+은/JX
2023년까지	2023/SN+년/NNB+까지/JX
대입	대입/NNG
정원을	정원/NNG+을/JKO
16만	16/SN+만/NR
명	명/NNB
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
대학구조개혁법	대학/NNG+구조/NNG+개혁법/NNG
제정을	제정/NNG+을/JKO
추진했지만	추진/NNG+하/XSV+았/EP+지만/EC
야당은	야당/NNG+은/JX
퇴출	퇴출/NNG
대학의	대학/NNG+의/JKG
자산	자산/NNG
처리	처리/NNG
문제를	문제/NNG+를/JKO
제기하며	제기/NNG+하/XSV+며/EC
이	이/MMD
법안에	법안/NNG+에/JKB
반대해	반대/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.265.9.1
교육부는 법 개정이 여의치 않자 그간 각종 대학재정지원사업에 대학의 구조개혁 실적을 연계해 대학들을 압박해 왔다.

교육부는	교육부/NNG+는/JX
법	법/NNG
개정이	개정/NNG+이/JKS
여의치	여의하/VA+지/EC
않자	않/VX+자/EC
그간	그/NP+간/XSN
각종	각종/NNG
대학재정지원사업에	대학/NNG+재정/NNG+지원/NNG+사업/NNG+에/JKB
대학의	대학/NNG+의/JKG
구조개혁	구조/NNG+개혁/NNG
실적을	실적/NNG+을/JKO
연계해	연계/NNG+하/XSV+아/EC
대학들을	대학/NNG+들/XSN+을/JKO
압박해	압박/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.265.9.2
구조개혁뿐만 아니라 고등교육 분야에서 법을 넘어선 정책은 비일비재했다.

구조개혁뿐만	구조/NNG+개혁/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
고등교육	고등/NNG+교육/NNG
분야에서	분야/NNG+에서/JKB
법을	법/NNG+을/JKO
넘어선	넘어서/VV+ㄴ/ETM
정책은	정책/NNG+은/JX
비일비재했다.	비일비재/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000049.265.9.3
교육부는 국립대 총장 간선제를 강제하기 위해 교육공무원법이 아닌 교육공무원임용령을 고쳤고, 사립대의 소송비용을 교비회계로 지출하도록 한 사립학교법 시행령도 고치고 있다.

교육부는	교육부/NNG+는/JX
국립대	국립대/NNG
총장	총장/NNG
간선제를	간선/NNG+제/XSN+를/JKO
강제하기	강제/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
교육공무원법이	교육/NNG+공무원법/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
교육공무원임용령을	교육/NNG+공무원/NNG+임용령/NNG+을/JKO
고쳤고,	고치/VV+었/EP+고/EC+,/SP
사립대의	사립대/NNG+의/JKG
소송비용을	소송/NNG+비용/NNG+을/JKO
교비회계로	교비/NNG+회계/NNG+로/JKB
지출하도록	지출/NNG+하/XSV+도록/EC
한	하/VV+ㄴ/ETM
사립학교법	사립/NNG+학교/NNG+법/NNG
시행령도	시행령/NNG+도/JX
고치고	고치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.265.9.4
총선 직후 한 지방대 총장은 “법 하나도 못 만들면서 예산을 손에 쥐고 대학을 이리저리 몰고 다닌 교육부가 총선 결과에 어떤 책임감을 느끼는지 궁금하다”고 말했다.

총선	총선/NNG
직후	직후/NNG
한	한/MMN
지방대	지방대/NNG
총장은	총장/NNG+은/JX
“법	“/SS+법/NNG
하나도	하나/NR+도/JX
못	못/MAG
만들면서	만들/VV+면서/EC
예산을	예산/NNG+을/JKO
손에	손/NNG+에/JKB
쥐고	쥐/VV+고/EC
대학을	대학/NNG+을/JKO
이리저리	이리저리/MAG
몰고	몰/VV+고/EC
다닌	다니/VV+ㄴ/ETM
교육부가	교육부/NNG+가/JKS
결과에	결과/NNG+에/JKB
어떤	어떤/MMD
책임감을	책임감/NNG+을/JKO
느끼는지	느끼/VV+는지/EF
궁금하다”고	궁금하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.265.10.1
극심한 사회적 반발에도 불구하고 정부가 지난해 교과용 도서 구분안 확정고시를 통해 강행한 역사 교과서 국정화 역시 갈등의 핵이 될 것으로 전망된다.

극심한	극심하/VA+ㄴ/ETM
사회적	사회/NNG+적/XSN
반발에도	반발/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
정부가	정부/NNG+가/JKS
지난해	지난해/NNG
교과용	교과/NNG+용/XSN
도서	도서/NNG
구분안	구분/NNG+안/NNG
확정고시를	확정/NNG+고시/NNG+를/JKO
통해	통하/VV+아/EC
강행한	강행/NNG+하/XSV+ㄴ/ETM
역사	역사/NNG
교과서	교과서/NNG
국정화	국정/NNG+화/XSN
역시	역시/MAG
갈등의	갈등/NNG+의/JKG
핵이	핵/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.265.10.2
더불어민주당과 국민의당이 총선 이후 첫 정책 공조 대상으로 꼽은 것이 바로 ‘역사 교과서 국정화 폐기’다.

더불어민주당과	더불어민주당/NNP+과/JC
국민의당이	국민의당/NNP+이/JKS
총선	총선/NNG
이후	이후/NNG
첫	첫/MMN
정책	정책/NNG
공조	공조/NNG
대상으로	대상/NNG+으로/JKB
꼽은	꼽/VV+은/ETM
것이	것/NNB+이/JKS
바로	바로/MAG
‘역사	‘/SS+역사/NNG
교과서	교과서/NNG
국정화	국정/NNG+화/XSN
폐기’다.	폐기/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000049.265.11.1
현 정부가 지난 3년간 교육 정책 전반에서 원칙과 소통을 무시한 결과는 현장의 혼란으로 이어지게 됐다.

현	현/MMD
정부가	정부/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
3년간	3/SN+년/NNB+간/XSN
교육	교육/NNG
정책	정책/NNG
전반에서	전반/NNG+에서/JKB
원칙과	원칙/NNG+과/JC
소통을	소통/NNG+을/JKO
무시한	무시/NNG+하/XSV+ㄴ/ETM
결과는	결과/NNG+는/JX
현장의	현장/NNG+의/JKG
혼란으로	혼란/NNG+으로/JKB
이어지게	이어지/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.265.11.2
지난해 여당은 ‘교육감이 바뀔 때마다 교육 정책이 급변해 안정성이 떨어진다’는 이유를 들어 교육감 직선제 폐지를 주장했다.

지난해	지난해/NNG
여당은	여당/NNG+은/JX
‘교육감이	‘/SS+교육감/NNG+이/JKS
바뀔	바뀌/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
교육	교육/NNG
정책이	정책/NNG+이/JKS
급변해	급변/NNG+하/XSV+아/EC
안정성이	안정/NNG+성/XSN+이/JKS
떨어진다’는	떨어지/VV+ㄴ다/EF+’/SS+는/ETM
이유를	이유/NNG+를/JKO
들어	들/VV+어/EC
교육감	교육감/NNG
직선제	직선/NNG+제/XSN
폐지를	폐지/NNG+를/JKO
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.265.11.3
하지만 현 정부 들어 ‘시행령 정치’라는 원성이 커질 정도로 당정이 밀어붙인 교육 정책들, 그리고 여소야대 국면에서 돌아올 부메랑을 예상해 보면 안정성을 떨어뜨린 주범은 따로 있는 것 같다.

하지만	하지만/MAJ
현	현/MMD
정부	정부/NNG
들어	들/VV+어/EC
‘시행령	‘/SS+시행령/NNG
정치’라는	정치/NNG+’/SS+이/VCP+라는/ETM
원성이	원성/NNG+이/JKS
커질	커지/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
당정이	당정/NNG+이/JKS
밀어붙인	밀어붙이/VV+ㄴ/ETM
교육	교육/NNG
정책들,	정책/NNG+들/XSN+,/SP
그리고	그리고/MAJ
여소야대	여소/NNG+야대/NNG
국면에서	국면/NNG+에서/JKB
돌아올	돌아오/VV+ㄹ/ETM
부메랑을	부메랑/NNG+을/JKO
예상해	예상/NNG+하/XSV+아/EC
보면	보/VX+면/EC
안정성을	안정/NNG+성/XSN+을/JKO
떨어뜨린	떨어뜨리/VV+ㄴ/ETM
주범은	주범/NNG+은/JX
따로	따로/MAG
있는	있/VA+는/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000049.265.11.4
법과 원칙을 넘어 정부의 목적만 달성하면 된다는 식으로 강행해 온 정책들이 이제 교육 현장에서 큰 짐이 되지 않을까 걱정이다.

법과	법/NNG+과/JC
원칙을	원칙/NNG+을/JKO
넘어	넘/VV+어/EC
정부의	정부/NNG+의/JKG
목적만	목적/NNG+만/JX
달성하면	달성/NNG+하/XSV+면/EC
된다는	되/VV+ㄴ다는/ETM
식으로	식/NNB+으로/JKB
강행해	강행/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
정책들이	정책/NNG+들/XSN+이/JKS
이제	이제/MAG
교육	교육/NNG
현장에서	현장/NNG+에서/JKB
큰	크/VA+ㄴ/ETM
짐이	짐/NNG+이/JKC
되지	되/VV+지/EC
않을까	않/VX+을까/EF
걱정이다.	걱정/NNG+이/VCP+다/EF+./SF


