# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.7
metadata : {}


# id : NWRW1800000036.7.1.1
은행연·금투협에도 낙하산

은행연·금투협에도	은행연/NNP+·/SP+금투협/NNP+에/JKB+도/JX
있다”며	있/VX+다/EF+”/SS+며/EC
“금감원이	“/SS+금감원/NNG+이/JKS
낙하산	낙하산/NNG
인사를	인사/NNG+를/JKO
강행할	강행/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
결사	결사/NNG
저지하겠다”고	저지/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.7.5.2
앞서 정 위원장은 지난 10일 서울 명동 은행회관 로비에서 ‘금감원의 낙하산 인사 저지 규탄대회’를 열고 삭발을 했다.

앞서	앞서/MAG
정	정/NNP
위원장은	위원장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
서울	서울/NNP
명동	명동/NNP
은행회관	은행회관/NNP
로비에서	로비/NNG+에서/JKB
‘금감원의	‘/SS+금감원/NNG+의/JKG
낙하산	낙하산/NNG
인사	인사/NNG
저지	저지/NNG
규탄대회’를	규탄/NNG+대회/NNG+’/SS+를/JKO
열고	열/VV+고/EC
삭발을	삭발/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.7.5.3
그동안 온건한 노조로 알려진 은행연합회 노조가 삭발식을 진행한 건 이번이 처음이다.

그동안	그동안/NNG
온건한	온건/NNG+하/XSA+ㄴ/ETM
노조로	노조/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
은행연합회	은행연합회/NNP
노조가	노조/NNG+가/JKS
삭발식을	삭발식/NNG+을/JKO
진행한	진행/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.7.6.1
이는 다음달 15일 임기 만료되는 노태식 은행연합회 부회장 후임으로 김영대 금감원 부원장보가 내정된 것으로 알려졌기 때문이다.

이는	이/NP+는/JX
다음달	다음/NNG+달/NNG
15일	15/SN+일/NNB
임기	임기/NNG
만료되는	만료/NNG+되/XSV+는/ETM
노태식	노태식/NNP
은행연합회	은행연합회/NNP
부회장	부회장/NNG
후임으로	후임/NNG+으로/JKB
김영대	김영대/NNP
금감원	금감원/NNG
부원장보가	부원장보/NNG+가/JKS
내정된	내정/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌기	알려지/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.7.6.2
은행연합회 노조는 “최근 터진 저축은행 사태 원인 중 하나가 금감원의 제 식구 감싸기로, 퇴직 임직원들이 저축은행 이사와 감사를 독식하면서 제대로 된 감독이 이뤄지지 않았다”며 “금감원이 연합회 임직원의 반대에도 인사를 강행할 경우 금융노조, 한국노총과 연대해 강력 저지하겠다”고 밝혔다.

은행연합회	은행연합회/NNP
노조는	노조/NNG+는/JX
“최근	“/SS+최근/NNG
터진	터지/VV+ㄴ/ETM
저축은행	저축/NNG+은행/NNG
사태	사태/NNG
원인	원인/NNG
중	중/NNB
하나가	하나/NR+가/JKS
금감원의	금감원/NNG+의/JKG
제	저/NP+의/JKG
식구	식구/NNG
감싸기로,	감싸/VV+기/ETN+로/JKB+,/SP
퇴직	퇴직/NNG
임직원들이	임직원/NNG+들/XSN+이/JKS
이사와	이사/NNG+와/JC
감사를	감사/NNG+를/JKO
독식하면서	독식/NNG+하/XSV+면서/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
감독이	감독/NNG+이/JKS
이뤄지지	이뤄지/VV+지/EC
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
“금감원이	“/SS+금감원/NNG+이/JKS
연합회	연합회/NNG
임직원의	임직원/NNG+의/JKG
반대에도	반대/NNG+에/JKB+도/JX
인사를	인사/NNG+를/JKO
강행할	강행/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
금융노조,	금융/NNG+노조/NNG+,/SP
한국노총과	한국노총/NNP+과/JKB
연대해	연대/NNG+하/XSV+아/EC
강력	강력/NNG
저지하겠다”고	저지/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.7.6.3
은행연합회는 지난 1984년 확대·개편된 이후 한번도 내부 승진을 통해 회장·부회장을 선임한 적이 없었다.

은행연합회는	은행연합회/NNP+는/JX
지난	지나/VV+ㄴ/ETM
1984년	1984/SN+년/NNB
확대·개편된	확대/NNG+·/SP+개편/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
한번도	한번/NNG+도/JX
내부	내부/NNG
승진을	승진/NNG+을/JKO
통해	통하/VV+아/EC
회장·부회장을	회장/NNG+·/SP+부회장/NNG+을/JKO
선임한	선임/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000036.7.7.1
앞서 8일에는 금융투자협회 자율규제위원장에 박원호 금감원 부원장이, 상근부회장에는 남진웅 기획재정부 정책조정국장이 나란히 입성하면서 낙하산 인사 시비에 휘말렸다.

앞서	앞서/MAG
8일에는	8/SN+일/NNB+에/JKB+는/JX
금융투자협회	금융투자협회/NNP
자율규제위원장에	자율/NNG+규제/NNG+위원장/NNG+에/JKB
박원호	박원호/NNP
금감원	금감원/NNG
부원장이,	부원장/NNG+이/JKS+,/SP
상근부회장에는	상근/NNG+부회장/NNG+에/JKB+는/JX
남진웅	남진웅/NNP
기획재정부	기획/NNG+재정부/NNG
정책조정국장이	정책/NNG+조정국장/NNG+이/JKS
나란히	나란히/MAG
입성하면서	입성/NNG+하/XSV+면서/EC
낙하산	낙하산/NNG
인사	인사/NNG
시비에	시비/NNG+에/JKB
휘말렸다.	휘말리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.7.7.2
금투협회 노조는 ‘투표 없는 임원 선출’에 반발하며 로비에서 농성을 벌이고 있다.

금투협회	금투협회/NNP
노조는	노조/NNG+는/JX
‘투표	‘/SS+투표/NNG
없는	없/VA+는/ETM
임원	임원/NNG
선출’에	선출/NNG+’/SS+에/JKB
반발하며	반발/NNG+하/XSV+며/EC
로비에서	로비/NNG+에서/JKB
농성을	농성/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.7.8.1
금융권에선 저축은행 사태 이후 금감원 임직원들이 금융회사 감사 등으로 내려가는 길이 막히면서 민간 협회로 방향을 선회하고 있다는 관측이 나온다.

금융권에선	금융/NNG+권/XSN+에서/JKB+ㄴ/JX
저축은행	저축/NNG+은행/NNG
사태	사태/NNG
이후	이후/NNG
금감원	금감원/NNG
임직원들이	임직원/NNG+들/XSN+이/JKS
금융회사	금융/NNG+회사/NNG
감사	감사/NNG
등으로	등/NNB+으로/JKB
내려가는	내려가/VV+는/ETM
길이	길/NNG+이/JKS
막히면서	막히/VV+면서/EC
민간	민간/NNG
협회로	협회/NNG+로/JKB
방향을	방향/NNG+을/JKO
선회하고	선회/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.7.8.2
현재 금융권에서는 은행연합회를 비롯해 생명보험협회, 손해보험협회, 여신금융협회, 저축은행중앙회 등의 회장과 임원 자리를 정부 관료 및 금융감독당국 출신들이 독차지하고 있다.

현재	현재/MAG
금융권에서는	금융/NNG+권/XSN+에서/JKB+는/JX
은행연합회를	은행연합회/NNP+를/JKO
비롯해	비롯하/VV+아/EC
생명보험협회,	생명보험협회/NNP+,/SP
손해보험협회,	손해보험협회/NNP+,/SP
여신금융협회,	여신금융협회/NNP+,/SP
저축은행중앙회	저축/NNG+은행/NNG+중앙회/NNG
등의	등/NNB+의/JKG
회장과	회장/NNG+과/JC
임원	임원/NNG
자리를	자리/NNG+를/JKO
정부	정부/NNG
관료	관료/NNG
및	및/MAG
금융감독당국	금융/NNG+감독/NNG+당국/NNG
출신들이	출신/NNG+들/XSN+이/JKS
독차지하고	독차지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


