# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.415
metadata : {}


# id : NWRW1800000036.415.1.1
최필립, 박근혜 미워하는 부산일보가 밉다?

최필립,	최필립/NNP+,/SP
들어온다고	들어오/VV+ㄴ다고/EC
난리를	난리/NNG+를/JKO
피워.	피우/VV+어/EF+./SF


# id : NWRW1800000036.415.6.4
신문사 지령 2만호 기념식인데, 이게 말이 되느냐 이거야.”(1월4일 오후 3시 한겨레 인터뷰)

신문사	신문사/NNG
지령	지령/NNG
2만호	2/SN+만/NR+호/NNB
기념식인데,	기념식/NNG+이/VCP+ㄴ데/EC+,/SP
이게	이거/NP+이/JKS
말이	말/NNG+이/JKC
되느냐	되/VV+느냐/EF
이거야.”(1월4일	이거/NP+이/VCP+야/EF+./SF+”/SS+(/SS+1/SN+월/NNB+4/SN+일/NNB
오후	오후/NNG
3시	3/SN+시/NNB
한겨레	한겨레/NNP
인터뷰)	인터뷰/NNG+)/SS


# id : NWRW1800000036.415.7.1
당시 부산일보 노조 집행부는 기념식이 열린 대강당 입구에 일렬로 서서 침묵시위를 벌였다.

당시	당시/NNG
부산일보	부산일보/NNP
노조	노조/NNG
집행부는	집행부/NNG+는/JX
기념식이	기념식/NNG+이/JKS
열린	열리/VV+ㄴ/ETM
대강당	대/XPN+강당/NNG
입구에	입구/NNG+에/JKB
일렬로	일렬/NNG+로/JKB
서서	서/VV+어서/EC
침묵시위를	침묵시위/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.415.7.2
박 후보가 재단법인 정수장학회에 실질적 영향력을 행사한다고 보고, 그를 상대로 부산일보의 독립을 요구한 것이다.

박	박/NNP
후보가	후보/NNG+가/JKS
재단법인	재단/NNG+법인/NNG
정수장학회에	정수장학회/NNP+에/JKB
실질적	실질/NNG+적/XSN
영향력을	영향력/NNG+을/JKO
행사한다고	행사/NNG+하/XSV+ㄴ다고/EC
보고,	보/VV+고/EC+,/SP
그를	그/NP+를/JKO
상대로	상대/NNG+로/JKB
부산일보의	부산일보/NNP+의/JKG
독립을	독립/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.415.7.3
물리적 충돌은 빚어지지 않았지만, 박 후보가 정수장학회 이사장으로 있던 2004년 17대 총선 당시와 견줘본다면 격세지감을 느낄 법한 장면이었다.

물리적	물리/NNG+적/XSN
충돌은	충돌/NNG+은/JX
빚어지지	빚어지/VV+지/EC
않았지만,	않/VX+았/EP+지만/EC+,/SP
박	박/NNP
후보가	후보/NNG+가/JKS
정수장학회	정수장학회/NNP
이사장으로	이사장/NNG+으로/JKB
있던	있/VA+던/ETM
2004년	2004/SN+년/NNB
17대	17/SN+대/NNB
총선	총선/NNG
당시와	당시/NNG+와/JKB
견줘본다면	견주/VV+어/EC+보/VX+ㄴ다면/EC
격세지감을	격세지감/NNG+을/JKO
느낄	느끼/VV+ㄹ/ETM
법한	법/NNB+하/XSA+ㄴ/ETM
장면이었다.	장면/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.415.7.4
박 후보는 그때 한나라당 대표를 맡아 직접 선거를 지휘했다.

박	박/NNP
후보는	후보/NNG+는/JX
그때	그때/NNG
한나라당	한나라당/NNP
대표를	대표/NNG+를/JKO
맡아	맡/VV+아/EC
직접	직접/MAG
선거를	선거/NNG+를/JKO
지휘했다.	지휘/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.415.7.5
부산민주언론시민연합은 부산일보의 17대 총선 보도에 대해 “‘박근혜 띄우기’로 대표되는 편향성을 보였다”고 평가했다.

부산민주언론시민연합은	부산민주언론시민연합/NNP+은/JX
부산일보의	부산일보/NNP+의/JKG
17대	17/SN+대/NNB
총선	총선/NNG
보도에	보도/NNG+에/JKB
대해	대하/VV+아/EC
“‘박근혜	“/SS+‘/SS+박근혜/NNP
띄우기’로	띄우/VV+기/ETN+’/SS+로/JKB
대표되는	대표/NNG+되/XSV+는/ETM
편향성을	편향/NNG+성/XSN+을/JKO
보였다”고	보/VV+았/EP+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.415.8.1
최 이사장은 지령 2만호 기념식 이후 사사건건 부산일보 구성원들과 부딪쳤다.

최	최/NNP
이사장은	이사장/NNG+은/JX
지령	지령/NNG
2만호	2/SN+만/NR+호/NNB
기념식	기념식/NNG
이후	이후/NNG
사사건건	사사건건/MAG
부산일보	부산일보/NNP
구성원들과	구성원/NNG+들/XSN+과/JKB
부딪쳤다.	부딪치/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.415.8.2
논란은 늘 박근혜 후보에 대한 부산일보의 태도에서 비롯했다.

논란은	논란/NNG+은/JX
늘	늘/MAG
박근혜	박근혜/NNP
후보에	후보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부산일보의	부산일보/NNP+의/JKG
태도에서	태도/NNG+에서/JKB
비롯했다.	비롯하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.415.8.3
지난해 11월30일 경영진이 신문 제작 중단 명령을 내린 ‘부산일보 사태’가 대표적이었다.

지난해	지난해/NNG
11월30일	11/SN+월/NNB+30/SN+일/NNB
경영진이	경영진/NNG+이/JKS
신문	신문/NNG
제작	제작/NNG
중단	중단/NNG
명령을	명령/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
‘부산일보	‘/SS+부산일보/NNP
사태’가	사태/NNG+’/SS+가/JKS
대표적이었다.	대표/NNG+적/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.415.8.4
사태 전후 부산일보는 정수장학회의 사회환원 문제를 다루며 ‘박근혜 책임론’을 집중적으로 짚었다.

사태	사태/NNG
전후	전후/NNG
부산일보는	부산일보/NNP+는/JX
정수장학회의	정수장학회/NNP+의/JKG
사회환원	사회/NNG+환원/NNG
문제를	문제/NNG+를/JKO
다루며	다루/VV+며/EC
‘박근혜	‘/SS+박근혜/NNP
책임론’을	책임/NNG+론/XSN+’/SS+을/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
짚었다.	짚/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.415.9.1
최 이사장은 그로부터 한달여 뒤인 1월4일 <한겨레> 인터뷰에서 “부산일보는 편집권이 독립돼 있어서 될 수가 없다”고, 1월31일 인터뷰에서는 “작년 말부터 부산일보는 노조 대변지가 됐다”고 말했다.

최	최/NNP
이사장은	이사장/NNG+은/JX
그로부터	그/NP+로부터/JKB
한달여	한/MMN+달/NNB+여/XSN
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
1월4일	1/SN+월/NNB+4/SN+일/NNB
<한겨레>	</SS+한겨레/NNP+>/SS
인터뷰에서	인터뷰/NNG+에서/JKB
“부산일보는	“/SS+부산일보/NNP+는/JX
편집권이	편집/NNG+권/XSN+이/JKS
독립돼	독립/NNG+되/XSV+어/EC
있어서	있/VX+어서/EC
될	되/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다”고,	없/VA+다/EF+”/SS+고/JKQ+,/SP
1월31일	1/SN+월/NNB+31/SN+일/NNB
인터뷰에서는	인터뷰/NNG+에서/JKB+는/JX
“작년	“/SS+작년/NNG
말부터	말/NNB+부터/JX
부산일보는	부산일보/NNP+는/JX
노조	노조/NNG
대변지가	대변지/NNG+가/JKC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.415.9.2
또 그는 노조 등 부산일보 구성원이 재단으로부터의 독립을 요구하는 배경에 대해서는 “12월 대선을 앞두고 ‘박근혜 후보를 끌어들여 공격하면 손들 것 아니냐’ 하는 건데, 끝까지 굴복할 수 없다”고 말했다.

또	또/MAG
그는	그/NP+는/JX
노조	노조/NNG
등	등/NNB
부산일보	부산일보/NNP
구성원이	구성원/NNG+이/JKS
재단으로부터의	재단/NNG+으로부터/JKB+의/JKG
독립을	독립/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
배경에	배경/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“12월	“/SS+12/SN+월/NNB
대선을	대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
‘박근혜	‘/SS+박근혜/NNP
후보를	후보/NNG+를/JKO
끌어들여	끌어들이/VV+어/EC
공격하면	공격/NNG+하/XSV+면/EC
손들	손들/VV+ㄹ/ETM
것	것/NNB
아니냐’	아니/VCN+냐/EF+’/SS
하는	하/VV+는/ETM
건데,	거/NNB+이/VCP+ㄴ데/EC+,/SP
끝까지	끝/NNG+까지/JX
굴복할	굴복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.415.10.1
최 이사장이 내린 결론은 ‘최필립-이진숙’ 대화록에 나오는 것처럼 ‘노조 때문에 민주당 기관지인지 진보당 기관지로 돼 있는’ 부산일보라면, 차라리 ‘기업의 빽으로 쓴다’는 기업인들에게 넘기는 게 낫다는 것이었다.

최	최/NNP
이사장이	이사장/NNG+이/JKS
내린	내리/VV+ㄴ/ETM
결론은	결론/NNG+은/JX
‘최필립-이진숙’	‘/SS+최필립/NNP+-/SO+이진숙/NNP+’/SS
대화록에	대화록/NNG+에/JKB
나오는	나오/VV+는/ETM
것처럼	것/NNB+처럼/JKB
‘노조	‘/SS+노조/NNG
때문에	때문/NNB+에/JKB
민주당	민주당/NNP
기관지인지	기관지/NNG+이/VCP+ㄴ지/EC
진보당	진보당/NNP
기관지로	기관지/NNG+로/JKB
돼	되/VV+어/EC
있는’	있/VX+는/ETM+’/SS
부산일보라면,	부산일보/NNP+이/VCP+라면/EC+,/SP
차라리	차라리/MAG
‘기업의	‘/SS+기업/NNG+의/JKG
빽으로	빽/NNG+으로/JKB
쓴다’는	쓰/VV+ㄴ다/EF+’/SS+는/ETM
기업인들에게	기업인/NNG+들/XSN+에게/JKB
넘기는	넘기/VV+는/ETM
게	거/NNB+이/JKS
낫다는	낫/VA+다는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.415.10.2
최 이사장은 19일 ‘정수장학회의 언론사 지분 매각 발표’를 통해 이런 결정을 전격 공개할 계획이었다.

최	최/NNP
이사장은	이사장/NNG+은/JX
19일	19/SN+일/NNB
‘정수장학회의	‘/SS+정수장학회/NNP+의/JKG
언론사	언론사/NNG
지분	지분/NNG
매각	매각/NNG
발표’를	발표/NNG+’/SS+를/JKO
통해	통하/VV+아/EC
이런	이런/MMD
결정을	결정/NNG+을/JKO
전격	전격/NNG
공개할	공개/NNG+하/XSV+ㄹ/ETM
계획이었다.	계획/NNG+이/VCP+었/EP+다/EF+./SF


