# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.104
metadata : {}


# id : NWRW1800000048.104.1.1
예멘에 ‘사우디-이란 대리전’ 먹구름

예멘에	예멘/NNP+에/JKB
압드라부	압드라부/NNP
만수르	만수르/NNP
하디	하디/NNP
예멘	예멘/NNP
대통령은	대통령/NNG+은/JX
수도	수도/NNG
사나를	사나/NNP+를/JKO
장악한	장악/NNG+하/XSV+ㄴ/ETM
시아파	시아파/NNG
후티	후티/NNP
반군에	반군/NNG+에/JKB
밀려	밀리/VV+어/EC
정권을	정권/NNG+을/JKO
넘기고	넘기/VV+고/EC
쫓겨났다.	쫓겨나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.104.7.2
그러다 지난달 남부의 아덴에 임시수도를 마련하고 정권의 합법성을 주장해왔다.

그러다	그러/VV+다/EC
지난달	지난달/NNG
남부의	남부/NNG+의/JKG
아덴에	아덴/NNP+에/JKB
임시수도를	임시/NNG+수도/NNG+를/JKO
마련하고	마련/NNG+하/XSV+고/EC
정권의	정권/NNG+의/JKG
합법성을	합법/NNG+성/XSN+을/JKO
주장해왔다.	주장/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.104.7.3
유엔과 미국 등은 하디 대통령의 정통성을 인정하며 후티 반군의 쿠데타를 비난해왔다.

유엔과	유엔/NNP+과/JC
미국	미국/NNP
등은	등/NNB+은/JX
하디	하디/NNP
대통령의	대통령/NNG+의/JKG
정통성을	정통/NNG+성/XSN+을/JKO
인정하며	인정/NNG+하/XSV+며/EC
후티	후티/NNP
반군의	반군/NNG+의/JKG
쿠데타를	쿠데타/NNG+를/JKO
비난해왔다.	비난/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.104.8.1
하디 정부를 전복하고 사나에 혁명위원회를 설립한 후티 반군은 시아파 종주국인 이란의 지원을 받아온 것으로 알려져 있다.

하디	하디/NNP
정부를	정부/NNG+를/JKO
전복하고	전복/NNG+하/XSV+고/EC
사나에	사나/NNP+에/JKB
혁명위원회를	혁명/NNG+위원회/NNG+를/JKO
설립한	설립/NNG+하/XSV+ㄴ/ETM
후티	후티/NNP
반군은	반군/NNG+은/JX
시아파	시아파/NNG
종주국인	종주국/NNG+이/VCP+ㄴ/ETM
이란의	이란/NNP+의/JKG
지원을	지원/NNG+을/JKO
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.104.8.2
실제 지난 22일 이란은 예멘, 즉 후티 반군을 지원하겠다는 뜻을 비쳤다.

실제	실제/MAG
지난	지나/VV+ㄴ/ETM
22일	22/SN+일/NNB
이란은	이란/NNP+은/JX
예멘,	예멘/NNP+,/SP
즉	즉/MAG
후티	후티/NNP
반군을	반군/NNG+을/JKO
지원하겠다는	지원/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
비쳤다.	비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.104.8.3
호세인 아미르 압돌라히안 외무차관은 <파르스> 통신과의 인터뷰에서 “우리는 예멘이 걷고 있는 정치적 방향의 완성과 반테러, 지속가능한 지역 안보를 구체화하는 것을 지지한다”고 밝혔다.

호세인	호세인/NNP
아미르	아미르/NNP
압돌라히안	압돌라히안/NNP
외무차관은	외무/NNG+차관/NNG+은/JX
<파르스>	</SS+파르스/NNP+>/SS
통신과의	통신/NNG+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“우리는	“/SS+우리/NP+는/JX
예멘이	예멘/NNP+이/JKS
걷고	걷/VV+고/EC
있는	있/VX+는/ETM
정치적	정치/NNG+적/XSN
방향의	방향/NNG+의/JKG
완성과	완성/NNG+과/JC
반테러,	반/XPN+테러/NNG+,/SP
지속가능한	지속/NNG+가능/NNG+하/XSA+ㄴ/ETM
지역	지역/NNG
안보를	안보/NNG+를/JKO
구체화하는	구체/NNG+화/XSN+하/XSV+는/ETM
것을	것/NNB+을/JKO
지지한다”고	지지/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.104.8.4
지역의 안정을 위해서는 하디 대통령이 물러나야 한다는 입장을 내보인 것이다.

지역의	지역/NNG+의/JKG
안정을	안정/NNG+을/JKO
위해서는	위하/VV+아서/EC+는/JX
하디	하디/NNP
대통령이	대통령/NNG+이/JKS
물러나야	물러나/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
입장을	입장/NNG+을/JKO
내보인	내보이/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.104.9.1
이런 상황에서 수니파 종주국인 사우디가 이란의 지원을 받는 후티 반군이 예멘을 장악하는 것을 손 놓고 볼 수 없어 목소리를 높이기 시작한 것으로 보인다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
수니파	수니파/NNG
종주국인	종주국/NNG+이/VCP+ㄴ/ETM
사우디가	사우디/NNP+가/JKS
이란의	이란/NNP+의/JKG
지원을	지원/NNG+을/JKO
받는	받/VV+는/ETM
후티	후티/NNP
반군이	반군/NNG+이/JKS
예멘을	예멘/NNP+을/JKO
장악하는	장악/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
손	손/NNG
놓고	놓/VV+고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
목소리를	목소리/NNG+를/JKO
높이기	높이/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.104.9.2
사우디를 비롯해 걸프지역 수니파 보수 왕정국가들의 움직임은 지난 주말부터 바빠지기 시작했다.

사우디를	사우디/NNP+를/JKO
비롯해	비롯하/VV+아/EC
걸프지역	걸프/NNP+지역/NNG
수니파	수니파/NNG
보수	보수/NNG
왕정국가들의	왕정/NNG+국가/NNG+들/XSN+의/JKG
움직임은	움직임/NNG+은/JX
지난	지나/VV+ㄴ/ETM
주말부터	주말/NNG+부터/JX
바빠지기	바쁘/VA+아/EC+지/VX+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.104.9.3
21일 이 지역 6개국의 ‘걸프협력회의’(GCC)는 사우디 수도 리야드에서 안보 관련 장관급 회의를 열어 하디 예멘 대통령 쪽이 합법정부라고 선언했다.

21일	21/SN+일/NNB
이	이/MMD
지역	지역/NNG
6개국의	6/SN+개국/NNB+의/JKG
‘걸프협력회의’(GCC)는	‘/SS+걸프협력회의/NNP+’/SS+(/SS+GCC/SL+)/SS+는/JX
사우디	사우디/NNP
수도	수도/NNG
리야드에서	리야드/NNP+에서/JKB
안보	안보/NNG
관련	관련/NNG
장관급	장관급/NNG
회의를	회의/NNG+를/JKO
열어	열/VV+어/EC
하디	하디/NNP
예멘	예멘/NNP
대통령	대통령/NNG
쪽이	쪽/NNB+이/JKS
합법정부라고	합법/NNG+정부/NNG+이/VCP+라고/EC
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.104.9.4
이틑날 사우디 내무장관인 모하메드 빈나예프 왕자는 ‘걸프협력회의가 예멘의 안보를 지키기 위해 모든 노력을 할 준비가 돼 있다’고 밝혔다.

이틑날	이틑날/NNG
사우디	사우디/NNP
내무장관인	내무/NNG+장관/NNG+이/VCP+ㄴ/ETM
모하메드	모하메드/NNP
빈나예프	빈나예프/NNP
왕자는	왕자/NNG+는/JX
‘걸프협력회의가	‘/SS+걸프협력회의/NNP+가/JKS
예멘의	예멘/NNP+의/JKG
안보를	안보/NNG+를/JKO
지키기	지키/VV+기/ETN
위해	위하/VV+아/EC
모든	모든/MMN
노력을	노력/NNG+을/JKO
할	하/VV+ㄹ/ETM
준비가	준비/NNG+가/JKC
돼	되/VV+어/EC
있다’고	있/VX+다/EF+’/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.104.10.1
이에 화답하듯 리야드 야신 예멘 외무장관은 23일 걸프지역 수니파 국가들을 향해 군사 개입을 요청했다.

이에	이/NP+에/JKB
화답하듯	화답/NNG+하/XSV+듯/EC
리야드	리야드/NNP
야신	야신/NNP
예멘	예멘/NNP
외무장관은	외무/NNG+장관/NNG+은/JX
23일	23/SN+일/NNB
걸프지역	걸프/NNP+지역/NNG
수니파	수니파/NNG
국가들을	국가/NNG+들/XSN+을/JKO
향해	향하/VV+아/EC
군사	군사/NNG
개입을	개입/NNG+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.104.10.2
야신 장관은 <알자리자>와의 인터뷰에서 “이란이 우리나라를 점령하는 것을 용인할 수 없다”고 노골적으로 이란의 개입을 비난했다.

야신	야신/NNP
장관은	장관/NNG+은/JX
<알자리자>와의	</SS+알자리자/NNP+>/SS+와/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“이란이	“/SS+이란/NNP+이/JKS
우리나라를	우리나라/NNG+를/JKO
점령하는	점령/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
용인할	용인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
노골적으로	노골/NNG+적/XSN+으로/JKB
이란의	이란/NNP+의/JKG
개입을	개입/NNG+을/JKO
비난했다.	비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.104.10.3
그러면서 걸프협력회의와 유엔 등 국제사회에 비행금지 구역 설정을 요청했다.

그러면서	그러/VV+면서/EC
걸프협력회의와	걸프협력회의/NNP+와/JC
유엔	유엔/NNP
등	등/NNB
국제사회에	국제/NNG+사회/NNG+에/JKB
비행금지	비행/NNG+금지/NNG
구역	구역/NNG
설정을	설정/NNG+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.104.10.4
쫓겨난 예멘 정부 쪽의 군사 개입 요청과 사우디의 적극적 대응으로 주변국들의 군사 개입 가능성도 배제할 수 없게 됐다.

쫓겨난	쫓겨나/VV+ㄴ/ETM
예멘	예멘/NNP
정부	정부/NNG
쪽의	쪽/NNB+의/JKG
군사	군사/NNG
개입	개입/NNG
요청과	요청/NNG+과/JC
사우디의	사우디/NNP+의/JKG
적극적	적극/NNG+적/XSN
대응으로	대응/NNG+으로/JKB
주변국들의	주변국/NNG+들/XSN+의/JKG
가능성도	가능/NNG+성/XSN+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.104.10.5
사우디·바레인·쿠웨이트·카타르·아랍에미리트·오만 등이 참여한 걸프협력회의는 약 4만명의 지역방위군을 두고 있어, 이들이 직접 개입할 때는 이란과의 사실상 전면전으로 번질 수 있다는 우려도 나온다.

사우디·바레인·쿠웨이트·카타르·아랍에미리트·오만	사우디/NNP+·/SP+바레인/NNP+·/SP+쿠웨이트/NNP+·/SP+카타르/NNP+·/SP+아랍에미리트/NNP+·/SP+오만/NNP
등이	등/NNB+이/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
걸프협력회의는	걸프협력회의/NNP+는/JX
약	약/MMA
4만명의	4/SN+만/NR+명/NNB+의/JKG
지역방위군을	지역/NNG+방위군/NNG+을/JKO
두고	두/VV+고/EC
있어,	있/VX+어/EC+,/SP
이들이	이/NP+들/XSN+이/JKS
직접	직접/MAG
개입할	개입/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
이란과의	이란/NNP+과/JKB+의/JKG
사실상	사실/NNG+상/XSN
전면전으로	전면전/NNG+으로/JKB
번질	번지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려도	우려/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.104.11.1
예멘은 수십년 전 내전에 개입한 주변 강대국들의 대리전에 휩쓸린 아픔을 겪은 바 있다.

예멘은	예멘/NNP+은/JX
수십년	수십/NR+년/NNB
전	전/NNG
내전에	내전/NNG+에/JKB
개입한	개입/NNG+하/XSV+ㄴ/ETM
주변	주변/NNG
강대국들의	강대국/NNG+들/XSN+의/JKG
대리전에	대리전/NNG+에/JKB
휩쓸린	휩쓸리/VV+ㄴ/ETM
아픔을	아픔/NNG+을/JKO
겪은	겪/VV+은/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.104.11.2
1962년 왕정 시절 북예멘에 군부 쿠데타로 공화제 정권이 수립되자 왕정과 공화파 세력 간의 내전이 시작됐다.

1962년	1962/SN+년/NNB
왕정	왕정/NNG
시절	시절/NNG
북예멘에	북예멘/NNP+에/JKB
군부	군부/NNG
쿠데타로	쿠데타/NNG+로/JKB
공화제	공화/NNG+제/XSN
정권이	정권/NNG+이/JKS
수립되자	수립/NNG+되/XSV+자/EC
왕정과	왕정/NNG+과/JKB
공화파	공화파/NNG
세력	세력/NNG
간의	간/NNB+의/JKG
내전이	내전/NNG+이/JKS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.104.11.3
이에 주변 왕정 국가들인 사우디와 요르단이 왕정 세력을, 당시 세속주의 정권인 이집트가 쿠데타 세력을 지지하며 북예멘 내전은 대리전으로 돌변했다.

이에	이에/MAG
주변	주변/NNG
왕정	왕정/NNG
국가들인	국가/NNG+들/XSN+이/VCP+ㄴ/ETM
사우디와	사우디/NNP+와/JC
요르단이	요르단/NNP+이/JKS
세력을,	세력/NNG+을/JKO+,/SP
당시	당시/NNG
세속주의	세속주의/NNG
정권인	정권/NNG+이/VCP+ㄴ/ETM
이집트가	이집트/NNP+가/JKS
쿠데타	쿠데타/NNG
세력을	세력/NNG+을/JKO
지지하며	지지/NNG+하/XSV+며/EC
북예멘	북예멘/NNP
내전은	내전/NNG+은/JX
대리전으로	대리전/NNG+으로/JKB
돌변했다.	돌변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.104.11.4
이집트가 7만명의 대군을 파병해 전세가 쿠데타 세력 쪽으로 기울자 사우디도 전면전 태세에 돌입했고 결국 미국과 유엔이 중재에 나섰다.

이집트가	이집트/NNP+가/JKS
7만명의	7/SN+만/NR+명/NNB+의/JKG
대군을	대군/NNG+을/JKO
파병해	파병/NNG+하/XSV+아/EC
전세가	전세/NNG+가/JKS
쿠데타	쿠데타/NNG
세력	세력/NNG
쪽으로	쪽/NNB+으로/JKB
기울자	기울/VV+자/EC
사우디도	사우디/NNP+도/JX
전면전	전면전/NNG
태세에	태세/NNG+에/JKB
돌입했고	돌입/NNG+하/XSV+았/EP+고/EC
결국	결국/MAG
미국과	미국/NNP+과/JC
유엔이	유엔/NNP+이/JKS
중재에	중재/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.104.11.5
1967년이 되서야 이집트와 사우디가 휴전에 들어갔지만, 1970년까지 내전은 계속돼 약 25만명의 사상자를 냈다.

1967년이	1967/SN+년/NNB+이/JKC
되서야	되/VV+어서/EC+야/JX
이집트와	이집트/NNP+와/JC
사우디가	사우디/NNP+가/JKS
휴전에	휴전/NNG+에/JKB
들어갔지만,	들어가/VV+았/EP+지만/EC+,/SP
1970년까지	1970/SN+년/NNB+까지/JX
내전은	내전/NNG+은/JX
계속돼	계속/NNG+되/XSV+어/EC
약	약/MMA
25만명의	25/SN+만/NR+명/NNB+의/JKG
사상자를	사상자/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


