# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.363
metadata : {}


# id : NWRW1800000049.363.1.1
“軍면제자에 세금 물려 병역갈등 풀어야”… 병역세 공론화

“軍면제자에	“/SS+軍/SH+면제자/NNG+에/JKB
국회의원으로는	국회/NNG+의원/NNG+으로/JKB+는/JX
처음으로	처음/NNG+으로/JKB
이	이/MMD
문제를	문제/NNG+를/JKO
공식	공식/NNG
거론한	거론/NNG+하/XSV+ㄴ/ETM
것이어서	것/NNB+이/VCP+어서/EC
파문이	파문/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.363.3.3
병역세 도입은 남녀 갈등을 불러올 수 있는 민감한 이슈여서 누구도 앞장서 공론화하지 않았던 사안이다.

병역세	병역/NNG+세/NNG
도입은	도입/NNG+은/JX
남녀	남녀/NNG
갈등을	갈등/NNG+을/JKO
불러올	불러오/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
민감한	민감/NNG+하/XSA+ㄴ/ETM
이슈여서	이슈/NNG+이/VCP+어서/EC
누구도	누구/NP+도/JX
앞장서	앞장서/VV+어/EC
공론화하지	공론/NNG+화/XSN+하/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
사안이다.	사안/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.363.4.1
김 의원은 이날 오후 국감을 재개하면서 질의 진행에 앞서 “우리 사회는 병역 의무를 다한 사람과 그렇지 못한 사람 간의 갈등으로 홍역을 치러 왔다”며 “병역 면제자에게 일종의 ‘병역세’를 부과하는 방안을 (갈등 해법으로) 제안한다”고 말했다.

김	김/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
국감을	국감/NNG+을/JKO
재개하면서	재개/NNG+하/XSV+면서/EC
질의	질의/NNG
진행에	진행/NNG+에/JKB
앞서	앞서/VV+어/EC
“우리	“/SS+우리/NP
사회는	사회/NNG+는/JX
병역	병역/NNG
의무를	의무/NNG+를/JKO
다한	다/MAG+하/XSV+ㄴ/ETM
사람과	사람/NNG+과/JKB
그렇지	그렇/VA+지/EC
못한	못하/VX+ㄴ/ETM
사람	사람/NNG
간의	간/NNB+의/JKG
갈등으로	갈등/NNG+으로/JKB
홍역을	홍역/NNG+을/JKO
치러	치르/VV+어/EC
왔다”며	오/VX+았/EP+다/EF+”/SS+며/EC
“병역	“/SS+병역/NNG
면제자에게	면제자/NNG+에게/JKB
일종의	일종/NNG+의/JKG
‘병역세’를	‘/SS+병역/NNG+세/NNG+’/SS+를/JKO
부과하는	부과/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
(갈등	(/SS+갈등/NNG
해법으로)	해법/NNG+으로/JKB+)/SS
제안한다”고	제안/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.363.4.2
헌법 제39조 1항이 ‘모든 국민은 법률이 정하는 바에 의하여 국방의 의무를 진다’고 규정하고 있고, 대한민국은 전쟁이 완전히 끝나지 않은 상태인 만큼 온 국민이 국방의 의무를 나누는 실질적인 방법을 찾아야 한다는 지적이었다.

헌법	헌법/NNG
제39조	제/XPN+39/SN+조/NNB
1항이	1/SN+항/NNG+이/JKS
‘모든	‘/SS+모든/MMN
국민은	국민/NNG+은/JX
법률이	법률/NNG+이/JKS
정하는	정하/VV+는/ETM
바에	바/NNB+에/JKB
의하여	의하/VV+아/EC
국방의	국방/NNG+의/JKG
의무를	의무/NNG+를/JKO
진다’고	지/VV+ㄴ다/EF+’/SS+고/JKQ
규정하고	규정/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
대한민국은	대한민국/NNP+은/JX
전쟁이	전쟁/NNG+이/JKS
완전히	완전히/MAG
끝나지	끝나/VV+지/EC
않은	않/VX+은/ETM
상태인	상태/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
온	온/MMN
국민이	국민/NNG+이/JKS
나누는	나누/VV+는/ETM
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
방법을	방법/NNG+을/JKO
찾아야	찾/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
지적이었다.	지적/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.363.4.3
앞서 2014년 헌법재판소가 남성에게만 병역 의무를 지게 한 병역법 규정은 합헌이라고 결정하자 남성연대가 여성과 병역 면제자에게서 병역세를 걷어야 한다고 주장했고, 국책연구기관 연구원들이 개인 의견으로 병역세 도입 방안을 제시한 적은 있지만 본격적인 공론화 필요성을 제기한 것은 이번이 처음이다.

앞서	앞서/MAG
2014년	2014/SN+년/NNB
헌법재판소가	헌법/NNG+재판소/NNG+가/JKS
남성에게만	남성/NNG+에게/JKB+만/JX
병역	병역/NNG
의무를	의무/NNG+를/JKO
지게	지/VV+게/EC
한	하/VX+ㄴ/ETM
병역법	병역법/NNG
규정은	규정/NNG+은/JX
합헌이라고	합헌/NNG+이/VCP+라고/EC
결정하자	결정/NNG+하/XSV+자/EC
남성연대가	남성연대/NNP+가/JKS
여성과	여성/NNG+과/JC
면제자에게서	면제자/NNG+에게서/JKB
병역세를	병역/NNG+세/NNG+를/JKO
걷어야	걷/VV+어야/EC
한다고	하/VV+ㄴ다고/EC
주장했고,	주장/NNG+하/XSV+았/EP+고/EC+,/SP
국책연구기관	국책/NNG+연구/NNG+기관/NNG
연구원들이	연구원/NNG+들/XSN+이/JKS
개인	개인/NNG
의견으로	의견/NNG+으로/JKB
병역세	병역/NNG+세/NNG
도입	도입/NNG
방안을	방안/NNG+을/JKO
제시한	제시/NNG+하/XSV+ㄴ/ETM
적은	적/NNB+은/JX
있지만	있/VA+지만/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
공론화	공론/NNG+화/XSN
필요성을	필요/NNG+성/XSN+을/JKO
제기한	제기/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.363.5.1
김 의원은 스위스 사례를 들었다.

김	김/NNP
의원은	의원/NNG+은/JX
스위스	스위스/NNP
사례를	사례/NNG+를/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.363.5.2
스위스는 20세가 되면 18∼21주간 기초군사교육을 받은 뒤 21∼26세엔 매년 19일씩 6차례 동원·소집돼 군복무를 하는 민병 체제다.

스위스는	스위스/NNP+는/JX
20세가	20/SN+세/NNB+가/JKC
되면	되/VV+면/EC
18∼21주간	18/SN+∼/SO+21/SN+주간/NNG
기초군사교육을	기초/NNG+군사/NNG+교육/NNG+을/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
21∼26세엔	21/SN+∼/SO+26/SN+세/NNB+에/JKB+ㄴ/JX
매년	매년/MAG
19일씩	19/SN+일/NNB+씩/XSN
6차례	6/SN+차례/NNG
동원·소집돼	동원/NNG+·/SP+소집/NNG+되/XSV+어/EC
군복무를	군/NNG+복무/NNG+를/JKO
하는	하/VV+는/ETM
민병	민병/NNG
체제다.	체제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.363.5.3
병역 면제비율이 17%가량인 스위스는 병역 면제자나 민방위 의무를 이행하지 않은 사람에게 과세 소득의 3%에 해당하는 ‘배상세’를 10년간 부과한다.

병역	병역/NNG
면제비율이	면제/NNG+비율/NNG+이/JKS
17%가량인	17/SN+%/SW+가량/XSN+이/VCP+ㄴ/ETM
스위스는	스위스/NNP+는/JX
면제자나	면제자/NNG+나/JC
민방위	민방위/NNG
의무를	의무/NNG+를/JKO
이행하지	이행/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
사람에게	사람/NNG+에게/JKB
과세	과세/NNG
소득의	소득/NNG+의/JKG
3%에	3/SN+%/SW+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
‘배상세’를	‘/SS+배상/NNG+세/NNG+’/SS+를/JKO
10년간	10/SN+년/NNB+간/XSN
부과한다.	부과/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.363.5.4
다만 신체적·정신적 장애로 돈을 벌 수 없는 이들에 대해 배상세를 면제해 준다.

다만	다만/MAG
신체적·정신적	신체/NNG+적/XSN+·/SP+정신/NNG+적/XSN
장애로	장애/NNG+로/JKB
돈을	돈/NNG+을/JKO
벌	벌/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
이들에	이/NNB+들/XSN+에/JKB
대해	대하/VV+아/EC
배상세를	배상/NNG+세/NNG+를/JKO
면제해	면제/NNG+하/XSV+아/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.363.5.5
김 의원은 “병역세를 부과해 마련한 재원으로 ‘안보평화기금’을 조성해 사드(THAAD·고고도미사일방어체계) 배치 지역 같은 군사시설 밀집 지역 지원과 현역병 복지 사업 지원에 쓸 수 있을 것”이라며 “액수를 떠나 국방의 의무를 온 국민이 다 같이 진다는 데 의미가 있다”고 말했다.

김	김/NNP
의원은	의원/NNG+은/JX
“병역세를	“/SS+병역/NNG+세/NNG+를/JKO
부과해	부과/NNG+하/XSV+아/EC
마련한	마련/NNG+하/XSV+ㄴ/ETM
재원으로	재원/NNG+으로/JKB
‘안보평화기금’을	‘/SS+안보/NNG+평화/NNG+기금/NNG+’/SS+을/JKO
조성해	조성/NNG+하/XSV+아/EC
사드(THAAD·고고도미사일방어체계)	사드/NNG+(/SS+THAAD/SL+·/SP+고/XPN+고도/NNG+미사일/NNG+방어/NNG+체계/NNG+)/SS
배치	배치/NNG
지역	지역/NNG
같은	같/VA+은/ETM
군사시설	군사/NNG+시설/NNG
밀집	밀집/NNG
지원과	지원/NNG+과/JC
현역병	현역병/NNG
복지	복지/NNG
사업	사업/NNG
지원에	지원/NNG+에/JKB
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“액수를	“/SS+액수/NNG+를/JKO
떠나	떠나/VV+아/EC
국방의	국방/NNG+의/JKG
의무를	의무/NNG+를/JKO
온	온/MMN
국민이	국민/NNG+이/JKS
다	다/MAG
같이	같이/MAG
진다는	지/VV+ㄴ다는/ETM
데	데/NNB
의미가	의미/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.363.5.6
한민구 국방부 장관도 “병역의무 이행의 형평성을 제고하고 사회 갈등을 치유하는 측면에서 의미가 있다”며 긍정적인 자세를 보였다.

한민구	한민구/NNP
국방부	국방부/NNG
장관도	장관/NNG+도/JX
“병역의무	“/SS+병역/NNG+의무/NNG
이행의	이행/NNG+의/JKG
형평성을	형평/NNG+성/XSN+을/JKO
제고하고	제고/NNG+하/XSV+고/EC
사회	사회/NNG
갈등을	갈등/NNG+을/JKO
치유하는	치유/NNG+하/XSV+는/ETM
측면에서	측면/NNG+에서/JKB
의미가	의미/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
자세를	자세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.363.6.1
김 의원실 관계자는 “공론화를 시작해 보자는 의미에서 화두를 던진 것으로 병역세 부과 방안이나 여성 포함 여부까지 구체적으로 구상한 단계는 아니다”라고 말했다.

김	김/NNP
의원실	의원실/NNG
관계자는	관계자/NNG+는/JX
“공론화를	“/SS+공론/NNG+화/XSN+를/JKO
시작해	시작/NNG+하/XSV+아/EC
보자는	보/VX+자는/ETM
의미에서	의미/NNG+에서/JKB
화두를	화두/NNG+를/JKO
던진	던지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
병역세	병역/NNG+세/NNG
부과	부과/NNG
방안이나	방안/NNG+이나/JC
여성	여성/NNG
포함	포함/NNG
여부까지	여부/NNG+까지/JX
구체적으로	구체/NNG+적/XSN+으로/JKB
구상한	구상/NNG+하/XSV+ㄴ/ETM
단계는	단계/NNG+는/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.363.7.1
한편 이날 국감에서는 북한 김정은 노동당 위원장이 노동당 창건일(10일)에 도발하지 않은 이유 등 북한 동향에 대한 논의도 이어졌다.

한편	한편/MAG
이날	이날/NNG
국감에서는	국감/NNG+에서/JKB+는/JX
북한	북한/NNP
김정은	김정은/NNP
노동당	노동당/NNP
위원장이	위원장/NNG+이/JKS
창건일(10일)에	창건일/NNG+(/SS+10/SN+일/NNB+)/SS+에/JKB
도발하지	도발/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
이유	이유/NNG
등	등/NNB
동향에	동향/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
논의도	논의/NNG+도/JX
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.363.7.2
새누리당 경대수 의원은 북한이 핵실험과 장거리미사일 발사를 동시에 감행하는 초대형 도발을 할 것이란 예측과 달리 숨죽인 이유에 대해 물었다.

새누리당	새누리당/NNP
경대수	경대수/NNP
의원은	의원/NNG+은/JX
북한이	북한/NNP+이/JKS
핵실험과	핵/NNG+실험/NNG+과/JC
장거리미사일	장거리/NNG+미사일/NNG
발사를	발사/NNG+를/JKO
동시에	동시/NNG+에/JKB
감행하는	감행/NNG+하/XSV+는/ETM
초대형	초/XPN+대형/NNG
도발을	도발/NNG+을/JKO
할	하/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
예측과	예측/NNG+과/JKB
달리	달리/MAG
숨죽인	숨죽이/VV+ㄴ/ETM
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.363.7.3
한 장관은 북한이 5차 핵실험에 따른 유엔 안전보장이사회의 새 대북 제재 결의 채택이 지연되는 상황에서 불필요한 자극을 할 필요가 없다고 판단해 도발 시기를 조정했을 것이란 분석을 내놨다.

한	한/NNP
장관은	장관/NNG+은/JX
북한이	북한/NNP+이/JKS
5차	5/SN+차/NNB
핵실험에	핵/NNG+실험/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
유엔	유엔/NNP
안전보장이사회의	안전/NNG+보장/NNG+이사회/NNG+의/JKG
새	새/MMA
대북	대북/NNG
제재	제재/NNG
결의	결의/NNG
채택이	채택/NNG+이/JKS
지연되는	지연/NNG+되/XSV+는/ETM
상황에서	상황/NNG+에서/JKB
불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
자극을	자극/NNG+을/JKO
할	하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없다고	없/VA+다고/EC
판단해	판단/NNG+하/XSV+아/EC
도발	도발/NNG
시기를	시기/NNG+를/JKO
조정했을	조정/NNG+하/XSV+았/EP+을/ETM
것이란	것/NNB+이/VCP+란/ETM
분석을	분석/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.363.7.4
그러면서도 북한이 시기를 조정한 것일 뿐 언제든 추가 도발을 감행할 것이라는 데 무게를 실었다.

그러면서도	그러/VV+면서/EC+도/JX
북한이	북한/NNP+이/JKS
시기를	시기/NNG+를/JKO
조정한	조정/NNG+하/XSV+ㄴ/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
뿐	뿐/NNB
언제든	언제/NP+든/JX
추가	추가/NNG
도발을	도발/NNG+을/JKO
감행할	감행/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
데	데/NNB
무게를	무게/NNG+를/JKO
실었다.	싣/VV+었/EP+다/EF+./SF


