# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.229
metadata : {}


# id : NWRW1800000030.229.1.1
배트 대신 망치, 드럼통에 군불… 김성근 야구 시동

배트	배트/NNG
초겨울 추위에 언 몸을 녹이기 위해 드럼통에 군불을 때면서 훈련하는 모습은 과거 쌍방울 시절과 다를 게 없었다.

초겨울	초겨울/NNG
추위에	추위/NNG+에/JKB
언	얼/VV+ㄴ/ETM
몸을	몸/NNG+을/JKO
녹이기	녹이/VV+기/ETN
위해	위하/VV+아/EC
드럼통에	드럼통/NNG+에/JKB
군불을	군불/NNG+을/JKO
때면서	때/VV+면서/EC
훈련하는	훈련/NNG+하/XSV+는/ETM
모습은	모습/NNG+은/JX
과거	과거/NNG
쌍방울	쌍방울/NNP
시절과	시절/NNG+과/JKB
다를	다르/VA+ㄹ/ETM
게	거/NNB+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.229.8.1
김성근 감독은 선수들과 만난 첫날부터 일대일 교습에 들어갔다.

김성근	김성근/NNP
감독은	감독/NNG+은/JX
선수들과	선수/NNG+들/XSN+과/JKB
만난	만나/VV+ㄴ/ETM
첫날부터	첫날/NNG+부터/JX
일대일	일대일/NNG
교습에	교습/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.229.8.2
타자들에겐 망치나 갈퀴를 이용한 파격적인 훈련법을 선보였다.

타자들에겐	타자/NNG+들/XSN+에게/JKB+ㄴ/JX
망치나	망치/NNG+나/JC
갈퀴를	갈퀴/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
파격적인	파격/NNG+적/XSN+이/VCP+ㄴ/ETM
훈련법을	훈련법/NNG+을/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.229.9.1
김 감독은 "스윙을 할 때 팔꿈치가 벌어지지 않도록 하기 위해서는 망치로 못을 박는 식으로 쳐야 한다"고 했다.

김	김/NNP
감독은	감독/NNG+은/JX
"스윙을	"/SS+스윙/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
팔꿈치가	팔꿈치/NNG+가/JKS
벌어지지	벌어지/VV+지/EC
않도록	않/VX+도록/EC
하기	하/VX+기/ETN
위해서는	위하/VV+아서/EC+는/JX
망치로	망치/NNG+로/JKB
못을	못/NNG+을/JKO
박는	박/VV+는/ETM
식으로	식/NNB+으로/JKB
쳐야	치/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.229.9.2
의아해하던 선수들도 김 감독의 설명을 듣고 직접 스윙을 해본 다음 고개를 끄덕였다.

의아해하던	의아/NNG+하/XSA+아/EC+하/VX+던/ETM
선수들도	선수/NNG+들/XSN+도/JX
김	김/NNP
감독의	감독/NNG+의/JKG
설명을	설명/NNG+을/JKO
듣고	듣/VV+고/EC
직접	직접/MAG
스윙을	스윙/NNG+을/JKO
해본	하/VV+아/EC+보/VX+ㄴ/ETM
다음	다음/NNG
고개를	고개/NNG+를/JKO
끄덕였다.	끄덕이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.229.9.3
배팅 볼을 치는 타자의 자세를 일일이 교정해준 그는 실내연습장으로 이동해 투수들을 가르쳤다.

배팅	배팅/NNG
볼을	볼/NNG+을/JKO
치는	치/VV+는/ETM
타자의	타자/NNG+의/JKG
자세를	자세/NNG+를/JKO
일일이	일일이/MAG
교정해준	교정/NNG+하/XSV+아/EC+주/VX+ㄴ/ETM
그는	그/NP+는/JX
실내연습장으로	실내/NNG+연습장/NNG+으로/JKB
이동해	이동/NNG+하/XSV+아/EC
투수들을	투수/NNG+들/XSN+을/JKO
가르쳤다.	가르치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.229.9.4
선수들은 잔뜩 긴장한 얼굴로 김 감독의 한마디 한마디에 귀를 기울였다.

선수들은	선수/NNG+들/XSN+은/JX
잔뜩	잔뜩/MAG
긴장한	긴장/NNG+하/XSV+ㄴ/ETM
얼굴로	얼굴/NNG+로/JKB
김	김/NNP
감독의	감독/NNG+의/JKG
한마디	한마디/NNG
한마디에	한마디/NNG+에/JKB
귀를	귀/NNG+를/JKO
기울였다.	기울이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.229.10.1
야구장 옆에 차려진 간이 식당에서 식사를 해결한 김 감독은 "아직 갈 길이 멀다"면서도 "선수들이 생각보다 잘한다"고 했다.

야구장	야구장/NNG
옆에	옆/NNG+에/JKB
차려진	차리/VV+어/EC+지/VX+ㄴ/ETM
간이	간이/NNG
식당에서	식당/NNG+에서/JKB
식사를	식사/NNG+를/JKO
해결한	해결/NNG+하/XSV+ㄴ/ETM
김	김/NNP
감독은	감독/NNG+은/JX
"아직	"/SS+아직/MAG
갈	가/VV+ㄹ/ETM
길이	길/NNG+이/JKS
멀다"면서도	멀/VA+다/EF+"/SS+면서/EC+도/JX
"선수들이	"/SS+선수/NNG+들/XSN+이/JKS
생각보다	생각/NNG+보다/JKB
잘한다"고	잘/MAG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.229.10.2
이날 훈련은 종료 예정 시간인 오후 4시 30분을 훌쩍 넘긴 뒤에야 끝났다.

이날	이날/NNG
훈련은	훈련/NNG+은/JX
종료	종료/NNG
예정	예정/NNG
시간인	시간/NNG+이/VCP+ㄴ/ETM
오후	오후/NNG
4시	4/SN+시/NNB
30분을	30/SN+분/NNB+을/JKO
훌쩍	훌쩍/MAG
넘긴	넘기/VV+ㄴ/ETM
뒤에야	뒤/NNG+에/JKB+야/JX
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.229.10.3
김광수 수석 코치는 "역시 김 감독님이 훈련에 합류하니 선수들의 눈빛이 달라졌다"고 했다.

김광수	김광수/NNP
수석	수석/NNG
코치는	코치/NNG+는/JX
"역시	"/SS+역시/MAG
김	김/NNP
감독님이	감독/NNG+님/XSN+이/JKS
훈련에	훈련/NNG+에/JKB
합류하니	합류/NNG+하/XSV+니/EC
선수들의	선수/NNG+들/XSN+의/JKG
눈빛이	눈빛/NNG+이/JKS
달라졌다"고	달라지/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.229.11.1
고양 원더스는 국내 훈련을 거쳐 35명 정도로 선수를 추린 뒤 내년 1월 중순 일본 오키나와로 전지훈련을 떠난다.

고양	고양/NNP
원더스는	원더스/NNP+는/JX
국내	국내/NNG
훈련을	훈련/NNG+을/JKO
거쳐	거치/VV+어/EC
35명	35/SN+명/NNB
정도로	정도/NNG+로/JKB
선수를	선수/NNG+를/JKO
추린	추리/VV+ㄴ/ETM
뒤	뒤/NNG
내년	내년/NNG
1월	1/SN+월/NNB
중순	중순/NNG
일본	일본/NNP
오키나와로	오키나와/NNP+로/JKB
전지훈련을	전지훈련/NNG+을/JKO
떠난다.	떠나/VV+ㄴ다/EF+./SF


