# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.263
metadata : {}


# id : NWRW1800000022.263.1.1
軍, 공격용 헬기부대 전력 보강 美, 駐韓아파치부대 곧 철수

軍,	軍/SH+,/SP
대대(24대)만	대대/NNG+(/SS+24/SN+대/NNB+)/SS+만/JX
남은	남/VV+은/ETM
미군	미군/NNG
아파치	아파치/NNP
헬기	헬기/NNG
부대가	부대/NNG+가/JKS
떠나는	떠나/VV+는/ETM
것으로	것/NNB+으로/JKB
전해져	전하/VV+아/EC+지/VX+어/EC
이	이/MMD
공백을	공백/NNG+을/JKO
메우기	메우/VV+기/ETN
위해	위하/VV+아/EC
코브라	코브라/NNG
헬기·500MD가	헬기/NNG+·/SP+500/SN+MD/SL+가/JKS
주종인	주종/NNG+이/VCP+ㄴ/ETM
육군	육군/NNG
내	내/NNB
공격형	공격/NNG+형/XSN
헬기를	헬기/NNG+를/JKO
중고	중고/NNG
들여오거나	들여오/VV+거나/EC
한국형	한국/NNP+형/XSN
공격	공격/NNG
헬기(KAH)	헬기/NNG+(/SS+KAH/SL+)/SS
개발로	개발/NNG+로/JKB
보강하겠다는	보강/NNG+하/XSV+겠/EP+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000022.263.3.2
이미 군 안팎에서는 주한 미군이 2012년 4월 전작권 전환을 앞두고 전력을 해·공군 위주로 재편하면서 탱크와 지상 특수부대 대비용 아파치 헬기를 단계적으로 철수할 것이라는 관측이 무성했다.

이미	이미/MAG
군	군/NNG
안팎에서는	안팎/NNG+에서/JKB+는/JX
주한	주한/NNG
미군이	미군/NNG+이/JKS
2012년	2012/SN+년/NNB
4월	4/SN+월/NNB
전작권	전작권/NNG
전환을	전환/NNG+을/JKO
앞두고	앞두/VV+고/EC
전력을	전력/NNG+을/JKO
해·공군	해·공군/NNG
위주로	위주/NNG+로/JKB
재편하면서	재편/NNG+하/XSV+면서/EC
탱크와	탱크/NNG+와/JC
지상	지상/NNG
특수부대	특수/NNG+부대/NNG
대비용	대비/NNG+용/XSN
아파치	아파치/NNP
헬기를	헬기/NNG+를/JKO
단계적으로	단계/NNG+적/XSN+으로/JKB
철수할	철수/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
무성했다.	무성하/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.263.3.3
원래 3개 대대였던 아파치 헬기 부대는 1개만 남아 있는 상태다.

원래	원래/MAG
3개	3/SN+개/NNB
대대였던	대대/NNG+이/VCP+었/EP+던/ETM
아파치	아파치/NNP
헬기	헬기/NNG
부대는	부대/NNG+는/JX
1개만	1/SN+개/NNB+만/JX
남아	남/VV+아/EC
있는	있/VX+는/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.263.3.4
공격형 헬기 사업과 관련, 중고 아파치 헬기를 수입할지 국내 기술로 개발할지는 방위사업청이 올해 내로 결정할 계획이다.

공격형	공격/NNG+형/XSN
헬기	헬기/NNG
사업과	사업/NNG+과/JKB
관련,	관련/NNG+,/SP
중고	중고/NNG
아파치	아파치/NNP
헬기를	헬기/NNG+를/JKO
수입할지	수입/NNG+하/XSV+ㄹ지/EF
국내	국내/NNG
기술로	기술/NNG+로/JKB
개발할지는	개발/NNG+하/XSV+ㄹ지/EF+는/JX
방위사업청이	방위/NNG+사업청/NNG+이/JKS
올해	올해/NNG
내로	내/NNB+로/JKB
결정할	결정/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.263.4.1
또 미군은 지난 3월 아파치 헬기 대대 철수에 따라 새로 배치한 F-16 전투기를 F-15 E(스트라이크 이글)로 교체할 것으로 알려졌다.

또	또/MAG
미군은	미군/NNG+은/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
아파치	아파치/NNP
헬기	헬기/NNG
대대	대대/NNG
철수에	철수/NNG+에/JKB
따라	따르/VV+아/EC
새로	새로/MAG
배치한	배치/NNG+하/XSV+ㄴ/ETM
F-16	F/SL+-/SO+16/SN
전투기를	전투기/NNG+를/JKO
F-15	F/SL+-/SO+15/SN
E(스트라이크	E/SL+(/SS+스트라이크/NNP
이글)로	이글/NNP+)/SS+로/JKB
교체할	교체/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


