# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.83
metadata : {}


# id : NWRW1800000053.83.1.1
[aT 창립 50주년]여인홍 aT사장 “수요-공급 한 눈에 파악 정보시스템 구축할 터”

[aT	[/SS+aT/SL
여 사장은 “브라질은 지구 반대편에 위치해 지리적으로 먼 데도 한류 바람이 세다”면서 “문화적인 간격이 좁혀진 만큼 우리 상품 판매에 기대를 걸고 있다”고 말했다.

여	여/NNP
사장은	사장/NNG+은/JX
“브라질은	“/SS+브라질/NNP+은/JX
지구	지구/NNG
반대편에	반대편/NNG+에/JKB
위치해	위치/NNG+하/XSV+아/EC
지리적으로	지리/NNG+적/XSN+으로/JKB
먼	멀/VA+ㄴ/ETM
데도	데/NNB+도/JX
한류	한류/NNG
바람이	바람/NNG+이/JKS
세다”면서	세/VA+다/EF+”/SS+면서/EC
“문화적인	“/SS+문화/NNG+적/XSN+이/VCP+ㄴ/ETM
간격이	간격/NNG+이/JKS
좁혀진	좁히/VV+어/EC+지/VX+ㄴ/ETM
만큼	만큼/NNB
우리	우리/NP
상품	상품/NNG
판매에	판매/NNG+에/JKB
기대를	기대/NNG+를/JKO
걸고	걸/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.83.9.1
남아공에 두유, 브라질에 팥빙수 기계, 인도에 김치와 두유를 파는 등 다양한 해외시장을 개척하는 데는 청년들의 번득이는 아이디어도 한몫했다.

남아공에	남아공/NNP+에/JKB
두유,	두유/NNG+,/SP
브라질에	브라질/NNP+에/JKB
팥빙수	팥빙수/NNG
기계,	기계/NNG+,/SP
인도에	인도/NNP+에/JKB
김치와	김치/NNG+와/JC
두유를	두유/NNG+를/JKO
파는	팔/VV+는/ETM
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
해외시장을	해외/NNG+시장/NNG+을/JKO
개척하는	개척/NNG+하/XSV+는/ETM
데는	데/NNB+는/JX
청년들의	청년/NNG+들/XSN+의/JKG
번득이는	번득이/VV+는/ETM
아이디어도	아이디어/NNG+도/JX
한몫했다.	한몫/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.83.9.2
여 사장은 “aT의 농식품 해외개척단이 큰 역할을 했다”면서 “청년들을 식품업체와 매칭해 실무경험도 쌓고 취업기회도 만들 수 있는 프로그램인데 시장개척에도 큰 성과를 냈다”고 말했다.

여	여/NNP
사장은	사장/NNG+은/JX
“aT의	“/SS+aT/SL+의/JKG
농식품	농식품/NNG
해외개척단이	해외/NNG+개척단/NNG+이/JKS
큰	크/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
했다”면서	하/VV+았/EP+다/EF+”/SS+면서/EC
“청년들을	“/SS+청년/NNG+들/XSN+을/JKO
식품업체와	식품업체/NNG+와/JKB
매칭해	매칭/NNG+하/XSV+아/EC
실무경험도	실무/NNG+경험/NNG+도/JX
쌓고	쌓/VV+고/EC
취업기회도	취업/NNG+기회/NNG+도/JX
만들	만들/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
프로그램인데	프로그램/NNG+이/VCP+ㄴ데/EC
시장개척에도	시장/NNG+개척/NNG+에/JKB+도/JX
성과를	성과/NNG+를/JKO
냈다”고	내/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.83.10.1
aT는 최근 급성장하는 직거래시장에 인증제를 도입해 내년부터 본격적으로 시행할 예정이다.

aT는	aT/SL+는/JX
최근	최근/NNG
급성장하는	급성장/NNG+하/XSV+는/ETM
직거래시장에	직거래/NNG+시장/NNG+에/JKB
인증제를	인증/NNG+제/XSN+를/JKO
도입해	도입/NNG+하/XSV+아/EC
내년부터	내년/NNG+부터/JX
본격적으로	본격/NNG+적/XSN+으로/JKB
시행할	시행/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.83.10.2
aT는 올해 말까지 일단 로컬푸드직매장을 대상으로 인증서를 발급하기 위해 대상 업체를 심사하고 있다.

aT는	aT/SL+는/JX
올해	올해/NNG
말까지	말/NNB+까지/JX
일단	일단/MAG
로컬푸드직매장을	로컬/NNG+푸드/NNG+직매장/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
인증서를	인증서/NNG+를/JKO
발급하기	발급/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
대상	대상/NNG
업체를	업체/NNG+를/JKO
심사하고	심사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.83.10.3
여 사장은 “직거래 매장이 늘어나면서 매장의 신뢰도를 높이고 소비자를 보호할 필요성이 높아졌다”면서 “일단 사업자 본인이 인증 여부를 신청하게 해 선택권을 부여했다”고 말했다.

여	여/NNP
사장은	사장/NNG+은/JX
“직거래	“/SS+직거래/NNG
매장이	매장/NNG+이/JKS
늘어나면서	늘어나/VV+면서/EC
매장의	매장/NNG+의/JKG
신뢰도를	신뢰도/NNG+를/JKO
높이고	높이/VV+고/EC
소비자를	소비자/NNG+를/JKO
보호할	보호/NNG+하/XSV+ㄹ/ETM
필요성이	필요/NNG+성/XSN+이/JKS
높아졌다”면서	높아지/VV+었/EP+다/EF+”/SS+면서/EC
“일단	“/SS+일단/MAG
사업자	사업자/NNG
본인이	본인/NNG+이/JKS
인증	인증/NNG
여부를	여부/NNG+를/JKO
신청하게	신청/NNG+하/XSV+게/EC
해	하/VX+아/EC
선택권을	선택/NNG+권/XSN+을/JKO
부여했다”고	부여/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.83.11.1
50주년을 맞은 aT는 앞으로의 성장을 위해 4차 산업혁명을 적극 활용할 계획이다.

50주년을	50/SN+주년/NNB+을/JKO
맞은	맞/VV+은/ETM
aT는	aT/SL+는/JX
앞으로의	앞/NNG+으로/JKB+의/JKG
성장을	성장/NNG+을/JKO
위해	위하/VV+아/EC
4차	4/SN+차/NNB
산업혁명을	산업/NNG+혁명/NNG+을/JKO
적극	적극/NNG
활용할	활용/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.83.11.2
여 사장은 “4차 산업혁명은 농어업의 위기이자 기회라고 생각한다”면서 “수급관리 전문 공기관으로서 농업 기반을 유지하고 농업이 발전할 수 있도록 역량을 집중하겠다”고 말했다.

여	여/NNP
사장은	사장/NNG+은/JX
“4차	“/SS+4/SN+차/NNB
산업혁명은	산업/NNG+혁명/NNG+은/JX
농어업의	농어업/NNG+의/JKG
위기이자	위기/NNG+이/VCP+자/EC
기회라고	기회/NNG+이/VCP+라고/EC
생각한다”면서	생각/NNG+하/XSV+ㄴ다/EF+”/SS+면서/EC
“수급관리	“/SS+수급/NNG+관리/NNG
전문	전문/NNG
공기관으로서	공기관/NNG+으로서/JKB
농업	농업/NNG
기반을	기반/NNG+을/JKO
유지하고	유지/NNG+하/XSV+고/EC
농업이	농업/NNG+이/JKS
발전할	발전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
역량을	역량/NNG+을/JKO
집중하겠다”고	집중/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


