# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.235
metadata : {}


# id : NWRW1800000021.235.1.1
“흥행대박, 2분만에 결정돼요”

“흥행대박,	“/SS+흥행/NNG+대/XPN+박/NNG+,/SP
영화를 봐야 하는데 장면에만 집착하니 지엽적으로 보게 되는 것 같아요.”

영화를	영화/NNG+를/JKO
봐야	보/VV+아야/EC
하는데	하/VX+는데/EC
장면에만	장면/NNG+에/JKB+만/JX
집착하니	집착/NNG+하/XSV+니/EC
지엽적으로	지엽/NNG+적/XSN+으로/JKB
보게	보/VV+게/EC
되는	되/VV+는/ETM
것	것/NNB
같아요.”	같/VA+아요/EF+./SF+”/SS


# id : NWRW1800000021.235.9.5
하지만 별난 직업병까지 견디며 예고편을 만드는 데는 이유가 있었다.

하지만	하지만/MAJ
별난	별나/VA+ㄴ/ETM
직업병까지	직업병/NNG+까지/JX
견디며	견디/VV+며/EC
예고편을	예고편/NNG+을/JKO
만드는	만들/VV+는/ETM
데는	데/NNB+는/JX
이유가	이유/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.235.10.1
“남이 찍은 영화를 가지고 뭔가를 만드는 직업이다 보니 저만의 창작물을 찍고 싶죠.”(최 대표)

“남이	“/SS+남/NNG+이/JKS
찍은	찍/VV+은/ETM
영화를	영화/NNG+를/JKO
가지고	가지/VV+고/EC
뭔가를	뭐/NP+이/VCP+ㄴ가/EF+를/JKO
만드는	만들/VV+는/ETM
직업이다	직업/NNG+이/VCP+다/EC
보니	보/VX+니/EC
저만의	저/NP+만/JX+의/JKG
창작물을	창작물/NNG+을/JKO
찍고	찍/VV+고/EC
싶죠.”(최	싶/VX+죠/EF+./SF+”/SS+(/SS+최/NNP
대표)	대표/NNG+)/SS


# id : NWRW1800000021.235.10.2
“영화를 즐기는 것의 끝은 영화 제작이 아닐까요. 우리가 만든 영화의 예고편을 우리가 만드는 게 꿈입니다.”(김기훈 씨)

“영화를	“/SS+영화/NNG+를/JKO
즐기는	즐기/VV+는/ETM
것의	것/NNB+의/JKG
끝은	끝/NNG+은/JX
영화	영화/NNG
제작이	제작/NNG+이/JKC
아닐까요.	아니/VCN+ㄹ까/EF+요/JX+./SF
우리가	우리/NP+가/JKS
만든	만들/VV+ㄴ/ETM
영화의	영화/NNG+의/JKG
예고편을	예고편/NNG+을/JKO
만드는	만들/VV+는/ETM
게	거/NNB+이/JKS
꿈입니다.”(김기훈	꿈/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS+(/SS+김기훈/NNP
씨)	씨/NNB+)/SS


