# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.357
metadata : {}


# id : NWRW1800000049.357.1.1
靑 “최순실 의혹, 근거없는 정치공세”

靑	靑/SH
국감을 앞두고 정국 주도권을 확보하겠다는 의도로 풀이된다.

국감을	국감/NNG+을/JKO
앞두고	앞두/VV+고/EC
정국	정국/NNG
주도권을	주도/NNG+권/XSN+을/JKO
확보하겠다는	확보/NNG+하/XSV+겠/EP+다는/ETM
의도로	의도/NNG+로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.357.6.1
더민주당 우상호 원내대표는 “이번 사건은 권력실세, 비선실세에 관한 문제로 시작해 대기업들의 거액의 자금 출연, 불투명한 자금 운영 등 권력형 비리 정황이 드러나고 있다”며 “국회 차원에서 이 문제를 다루겠다”고 말했다.

더민주당	더민주당/NNP
우상호	우상호/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
“이번	“/SS+이번/NNG
사건은	사건/NNG+은/JX
권력실세,	권력/NNG+실세/NNG+,/SP
비선실세에	비선/NNG+실세/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
문제로	문제/NNG+로/JKB
시작해	시작/NNG+하/XSV+아/EC
대기업들의	대/XPN+기업/NNG+들/XSN+의/JKG
거액의	거액/NNG+의/JKG
자금	자금/NNG
출연,	출연/NNG+,/SP
불투명한	불/XPN+투명/NNG+하/XSA+ㄴ/ETM
운영	운영/NNG
등	등/NNB
권력형	권력/NNG+형/XSN
비리	비리/NNG
정황이	정황/NNG+이/JKS
드러나고	드러나/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“국회	“/SS+국회/NNG
차원에서	차원/NNG+에서/JKB
이	이/MMD
문제를	문제/NNG+를/JKO
다루겠다”고	다루/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.357.6.2
더민주당은 최 씨와 두 재단 관계자, 모금 과정 개입 의혹이 제기된 안종범 대통령정책조정수석 등의 국감 증인 채택을 추진하고 있다.

더민주당은	더민주당/NNP+은/JX
최	최/NNP
씨와	씨/NNB+와/JC
두	두/MMN
재단	재단/NNG
관계자,	관계자/NNG+,/SP
모금	모금/NNG
과정	과정/NNG
개입	개입/NNG
의혹이	의혹/NNG+이/JKS
제기된	제기/NNG+되/XSV+ㄴ/ETM
안종범	안종범/NNP
대통령정책조정수석	대통령/NNG+정책/NNG+조정/NNG+수석/NNG
등의	등/NNB+의/JKG
국감	국감/NNG
증인	증인/NNG
채택을	채택/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.357.6.3
국민의당 박지원 비상대책위원장 겸 원내대표도 “청와대가 발뺌하고 솔직히 밝히지 않는다면 국정조사 또는 검찰 고발, 특검으로 정권 말기에 있는 권력 비리를 철저히 밝힐 것”이라고 가세했다.

국민의당	국민의당/NNP
박지원	박지원/NNP
비상대책위원장	비상/NNG+대책/NNG+위원장/NNG
겸	겸/NNB
원내대표도	원내/NNG+대표/NNG+도/JX
“청와대가	“/SS+청와대/NNP+가/JKS
발뺌하고	발뺌/NNG+하/XSV+고/EC
솔직히	솔직히/MAG
밝히지	밝히/VV+지/EC
않는다면	않/VX+는다면/EC
국정조사	국정/NNG+조사/NNG
또는	또는/MAG
검찰	검찰/NNG
고발,	고발/NNG+,/SP
특검으로	특검/NNG+으로/JKB
정권	정권/NNG
말기에	말기/NNG+에/JKB
있는	있/VA+는/ETM
권력	권력/NNG
비리를	비리/NNG+를/JKO
철저히	철저히/MAG
밝힐	밝히/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
가세했다.	가세/NNG+하/XSV+았/EP+다/EF+./SF


