# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.298
metadata : {}


# id : NWRW1800000054.298.1.1
[萬物相] 歷史까지 '예능' 된 세상

[萬物相]	[/SS+萬物相/SH+]/SS
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.298.4.5
교과서만 문제가 아닌 것이다.

교과서만	교과서/NNG+만/JX
문제가	문제/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.298.4.6
인터넷이고 방송이고 서점의 책꽂이고 그릇된 가치관으로 학생들을 잘못 이끄는 독소들이 널려 있다.

인터넷이고	인터넷/NNG+이고/JC
방송이고	방송/NNG+이고/JC
서점의	서점/NNG+의/JKG
책꽂이고	책꽂이/NNG+고/JC
그릇된	그릇/MAG+되/XSV+ㄴ/ETM
가치관으로	가치관/NNG+으로/JKB
학생들을	학생/NNG+들/XSN+을/JKO
잘못	잘못/MAG
이끄는	이끌/VV+는/ETM
독소들이	독소/NNG+들/XSN+이/JKS
널려	널리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.298.5.1
▶스타 강사 중의 한 명이 구설에 올랐다.

▶스타	▶/SW+스타/NNG
강사	강사/NNG
중의	중/NNB+의/JKG
한	한/MMN
명이	명/NNB+이/JKS
구설에	구설/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.298.5.2
그가 과거 3·1운동 때 민족대표 33인이 "대낮에 태화관이라는 우리나라 최초의 룸살롱에 가서 낮술을 먹고" 독립선언을 한 것처럼 묘사했다는 것이다.

그가	그/NP+가/JKS
과거	과거/NNG
3·1운동	3/SN+·/SP+1/SN+운동/NNG
때	때/NNG
민족대표	민족/NNG+대표/NNG
33인이	33/SN+인/NNG+이/JKS
"대낮에	"/SS+대낮/NNG+에/JKB
태화관이라는	태화관/NNP+이/VCP+라는/ETM
우리나라	우리나라/NNG
최초의	최초/NNG+의/JKG
룸살롱에	룸살롱/NNG+에/JKB
가서	가/VV+아서/EC
낮술을	낮술/NNG+을/JKO
먹고"	먹/VV+고/EC+"/SS
독립선언을	독립/NNG+선언/NNG+을/JKO
한	하/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
묘사했다는	묘사/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.298.5.3
그는 "태화관 마담 주옥경하고 (민족대표) 손병희하고 사귀었다"며 "그 마담이 D/C(할인)해준다고, 안주 하나 더 준다고 오라 그랬는지 모르겠다"고 했다.

그는	그/NP+는/JX
"태화관	"/SS+태화관/NNP
마담	마담/NNG
주옥경하고	주옥경/NNP+하고/JKB
(민족대표)	(/SS+민족/NNG+대표/NNG+)/SS
손병희하고	손병희/NNP+하고/JKB
사귀었다"며	사귀/VV+었/EP+다/EF+"/SS+며/EC
"그	"/SS+그/MMD
마담이	마담/NNG+이/JKS
D/C(할인)해준다고,	D/SL+//SP+C/SL+(/SS+할인/NNG+)/SS+하/VV+아/EC+주/VX+ㄴ다고/EC+,/SP
안주	안주/NNG
하나	하나/NR
더	더/MAG
준다고	주/VV+ㄴ다고/EC
오라	오/VV+라/EC
그랬는지	그렇/VA+었/EP+는지/EF
모르겠다"고	모르/VV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.298.5.4
그는 인터넷 TV에서 영화 '광해'를 소개하며 "인목대비가 새끼(영창대군)를 낳아" "선조가 깩 하고 돌아가셨을 때 영창대군은 두 살…"이라고 한 적도 있다.

그는	그/NP+는/JX
인터넷	인터넷/NNG
TV에서	TV/SL+에서/JKB
영화	영화/NNG
'광해'를	'/SS+광해/NNP+'/SS+를/JKO
소개하며	소개/NNG+하/XSV+며/EC
"인목대비가	"/SS+인목/NNP+대비/NNG+가/JKS
새끼(영창대군)를	새끼/NNG+(/SS+영창/NNP+대군/NNG+)/SS+를/JKO
낳아"	낳/VV+아/EC+"/SS
"선조가	"/SS+선조/NNP+가/JKS
깩	깩/MAG
하고	하/VV+고/EC
돌아가셨을	돌아가/VV+시/EP+었/EP+을/ETM
때	때/NNG
영창대군은	영창/NNP+대군/NNG+은/JX
두	두/MMN
살…"이라고	살/NNB+…/SE+"/SS+이라고/JKQ
한	하/VV+ㄴ/ETM
적도	적/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.298.6.1
▶강사들에게 청중의 머릿수는 돈이다.

▶강사들에게	▶/SW+강사/NNG+들/XSN+에게/JKB
청중의	청중/NNG+의/JKG
머릿수는	머릿수/NNG+는/JX
돈이다.	돈/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.298.6.2
아무리 영양가 있는 지식이라도 청중이 졸면 퇴출이다.

아무리	아무리/MAG
영양가	영양/NNG+가/XSN
있는	있/VA+는/ETM
지식이라도	지식/NNG+이/VCP+라도/EC
청중이	청중/NNG+이/JKS
졸면	졸/VV+면/EC
퇴출이다.	퇴출/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.298.6.3
좀 더 자극적인 말, 상식을 뒤집는 말을 찾을 수밖에 없다.

좀	좀/MAG
더	더/MAG
자극적인	자극/NNG+적/XSN+이/VCP+ㄴ/ETM
말,	말/NNG+,/SP
상식을	상식/NNG+을/JKO
뒤집는	뒤집/VV+는/ETM
말을	말/NNG+을/JKO
찾을	찾/VV+을/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.298.6.4
그렇다 해도 진지하고 엄숙해야 할 독립운동사마저 예능·오락의 대상으로 만들어 버리는 사회를 정상이라고 할 수는 없다.

그렇다	그렇/VA+다/EC
해도	하/VV+아도/EC
진지하고	진지하/VA+고/EC
엄숙해야	엄숙하/VA+아야/EC
할	하/VV+ㄹ/ETM
독립운동사마저	독립운동사/NNG+마저/JX
예능·오락의	예능/NNG+·/SP+오락/NNG+의/JKG
대상으로	대상/NNG+으로/JKB
만들어	만들/VV+어/EC
버리는	버리/VX+는/ETM
사회를	사회/NNG+를/JKO
정상이라고	정상/NNG+이/VCP+라고/EC
수는	수/NNB+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.298.6.5
한 사회가 오랫동안 쌓아온 소중한 가치들을 '거꾸로 읽는다'는 그럴듯한 명분으로 하나 둘 까뒤집어버리면 남는 게 무엇일까.

한	한/MMN
사회가	사회/NNG+가/JKS
오랫동안	오랫동안/NNG
쌓아온	쌓/VV+아/EC+오/VX+ㄴ/ETM
소중한	소중하/VA+ㄴ/ETM
가치들을	가치/NNG+들/XSN+을/JKO
'거꾸로	'/SS+거꾸로/MAG
읽는다'는	읽/VV+는다/EF+'/SS+는/ETM
그럴듯한	그럴듯하/VA+ㄴ/ETM
명분으로	명분/NNG+으로/JKB
하나	하나/NR
둘	둘/NR
까뒤집어버리면	까뒤집/VV+어/EC+버리/VX+면/EC
남는	남/VV+는/ETM
게	거/NNB+이/JKS
무엇일까.	무엇/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000054.298.6.6
설익은 지식으로 무장한 아마추어들이 예능식 말발 하나로 전문가 행세하며 세상을 헤집고 있는 게 이 경우만은 아닐 것이다.

설익은	설익/VV+은/ETM
지식으로	지식/NNG+으로/JKB
무장한	무장/NNG+하/XSV+ㄴ/ETM
아마추어들이	아마추어/NNG+들/XSN+이/JKS
예능식	예능식/NNG
말발	말발/NNG
하나로	하나/NR+로/JKB
전문가	전문가/NNG
행세하며	행세/NNG+하/XSV+며/EC
세상을	세상/NNG+을/JKO
헤집고	헤집/VV+고/EC
있는	있/VX+는/ETM
게	거/NNB+이/JKS
이	이/MMD
경우만은	경우/NNG+만/JX+은/JX
아닐	아니/VCN+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


