# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.153
metadata : {}


# id : NWRW1800000052.153.1.1
김중업이 빚은 한국 현대건축 최고 걸작 다시 태어난다

김중업이	김중업/NNP+이/JKS
들어설	들어서/VV+ㄹ/ETM
예정이어서	예정/NNG+이/VCP+어서/EC
충정로	충정로/NNP
일대의	일대/NNG+의/JKG
문화	문화/NNG
경관이	경관/NNG+이/JKS
크게	크/VA+게/EC
바뀔	바뀌/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.153.7.1
파비앵 페논 주한 프랑스대사는 14일 낮 충정로 대사관에서 기자회견을 열어 사무동의 복원과 타워동(업무동), 갤러리동 신축을 뼈대로 하는 신축 리모델링안을 공개하고, 설계 주체로 조민석 건축가가 이끄는 건축사무소 매스스터디스와 프랑스 건축사무소 사티를 선정했다고 밝혔다.

파비앵	파비앵/NNP
페논	페논/NNP
주한	주한/NNG
프랑스대사는	프랑스/NNP+대사/NNG+는/JX
14일	14/SN+일/NNB
낮	낮/NNG
충정로	충정로/NNP
대사관에서	대사관/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
사무동의	사무/NNG+동/NNG+의/JKG
복원과	복원/NNG+과/JC
타워동(업무동),	타워/NNG+동/NNG+(/SS+업무/NNG+동/NNG+)/SS+,/SP
갤러리동	갤러리/NNG+동/NNG
신축을	신축/NNG+을/JKO
뼈대로	뼈대/NNG+로/JKB
하는	하/VV+는/ETM
신축	신축/NNG
리모델링안을	리모델링/NNG+안/NNG+을/JKO
공개하고,	공개/NNG+하/XSV+고/EC+,/SP
설계	설계/NNG
주체로	주체/NNG+로/JKB
조민석	조민석/NNP
건축가가	건축가/NNG+가/JKS
이끄는	이끌/VV+는/ETM
건축사무소	건축/NNG+사무소/NNG
매스스터디스와	매스스터디스/NNP+와/JC
프랑스	프랑스/NNP
사티를	사티/NNP+를/JKO
선정했다고	선정/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.153.7.2
페논 대사는 “시내에 흩어진 프랑스 외교 관련 시설들을 대사관으로 모으기 위해 2018년 상반기 착공해 다음해 여름에 완공하는 신축 계획을 추진하게 됐다”며 “김중업이 프랑스거장 르코르뷔지에를 사사한 한국의 위대한 건축가이고, 그가 설계한 프랑스대사관은 소중한 문화유산임을 고려해 기존 건축물의 복원과 지역에 열린 구조에 초점을 맞춘 리모델링을 하기로 했다”고 설명했다.

페논	페논/NNP
대사는	대사/NNG+는/JX
“시내에	“/SS+시내/NNG+에/JKB
흩어진	흩어지/VV+ㄴ/ETM
프랑스	프랑스/NNP
외교	외교/NNG
관련	관련/NNG
시설들을	시설/NNG+들/XSN+을/JKO
대사관으로	대사관/NNG+으로/JKB
모으기	모으/VV+기/ETN
위해	위하/VV+아/EC
2018년	2018/SN+년/NNB
상반기	상반기/NNG
착공해	착공/NNG+하/XSV+아/EC
다음해	다음/NNG+해/NNG
여름에	여름/NNG+에/JKB
완공하는	완공/NNG+하/XSV+는/ETM
신축	신축/NNG
계획을	계획/NNG+을/JKO
추진하게	추진/NNG+하/XSV+게/EC
됐다”며	되/VV+었/EP+다/EF+”/SS+며/EC
“김중업이	“/SS+김중업/NNP+이/JKS
프랑스거장	프랑스/NNP+거장/NNG
르코르뷔지에를	르코르뷔지에/NNP+를/JKO
사사한	사사/NNG+하/XSV+ㄴ/ETM
한국의	한국/NNP+의/JKG
위대한	위대하/VA+ㄴ/ETM
건축가이고,	건축가/NNG+이/VCP+고/EC+,/SP
그가	그/NP+가/JKS
설계한	설계/NNG+하/XSV+ㄴ/ETM
프랑스대사관은	프랑스대사관/NNP+은/JX
소중한	소중하/VA+ㄴ/ETM
문화유산임을	문화유산/NNG+이/VCP+ㅁ/ETN+을/JKO
고려해	고려/NNG+하/XSV+아/EC
기존	기존/NNG
건축물의	건축물/NNG+의/JKG
복원과	복원/NNG+과/JC
지역에	지역/NNG+에/JKB
열린	열리/VV+ㄴ/ETM
구조에	구조/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞춘	맞추/VV+ㄴ/ETM
리모델링을	리모델링/NNG+을/JKO
하기로	하/VV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.153.8.1
대사관과 조민석 건축가가 내놓은 계획안을 보면, 리모델링 안의 핵심은 크게 세가지라고 할 수 있다.

대사관과	대사관/NNG+과/JC
조민석	조민석/NNP
건축가가	건축가/NNG+가/JKS
내놓은	내놓/VV+은/ETM
계획안을	계획안/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
리모델링	리모델링/NNG
안의	안/NNG+의/JKG
핵심은	핵심/NNG+은/JX
크게	크/VA+게/EC
세가지라고	세/MMN+가지/NNB+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.153.8.2
우선 한국 전통건축의 선을 모티브로 디자인됐다가 각진 예각 처마 형태로 변형돼 원형을 잃었던 사무동의 부드러운 지붕 처마선과 개축된 내부 얼개가 건립 당시 원형으로 온전히 복원되며 본관 관저동은 원형대로 계속 보존된다.

우선	우선/MAG
한국	한국/NNP
전통건축의	전통/NNG+건축/NNG+의/JKG
선을	선/NNG+을/JKO
모티브로	모티브/NNG+로/JKB
디자인됐다가	디자인/NNG+되/XSV+었/EP+다가/EC
각진	각지/VA+ㄴ/ETM
예각	예각/NNG
처마	처마/NNG
형태로	형태/NNG+로/JKB
변형돼	변형/NNG+되/XSV+어/EC
원형을	원형/NNG+을/JKO
잃었던	잃/VV+었/EP+던/ETM
사무동의	사무/NNG+동/NNG+의/JKG
부드러운	부드럽/VA+ㄴ/ETM
지붕	지붕/NNG
처마선과	처마/NNG+선/NNG+과/JKB
개축된	개축/NNG+되/XSV+ㄴ/ETM
내부	내부/NNG
얼개가	얼개/NNG+가/JKS
건립	건립/NNG
당시	당시/NNG
원형으로	원형/NNG+으로/JKB
온전히	온전히/MAG
복원되며	복원/NNG+되/XSV+며/EC
본관	본관/NNG
관저동은	관저/NNG+동/NNG+은/JX
원형대로	원형/NNG+대로/JX
계속	계속/MAG
보존된다.	보존/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.153.8.3
이와 함께 사무동 뒤쪽에는 높이 30m, 11층 규모의 유리커튼월 구조의 타워형 업무동이 들어서고 사무동 동쪽으로는 시민에게 개방되는 라디에이터 모양(길이 60m)의 길쭉한 2층 갤러리동이 나란한 방향으로 신축된다.

이와	이/NP+와/JKB
함께	함께/MAG
사무동	사무/NNG+동/NNG
뒤쪽에는	뒤쪽/NNG+에/JKB+는/JX
높이	높이/NNG
30m,	30/SN+m/SW+,/SP
11층	11/SN+층/NNG
규모의	규모/NNG+의/JKG
유리커튼월	유리/NNG+커튼월/NNG
구조의	구조/NNG+의/JKG
타워형	타워/NNG+형/XSN
업무동이	업무/NNG+동/NNG+이/JKS
들어서고	들어서/VV+고/EC
동쪽으로는	동쪽/NNG+으로/JKB+는/JX
시민에게	시민/NNG+에게/JKB
개방되는	개방/NNG+되/XSV+는/ETM
라디에이터	라디에이터/NNG
모양(길이	모양/NNG+(/SS+길이/NNG
60m)의	60/SN+m/SW+)/SS+의/JKG
길쭉한	길쭉하/VA+ㄴ/ETM
2층	2/SN+층/NNG
갤러리동이	갤러리/NNG+동/NNG+이/JKS
나란한	나란하/VA+ㄴ/ETM
방향으로	방향/NNG+으로/JKB
신축된다.	신축/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.153.8.4
갤러리동에는 전시장과 영상상영관, 공연장 등이 들어서며 관객들은 투명창을 통해 대사관 정면의 언덕배기 정원을 조망할 수 있는 얼개로 꾸며지게 된다고 한다.

갤러리동에는	갤러리/NNG+동/NNG+에/JKB+는/JX
전시장과	전시장/NNG+과/JC
영상상영관,	영상/NNG+상영관/NNG+,/SP
공연장	공연장/NNG
등이	등/NNB+이/JKS
들어서며	들어서/VV+며/EC
관객들은	관객/NNG+들/XSN+은/JX
투명창을	투명/NNG+창/NNG+을/JKO
통해	통하/VV+아/EC
대사관	대사관/NNG
정면의	정면/NNG+의/JKG
언덕배기	언덕배기/NNG
정원을	정원/NNG+을/JKO
조망할	조망/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
얼개로	얼개/NNG+로/JKB
꾸며지게	꾸미/VV+어/EC+지/VX+게/EC
된다고	되/VV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.153.9.1
조민석 건축가는 “50여년 전 합동 언덕 위에 지어진 대사관은 처마선으로 대표되는 한국의 건축 전통과 프랑스의 현대건축 요소가 결합돼 시내에서 가장 중요하게 부각되는 건물이었으나 지금은 주변을 둘러싼 고층빌딩에 가려진 상태여서 사방에 새롭게 존재감을 부각시켜야 한다고 생각했다”고 말했다.

조민석	조민석/NNP
건축가는	건축가/NNG+는/JX
“50여년	“/SS+50/SN+여/XSN+년/NNB
전	전/NNG
합동	합동/NNP
언덕	언덕/NNG
위에	위/NNG+에/JKB
지어진	짓/VV+어/EC+지/VX+ㄴ/ETM
대사관은	대사관/NNG+은/JX
처마선으로	처마/NNG+선/NNG+으로/JKB
대표되는	대표/NNG+되/XSV+는/ETM
한국의	한국/NNP+의/JKG
건축	건축/NNG
전통과	전통/NNG+과/JC
프랑스의	프랑스/NNP+의/JKG
현대건축	현대/NNG+건축/NNG
요소가	요소/NNG+가/JKS
결합돼	결합/NNG+되/XSV+어/EC
시내에서	시내/NNG+에서/JKB
가장	가장/MAG
중요하게	중요/NNG+하/XSA+게/EC
부각되는	부각/NNG+되/XSV+는/ETM
건물이었으나	건물/NNG+이/VCP+었/EP+으나/EC
지금은	지금/NNG+은/JX
주변을	주변/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
고층빌딩에	고층/NNG+빌딩/NNG+에/JKB
가려진	가리/VV+어/EC+지/VX+ㄴ/ETM
상태여서	상태/NNG+이/VCP+어서/EC
사방에	사방/NNG+에/JKB
새롭게	새롭/VA+게/EC
존재감을	존재감/NNG+을/JKO
부각시켜야	부각/NNG+시키/XSV+어야/EC
한다고	하/VX+ㄴ다고/EC
생각했다”고	생각/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.153.9.2
그는 “김중업이 설계한 기존 건물 원형을 되살리고 주위에 수평 수직 구도로 타워와 방파제 모양의 신축 건물 두 동을 조화롭게 배치해 대지경계선의 가독성을 살리고자 한다”고 설명했다.

그는	그/NP+는/JX
“김중업이	“/SS+김중업/NNP+이/JKS
설계한	설계/NNG+하/XSV+ㄴ/ETM
기존	기존/NNG
건물	건물/NNG
원형을	원형/NNG+을/JKO
되살리고	되살리/VV+고/EC
주위에	주위/NNG+에/JKB
수평	수평/NNG
수직	수직/NNG
구도로	구도/NNG+로/JKB
타워와	타워/NNG+와/JC
방파제	방파제/NNG
모양의	모양/NNG+의/JKG
신축	신축/NNG
두	두/MMN
동을	동/NNB+을/JKO
조화롭게	조화/NNG+롭/XSA+게/EC
배치해	배치/NNG+하/XSV+아/EC
대지경계선의	대지/NNG+경계선/NNG+의/JKG
가독성을	가독성/NNG+을/JKO
살리고자	살리/VV+고자/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.153.10.1
1959~61년 지어진 주한프랑스대사관은 관저 본관과 집무공간인 사무동(파빌리온), 정원으로 이뤄져 있다.

1959~61년	1959/SN+~/SO+61/SN+년/NNB
지어진	짓/VV+어/EC+지/VX+ㄴ/ETM
주한프랑스대사관은	주한프랑스대사관/NNP+은/JX
관저	관저/NNG
본관과	본관/NNG+과/JC
집무공간인	집무/NNG+공간/NNG+이/VCP+ㄴ/ETM
사무동(파빌리온),	사무/NNG+동/NNG+(/SS+파빌리온/NNG+)/SS+,/SP
정원으로	정원/NNG+으로/JKB
이뤄져	이뤄지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.153.10.2
한국 전통건축과 서구 현대건축의 접목을 모색했던 김중업 특유의 작품세계가 가장 탁월하게 반영된 건축물로 평가된다.

한국	한국/NNP
전통건축과	전통/NNG+건축/NNG+과/JC
서구	서구/NNG
현대건축의	현대/NNG+건축/NNG+의/JKG
접목을	접목/NNG+을/JKO
모색했던	모색/NNG+하/XSV+았/EP+던/ETM
김중업	김중업/NNP
특유의	특유/NNG+의/JKG
작품세계가	작품/NNG+세계/NNG+가/JKS
가장	가장/MAG
탁월하게	탁월하/VA+게/EC
반영된	반영/NNG+되/XSV+ㄴ/ETM
건축물로	건축물/NNG+로/JKB
평가된다.	평가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.153.10.3
1998년 국내 건축전문가들이 선정한 ‘한국 50년 걸작 건축물 20선’에서 김수근의 공간 사옥과 함께 1위에 오르는 등 한국 현대건축사의 대표적인 명작으로 손꼽힌다.

1998년	1998/SN+년/NNB
국내	국내/NNG
건축전문가들이	건축/NNG+전문가/NNG+들/XSN+이/JKS
선정한	선정/NNG+하/XSV+ㄴ/ETM
‘한국	‘/SS+한국/NNP
50년	50/SN+년/NNB
걸작	걸작/NNG
건축물	건축물/NNG
20선’에서	20/SN+선/NNG+’/SS+에서/JKB
김수근의	김수근/NNP+의/JKG
공간	공간/NNG
사옥과	사옥/NNG+과/JKB
함께	함께/MAG
1위에	1/SN+위/NNB+에/JKB
오르는	오르/VV+는/ETM
등	등/NNB
한국	한국/NNP
현대건축사의	현대/NNG+건축사/NNG+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
명작으로	명작/NNG+으로/JKB
손꼽힌다.	손꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.153.10.4
2년 전 프랑스 정부가 리모델링 설계 공모를 처음 추진할 당시 사무동 파빌리온을 일부 철거한다는 애초 구상이 흘러나오면서 국내 건축 전문가들 사이에서 보존 논란이 일기도 했다.

2년	2/SN+년/NNB
전	전/NNG
프랑스	프랑스/NNP
정부가	정부/NNG+가/JKS
리모델링	리모델링/NNG
설계	설계/NNG
공모를	공모/NNG+를/JKO
처음	처음/NNG
추진할	추진/NNG+하/XSV+ㄹ/ETM
당시	당시/NNG
사무동	사무/NNG+동/NNG
파빌리온을	파빌리온/NNG+을/JKO
일부	일부/NNG
철거한다는	철거/NNG+하/XSV+ㄴ다는/ETM
애초	애초/NNG
구상이	구상/NNG+이/JKS
흘러나오면서	흘러나오/VV+면서/EC
국내	국내/NNG
건축	건축/NNG
전문가들	전문가/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
보존	보존/NNG
논란이	논란/NNG+이/JKS
일기도	일/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.153.11.1
대사관 쪽은 이 건물을 한국의 국가등록문화재로 지정하는 방안에 대해서는 “신축계획이 진행돼 새 건물이 완공된 뒤 한국 당국과 긴밀히 협의할 것”이라며 직접적인 답변을 피했다.

대사관	대사관/NNG
쪽은	쪽/NNB+은/JX
이	이/MMD
건물을	건물/NNG+을/JKO
한국의	한국/NNP+의/JKG
국가등록문화재로	국가/NNG+등록/NNG+문화재/NNG+로/JKB
지정하는	지정/NNG+하/XSV+는/ETM
방안에	방안/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“신축계획이	“/SS+신축/NNG+계획/NNG+이/JKS
진행돼	진행/NNG+되/XSV+어/EC
새	새/MMA
건물이	건물/NNG+이/JKS
완공된	완공/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
한국	한국/NNP
당국과	당국/NNG+과/JKB
긴밀히	긴밀히/MAG
협의할	협의/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
답변을	답변/NNG+을/JKO
피했다.	피하/VV+았/EP+다/EF+./SF


