# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.96
metadata : {}


# id : NWRW1800000033.96.1.1
[LH 3주년]친환경 설계·주민 공간 마련… 지역과 하나됨을 꿈꾸다

[LH	[/SS+LH/SL
6000t의	6000/SN+t/SW+의/JKG
온실가스	온실가스/NNG
감축,	감축/NNG+,/SP
200만	200/SN+만/NR
그루의	그루/NNB+의/JKG
소나무	소나무/NNG
식재효과를	식재/NNG+효과/NNG+를/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
기대했다.	기대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.96.8.1
○ 지역 주민을 위한 다양한 시설 구비

○	○/SW
지역	지역/NNG
주민을	주민/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
시설	시설/NNG
구비	구비/NNG


# id : NWRW1800000033.96.9.1
LH 신사옥 내부 이미지.

LH	LH/SL
신사옥	신/XPN+사옥/NNG
내부	내부/NNG
이미지.	이미지/NNG+./SF


# id : NWRW1800000033.96.10.1
LH 진주 사옥은 또 지역주민과의 상생을 위한 다양한 커뮤니티 시설 및 공간을 계획하고 있다.

LH	LH/SL
진주	진주/NNP
사옥은	사옥/NNG+은/JX
또	또/MAG
지역주민과의	지역/NNG+주민/NNG+과/JKB+의/JKG
상생을	상생/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
커뮤니티	커뮤니티/NNG
시설	시설/NNG
및	및/MAG
공간을	공간/NNG+을/JKO
계획하고	계획/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.96.10.2
종합 스포츠센터, 축구장, 테니스장, 토지주택박물관 등 문화체육시설과 결혼식, 강연 등이 가능한 다목적 회의실, 디지털 전자도서관 등 여러 가지 커뮤니티 공간을 지역주민을 위해 개방함으로써 지역사회와 공생 발전하는 기업으로서 모범을 보일 방침이다.

종합	종합/NNG
스포츠센터,	스포츠/NNG+센터/NNG+,/SP
축구장,	축구장/NNG+,/SP
테니스장,	테니스장/NNG+,/SP
토지주택박물관	토지주택박물관/NNP
등	등/NNB
문화체육시설과	문화/NNG+체육/NNG+시설/NNG+과/JC
결혼식,	결혼식/NNG+,/SP
강연	강연/NNG
등이	등/NNB+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
다목적	다목적/NNG
회의실,	회의실/NNG+,/SP
디지털	디지털/NNG
전자도서관	전자/NNG+도서관/NNG
여러	여러/MMN
가지	가지/NNB
커뮤니티	커뮤니티/NNG
공간을	공간/NNG+을/JKO
지역주민을	지역/NNG+주민/NNG+을/JKO
위해	위하/VV+아/EC
개방함으로써	개방/NNG+하/XSV+ㅁ/ETN+으로써/JKB
지역사회와	지역/NNG+사회/NNG+와/JKB
공생	공생/NNG
발전하는	발전/NNG+하/XSV+는/ETM
기업으로서	기업/NNG+으로서/JKB
모범을	모범/NNG+을/JKO
보일	보이/VV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.96.11.1
특히 860여 석 규모의 대강당은 주민과 함께 연주회, 뮤지컬, 영화관람 등 다양한 문화예술 활동이 가능하도록 최적의 영상 및 음향시스템을 적용할 계획이다.

특히	특히/MAG
860여	860/SN+여/XSN
석	석/NNB
규모의	규모/NNG+의/JKG
대강당은	대/XPN+강당/NNG+은/JX
주민과	주민/NNG+과/JKB
함께	함께/MAG
연주회,	연주회/NNG+,/SP
뮤지컬,	뮤지컬/NNG+,/SP
영화관람	영화/NNG+관람/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
문화예술	문화/NNG+예술/NNG
활동이	활동/NNG+이/JKS
가능하도록	가능/NNG+하/XSA+도록/EC
최적의	최적/NNG+의/JKG
영상	영상/NNG
및	및/MAG
음향시스템을	음향/NNG+시스템/NNG+을/JKO
적용할	적용/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.96.12.1
옥외 조경 공간에는 전통 휴게 공간과 각종 이벤트 연출이 가능한 넓은 잔디밭, 전통수목 및 경관요소를 도입한 향토적 휴게 공간을 설치하고 자전거 도로와 조깅코스도 갖출 예정이다.

옥외	옥외/NNG
조경	조경/NNG
공간에는	공간/NNG+에/JKB+는/JX
전통	전통/NNG
휴게	휴게/NNG
공간과	공간/NNG+과/JC
각종	각종/NNG
이벤트	이벤트/NNG
연출이	연출/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
넓은	넓/VA+은/ETM
잔디밭,	잔디밭/NNG+,/SP
전통수목	전통/NNG+수목/NNG
및	및/MAG
경관요소를	경관/NNG+요소/NNG+를/JKO
도입한	도입/NNG+하/XSV+ㄴ/ETM
향토적	향토/NNG+적/XSN
공간을	공간/NNG+을/JKO
설치하고	설치/NNG+하/XSV+고/EC
자전거	자전거/NNG
도로와	도로/NNG+와/JC
조깅코스도	조깅/NNG+코스/NNG+도/JX
갖출	갖추/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.96.13.1
○ ‘지역 랜드마크’ 기대

○	○/SW
‘지역	‘/SS+지역/NNG
랜드마크’	랜드마크/NNG+’/SS
기대	기대/NNG


# id : NWRW1800000033.96.14.1
LH 신사옥은 지방혁신도시로 이전하는 지방공공기관 중에서 건립 규모는 물론이고 이주인원(1423명)도 최대 규모다.

LH	LH/SL
신사옥은	신/XPN+사옥/NNG+은/JX
지방혁신도시로	지방/NNG+혁신/NNG+도시/NNG+로/JKB
이전하는	이전/NNG+하/XSV+는/ETM
지방공공기관	지방/NNG+공공/NNG+기관/NNG
중에서	중/NNB+에서/JKB
건립	건립/NNG
규모는	규모/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
이주인원(1423명)도	이주/NNG+인원/NNG+(/SS+1423/SN+명/NNB+)/SS+도/JX
최대	최대/NNG
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.96.14.2
진주 사옥은 직원들을 위한 업무공간을 정남향으로 배치하고 실내조명은 발광다이오드(LED)와 자연채광에 의해 조명제어가 가능하도록 설계해 최적의 업무 환경을 조성할 수 있도록 했다.

진주	진주/NNP
사옥은	사옥/NNG+은/JX
직원들을	직원/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
업무공간을	업무/NNG+공간/NNG+을/JKO
정남향으로	정남향/NNG+으로/JKB
배치하고	배치/NNG+하/XSV+고/EC
실내조명은	실내조명/NNG+은/JX
발광다이오드(LED)와	발광/NNG+다이오드/NNG+(/SS+LED/SL+)/SS+와/JC
자연채광에	자연/NNG+채광/NNG+에/JKB
의해	의하/VV+아/EC
조명제어가	조명/NNG+제어/NNG+가/JKS
가능하도록	가능/NNG+하/XSA+도록/EC
설계해	설계/NNG+하/XSV+아/EC
최적의	최적/NNG+의/JKG
업무	업무/NNG
환경을	환경/NNG+을/JKO
조성할	조성/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.96.15.1
회의실, 식당 등 편의시설과 복도 등 공용면적 등을 제외한 순 사무실 면적은 1만7808m²로 1인당 평균 12.5m²의 공간을 갖춰 ‘정부청사관리규정’에서 제시한 공무원 1인당 사무실 면적기준(7∼17m²)을 적용한 결과다.

회의실,	회의실/NNG+,/SP
식당	식당/NNG
등	등/NNB
편의시설과	편의/NNG+시설/NNG+과/JKB
복도	복도/NNG
공용면적	공용/NNG+면적/NNG
등을	등/NNB+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
순	순/MMA
사무실	사무실/NNG
면적은	면적/NNG+은/JX
1만7808m²로	1/SN+만/NR+7808/SN+m/SW+²/SW+로/JKB
1인당	1/SN+인/NNG+당/XSN
평균	평균/NNG
12.5m²의	12/SN+./SP+5/SN+m/SW+²/SN+의/JKG
공간을	공간/NNG+을/JKO
갖춰	갖추/VV+어/EC
‘정부청사관리규정’에서	‘/SS+정부/NNG+청사/NNG+관리/NNG+규정/NNG+’/SS+에서/JKB
제시한	제시/NNG+하/XSV+ㄴ/ETM
공무원	공무원/NNG
면적기준(7∼17m²)을	면적/NNG+기준/NNG+(/SS+7/SN+∼/SO+17/SN+m²/SW+)/SS+을/JKO
적용한	적용/NNG+하/XSV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.96.16.1
LH 본사 이전 추진단 관계자는 “진주 신사옥은 친환경 에너지 저감형 건축물로서 정부의 에너지 절약 정책에도 힘을 보탤 뿐 아니라 지역의 랜드마크로서 역할을 톡톡히 수행하게 될 것”이라고 말했다.

LH	LH/SL
본사	본사/NNG
이전	이전/NNG
추진단	추진단/NNG
관계자는	관계자/NNG+는/JX
“진주	“/SS+진주/NNP
신사옥은	신/XPN+사옥/NNG+은/JX
친환경	친/XPN+환경/NNG
에너지	에너지/NNG
저감형	저감/NNG+형/XSN
건축물로서	건축물/NNG+로서/JKB
정부의	정부/NNG+의/JKG
절약	절약/NNG
정책에도	정책/NNG+에/JKB+도/JX
힘을	힘/NNG+을/JKO
보탤	보태/VV+ㄹ/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
지역의	지역/NNG+의/JKG
랜드마크로서	랜드마크/NNG+로서/JKB
역할을	역할/NNG+을/JKO
톡톡히	톡톡히/MAG
수행하게	수행/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


