# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.258
metadata : {}


# id : NWRW1800000033.258.1.1
“10구단 창단 미적대면 시상식-WBC 불참”

“10구단	“/SS+10/SN+구단/NNG
된다는	되/VV+ㄴ다는/ETM
입장을	입장/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.258.6.2
KBO 양해영 사무총장은 “이사회는 12월에 열린다.

KBO	KBO/SL
양해영	양해영/NNP
사무총장은	사무총장/NNG+은/JX
“이사회는	“/SS+이사회/NNG+는/JX
12월에	12/SN+월/NNB+에/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.258.6.3
날짜를 확정짓지 않았을 뿐”이라며 “중요한 건 이사회 개최가 아니라 이사회에서 10구단 안을 통과시키는 거다.

날짜를	날짜/NNG+를/JKO
확정짓지	확정/NNG+짓/VV+지/EC
않았을	않/VX+았/EP+을/ETM
뿐”이라며	뿐/NNB+”/SS+이/VCP+라며/EC
“중요한	“/SS+중요/NNG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
이사회	이사회/NNG
개최가	개최/NNG+가/JKC
아니라	아니/VCN+라/EC
이사회에서	이사회/NNG+에서/JKB
10구단	10/SN+구단/NNG
안을	안/NNG+을/JKO
통과시키는	통과/NNG+시키/XSV+는/ETM
거다.	거/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.258.6.4
아직 과일이 설익었는데 벌써 따라고 하니 난처하다”고 해명했다.

아직	아직/MAG
과일이	과일/NNG+이/JKS
설익었는데	설익/VV+었/EP+는데/EC
벌써	벌써/MAG
따라고	따/VV+라고/EC
하니	하/VV+니/EC
난처하다”고	난처하/VA+다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.258.7.1
양 총장은 “선수협이 해외 전지훈련이나 WBC를 불참하겠다는 건 협상 카드가 될 수도 있다.

양	양/NNP
총장은	총장/NNG+은/JX
“선수협이	“/SS+선수협/NNG+이/JKS
해외	해외/NNG
전지훈련이나	전지훈련/NNG+이나/JC
WBC를	WBC/SL+를/JKO
불참하겠다는	불참/NNG+하/XSV+겠/EP+다는/ETM
건	거/NNB+ㄴ/JX
협상	협상/NNG
카드가	카드/NNG+가/JKC
될	되/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.258.7.2
그러나 골든글러브 시상식은 선수를 위한 행사다.

그러나	그러나/MAJ
골든글러브	골든글러브/NNG
시상식은	시상식/NNG+은/JX
선수를	선수/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
행사다.	행사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.258.7.3
구단 입장에서는 그 행사를 안 한다고 손해 볼 게 없다.

구단	구단/NNG
입장에서는	입장/NNG+에서/JKB+는/JX
그	그/MMD
행사를	행사/NNG+를/JKO
안	안/MAG
한다고	하/VV+ㄴ다고/EC
손해	손해/NNG
볼	보/VV+ㄹ/ETM
게	거/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.258.7.4
오히려 구단의 심기만 불편하게 해 10구단 창단에 악영향을 줄 뿐”이라고 지적했다.

오히려	오히려/MAG
구단의	구단/NNG+의/JKG
심기만	심기/NNG+만/JX
불편하게	불편/NNG+하/XSA+게/EC
해	하/VX+아/EC
10구단	10/SN+구단/NNG
창단에	창단/NNG+에/JKB
악영향을	악영향/NNG+을/JKO
줄	주/VV+ㄹ/ETM
뿐”이라고	뿐/NNB+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.258.8.1
선수협은 내달 6일 총회를 열고 내년 전지훈련과 WBC 불참을 결의하기로 했다.

선수협은	선수협/NNG+은/JX
내달	내달/NNG
6일	6/SN+일/NNB
총회를	총회/NNG+를/JKO
열고	열/VV+고/EC
내년	내년/NNG
전지훈련과	전지훈련/NNG+과/JC
WBC	WBC/SL
불참을	불참/NNG+을/JKO
결의하기로	결의/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.258.8.2
박 총장은 “이미 모든 논의가 끝났다.

박	박/NNP
총장은	총장/NNG+은/JX
“이미	“/SS+이미/MAG
모든	모든/MMN
논의가	논의/NNG+가/JKS
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.258.8.3
10구단 창단이 결정될 때까지 끝까지 싸울 것”이라고 말했다.

10구단	10/SN+구단/NNG
창단이	창단/NNG+이/JKS
결정될	결정/NNG+되/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
끝까지	끝/NNG+까지/JX
싸울	싸우/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


