# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.295
metadata : {}


# id : NWRW1800000048.295.1.1
‘멸종위기종’ 풍란 등 복원 성공…“생물다양성 보전에 밑거름”

‘멸종위기종’	‘/SS+멸종/NNG+위기종/NNG+’/SS
국립공원관리공단은 6월 한려해상국립공원의 한 섬에 풍란 500개체를 심었으며, 100일 뒤 87%인 435개체가 잘 살고 있음을 확인했다고 밝혔다.

국립공원관리공단은	국립공원관리공단/NNP+은/JX
6월	6/SN+월/NNB
한려해상국립공원의	한려해상국립공원/NNP+의/JKG
한	한/MMN
섬에	섬/NNG+에/JKB
풍란	풍란/NNG
500개체를	500/SN+개체/NNG+를/JKO
심었으며,	심/VV+었/EP+으며/EC+,/SP
100일	100/SN+일/NNB
뒤	뒤/NNG
87%인	87/SN+%/SW+이/VCP+ㄴ/ETM
435개체가	435/SN+개체/NNG+가/JKS
잘	잘/MAG
살고	살/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
확인했다고	확인/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.295.6.5
42개의 새로운 ‘촉’(난초의 포기)이 생겨난 사실도 관찰됐다.

42개의	42/SN+개/NNB+의/JKG
새로운	새롭/VA+ㄴ/ETM
‘촉’(난초의	‘/SS+촉/NNG+’/SS+(/SS+난초/NNG+의/JKG
포기)이	포기/NNG+)/SS+이/JKS
생겨난	생겨나/VV+ㄴ/ETM
사실도	사실/NNG+도/JX
관찰됐다.	관찰/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.295.7.1
국립공원관리공단은 풍란 이외에도 멸종위기 야생생물 2급인 석곡 2100개체를 8월 월출산국립공원에서, 날개하늘나리 400개체를 9월에 오대산국립공원에서 복원하는 데 성공했다.

국립공원관리공단은	국립공원관리공단/NNP+은/JX
풍란	풍란/NNG
이외에도	이외/NNG+에/JKB+도/JX
멸종위기	멸종/NNG+위기/NNG
야생생물	야생/NNG+생물/NNG
2급인	2/SN+급/NNG+이/VCP+ㄴ/ETM
석곡	석곡/NNG
2100개체를	2100/SN+개체/NNG+를/JKO
8월	8/SN+월/NNB
월출산국립공원에서,	월출산국립공원/NNP+에서/JKB+,/SP
날개하늘나리	날개하늘나리/NNG
400개체를	400/SN+개체/NNG+를/JKO
9월에	9/SN+월/NNB+에/JKB
오대산국립공원에서	오대산국립공원/NNP+에서/JKB
복원하는	복원/NNG+하/XSV+는/ETM
데	데/NNB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.295.8.1
국립공원관리공단은 “생태계의 필수 구성 인자인 식물종의 복원은 국가 생물다양성 보전에 중요한 밑거름이 된다.

국립공원관리공단은	국립공원관리공단/NNP+은/JX
“생태계의	“/SS+생태/NNG+계/XSN+의/JKG
필수	필수/NNG
구성	구성/NNG
인자인	인자/NNG+이/VCP+ㄴ/ETM
식물종의	식물종/NNG+의/JKG
복원은	복원/NNG+은/JX
국가	국가/NNG
생물다양성	생물/NNG+다양/NNG+성/XSN
보전에	보전/NNG+에/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
밑거름이	밑거름/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.295.8.2
한려해상에만 존재하는 멸종위기종 2급인 칠보치마 등 멸종위기종 식물들의 복원도 차례차례 해나갈 계획”이라고 밝혔다.

한려해상에만	한려해상/NNP+에/JKB+만/JX
존재하는	존재/NNG+하/XSV+는/ETM
멸종위기종	멸종/NNG+위기종/NNG
2급인	2/SN+급/NNG+이/VCP+ㄴ/ETM
칠보치마	칠보치마/NNG
등	등/NNB
식물들의	식물/NNG+들/XSN+의/JKG
복원도	복원/NNG+도/JX
차례차례	차례차례/MAG
해나갈	하/VV+아/EC+나가/VX+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.295.8.3
현재 국내 멸종위기종 식물은 모두 77종이 지정돼 있으며, 국립공원 안에는 전체 지정종의 56%인 43종이 자생하고 있다.

현재	현재/MAG
국내	국내/NNG
멸종위기종	멸종/NNG+위기종/NNG
식물은	식물/NNG+은/JX
모두	모두/MAG
77종이	77/SN+종/NNG+이/JKS
지정돼	지정/NNG+되/XSV+어/EC
있으며,	있/VX+으며/EC+,/SP
국립공원	국립/NNG+공원/NNG
안에는	안/NNG+에/JKB+는/JX
전체	전체/NNG
지정종의	지정종/NNG+의/JKG
56%인	56/SN+%/SW+이/VCP+ㄴ/ETM
43종이	43/SN+종/NNG+이/JKS
자생하고	자생/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


