# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.369
metadata : {}


# id : NWRW1800000022.369.1.1
[제15회 韓·日 국제환경상] 한일 국제환경상의 위상과 역사;공정한 심사로 권위 더해… 국경 초월한 수상자 속속 배출

[제15회	[/SS+제/XPN+15/SN+회/NNB
# id : NWRW1800000022.369.4.1
이에 따라 한일 국제환경상은 한국과 일본뿐 아니라 중국, 러시아 극동 지방 등 동북아 지역민들의 환경 보전에 대한 관심을 높이고, 국가 간 협조를 강화해 나가자는 의미로 탄생했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
한일	한일/NNP
국제환경상은	국제/NNG+환경상/NNG+은/JX
한국과	한국/NNP+과/JC
일본뿐	일본/NNP+뿐/JX
아니라	아니/VCN+라/EC
중국,	중국/NNP+,/SP
러시아	러시아/NNP
극동	극동/NNG
지방	지방/NNG
등	등/NNB
동북아	동북아/NNP
지역민들의	지역민/NNG+들/XSN+의/JKG
환경	환경/NNG
보전에	보전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심을	관심/NNG+을/JKO
높이고,	높이/VV+고/EC+,/SP
국가	국가/NNG
간	간/NNB
협조를	협조/NNG+를/JKO
강화해	강화/NNG+하/XSV+아/EC
나가자는	나가/VX+자는/ETM
의미로	의미/NNG+로/JKB
탄생했다.	탄생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.369.5.1
한일 국제환경상은 동북아 지역의 환경 보전에 공로가 큰 개인이나 단체를 발굴해 매년 공동으로 수상한다.

한일	한일/NNP
국제환경상은	국제/NNG+환경상/NNG+은/JX
동북아	동북아/NNP
지역의	지역/NNG+의/JKG
환경	환경/NNG
보전에	보전/NNG+에/JKB
공로가	공로/NNG+가/JKS
큰	크/VA+ㄴ/ETM
개인이나	개인/NNG+이나/JC
단체를	단체/NNG+를/JKO
발굴해	발굴/NNG+하/XSV+아/EC
매년	매년/MAG
공동으로	공동/NNG+으로/JKB
수상한다.	수상/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.369.5.2
한·일 양국의 사무국은 한국과 일본의 환경 분야 전문가, 환경단체 등으로부터 추천받은 후보자에 대해 각각 1차 심사를 통해 5명 안팎의 후보를 뽑아 심사위원회에 올린다.

한·일	한·일/NNP
양국의	양국/NNG+의/JKG
사무국은	사무국/NNG+은/JX
한국과	한국/NNP+과/JC
일본의	일본/NNP+의/JKG
환경	환경/NNG
분야	분야/NNG
전문가,	전문가/NNG+,/SP
환경단체	환경/NNG+단체/NNG
등으로부터	등/NNB+으로부터/JKB
추천받은	추천/NNG+받/XSV+은/ETM
후보자에	후보자/NNG+에/JKB
대해	대하/VV+아/EC
각각	각각/MAG
1차	1/SN+차/NNB
심사를	심사/NNG+를/JKO
통해	통하/VV+아/EC
5명	5/SN+명/NNB
안팎의	안팎/NNG+의/JKG
후보를	후보/NNG+를/JKO
뽑아	뽑/VV+아/EC
심사위원회에	심사/NNG+위원회/NNG+에/JKB
올린다.	올리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.369.5.3
심사위원회는 이 최종 후보들을 놓고 장시간 논의를 거듭한 뒤 최종 수상자를 결정한다.

심사위원회는	심사/NNG+위원회/NNG+는/JX
이	이/MMD
최종	최종/NNG
후보들을	후보/NNG+들/XSN+을/JKO
놓고	놓/VV+고/EC
장시간	장시간/NNG
논의를	논의/NNG+를/JKO
거듭한	거듭/MAG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
수상자를	수상자/NNG+를/JKO
결정한다.	결정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.369.5.4
선정 기준은 공익성·지속성·파급효과 등이다.

선정	선정/NNG
기준은	기준/NNG+은/JX
공익성·지속성·파급효과	공익/NNG+성/XSN+·/SP+지속/NNG+성/XSN+·/SP+파급/NNG+효과/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.369.6.1
지금껏 이 상은 음지(陰地)에서 묵묵히 활동한 환경활동가에서부터 환경 보전에 공로가 큰 기업인, 시민단체, 학자 등을 발굴하고 격려했다.

지금껏	지금껏/MAG
이	이/MMD
상은	상/NNG+은/JX
음지(陰地)에서	음지/NNG+(/SS+陰地/SH+)/SS+에서/JKB
묵묵히	묵묵히/MAG
활동한	활동/NNG+하/XSV+ㄴ/ETM
환경활동가에서부터	환경/NNG+활동가/NNG+에서부터/JKB
환경	환경/NNG
보전에	보전/NNG+에/JKB
공로가	공로/NNG+가/JKS
큰	크/VA+ㄴ/ETM
기업인,	기업인/NNG+,/SP
시민단체,	시민/NNG+단체/NNG+,/SP
학자	학자/NNG
등을	등/NNB+을/JKO
발굴하고	발굴/NNG+하/XSV+고/EC
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.369.6.2
높아지는 권위에 UNEP(유엔환경계획)를 비롯한 유엔 산하 환경기구들도 한일 국제환경상에 대한 관심을 지속적으로 표명하고 있다.

높아지는	높아지/VV+는/ETM
권위에	권위/NNG+에/JKB
UNEP(유엔환경계획)를	UNEP/SL+(/SS+유엔환경계획/NNP+)/SS+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
유엔	유엔/NNP
산하	산하/NNG
환경기구들도	환경/NNG+기구/NNG+들/XSN+도/JX
한일	한일/NNP
국제환경상에	국제/NNG+환경상/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심을	관심/NNG+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
표명하고	표명/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.369.7.1
그간 수상자들 면면을 살펴보면, 환경 보전을 위한 노력이 한 국가에 머무르지 않고 동북아 전역에 영향을 끼친 수상자들이 많았다.

그간	그/NP+간/XSN
수상자들	수상자/NNG+들/XSN
면면을	면면/NNG+을/JKO
살펴보면,	살펴보/VV+면/EC+,/SP
환경	환경/NNG
보전을	보전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
노력이	노력/NNG+이/JKS
한	한/MMN
국가에	국가/NNG+에/JKB
머무르지	머무르/VV+지/EC
않고	않/VX+고/EC
동북아	동북아/NNP
전역에	전역/NNG+에/JKB
영향을	영향/NNG+을/JKO
끼친	끼치/VV+ㄴ/ETM
수상자들이	수상자/NNG+들/XSN+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.369.7.2
1회 수상의 영광을 얻은 일본측 도오야마(遠山)씨 부자(父子)는 네이멍구(內蒙古) 지역에 나무 100만그루를 심은 공로를 인정받았고, 정용승 한국교원대 교수(3회)는 동북아 지역 국경을 넘나드는 대기오염 물질의 실체를 밝혀내 수상했다.

1회	1/SN+회/NNB
수상의	수상/NNG+의/JKG
영광을	영광/NNG+을/JKO
얻은	얻/VV+은/ETM
일본측	일본/NNP+측/NNB
도오야마(遠山)씨	도오야마/NNP+(/SS+遠山/SH+)/SS+씨/NNB
부자(父子)는	부자/NNG+(/SS+父子/SH+)/SS+는/JX
네이멍구(內蒙古)	네이멍구/NNP+(/SS+內蒙古/SH+)/SS
지역에	지역/NNG+에/JKB
나무	나무/NNG
100만그루를	100/SN+만/NR+그루/NNB+를/JKO
심은	심/VV+은/ETM
공로를	공로/NNG+를/JKO
인정받았고,	인정/NNG+받/XSV+았/EP+고/EC+,/SP
정용승	정용승/NNP
한국교원대	한국교원대/NNP
교수(3회)는	교수/NNG+(/SS+3/SN+회/NNB+)/SS+는/JX
동북아	동북아/NNP
지역	지역/NNG
국경을	국경/NNG+을/JKO
넘나드는	넘나들/VV+는/ETM
대기오염	대기/NNG+오염/NNG
물질의	물질/NNG+의/JKG
실체를	실체/NNG+를/JKO
밝혀내	밝혀내/VV+어/EC
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.369.7.3
또 조한규 한국자연농업협회 명예회장(10회)은 일본·중국 등 10개국에 자연농업기술을 소개한 공로를, '한일 공동 갯벌 조사단'(11회)은 한국과 일본의 갯벌 생태를 공동 조사한 공로를 평가받았다.

또	또/MAG
조한규	조한규/NNP
한국자연농업협회	한국자연농업협회/NNP
명예회장(10회)은	명예/NNG+회장/NNG+(/SS+10/SN+회/NNB+)/SS+은/JX
일본·중국	일본/NNP+·/SP+중국/NNP
등	등/NNB
10개국에	10/SN+개국/NNB+에/JKB
자연농업기술을	자연/NNG+농업/NNG+기술/NNG+을/JKO
소개한	소개/NNG+하/XSV+ㄴ/ETM
공로를,	공로/NNG+를/JKO+,/SP
'한일	'/SS+한일/NNP
공동	공동/NNG
갯벌	갯벌/NNG
조사단'(11회)은	조사단/NNG+'/SS+(/SS+11/SN+회/NNB+)/SS+은/JX
한국과	한국/NNP+과/JC
일본의	일본/NNP+의/JKG
생태를	생태/NNG+를/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
공로를	공로/NNG+를/JKO
평가받았다.	평가/NNG+받/XSV+았/EP+다/EF+./SF


