# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.23
metadata : {}


# id : NWRW1800000036.23.1.1
불공정 하도급 조사 받는데 삼성전자·현대차 ‘우수’ 평가

불공정	불/XPN+공정/NNG
하고	하/VV+고/EC
있는	있/VX+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.23.6.4
하지만 이는 대·중소기업 간 불공정하도급거래 관행이 좀처럼 개선되지 않고 있는 현실과 적지 않은 괴리가 있다.

하지만	하지만/MAJ
이는	이/NP+는/JX
대·중소기업	대·중소기업/NNG
간	간/NNB
불공정하도급거래	불/XPN+공정/NNG+하도급/NNG+거래/NNG
관행이	관행/NNG+이/JKS
좀처럼	좀처럼/MAG
개선되지	개선/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
현실과	현실/NNG+과/JKB
적지	적/VA+지/EC
않은	않/VX+은/ETM
괴리가	괴리/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.23.6.5
당장 최상위 ‘우수’ 등급을 받은 6개 대기업 중에서 삼성전자, 현대차, 기아차는 현재 공정거래위원회에서 불공정하도급거래 혐의로 조사받고 있다.

당장	당장/NNG
최상위	최/XPN+상위/NNG
‘우수’	‘/SS+우수/NNG+’/SS
등급을	등급/NNG+을/JKO
받은	받/VV+은/ETM
6개	6/SN+개/NNB
대기업	대/XPN+기업/NNG
중에서	중/NNB+에서/JKB
삼성전자,	삼성전자/NNP+,/SP
현대차,	현대차/NNP+,/SP
기아차는	기아차/NNP+는/JX
현재	현재/MAG
공정거래위원회에서	공정/NNG+거래/NNG+위원회/NNG+에서/JKB
불공정하도급거래	불/XPN+공정/NNG+하도급/NNG+거래/NNG
혐의로	혐의/NNG+로/JKB
조사받고	조사/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.23.6.6
또 ‘우수’와 ‘양호’ 판정을 받은 삼성전자, 삼성모바일디스플레이, 삼성에스디아이(SDI), 엘지(LG)전자는 이날 공정위가 발표한 부당 발주취소 혐의가 있는 전기전자업종의 대기업 명단에 포함돼 있다.

또	또/MAG
‘우수’와	‘/SS+우수/NNG+’/SS+와/JC
‘양호’	‘/SS+양호/NNG+’/SS
판정을	판정/NNG+을/JKO
받은	받/VV+은/ETM
삼성전자,	삼성전자/NNP+,/SP
삼성모바일디스플레이,	삼성모바일디스플레이/NNP+,/SP
삼성에스디아이(SDI),	삼성에스디아이/NNP+(/SS+SDI/SL+)/SS+,/SP
엘지(LG)전자는	엘지/NNP+(/SS+LG/SL+)/SS+전자/NNG+는/JX
이날	이날/NNG
공정위가	공정위/NNG+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
부당	부당/NNG
발주취소	발주/NNG+취소/NNG
혐의가	혐의/NNG+가/JKS
있는	있/VA+는/ETM
전기전자업종의	전기/NNG+전자/NNG+업종/NNG+의/JKG
대기업	대/XPN+기업/NNG
명단에	명단/NNG+에/JKB
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.23.7.1
동반성장지수 산정 과정은 객관성과 공정성을 의심받을 수 있는 대목이 한두가지가 아니다.

동반성장지수	동반/NNG+성장/NNG+지수/NNG
산정	산정/NNG
과정은	과정/NNG+은/JX
객관성과	객관/NNG+성/XSN+과/JC
공정성을	공정/NNG+성/XSN+을/JKO
의심받을	의심/NNG+받/XSV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
대목이	대목/NNG+이/JKS
한두가지가	한두/MMN+가지/NNB+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000036.23.7.2
우선 56개 대기업의 평가점수를 순위대로 공개하는 점수제나 순위제 대신 등급제가 채택됐다.

우선	우선/MAG
56개	56/SN+개/NNB
대기업의	대/XPN+기업/NNG+의/JKG
평가점수를	평가/NNG+점수/NNG+를/JKO
순위대로	순위/NNG+대로/JX
공개하는	공개/NNG+하/XSV+는/ETM
점수제나	점수/NNG+제/XSN+나/JX
순위제	순위/NNG+제/XSN
대신	대신/NNG
등급제가	등급/NNG+제/XSN+가/JKS
채택됐다.	채택/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.23.7.3
그동안 전경련은 점수제와 순위제를 대기업들에 대한 ‘줄세우기’라고 강력히 반대하며 최상위 업체만 공개하자는 주장을 폈다.

그동안	그동안/NNG
전경련은	전경련/NNP+은/JX
점수제와	점수/NNG+제/XSN+와/JC
순위제를	순위/NNG+제/XSN+를/JKO
대기업들에	대/XPN+기업/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
‘줄세우기’라고	‘/SS+줄/NNG+세우/VV+기/ETN+’/SS+라고/JKQ
강력히	강력히/MAG
반대하며	반대/NNG+하/XSV+며/EC
최상위	최/XPN+상위/NNG
업체만	업체/NNG+만/JX
공개하자는	공개/NNG+하/XSV+자는/ETM
주장을	주장/NNG+을/JKO
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.23.7.4
전경련 요구를 100% 수용한 것은 아니지만 점수와 순위를 공개하지 않고, 전체 평가 대상의 87.5%에 ‘보통’ 이상의 등급을 부여함으로써 사실상 재계의 요구를 들어준 셈이 됐다.

전경련	전경련/NNP
요구를	요구/NNG+를/JKO
100%	100/SN+%/SW
수용한	수용/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
아니지만	아니/VCN+지만/EC
점수와	점수/NNG+와/JC
순위를	순위/NNG+를/JKO
공개하지	공개/NNG+하/XSV+지/EC
않고,	않/VX+고/EC+,/SP
전체	전체/NNG
평가	평가/NNG
대상의	대상/NNG+의/JKG
87.5%에	87/SN+./SP+5/SN+%/SW+에/JKB
‘보통’	‘/SS+보통/NNG+’/SS
이상의	이상/NNG+의/JKG
등급을	등급/NNG+을/JKO
부여함으로써	부여/NNG+하/XSV+ㅁ/ETN+으로써/JKB
사실상	사실/NNG+상/XSN
재계의	재계/NNG+의/JKG
들어준	들어주/VV+ㄴ/ETM
셈이	셈/NNB+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.23.7.5
중소기업연구원의 한 박사는 “우수나 양호 기업들의 점수가 공개가 안 돼 정말 잘했는지 알 수가 없다”고 말했다.

중소기업연구원의	중소기업/NNG+연구원/NNG+의/JKG
한	한/MMN
박사는	박사/NNG+는/JX
“우수나	“/SS+우수/NNG+나/JC
양호	양호/NNG
기업들의	기업/NNG+들/XSN+의/JKG
점수가	점수/NNG+가/JKS
공개가	공개/NNG+가/JKC
안	안/MAG
돼	되/VV+어/EC
정말	정말/MAG
잘했는지	잘/MAG+하/XSV+았/EP+는지/EC
알	알/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.23.8.1
둘째는, 등급 부여의 공정성이다.

둘째는,	둘째/NR+는/JX+,/SP
등급	등급/NNG
부여의	부여/NNG+의/JKG
공정성이다.	공정/NNG+성/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000036.23.8.2
동반성장지수는 공정위의 상생협약 이행실적과 동반성장위의 1·2차 협력업체 체감도 조사를 평가해 등급화한 뒤 50%씩 반영해서 합산한 것이다.

동반성장지수는	동반/NNG+성장/NNG+지수/NNG+는/JX
공정위의	공정위/NNG+의/JKG
상생협약	상생/NNG+협약/NNG
이행실적과	이행/NNG+실적/NNG+과/JC
동반성장위의	동반/NNG+성장위/NNG+의/JKG
1·2차	1/SN+·/SP+2/SN+차/NNB
협력업체	협력/NNG+업체/NNG
체감도	체감도/NNG
조사를	조사/NNG+를/JKO
평가해	평가/NNG+하/XSV+아/EC
등급화한	등급/NNG+화/XSN+하/XSV+ㄴ/ETM
뒤	뒤/NNG
50%씩	50/SN+%/SW+씩/XSN
반영해서	반영/NNG+하/XSV+아서/EC
합산한	합산/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.23.8.3
공정위는 상생협약 이행평가를 네 등급으로 구분했다.

공정위는	공정위/NNG+는/JX
상생협약	상생/NNG+협약/NNG
이행평가를	이행/NNG+평가/NNG+를/JKO
네	네/MMN
등급으로	등급/NNG+으로/JKB
구분했다.	구분/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.23.8.4
우수에 해당하는 A등급의 경우 90점대를 얻은 기업이 많은 것으로 알려졌다.

우수에	우수/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
A등급의	A/SL+등급/NNG+의/JKG
경우	경우/NNG
90점대를	90/SN+점/NNB+대/XSN+를/JKO
얻은	얻/VV+은/ETM
기업이	기업/NNG+이/JKS
많은	많/VA+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.23.8.5
하지만 동반성장위의 체감도 평가에서는 우수 등급이라도 80점대 이상이 거의 없는 것으로 전해졌다.

하지만	하지만/MAJ
동반성장위의	동반/NNG+성장위/NNG+의/JKG
체감도	체감도/NNG
평가에서는	평가/NNG+에서/JKB+는/JX
우수	우수/NNG
등급이라도	등급/NNG+이/VCP+라도/EC
80점대	80/SN+점/NNB+대/XSN
이상이	이상/NNG+이/JKS
거의	거의/MAG
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.23.9.1
셋째는, 공정위 평가와 체감도 조사의 합산 방식이다.

셋째는,	셋째/NR+는/JX+,/SP
공정위	공정위/NNG
평가와	평가/NNG+와/JC
체감도	체감도/NNG
조사의	조사/NNG+의/JKG
합산	합산/NNG
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.23.9.2
공정위의 평가와 체감도 조사에서 모두 우수 평가를 받은 기업에 최종적으로 우수 등급을 부여하는 것은 자연스럽다.

공정위의	공정위/NNG+의/JKG
평가와	평가/NNG+와/JC
체감도	체감도/NNG
조사에서	조사/NNG+에서/JKB
모두	모두/MAG
우수	우수/NNG
평가를	평가/NNG+를/JKO
받은	받/VV+은/ETM
기업에	기업/NNG+에/JKB
최종적으로	최종/NNG+적/XSN+으로/JKB
등급을	등급/NNG+을/JKO
부여하는	부여/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
자연스럽다.	자연/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000036.23.9.3
하지만 동반성장위는 공정위 평가와 체감도 조사에서 각기 보통과 개선을 받은 경우, 최종 등급을 보통으로 부여해 등급 인플레이션을 야기했다.

하지만	하지만/MAJ
동반성장위는	동반/NNG+성장위/NNG+는/JX
공정위	공정위/NNG
평가와	평가/NNG+와/JC
체감도	체감도/NNG
조사에서	조사/NNG+에서/JKB
각기	각기/MAG
보통과	보통/NNG+과/JC
개선을	개선/NNG+을/JKO
받은	받/VV+은/ETM
경우,	경우/NNG+,/SP
최종	최종/NNG
등급을	등급/NNG+을/JKO
보통으로	보통/NNG+으로/JKB
부여해	부여/NNG+하/XSV+아/EC
등급	등급/NNG
인플레이션을	인플레이션/NNG+을/JKO
야기했다.	야기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.23.9.4
동반성장위 관계자는 “절대평가를 상대평가로 전환하는 과정에서 일부 자격이 부족한 기업에도 더 좋은 등급이 부여되는 문제가 발생했다”고 털어놨다.

동반성장위	동반/NNG+성장위/NNG
관계자는	관계자/NNG+는/JX
“절대평가를	“/SS+절대/NNG+평가/NNG+를/JKO
상대평가로	상대/NNG+평가/NNG+로/JKB
전환하는	전환/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
일부	일부/NNG
자격이	자격/NNG+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
기업에도	기업/NNG+에/JKB+도/JX
더	더/MAG
좋은	좋/VA+은/ETM
등급이	등급/NNG+이/JKS
부여되는	부여/NNG+되/XSV+는/ETM
문제가	문제/NNG+가/JKS
발생했다”고	발생/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
털어놨다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.23.9.5
공정위 간부는 “공정위 평가에서 개선 등급을 받은 업체는 사실상 동반성장 노력을 거의 하지 않은 최악의 기업들”이라고 말했다.

공정위	공정위/NNG
간부는	간부/NNG+는/JX
“공정위	“/SS+공정위/NNG
평가에서	평가/NNG+에서/JKB
개선	개선/NNG
등급을	등급/NNG+을/JKO
받은	받/VV+은/ETM
업체는	업체/NNG+는/JX
사실상	사실/NNG+상/XSN
동반성장	동반/NNG+성장/NNG
노력을	노력/NNG+을/JKO
거의	거의/MAG
하지	하/VV+지/EC
않은	않/VX+은/ETM
최악의	최악/NNG+의/JKG
기업들”이라고	기업/NNG+들/XSN+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.23.10.1
동반성장지수 평가의 공정성이 의문시되면서 정부가 우수 및 양호 등급 대기업들한테 인센티브를 제공하는 것이 과연 옳으냐는 의문도 제기된다.

동반성장지수	동반/NNG+성장/NNG+지수/NNG
평가의	평가/NNG+의/JKG
공정성이	공정/NNG+성/XSN+이/JKS
의문시되면서	의문/NNG+시/XSN+되/XSV+면서/EC
정부가	정부/NNG+가/JKS
우수	우수/NNG
및	및/MAG
양호	양호/NNG
등급	등급/NNG
대기업들한테	대/XPN+기업/NNG+들/XSN+한테/JKB
인센티브를	인센티브/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
과연	과연/MAG
옳으냐는	옳/VA+으냐는/ETM
의문도	의문/NNG+도/JX
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.23.10.2
우수나 양호 등급 기업들은 하도급 분야의 직권조사, 서면실태조사가 면제되고, 공공입찰이나 세무조사에서도 우대를 받는다.

우수나	우수/NNG+나/JC
양호	양호/NNG
등급	등급/NNG
기업들은	기업/NNG+들/XSN+은/JX
하도급	하도급/NNG
분야의	분야/NNG+의/JKG
직권조사,	직권/NNG+조사/NNG+,/SP
서면실태조사가	서면/NNG+실태/NNG+조사/NNG+가/JKS
면제되고,	면제/NNG+되/XSV+고/EC+,/SP
공공입찰이나	공공/NNG+입찰/NNG+이나/JC
세무조사에서도	세무/NNG+조사/NNG+에서/JKB+도/JX
우대를	우대/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000036.23.11.1
동반성장지수 평가 논란은 유장희 위원장 체제의 근본 한계 때문이라는 지적이 적지 않다.

동반성장지수	동반/NNG+성장/NNG+지수/NNG
평가	평가/NNG
논란은	논란/NNG+은/JX
유장희	유장희/NNP
위원장	위원장/NNG
체제의	체제/NNG+의/JKG
근본	근본/NNG
한계	한계/NNG
때문이라는	때문/NNB+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000036.23.11.2
유 위원장은 취임사에서 “대기업의 성장 둔화와 중소기업의 이익률 정체로 인한 일자리 문제와 부의 편중으로 인한 양극화를 해결할 수 있는 방법이 동반성장”이라면서도 “대기업에 희생만을 강요하지 않겠다”고 꼬리를 내렸다.

유	유/NNP
위원장은	위원장/NNG+은/JX
취임사에서	취임사/NNG+에서/JKB
“대기업의	“/SS+대/XPN+기업/NNG+의/JKG
성장	성장/NNG
둔화와	둔화/NNG+와/JC
중소기업의	중소기업/NNG+의/JKG
이익률	이익/NNG+률/XSN
정체로	정체/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
일자리	일자리/NNG
문제와	문제/NNG+와/JC
부의	부/NNG+의/JKG
편중으로	편중/NNG+으로/JKB
양극화를	양극/NNG+화/XSN+를/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방법이	방법/NNG+이/JKS
동반성장”이라면서도	동반/NNG+성장/NNG+”/SS+이/VCP+라면서/EC+도/JX
“대기업에	“/SS+대/XPN+기업/NNG+에/JKB
희생만을	희생/NNG+만/JX+을/JKO
강요하지	강요/NNG+하/XSV+지/EC
않겠다”고	않/VX+겠/EP+다/EF+”/SS+고/JKQ
꼬리를	꼬리/NNG+를/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.23.11.3
중소기업중앙회의 한 관계자는 “동반성장위가 대기업들의 눈치를 보다가 면죄부만 준 꼴이 됐다”고 말했다.

중소기업중앙회의	중소기업/NNG+중앙회/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“동반성장위가	“/SS+동반/NNG+성장위/NNG+가/JKS
대기업들의	대/XPN+기업/NNG+들/XSN+의/JKG
눈치를	눈치/NNG+를/JKO
보다가	보/VV+다가/EC
면죄부만	면죄부/NNG+만/JX
준	주/VV+ㄴ/ETM
꼴이	꼴/NNG+이/JKC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


