# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.116
metadata : {}


# id : NWRW1800000048.116.1.1
“흑인교회 총격 용의자는 백인 우월주의자”

“흑인교회	“/SS+흑인/NNG+교회/NNG
요청해	요청/NNG+하/XSV+아/EC
다시	다시/MAG
만나게	만나/VV+게/EC
됐다는	되/VV+었/EP+다는/ETM
조지프	조지프/NNP
미크는	미크/NNP+는/JX
<뉴욕타임스>에	</SS+뉴욕타임스/NNP+>/SS+에/JKB
“그는	“/SS+그/NP+는/JX
인종들이	인종/NNG+들/XSN+이/JKS
어떻게	어떻/VA+게/EC
분리돼야	분리/NNG+되/XSV+어야/EC
하는지에	하/VX+는지/EC+에/JKB
대해	대하/VV+아/EC
많은	많/VA+은/ETM
얘기를	얘기/NNG+를/JKO
했다”며	하/VV+았/EP+다/EF+”/SS+며/EC
“미친	“/SS+미치/VV+ㄴ/ETM
짓을	짓/NNG+을/JKO
할	하/VV+ㄹ/ETM
계획을	계획/NNG+을/JKO
하고	하/VV+고/EC
있다는	있/VX+다는/ETM
말도	말/NNG+도/JX
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.116.9.4
미크는 “루프가 올해 생일 때 아버지한테서 받은 돈으로 권총을 샀는데, 문제를 일으킬까봐 내가 총을 빼앗아 숨겨놓기도 했다”고 말했다.

미크는	미크/NNP+는/JX
“루프가	“/SS+루프/NNP+가/JKS
올해	올해/NNG
생일	생일/NNG
때	때/NNG
아버지한테서	아버지/NNG+한테서/JKB
받은	받/VV+은/ETM
돈으로	돈/NNG+으로/JKB
권총을	권총/NNG+을/JKO
샀는데,	사/VV+았/EP+는데/EC+,/SP
문제를	문제/NNG+를/JKO
일으킬까봐	일으키/VV+ㄹ까/EF+보/VX+아/EC
내가	내/NP+가/JKS
총을	총/NNG+을/JKO
빼앗아	빼앗/VV+아/EC
숨겨놓기도	숨기/VV+어/EC+놓/VX+기/ETN+도/JX
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.116.9.5
루프는 마약 의존증 치료제를 처방전 없이 소지한 혐의로 경찰에 체포된 적도 있다.

루프는	루프/NNP+는/JX
마약	마약/NNG
의존증	의존증/NNG
치료제를	치료제/NNG+를/JKO
처방전	처방전/NNG
없이	없이/MAG
소지한	소지/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
경찰에	경찰/NNG+에/JKB
체포된	체포/NNG+되/XSV+ㄴ/ETM
적도	적/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.116.10.1
사건 현장인 이 교회는 미국 남부지방에서 처음으로 흑인 신자들을 받아들이고, 1800년대 초반 노예무역의 중심지였던 찰스턴에서 비밀리에 노예 해방 운동을 전개한 곳이기도 하다.

사건	사건/NNG
현장인	현장/NNG+이/VCP+ㄴ/ETM
이	이/MMD
교회는	교회/NNG+는/JX
미국	미국/NNP
남부지방에서	남부/NNG+지방/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
흑인	흑인/NNG
신자들을	신자/NNG+들/XSN+을/JKO
받아들이고,	받아들이/VV+고/EC+,/SP
1800년대	1800/SN+년대/NNB
초반	초반/NNG
노예무역의	노예/NNG+무역/NNG+의/JKG
중심지였던	중심지/NNG+이/VCP+었/EP+던/ETM
찰스턴에서	찰스턴/NNP+에서/JKB
비밀리에	비밀/NNG+리/XSN+에/JKB
노예	노예/NNG
해방	해방/NNG
운동을	운동/NNG+을/JKO
전개한	전개/NNG+하/XSV+ㄴ/ETM
곳이기도	곳/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000048.116.10.2
루프는 범행 뒤 자동차로 도주했으나, 한 시민의 제보로 14시간 만에 검거됐다.

루프는	루프/NNP+는/JX
범행	범행/NNG
뒤	뒤/NNG
자동차로	자동차/NNG+로/JKB
도주했으나,	도주/NNG+하/XSV+았/EP+으나/EC+,/SP
한	한/MMN
시민의	시민/NNG+의/JKG
제보로	제보/NNG+로/JKB
14시간	14/SN+시간/NNB
만에	만/NNB+에/JKB
검거됐다.	검거/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.116.10.3
미 법무부는 이번 사건을 ‘증오범죄’로 규정하고 수사에 들어간다고 밝혔다.

미	미/NNP
법무부는	법무부/NNG+는/JX
이번	이번/NNG
사건을	사건/NNG+을/JKO
‘증오범죄’로	‘/SS+증오/NNG+범죄/NNG+’/SS+로/JKB
규정하고	규정/NNG+하/XSV+고/EC
수사에	수사/NNG+에/JKB
들어간다고	들어가/VV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


