# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.251
metadata : {}


# id : NWRW1800000037.251.1.1
수비농구 재미없다고?… “이기는 게 먼저”

수비농구	수비/NNG+농구/NNG
때는	때/NNG+는/JX
5개월이나	5/SN+개월/NNB+이나/JX
나가	나가/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.251.4.3
그때에 비하면 오래 비운 것도 아니다”라고 웃으며 말문을 연 뒤 “선수 구성이 지난 시즌과 거의 같기 때문에 손을 볼 데가 많지는 않다”고 말했다.

그때에	그때/NNG+에/JKB
비하면	비/NNG+하/XSV+면/EC
오래	오래/MAG
비운	비우/VV+ㄴ/ETM
것도	것/NNB+도/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
웃으며	웃/VV+으며/EC
말문을	말문/NNG+을/JKO
연	열/VV+ㄴ/ETM
뒤	뒤/NNG
“선수	“/SS+선수/NNG
구성이	구성/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
시즌과	시즌/NNG+과/JKB
거의	거의/MAG
같기	같/VA+기/ETN
때문에	때문/NNB+에/JKB
손을	손/NNG+을/JKO
볼	보/VV+ㄹ/ETM
데가	데/NNB+가/JKS
많지는	많/VA+지/EC+는/JX
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.251.4.4
지난 시즌에 우승한 디펜딩 챔피언이 고칠 데가 별로 없다는 건 다른 팀 감독들이 듣기에 무서운 얘기다.

지난	지나/VV+ㄴ/ETM
시즌에	시즌/NNG+에/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
디펜딩	디펜딩/NNG
챔피언이	챔피언/NNG+이/JKS
고칠	고치/VV+ㄹ/ETM
데가	데/NNB+가/JKS
별로	별로/MAG
없다는	없/VA+다는/ETM
건	거/NNB+ㄴ/JX
다른	다른/MMD
팀	팀/NNG
감독들이	감독/NNG+들/XSN+이/JKS
듣기에	듣/VV+기/ETN+에/JKB
무서운	무섭/VA+ㄴ/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.251.5.1
모비스는 지난 시즌 챔피언 결정전이 끝나고 김시래가 LG로 트레이드된 것 말고는 전력 이탈이 거의 없다.

모비스는	모비스/NNP+는/JX
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
챔피언	챔피언/NNG
결정전이	결정전/NNG+이/JKS
끝나고	끝나/VV+고/EC
김시래가	김시래/NNP+가/JKS
LG로	LG/SL+로/JKB
트레이드된	트레이드/NNG+되/XSV+ㄴ/ETM
것	것/NNB
말고는	말/VV+고/EC+는/JX
전력	전력/NNG
이탈이	이탈/NNG+이/JKS
거의	거의/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000037.251.5.2
국가대표 가드 양동근과 함지훈, 혼혈 선수 문태영이 건재하다.

국가대표	국가/NNG+대표/NNG
가드	가드/NNG
양동근과	양동근/NNP+과/JC
함지훈,	함지훈/NNP+,/SP
혼혈	혼혈/NNG
선수	선수/NNG
문태영이	문태영/NNP+이/JKS
건재하다.	건재/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000037.251.5.3
지난 시즌에 뛴 외국인 선수 2명과도 재계약했다.

지난	지나/VV+ㄴ/ETM
시즌에	시즌/NNG+에/JKB
뛴	뛰/VV+ㄴ/ETM
외국인	외국인/NNG
선수	선수/NNG
2명과도	2/SN+명/NNB+과/JKB+도/JX
재계약했다.	재/XPN+계약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.251.5.4
“평소 전지훈련에서는 주로 새로 들어온 외국인 선수에게 팀 전술을 가르치고 국내 선수들과 손발을 맞추는 데 집중한다.

“평소	“/SS+평소/NNG
전지훈련에서는	전지훈련/NNG+에서/JKB+는/JX
주로	주로/MAG
새로	새로/MAG
들어온	들어오/VV+ㄴ/ETM
외국인	외국인/NNG
선수에게	선수/NNG+에게/JKB
팀	팀/NNG
전술을	전술/NNG+을/JKO
가르치고	가르치/VV+고/EC
국내	국내/NNG
선수들과	선수/NNG+들/XSN+과/JKB
손발을	손발/NNG+을/JKO
맞추는	맞추/VV+는/ETM
데	데/NNB
집중한다.	집중/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.251.5.5
하지만 우리는 그 단계를 지났다.

하지만	하지만/MAJ
우리는	우리/NP+는/JX
그	그/MMD
단계를	단계/NNG+를/JKO
지났다.	지나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.251.5.6
실수를 줄여 전술의 완성도를 높이는 데 초점을 맞추고 있다.”

실수를	실수/NNG+를/JKO
줄여	줄이/VV+어/EC
전술의	전술/NNG+의/JKG
완성도를	완성도/NNG+를/JKO
높이는	높이/VV+는/ETM
데	데/NNB
초점을	초점/NNG+을/JKO
맞추고	맞추/VV+고/EC
있다.”	있/VX+다/EF+./SF+”/SS


# id : NWRW1800000037.251.6.1
2013∼2014시즌의 전망을 묻자 그는 “솔직히 잘 모르겠다”고 했다.

2013∼2014시즌의	2013/SN+∼/SO+2014/SN+시즌/NNG+의/JKG
전망을	전망/NNG+을/JKO
묻자	묻/VV+자/EC
그는	그/NP+는/JX
“솔직히	“/SS+솔직히/MAG
잘	잘/MAG
모르겠다”고	모르/VV+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.251.6.2
“해마다 우승 후보로 꼽힌 팀 중에 망가지는 팀이 꼭 나왔다.”

“해마다	“/SS+해마다/MAG
우승	우승/NNG
후보로	후보/NNG+로/JKB
꼽힌	꼽히/VV+ㄴ/ETM
팀	팀/NNG
중에	중/NNB+에/JKB
망가지는	망가지/VV+는/ETM
팀이	팀/NNG+이/JKS
꼭	꼭/MAG
나왔다.”	나오/VV+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000037.251.6.3
그는 상위권 후보였다 바닥으로 떨어지는 팀들의 공통점을 몇 가지 꼽았다.

그는	그/NP+는/JX
상위권	상위/NNG+권/XSN
후보였다	후보/NNG+이/VCP+었/EP+다/EC
바닥으로	바닥/NNG+으로/JKB
떨어지는	떨어지/VV+는/ETM
팀들의	팀/NNG+들/XSN+의/JKG
공통점을	공통점/NNG+을/JKO
몇	몇/NR
가지	가지/NNB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.251.6.4
감독이 선수들을 장악하지 못하거나 선수들 사이에 내분이 있을 때, 외국인 선수를 잘못 뽑았을 경우였다.

감독이	감독/NNG+이/JKS
선수들을	선수/NNG+들/XSN+을/JKO
장악하지	장악/NNG+하/XSV+지/EC
못하거나	못하/VX+거나/EC
선수들	선수/NNG+들/XSN
사이에	사이/NNG+에/JKB
내분이	내분/NNG+이/JKS
있을	있/VA+을/ETM
때,	때/NNG+,/SP
외국인	외국인/NNG
선수를	선수/NNG+를/JKO
잘못	잘못/MAG
뽑았을	뽑/VV+았/EP+을/ETM
경우였다.	경우/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.251.6.5
그는 30일 열리는 신인 드래프트를 거쳐 이번 시즌부터 뛰게 될 김민구, 김종규, 두경민(이상 경희대 4학년) 등 이른바 ‘대학 빅3’에 대해 “이 아이들이 프로에 온다고 리그 판도가 달라지진 않을 것이다.

그는	그/NP+는/JX
30일	30/SN+일/NNB
열리는	열리/VV+는/ETM
신인	신인/NNG
드래프트를	드래프트/NNG+를/JKO
거쳐	거치/VV+어/EC
이번	이번/NNG
시즌부터	시즌/NNG+부터/JX
뛰게	뛰/VV+게/EC
될	되/VV+ㄹ/ETM
김민구,	김민구/NNP+,/SP
김종규,	김종규/NNP+,/SP
두경민(이상	두경민/NNP+(/SS+이상/NNG
경희대	경희대/NNP
4학년)	4/SN+학년/NNG+)/SS
등	등/NNB
이른바	이른바/MAG
‘대학	‘/SS+대학/NNG
빅3’에	빅/NNG+3/SN+’/SS+에/JKB
대해	대하/VV+아/EC
“이	“/SS+이/MMD
아이들이	아이/NNG+들/XSN+이/JKS
프로에	프로/NNG+에/JKB
온다고	오/VV+ㄴ다고/EC
리그	리그/NNG
판도가	판도/NNG+가/JKS
달라지진	달라지/VV+지/EC+ㄴ/JX
않을	않/VX+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.251.6.6
아직 부족한 게 많다.

아직	아직/MAG
부족한	부족/NNG+하/XSA+ㄴ/ETM
게	거/NNB+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000037.251.6.7
배워야 할 게 많다”고 냉정하게 평가했다.

배워야	배우/VV+어야/EC
할	하/VX+ㄹ/ETM
게	거/NNB+이/JKS
많다”고	많/VA+다/EF+”/SS+고/JKQ
냉정하게	냉정/NNG+하/XSA+게/EC
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.251.7.1
‘만수(萬手·1만 가지 전술)’로 불리는 유 감독이 선수들에게 밤낮없이 강조하는 건 수비와 리바운드다.

‘만수(萬手·1만	‘/SS+만수/NNP+(/SS+萬手/SH+·/SP+1/SN+만/NR
가지	가지/NNB
전술)’로	전술/NNG+)/SS+’/SS+로/JKB
불리는	불리/VV+는/ETM
유	유/NNP
감독이	감독/NNG+이/JKS
선수들에게	선수/NNG+들/XSN+에게/JKB
밤낮없이	밤낮없이/MAG
강조하는	강조/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
수비와	수비/NNG+와/JC
리바운드다.	리바운드/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.251.7.2
그의 철저한 수비 농구스타일이 재미를 떨어뜨린다는 지적도 있다.

그의	그/NP+의/JKG
철저한	철저/NNG+하/XSA+ㄴ/ETM
수비	수비/NNG
농구스타일이	농구/NNG+스타일/NNG+이/JKS
재미를	재미/NNG+를/JKO
떨어뜨린다는	떨어뜨리/VV+ㄴ다는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.251.7.3
하지만 그는 단호했다.

하지만	하지만/MAJ
그는	그/NP+는/JX
단호했다.	단호하/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.251.7.4
“이기는 농구를 하려면 수비가 우선이다.

“이기는	“/SS+이기/VV+는/ETM
농구를	농구/NNG+를/JKO
하려면	하/VV+려면/EC
수비가	수비/NNG+가/JKS
우선이다.	우선/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.251.7.5
수비 농구가 재미없으면 공격 농구를 하는 팀의 팬이 되면 된다.

수비	수비/NNG
농구가	농구/NNG+가/JKS
재미없으면	재미없/VA+으면/EC
공격	공격/NNG
농구를	농구/NNG+를/JKO
하는	하/VV+는/ETM
팀의	팀/NNG+의/JKG
팬이	팬/NNG+이/JKC
되면	되/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.251.7.6
공격보다 수비 기술의 발전 속도가 훨씬 빠르다.

공격보다	공격/NNG+보다/JKB
수비	수비/NNG
기술의	기술/NNG+의/JKG
발전	발전/NNG
속도가	속도/NNG+가/JKS
훨씬	훨씬/MAG
빠르다.	빠르/VA+다/EF+./SF


# id : NWRW1800000037.251.7.7
이건 세계적인 추세다.

이건	이거/NP+ㄴ/JX
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.251.7.8
수비 기술이 계속 좋아지면 또 이걸 깨기 위해 공격 기술도 개발될 것이다.”

수비	수비/NNG
기술이	기술/NNG+이/JKS
계속	계속/MAG
좋아지면	좋/VA+아/EC+지/VX+면/EC
또	또/MAG
이걸	이거/NP+ㄹ/JKO
깨기	깨/VV+기/ETN
위해	위하/VV+아/EC
공격	공격/NNG
기술도	기술/NNG+도/JX
개발될	개발/NNG+되/XSV+ㄹ/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000037.251.8.1
유 감독은 아시아선수권에서 16년 만의 월드컵 진출을 이끈 뒤 일단 대표팀 지휘봉을 내려놨다.

유	유/NNP
감독은	감독/NNG+은/JX
아시아선수권에서	아시아/NNP+선수/NNG+권/XSN+에서/JKB
16년	16/SN+년/NNB
만의	만/NNB+의/JKG
월드컵	월드컵/NNG
진출을	진출/NNG+을/JKO
이끈	이끌/VV+ㄴ/ETM
뒤	뒤/NNG
일단	일단/MAG
대표팀	대표/NNG+팀/NNG
지휘봉을	지휘봉/NNG+을/JKO
내려놨다.	내려놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.251.8.2
2014년에 열리는 스페인 월드컵과 인천 아시아경기 대표팀 감독은 아직 정해지지 않았다.

2014년에	2014/SN+년/NNB+에/JKB
열리는	열리/VV+는/ETM
스페인	스페인/NNP
월드컵과	월드컵/NNG+과/JC
인천	인천/NNP
아시아경기	아시아/NNP+경기/NNG
대표팀	대표/NNG+팀/NNG
감독은	감독/NNG+은/JX
아직	아직/MAG
정해지지	정하/VV+아/EC+지/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.251.8.3
“대표팀 감독 자리는 솔직히 부담스럽다.

“대표팀	“/SS+대표/NNG+팀/NNG
감독	감독/NNG
자리는	자리/NNG+는/JX
솔직히	솔직히/MAG
부담스럽다.	부담/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000037.251.8.4
그런데 또 맡아 달라는 제안이 오면 거절하기는 힘들 것 같다.”

그런데	그런데/MAJ
또	또/MAG
맡아	맡/VV+아/EC
달라는	달/VX+라는/ETM
제안이	제안/NNG+이/JKS
오면	오/VV+면/EC
거절하기는	거절/NNG+하/XSV+기/ETN+는/JX
힘들	힘들/VA+ㄹ/ETM
것	것/NNB
같다.”	같/VA+다/EF+./SF+”/SS


