# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.195
metadata : {}


# id : NWRW1800000045.195.1.1
[어떻게 생각하십니까]메르스 속 13만명 시험치른다는데…

[어떻게	[/SS+어떻/VA+게/EC
응시생 가운데 메르스 확진환자는 없는 것으로 알려졌지만 자가 격리 대상자가 몇 명인지는 파악되지 않고 있다.

응시생	응시/NNG+생/XSN
가운데	가운데/NNG
메르스	메르스/NNG
확진환자는	확진/NNG+환자/NNG+는/JX
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
알려졌지만	알려지/VV+었/EP+지만/EC
자가	자가/NNG
격리	격리/NNG
대상자가	대상자/NNG+가/JKS
몇	몇/NR
명인지는	명/NNB+이/VCP+ㄴ지/EF+는/JX
파악되지	파악/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.195.6.2
우려의 목소리도 나온다.

우려의	우려/NNG+의/JKG
목소리도	목소리/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.195.6.3
2284명을 뽑는 이번 시험에는 전국에서 13만515명이 응시했다.

2284명을	2284/SN+명/NNB+을/JKO
뽑는	뽑/VV+는/ETM
이번	이번/NNG
시험에는	시험/NNG+에/JKB+는/JX
전국에서	전국/NNG+에서/JKB
13만515명이	13/SN+만/NR+515/SN+명/NNB+이/JKS
응시했다.	응시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.195.6.4
시험은 서울시내 중고교 121곳에서 치러진다.

시험은	시험/NNG+은/JX
서울시내	서울/NNP+시내/NNG
중고교	중고교/NNG
121곳에서	121/SN+곳/NNG+에서/JKB
치러진다.	치르/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.195.6.5
대형 행사가 취소되고 있지만 시험 당일에는 전국에서 모인 13만 명의 불특정 다수가 밀폐된 공간에서 장시간 시험을 치른다.

대형	대형/NNG
행사가	행사/NNG+가/JKS
취소되고	취소/NNG+되/XSV+고/EC
있지만	있/VX+지만/EC
시험	시험/NNG
당일에는	당일/NNG+에/JKB+는/JX
전국에서	전국/NNG+에서/JKB
모인	모이/VV+ㄴ/ETM
13만	13/SN+만/NR
명의	명/NNB+의/JKG
불특정	불/XPN+특정/NNG
다수가	다수/NNG+가/JKS
밀폐된	밀폐/NNG+되/XSV+ㄴ/ETM
공간에서	공간/NNG+에서/JKB
장시간	장시간/NNG
시험을	시험/NNG+을/JKO
치른다.	치르/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.195.6.6
하태경 새누리당 의원은 이날 페이스북에 “열이 나도 그동안 준비한 게 아까워서 상경하는 응시자가 많을 것이다. 서울시는 그렇게 가정하고 대책을 내놓아야 한다”고 지적했다.

하태경	하태경/NNP
새누리당	새누리당/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
페이스북에	페이스북/NNP+에/JKB
“열이	“/SS+열/NNG+이/JKS
나도	나/VV+아도/EC
그동안	그동안/NNG
준비한	준비/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
아까워서	아깝/VA+어서/EC
상경하는	상경/NNG+하/XSV+는/ETM
응시자가	응시자/NNG+가/JKS
많을	많/VA+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF
서울시는	서울시/NNP+는/JX
그렇게	그렇/VA+게/EC
가정하고	가정/NNG+하/XSV+고/EC
대책을	대책/NNG+을/JKO
내놓아야	내놓/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.195.7.1
서울시가 지방공무원법을 어기지 않으려고 시험을 연기하지 않았다는 분석도 있다.

서울시가	서울시/NNP+가/JKS
지방공무원법을	지방/NNG+공무원법/NNG+을/JKO
어기지	어기/VV+지/EC
않으려고	않/VX+으려고/EC
시험을	시험/NNG+을/JKO
연기하지	연기/NNG+하/XSV+지/EC
않았다는	않/VX+았/EP+다는/ETM
분석도	분석/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.195.7.2
이 법에 따르면 시험 연기는 1주일 전에 공지해야 하는데 이미 그 시한을 넘겼다.

이	이/MMD
법에	법/NNG+에/JKB
따르면	따르/VV+면/EC
시험	시험/NNG
연기는	연기/NNG+는/JX
1주일	1/SN+주일/NNB
전에	전/NNG+에/JKB
공지해야	공지/NNG+하/XSV+아야/EC
하는데	하/VX+는데/EC
이미	이미/MAG
그	그/MMD
시한을	시한/NNG+을/JKO
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.195.7.3
서울시 관계자는 “행정자치부와 협의하면 시험을 연기하는 방법을 찾을 수도 있다. 그러나 메르스가 아직 병원 내 감염이고 지역사회 감염이 아닌 만큼 철저한 관리 속에 예정대로 시험을 치르는 게 타당하다고 판단했다”고 설명했다.

서울시	서울시/NNP
관계자는	관계자/NNG+는/JX
“행정자치부와	“/SS+행정/NNG+자치부/NNG+와/JKB
협의하면	협의/NNG+하/XSV+면/EC
시험을	시험/NNG+을/JKO
연기하는	연기/NNG+하/XSV+는/ETM
방법을	방법/NNG+을/JKO
찾을	찾/VV+을/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF
그러나	그러나/MAJ
메르스가	메르스/NNG+가/JKS
아직	아직/MAG
병원	병원/NNG
내	내/NNB
감염이고	감염/NNG+이/VCP+고/EC
지역사회	지역/NNG+사회/NNG
감염이	감염/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
만큼	만큼/NNB
철저한	철저/NNG+하/XSA+ㄴ/ETM
관리	관리/NNG
속에	속/NNG+에/JKB
예정대로	예정/NNG+대로/JX
치르는	치르/VV+는/ETM
게	거/NNB+이/JKS
타당하다고	타당하/VA+다고/EC
판단했다”고	판단/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


