# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.315
metadata : {}


# id : NWRW1800000036.315.1.1
국제배구연맹 “김연경은 흥국생명 소속”

국제배구연맹	국제배구연맹/NNP
# id : NWRW1800000036.315.4.4
국제배구연맹의 결론에도 김연경 측은 재질의 의사를 밝혀 불씨는 여전하다.

국제배구연맹의	국제배구연맹/NNP+의/JKG
결론에도	결론/NNG+에/JKB+도/JX
김연경	김연경/NNP
측은	측/NNB+은/JX
재질의	재질의/NNG
의사를	의사/NNG+를/JKO
밝혀	밝히/VV+어/EC
불씨는	불씨/NNG+는/JX
여전하다.	여전하/VA+다/EF+./SF


# id : NWRW1800000036.315.5.1
김연경은 국내에서 4시즌을 뛴 뒤 임대 형식으로 일본에서 2년, 터키에서 1년을 뛰었다.

김연경은	김연경/NNP+은/JX
국내에서	국내/NNG+에서/JKB
4시즌을	4/SN+시즌/NNG+을/JKO
뛴	뛰/VV+ㄴ/ETM
뒤	뒤/NNG
임대	임대/NNG
형식으로	형식/NNG+으로/JKB
일본에서	일본/NNP+에서/JKB
2년,	2/SN+년/NNB+,/SP
터키에서	터키/NNP+에서/JKB
1년을	1/SN+년/NNB+을/JKO
뛰었다.	뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.315.5.2
임대기간까지 포함하면 자유계약선수(FA) 신분을 얻었다고 판단한 김연경은 이후 흥국생명 동의 없이 에이전트를 통해 페네르바흐체와 2년 계약을 했다.

임대기간까지	임대/NNG+기간/NNG+까지/JX
포함하면	포함/NNG+하/XSV+면/EC
자유계약선수(FA)	자유/NNG+계약/NNG+선수/NNG+(/SS+FA/SL+)/SS
신분을	신분/NNG+을/JKO
얻었다고	얻/VV+었/EP+다고/EC
판단한	판단/NNG+하/XSV+ㄴ/ETM
김연경은	김연경/NNP+은/JX
이후	이후/NNG
흥국생명	흥국생명/NNP
동의	동의/NNG
없이	없이/MAG
에이전트를	에이전트/NNG+를/JKO
통해	통하/VV+아/EC
페네르바흐체와	페네르바흐체/NNP+와/JKB
2년	2/SN+년/NNB
계약을	계약/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.315.5.3
하지만 흥국생명은 김연경이 임대기간 동안 국내 리그에 뛰지 않았기 때문에 자유계약선수 요건(6시즌)이 충족되지 않아 여전히 흥국생명 소속 선수라고 주장했다.

하지만	하지만/MAJ
흥국생명은	흥국생명/NNP+은/JX
김연경이	김연경/NNP+이/JKS
임대기간	임대/NNG+기간/NNG
동안	동안/NNG
국내	국내/NNG
리그에	리그/NNG+에/JKB
뛰지	뛰/VV+지/EC
않았기	않/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
자유계약선수	자유/NNG+계약/NNG+선수/NNG
요건(6시즌)이	요건/NNG+(/SS+6/SN+시즌/NNG+)/SS+이/JKS
충족되지	충족/NNG+되/XSV+지/EC
않아	않/VX+아/EC
여전히	여전히/MAG
흥국생명	흥국생명/NNP
소속	소속/NNG
선수라고	선수/NNG+이/VCP+라고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.315.6.1
국제배구연맹의 결론을 따를 경우 김연경은 기존 페네르바흐체와 맺은 계약 대신 주체를 흥국생명으로 바꿔 임대 형식의 새로운 계약서를 작성해야만 한다.

국제배구연맹의	국제배구연맹/NNP+의/JKG
결론을	결론/NNG+을/JKO
따를	따르/VV+ㄹ/ETM
경우	경우/NNG
김연경은	김연경/NNP+은/JX
기존	기존/NNG
페네르바흐체와	페네르바흐체/NNP+와/JKB
맺은	맺/VV+은/ETM
계약	계약/NNG
대신	대신/NNG
주체를	주체/NNG+를/JKO
흥국생명으로	흥국생명/NNP+으로/JKB
바꿔	바꾸/VV+어/EC
임대	임대/NNG
형식의	형식/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
계약서를	계약서/NNG+를/JKO
작성해야만	작성/NNG+하/XSV+아야만/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.315.6.2
흥국생명은 “조속한 시기에 김연경을 만나 원만한 합의를 거쳐 해외 무대에서 뛸 수 있도록 노력하겠다”고 밝혔다.

흥국생명은	흥국생명/NNP+은/JX
“조속한	“/SS+조속하/VA+ㄴ/ETM
시기에	시기/NNG+에/JKB
김연경을	김연경/NNP+을/JKO
만나	만나/VV+아/EC
원만한	원만하/VA+ㄴ/ETM
합의를	합의/NNG+를/JKO
거쳐	거치/VV+어/EC
해외	해외/NNG
무대에서	무대/NNG+에서/JKB
뛸	뛰/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.315.6.3
하지만 김연경은 이날 국내 언론과의 인터뷰에서 “국제 계약 관행상 내가 자유계약선수가 맞는지 국제배구연맹에 다시 물어보겠다”며 “현재 심정으로선 무릎을 수술하고 몇 개월 쉬고 싶다”는 뜻을 전했다.

하지만	하지만/MAJ
김연경은	김연경/NNP+은/JX
이날	이날/NNG
국내	국내/NNG
언론과의	언론/NNG+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“국제	“/SS+국제/NNG
계약	계약/NNG
관행상	관행/NNG+상/XSN
내가	내/NP+가/JKS
자유계약선수가	자유/NNG+계약/NNG+선수/NNG+가/JKS
맞는지	맞/VV+는지/EC
국제배구연맹에	국제배구연맹/NNP+에/JKB
다시	다시/MAG
물어보겠다”며	물어보/VV+겠/EP+다/EF+”/SS+며/EC
“현재	“/SS+현재/MAG
심정으로선	심정/NNG+으로서/JKB+ㄴ/JX
무릎을	무릎/NNG+을/JKO
수술하고	수술/NNG+하/XSV+고/EC
몇	몇/NR
개월	개월/NNB
쉬고	쉬/VV+고/EC
싶다”는	싶/VX+다/EF+”/SS+는/ETM
뜻을	뜻/NNG+을/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


