# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.141
metadata : {}


# id : NWRW1800000052.141.1.1
시대와 일상 건드리는 색다른 신작들…이용백·잭슨홍 개인전

시대와	시대/NNG+와/JC
돌려볼	돌려보/VV+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000052.141.3.3
2011년 베네치아 비엔날레 한국관 출품작가인 미디어아티스트 이용백씨와 디자인과 순수미술 사이의 경계작업을 벌여온 잭슨홍 작가가 눈맛 나는 신작들을 내놓았다.

2011년	2011/SN+년/NNB
베네치아	베네치아/NNP
비엔날레	비엔날레/NNG
한국관	한국관/NNG
출품작가인	출품/NNG+작가/NNG+이/VCP+ㄴ/ETM
미디어아티스트	미디어/NNG+아티스트/NNG
이용백씨와	이용백/NNP+씨/NNB+와/JC
디자인과	디자인/NNG+과/JC
순수미술	순수/NNG+미술/NNG
사이의	사이/NNG+의/JKG
경계작업을	경계/NNG+작업/NNG+을/JKO
벌여온	벌이/VV+어/EC+오/VX+ㄴ/ETM
잭슨홍	잭슨홍/NNP
작가가	작가/NNG+가/JKS
눈맛	눈맛/NNG
나는	나/VV+는/ETM
신작들을	신작/NNG+들/XSN+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.141.4.1
■ 제 구실 못해 작품이 된 디자인 어디서 본 듯한 디자인 제품 같은데 도통 용도를 짐작할 수 없다.

■	■/SW
제	저/NP+의/JKG
구실	구실/NNG
못해	못/MAG+하/XSV+아/EC
작품이	작품/NNG+이/JKC
된	되/VV+ㄴ/ETM
디자인	디자인/NNG
어디서	어디/NP+서/JKB
본	보/VV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
제품	제품/NNG
같은데	같/VA+은데/EC
도통	도통/MAG
용도를	용도/NNG+를/JKO
짐작할	짐작/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000052.141.4.2
서울 서초동 페리지 갤러리의 전시장 바닥 여기저기 널브러지거나 세워진 작가 잭슨홍의 플라스틱, 금속제 조형물들이 그렇다.

서울	서울/NNP
서초동	서초동/NNP
페리지	페리지/NNP
갤러리의	갤러리/NNG+의/JKG
전시장	전시장/NNG
바닥	바닥/NNG
여기저기	여기저기/NNG
널브러지거나	널브러지/VV+거나/EC
세워진	세우/VV+어/EC+지/VX+ㄴ/ETM
작가	작가/NNG
잭슨홍의	잭슨홍/NNP+의/JKG
플라스틱,	플라스틱/NNG+,/SP
금속제	금속제/NNG
조형물들이	조형물/NNG+들/XSN+이/JKS
그렇다.	그렇/VA+다/EF+./SF


# id : NWRW1800000052.141.4.3
분명히 매끈한 선으로 디자인 됐지만 어느 기기의 부속인지, 아니면 독립적으로 어떤 구실을 하는 물건인지는 알 수 없다.

분명히	분명히/MAG
매끈한	매끈하/VA+ㄴ/ETM
선으로	선/NNG+으로/JKB
디자인	디자인/NNG
됐지만	되/XSV+었/EP+지만/EC
어느	어느/MMD
기기의	기기/NNG+의/JKG
부속인지,	부속/NNG+이/VCP+ㄴ지/EC+,/SP
아니면	아니/VCN+면/EC
독립적으로	독립/NNG+적/XSN+으로/JKB
어떤	어떤/MMD
구실을	구실/NNG+을/JKO
하는	하/VV+는/ETM
물건인지는	물건/NNG+이/VCP+ㄴ지/EC+는/JX
알	알/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000052.141.4.4
아니, 기실은 그냥 의미를 잃고 떠돌아다닐 수밖에 없는 파편 같은 물건들일 뿐이다.

아니,	아니/IC+,/SP
기실은	기실/NNG+은/JX
그냥	그냥/MAG
의미를	의미/NNG+를/JKO
잃고	잃/VV+고/EC
떠돌아다닐	떠돌아다니/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
파편	파편/NNG
같은	같/VA+은/ETM
물건들일	물건/NNG+들/XSN+이/VCP+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.141.4.5
작가가 ‘오토매틱파일럿(자동조정장치)’이라고 전시제목을 단 것처럼 작품들은 기기 부위의 굴곡선, 뻗어나온 막대나 돌출부 등이 영낙없이 가전제품이나 헬스머신, 각종 생활용 기기 등의 외양을 닮았다.

작가가	작가/NNG+가/JKS
‘오토매틱파일럿(자동조정장치)’이라고	‘/SS+오토매틱파일럿/NNG+(/SS+자동/NNG+조정/NNG+장치/NNG+)/SS+’/SS+이라고/JKQ
전시제목을	전시/NNG+제목/NNG+을/JKO
단	달/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
작품들은	작품/NNG+들/XSN+은/JX
기기	기기/NNG
부위의	부위/NNG+의/JKG
굴곡선,	굴곡선/NNG+,/SP
뻗어나온	뻗/VV+어/EC+나오/VV+ㄴ/ETM
막대나	막대/NNG+나/JC
돌출부	돌출부/NNG
등이	등/NNB+이/JKS
영낙없이	영낙없이/MAG
가전제품이나	가전제품/NNG+이나/JC
헬스머신,	헬스/NNG+머신/NNG+,/SP
각종	각종/NNG
생활용	생활/NNG+용/XSN
등의	등/NNB+의/JKG
외양을	외양/NNG+을/JKO
닮았다.	닮/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.141.4.6
하지만, 작품의 실체가 드러나지 않는 까닭에 초현실적이고 심오한 분위기마저 띠게 된다.

하지만,	하지만/MAJ+,/SP
작품의	작품/NNG+의/JKG
실체가	실체/NNG+가/JKS
드러나지	드러나/VV+지/EC
않는	않/VX+는/ETM
까닭에	까닭/NNG+에/JKB
초현실적이고	초/XPN+현실/NNG+적/XSN+이/VCP+고/EC
심오한	심오하/VA+ㄴ/ETM
분위기마저	분위기/NNG+마저/JX
띠게	띠/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.141.4.7
이 어찌할 수 없는 상황을 비행기의 자동조정장치처럼 해석한 것이다.

이	이/MMD
어찌할	어찌/MAG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상황을	상황/NNG+을/JKO
비행기의	비행기/NNG+의/JKG
자동조정장치처럼	자동/NNG+조정/NNG+장치/NNG+처럼/JKB
해석한	해석/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.141.5.1
산업디자인을 전공했지만 90년대 이래로 디자인과 현대미술의 난해한 매체실험 경계 사이를 오가는 작가의 전시장에서 느끼게 되는 감정도 모호함과 어떤 종류의 심란함에 가깝다.

산업디자인을	산업/NNG+디자인/NNG+을/JKO
전공했지만	전공/NNG+하/XSV+았/EP+지만/EC
90년대	90/SN+년대/NNB
이래로	이래/NNB+로/JKB
디자인과	디자인/NNG+과/JC
현대미술의	현대/NNG+미술/NNG+의/JKG
난해한	난해하/VA+ㄴ/ETM
매체실험	매체/NNG+실험/NNG
경계	경계/NNG
사이를	사이/NNG+를/JKO
오가는	오가/VV+는/ETM
작가의	작가/NNG+의/JKG
전시장에서	전시장/NNG+에서/JKB
느끼게	느끼/VV+게/EC
되는	되/VV+는/ETM
감정도	감정/NNG+도/JX
모호함과	모호하/VA+ㅁ/ETN+과/JC
어떤	어떤/MMD
종류의	종류/NNG+의/JKG
심란함에	심란하/VA+ㅁ/ETN+에/JKB
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000052.141.5.2
그는 이 전시에서도 하나의 의미나 상황에 고정되지 않고 끊임없이 사물을 낯설게 바라보는 특유의 감각을 보여주고 있다.

그는	그/NP+는/JX
이	이/MMD
전시에서도	전시/NNG+에서/JKB+도/JX
하나의	하나/NR+의/JKG
의미나	의미/NNG+나/JC
상황에	상황/NNG+에/JKB
고정되지	고정/NNG+되/XSV+지/EC
않고	않/VX+고/EC
끊임없이	끊임없이/MAG
사물을	사물/NNG+을/JKO
낯설게	낯설/VA+게/EC
바라보는	바라보/VV+는/ETM
특유의	특유/NNG+의/JKG
감각을	감각/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.141.5.3
지난해 서울 서촌의 전시공간 ‘시청각’에서 연 전시에서는 한옥집 공간에 조악하게 만든 인간상들이 서로 뒤얽혀 아웅다웅하는 모습을 연출하는 작품으로 화제를 모았다.

지난해	지난해/NNG
서울	서울/NNP
서촌의	서촌/NNP+의/JKG
전시공간	전시/NNG+공간/NNG
‘시청각’에서	‘/SS+시청각/NNG+’/SS+에서/JKB
연	열/VV+ㄴ/ETM
전시에서는	전시/NNG+에서/JKB+는/JX
한옥집	한옥/NNG+집/NNG
공간에	공간/NNG+에/JKB
조악하게	조악하/VA+게/EC
만든	만들/VV+ㄴ/ETM
인간상들이	인간상/NNG+들/XSN+이/JKS
서로	서로/MAG
뒤얽혀	뒤얽히/VV+어/EC
아웅다웅하는	아웅다웅/MAG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
연출하는	연출/NNG+하/XSV+는/ETM
작품으로	작품/NNG+으로/JKB
화제를	화제/NNG+를/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.141.5.4
11월12일까지.

11월12일까지.	11/SN+월/NNB+12/SN+일/NNB+까지/JX+./SF


# id : NWRW1800000052.141.5.5
(070)4676-7091.

(070)4676-7091.	(/SS+070/SN+)/SS+4676/SN+-/SO+7091/SN+./SF


# id : NWRW1800000052.141.6.1
■ 작가도 관객도 시대도 흔들흔들 그의 신작으로 다가가면 어지럼증을 느끼게 된다.

■	■/SW
작가도	작가/NNG+도/JX
관객도	관객/NNG+도/JX
시대도	시대/NNG+도/JX
흔들흔들	흔들흔들/MAG
그의	그/NP+의/JKG
신작으로	신작/NNG+으로/JKB
다가가면	다가가/VV+면/EC
어지럼증을	어지럼증/NNG+을/JKO
느끼게	느끼/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.141.6.2
관객 주위를 둘러싼 거울 8개가 번갈아 움직이면서 비추는 전시장 바닥과 벽이 흔들흔들거린다.

관객	관객/NNG
주위를	주위/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
거울	거울/NNG
8개가	8/SN+개/NNB+가/JKS
번갈아	번갈/VV+아/EC
움직이면서	움직이/VV+면서/EC
비추는	비추/VV+는/ETM
전시장	전시장/NNG
바닥과	바닥/NNG+과/JC
벽이	벽/NNG+이/JKS
흔들흔들거린다.	흔들흔들거리/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.141.6.3
거울 안 검은 대나무들도 흐늘거리고, 바닥에 땅을 붙이고 있는데도 중심을 잃는 듯한 착시효과가 관객을 때린다.

거울	거울/NNG
안	안/NNG
검은	검/VA+은/ETM
대나무들도	대나무/NNG+들/XSN+도/JX
흐늘거리고,	흐늘거리/VV+고/EC+,/SP
바닥에	바닥/NNG+에/JKB
땅을	땅/NNG+을/JKO
붙이고	붙이/VV+고/EC
있는데도	있/VX+는데/EC+도/JX
중심을	중심/NNG+을/JKO
잃는	잃/VV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
착시효과가	착시/NNG+효과/NNG+가/JKS
관객을	관객/NNG+을/JKO
때린다.	때리/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.141.7.1
이용백 작가가 서울 소격동 학고재 신관에 선보이고 있는 설치작품 ‘낯선 산책’은 작가의 단말마 같은 비명이라고도 할 수 있다.

이용백	이용백/NNP
작가가	작가/NNG+가/JKS
서울	서울/NNP
소격동	소격동/NNP
학고재	학고재/NNP
신관에	신관/NNG+에/JKB
선보이고	선보이/VV+고/EC
있는	있/VX+는/ETM
설치작품	설치/NNG+작품/NNG
‘낯선	‘/SS+낯설/VA+ㄴ/ETM
산책’은	산책/NNG+’/SS+은/JX
작가의	작가/NNG+의/JKG
단말마	단말마/NNG
같은	같/VA+은/ETM
비명이라고도	비명/NNG+이/VCP+라고/EC+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.141.7.2
이해할 수 없는 사건사고가 빈발하고 상식이 쉽사리 무너지는 한국사회에서 버티며 살기가 쉽지 않다는 것을 그는 몸으로 실감나는 흔들거리는 이미지와 느낌으로 표현해냈다.

이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
사건사고가	사건/NNG+사고/NNG+가/JKS
빈발하고	빈발/NNG+하/XSV+고/EC
상식이	상식/NNG+이/JKS
쉽사리	쉽사리/MAG
무너지는	무너지/VV+는/ETM
한국사회에서	한국/NNP+사회/NNG+에서/JKB
버티며	버티/VV+며/EC
살기가	살/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않다는	않/VX+다는/ETM
것을	것/NNB+을/JKO
그는	그/NP+는/JX
몸으로	몸/NNG+으로/JKB
실감나는	실감/NNG+나/VV+는/ETM
흔들거리는	흔들거리/VV+는/ETM
이미지와	이미지/NNG+와/JC
느낌으로	느낌/NNG+으로/JKB
표현해냈다.	표현/NNG+하/XSV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000052.141.7.3
미디어영상을 주로 작업해왔지만 누구보다도 몸으로 느끼고 표출하는데 능한 이가 이용백 작가다.

미디어영상을	미디어/NNG+영상/NNG+을/JKO
주로	주로/MAG
작업해왔지만	작업/NNG+하/XSV+아/EC+오/VX+았/EP+지만/EC
누구보다도	누구/NP+보다/JKB+도/JX
몸으로	몸/NNG+으로/JKB
느끼고	느끼/VV+고/EC
표출하는데	표출/NNG+하/XSV+는데/EC
능한	능하/VA+ㄴ/ETM
이가	이/NNB+가/JKS
이용백	이용백/NNP
작가다.	작가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.141.7.4
온라인 지도에서 보안을 이유로 남북한 휴전선 주변을 허옇게 지워버린 부분만 4.3m의 대형 조각으로 떠낸 다른 신작 ‘누구나 알고 있는 비밀’에서도 보이듯 관념에 머물지 않고 피부로 와닿는 일상의 모순을 간취하는 감각이 이 전시에서도 여실히 발산되고 있다.

온라인	온라인/NNG
지도에서	지도/NNG+에서/JKB
보안을	보안/NNG+을/JKO
이유로	이유/NNG+로/JKB
남북한	남북한/NNP
휴전선	휴전선/NNG
주변을	주변/NNG+을/JKO
허옇게	허옇/VA+게/EC
지워버린	지우/VV+어/EC+버리/VX+ㄴ/ETM
부분만	부분/NNG+만/JX
4.3m의	4/SN+./SP+3/SN+m/SW+의/JKG
대형	대형/NNG
조각으로	조각/NNG+으로/JKB
떠낸	떠내/VV+ㄴ/ETM
다른	다른/MMD
신작	신작/NNG
‘누구나	‘/SS+누구/NP+나/JX
알고	알/VV+고/EC
있는	있/VX+는/ETM
비밀’에서도	비밀/NNG+’/SS+에서/JKB+도/JX
보이듯	보이/VV+듯/EC
관념에	관념/NNG+에/JKB
머물지	머물/VV+지/EC
않고	않/VX+고/EC
피부로	피부/NNG+로/JKB
와닿는	와닿/VV+는/ETM
일상의	일상/NNG+의/JKG
모순을	모순/NNG+을/JKO
간취하는	간취/NNG+하/XSV+는/ETM
감각이	감각/NNG+이/JKS
이	이/MMD
전시에서도	전시/NNG+에서/JKB+도/JX
여실히	여실히/MAG
발산되고	발산/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.141.7.5
25일까지.

25일까지.	25/SN+일/NNB+까지/JX+./SF


# id : NWRW1800000052.141.7.6
(02)720-1524.

(02)720-1524.	(/SS+02/SN+)/SS+720/SN+-/SO+1524/SN+./SF


