# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.196
metadata : {}


# id : NWRW1800000022.196.1.1
남궁민 지식경제부 우정사업본부장;"세계 최고의 우편 IT기술 활용 국제적 물류서비스 조직 될 것"

남궁민	남궁민/NNP
거듭나겠다"고	거듭나/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.196.3.2
지난 4월 취임한 그의 핵심 목표는 "우정의 IT화를 통해 보다 신속한 쌍방향 배달 서비스를 제공하겠다"는 것.

지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
취임한	취임/NNG+하/XSV+ㄴ/ETM
그의	그/NP+의/JKG
핵심	핵심/NNG
목표는	목표/NNG+는/JX
"우정의	"/SS+우정/NNG+의/JKG
IT화를	IT/SL+화/XSN+를/JKO
통해	통하/VV+아/EC
보다	보다/MAG
신속한	신속/NNG+하/XSA+ㄴ/ETM
쌍방향	쌍방향/NNG
배달	배달/NNG
서비스를	서비스/NNG+를/JKO
제공하겠다"는	제공/NNG+하/XSV+겠/EP+다/EF+"/SS+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000022.196.4.1
남궁 본부장은 "요즘 우편배달은 '우편물류시스템(PostNet)' 도입으로 완전히 달라졌다"고 했다.

남궁	남궁/NNP
본부장은	본부장/NNG+은/JX
"요즘	"/SS+요즘/NNG
우편배달은	우편배달/NNG+은/JX
'우편물류시스템(PostNet)'	'/SS+우편/NNG+물류/NNG+시스템/NNG+(/SS+PostNet/SL+)/SS+'/SS
도입으로	도입/NNG+으로/JKB
완전히	완전히/MAG
달라졌다"고	달라지/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.196.4.2
전국 1만7000명의 집배원이 개인휴대용 정보단말기(PDA)를 통해 우편물 배달 상황을 실시간으로 입력하면 종합상황실로 정보가 취합되고, 고객에게 우편물 배달 여부에 대한 정보가 휴대폰 문자서비스(SMS)로 자동 전달된다.

전국	전국/NNG
1만7000명의	1/SN+만/NR+7000/SN+명/NNB+의/JKG
집배원이	집배원/NNG+이/JKS
개인휴대용	개인/NNG+휴대/NNG+용/XSN
정보단말기(PDA)를	정보/NNG+단말기/NNG+(/SS+PDA/SL+)/SS+를/JKO
통해	통하/VV+아/EC
우편물	우편물/NNG
배달	배달/NNG
상황을	상황/NNG+을/JKO
실시간으로	실시간/NNG+으로/JKB
입력하면	입력/NNG+하/XSV+면/EC
종합상황실로	종합/NNG+상황실/NNG+로/JKB
정보가	정보/NNG+가/JKS
취합되고,	취합/NNG+되/XSV+고/EC+,/SP
고객에게	고객/NNG+에게/JKB
여부에	여부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
휴대폰	휴대폰/NNG
문자서비스(SMS)로	문자/NNG+서비스/NNG+(/SS+SMS/SL+)/SS+로/JKB
자동	자동/NNG
전달된다.	전달/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.196.5.1
"우리의 우정IT기술은 세계 최고 수준입니다.

"우리의	"/SS+우리/NP+의/JKG
우정IT기술은	우정/NNG+IT/SL+기술/NNG+은/JX
세계	세계/NNG
최고	최고/NNG
수준입니다.	수준/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.196.5.2
우편물에 대해 전(全) 과정을 자동 관리하는 나라는 우리가 유일합니다.

우편물에	우편물/NNG+에/JKB
대해	대하/VV+아/EC
전(全)	전/MMN+(/SS+全/SH+)/SS
과정을	과정/NNG+을/JKO
자동	자동/NNG
관리하는	관리/NNG+하/XSV+는/ETM
나라는	나라/NNG+는/JX
우리가	우리/NP+가/JKS
유일합니다.	유일/NNG+하/XSA+ㅂ니다/EF+./SF


# id : NWRW1800000022.196.5.3
서울에서 하루 만에 편지가 배달되는 걸 보고 미국 사람들이 놀랍니다.

서울에서	서울/NNP+에서/JKB
하루	하루/NNG
만에	만/NNB+에/JKB
편지가	편지/NNG+가/JKS
배달되는	배달/NNG+되/XSV+는/ETM
걸	거/NNB+ㄹ/JKO
보고	보/VV+고/EC
미국	미국/NNP
사람들이	사람/NNG+들/XSN+이/JKS
놀랍니다.	놀라/VV+ㅂ니다/EF+./SF


# id : NWRW1800000022.196.5.4
고객이 접수번호만 갖고 있으면 우편물이 어디에 있고 언제 배달될지 실시간 조회가 가능합니다."

고객이	고객/NNG+이/JKS
접수번호만	접수/NNG+번호/NNG+만/JX
갖고	갖/VV+고/EC
있으면	있/VX+으면/EC
우편물이	우편물/NNG+이/JKS
어디에	어디/NP+에/JKB
있고	있/VA+고/EC
언제	언제/MAG
배달될지	배달/NNG+되/XSV+ㄹ지/EF
실시간	실시간/NNG
조회가	조회/NNG+가/JKS
가능합니다."	가능/NNG+하/XSA+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000022.196.6.1
우정사업본부가 개발한 우편 자동분류 시스템은 우편물에 적힌 주소와 우편번호를 인식해 지역별로 자동 분류한다.

우정사업본부가	우정/NNG+사업/NNG+본부/NNG+가/JKS
개발한	개발/NNG+하/XSV+ㄴ/ETM
우편	우편/NNG
자동분류	자동/NNG+분류/NNG
시스템은	시스템/NNG+은/JX
우편물에	우편물/NNG+에/JKB
적힌	적히/VV+ㄴ/ETM
주소와	주소/NNG+와/JC
우편번호를	우편/NNG+번호/NNG+를/JKO
인식해	인식/NNG+하/XSV+아/EC
지역별로	지역/NNG+별/XSN+로/JKB
자동	자동/NNG
분류한다.	분류/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.196.6.2
덕분에 우편 분류 시간이 절반으로 줄고 배송시간도 앞당겨졌다.

덕분에	덕분/NNG+에/JKB
우편	우편/NNG
분류	분류/NNG
시간이	시간/NNG+이/JKS
절반으로	절반/NNG+으로/JKB
줄고	줄/VV+고/EC
배송시간도	배송/NNG+시간/NNG+도/JX
앞당겨졌다.	앞당기/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.196.7.1
집이나 사무실, 길거리 어디서든 인터넷과 휴대폰 등을 이용해 우편서비스를 이용할 수 있는 유비쿼터스 우체국(U-Post)과 고객이 인터넷에서 직접 우표를 인쇄해 사용하는 '온라인 우표' 서비스도 2011년부터 시작된다.

집이나	집/NNG+이나/JC
사무실,	사무실/NNG+,/SP
길거리	길거리/NNG
어디서든	어디/NP+서/JKB+든/JX
인터넷과	인터넷/NNG+과/JC
휴대폰	휴대폰/NNG
등을	등/NNB+을/JKO
이용해	이용/NNG+하/XSV+아/EC
우편서비스를	우편/NNG+서비스/NNG+를/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
유비쿼터스	유비쿼터스/NNG
우체국(U-Post)과	우체국/NNG+(/SS+U/SL+-/SO+Post/SL+)/SS+과/JC
고객이	고객/NNG+이/JKS
인터넷에서	인터넷/NNG+에서/JKB
직접	직접/MAG
우표를	우표/NNG+를/JKO
인쇄해	인쇄/NNG+하/XSV+아/EC
사용하는	사용/NNG+하/XSV+는/ETM
'온라인	'/SS+온라인/NNG
우표'	우표/NNG+'/SS
서비스도	서비스/NNG+도/JX
2011년부터	2011/SN+년/NNB+부터/JX
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.196.8.1
그는 우정IT를 새 수출산업으로 키우기 위해 동분서주하고 있다.

그는	그/NP+는/JX
우정IT를	우정/NNG+IT/SL+를/JKO
새	새/MMA
수출산업으로	수출/NNG+산업/NNG+으로/JKB
키우기	키우/VV+기/ETN
위해	위하/VV+아/EC
동분서주하고	동분서주/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.196.8.2
"우리가 개발한 우정IT 시스템과 기기들이 미국과 유럽 아시아로 수출되고 있어요.

"우리가	"/SS+우리/NP+가/JKS
개발한	개발/NNG+하/XSV+ㄴ/ETM
우정IT	우정/NNG+IT/SL
시스템과	시스템/NNG+과/JC
기기들이	기기/NNG+들/XSN+이/JKS
미국과	미국/NNP+과/JC
유럽	유럽/NNP
아시아로	아시아/NNP+로/JKB
수출되고	수출/NNG+되/XSV+고/EC
있어요.	있/VX+어요/EF+./SF


# id : NWRW1800000022.196.8.3
올해는 남미와 아프리카 시장을 개척, 우편물류시스템과 집배원용 PDA 등 관련 기기 수출액이 3000억원에 이를 것입니다."

올해는	올해/NNG+는/JX
남미와	남미/NNP+와/JC
아프리카	아프리카/NNP
시장을	시장/NNG+을/JKO
개척,	개척/NNG+,/SP
우편물류시스템과	우편/NNG+물류/NNG+시스템/NNG+과/JC
집배원용	집배원/NNG+용/XSN
PDA	PDA/SL
등	등/NNB
관련	관련/NNG
기기	기기/NNG
수출액이	수출액/NNG+이/JKS
3000억원에	3000/SN+억/NR+원/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
것입니다."	것/NNB+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000022.196.9.1
그가 특히 역점을 두는 국제특송(EMS) 시장에서는 점유율 35%로 DHL의 턱밑까지 쫓아갔다.

그가	그/NP+가/JKS
특히	특히/MAG
역점을	역점/NNG+을/JKO
두는	두/VV+는/ETM
국제특송(EMS)	국제/NNG+특송/NNG+(/SS+EMS/SL+)/SS
시장에서는	시장/NNG+에서/JKB+는/JX
점유율	점유/NNG+율/XSN
35%로	35/SN+%/SW+로/JKB
DHL의	DHL/SL+의/JKG
턱밑까지	턱밑/NNG+까지/JX
쫓아갔다.	쫓아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.196.9.2
"미국·일본 등의 우체국과 상호 협력 약정을 맺고, IT를 이용한 우편추적시스템을 갖춤으로써 배달요금과 시간, 사고율을 크게 낮췄습니다."

"미국·일본	"/SS+미국/NNP+·/SP+일본/NNP
등의	등/NNB+의/JKG
우체국과	우체국/NNG+과/JKB
상호	상호/NNG
협력	협력/NNG
약정을	약정/NNG+을/JKO
맺고,	맺/VV+고/EC+,/SP
IT를	IT/SL+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
우편추적시스템을	우편/NNG+추적/NNG+시스템/NNG+을/JKO
갖춤으로써	갖추/VV+ㅁ/ETN+으로써/JKB
배달요금과	배달/NNG+요금/NNG+과/JC
시간,	시간/NNG+,/SP
사고율을	사고/NNG+율/XSN+을/JKO
크게	크/VA+게/EC
낮췄습니다."	낮추/VV+었/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000022.196.10.1
그는 "우체국을 낡은 아날로그 조직이라고 생각하지 말라"고 했다.

그는	그/NP+는/JX
"우체국을	"/SS+우체국/NNG+을/JKO
낡은	낡/VV+은/ETM
아날로그	아날로그/NNG
조직이라고	조직/NNG+이/VCP+라고/EC
생각하지	생각/NNG+하/XSV+지/EC
말라"고	말/VX+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.196.10.2
"IT와 속도 면에서는 가장 앞서고 연간 매출액이 11조원대로 국내 기업을 통틀어 20위권에 듭니다.

"IT와	"/SS+IT/SL+와/JC
속도	속도/NNG
면에서는	면/NNG+에서/JKB+는/JX
가장	가장/MAG
앞서고	앞서/VV+고/EC
연간	연간/NNG
매출액이	매출액/NNG+이/JKS
11조원대로	11/SN+조/NR+원/NNB+대/XSN+로/JKB
국내	국내/NNG
기업을	기업/NNG+을/JKO
통틀어	통틀어/MAG
20위권에	20/SN+위/NNB+권/XSN+에/JKB
듭니다.	들/VV+ㅂ니다/EF+./SF


# id : NWRW1800000022.196.10.3
정부 조직으로는 드물게 11년 연속 흑자를 냈고, 이익금 중 8500억원을 정부 재정에 넣었습니다."

정부	정부/NNG
조직으로는	조직/NNG+으로/JKB+는/JX
드물게	드물/VA+게/EC
11년	11/SN+년/NNB
연속	연속/NNG
흑자를	흑자/NNG+를/JKO
냈고,	내/VV+었/EP+고/EC+,/SP
이익금	이익금/NNG
중	중/NNB
8500억원을	8500/SN+억/NR+원/NNB+을/JKO
재정에	재정/NNG+에/JKB
넣었습니다."	넣/VV+었/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000022.196.11.1
행정고시에 합격해 1981년 체신부에서 공직생활을 시작한 남궁 본부장은 우정 및 정보통신 분야에서 잔뼈가 굵었다.

행정고시에	행정/NNG+고시/NNG+에/JKB
합격해	합격/NNG+하/XSV+아/EC
1981년	1981/SN+년/NNB
체신부에서	체신부/NNG+에서/JKB
공직생활을	공직/NNG+생활/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
남궁	남궁/NNP
본부장은	본부장/NNG+은/JX
우정	우정/NNG
및	및/MAG
정보통신	정보/NNG+통신/NNG
분야에서	분야/NNG+에서/JKB
잔뼈가	잔뼈/NNG+가/JKS
굵었다.	굵/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.196.11.2
그는 마라톤 풀코스를 11번 완주한 달리기 애호가이다.

그는	그/NP+는/JX
마라톤	마라톤/NNG
풀코스를	풀코스/NNG+를/JKO
11번	11/SN+번/NNB
완주한	완주/NNG+하/XSV+ㄴ/ETM
달리기	달리기/NNG
애호가이다.	애호가/NNG+이/VCP+다/EF+./SF


