# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.43
metadata : {}


# id : NWRW1800000032.43.1.1
계열사끼리 후순위채 교차판매 불법 논란

계열사끼리	계열사/NNG+끼리/XSN
2009년 11월의 3회차 발행분과 2010년 6월의 4차 발행분 총 500억원 가운데 116억원은 토마토2저축은행이 고객의 위임장을 받아 대리 청약한 물량이라는 것이다.

2009년	2009/SN+년/NNB
11월의	11/SN+월/NNB+의/JKG
3회차	3/SN+회차/NNG
발행분과	발행/NNG+분/XSN+과/JC
2010년	2010/SN+년/NNB
6월의	6/SN+월/NNB+의/JKG
4차	4/SN+차/NNB
발행분	발행/NNG+분/XSN
총	총/MMA
500억원	500/SN+억/NR+원/NNB
가운데	가운데/NNG
116억원은	116/SN+억/NR+원/NNB+은/JX
토마토2저축은행이	토마토2저축은행/NNP+이/JKS
고객의	고객/NNG+의/JKG
위임장을	위임장/NNG+을/JKO
받아	받/VV+아/EC
대리	대리/NNG
청약한	청약/NNG+하/XSV+ㄴ/ETM
물량이라는	물량/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.43.5.4
금감원은 유가증권 업무 허가를 받지 않은 토마토2저축은행이 대리 청약한 것은 위법 여부를 따져 봐야 한다고 밝혔다.

금감원은	금감원/NNG+은/JX
유가증권	유가/NNG+증권/NNG
업무	업무/NNG
허가를	허가/NNG+를/JKO
받지	받/VV+지/EC
않은	않/VX+은/ETM
토마토2저축은행이	토마토2저축은행/NNP+이/JKS
대리	대리/NNG
청약한	청약/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
위법	위법/NNG
여부를	여부/NNG+를/JKO
따져	따지/VV+어/EC
봐야	보/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.43.5.5
이에 대해 토마토 후순위채를 산 투자자들은 “월이자 지급도 토마토2에서 받아서, 토마토2 후순위채로 알고 있었다”며 “원리금을 보장해야 한다”고 요구하고 있다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
토마토	토마토/NNP
후순위채를	후순위채/NNG+를/JKO
산	사/VV+ㄴ/ETM
투자자들은	투자자/NNG+들/XSN+은/JX
“월이자	“/SS+월/NNG+이자/NNG
지급도	지급/NNG+도/JX
토마토2에서	토마토2/NNP+에서/JKB
받아서,	받/VV+아서/EC+,/SP
토마토2	토마토2/NNP
후순위채로	후순위채/NNG+로/JKB
알고	알/VV+고/EC
있었다”며	있/VX+었/EP+다/EF+”/SS+며/EC
“원리금을	“/SS+원리금/NNG+을/JKO
보장해야	보장/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
요구하고	요구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.43.6.1
제일2저축은행도 2009년 6월 제1회 후순위채 200억원을 발행하면서 물량 소화를 위해 제일저축은행 본점과 지점을 통해서도 고객에게 판매했다.

제일2저축은행도	제일2저축은행/NNP+도/JX
2009년	2009/SN+년/NNB
6월	6/SN+월/NNB
제1회	제/XPN+1/SN+회/NNB
후순위채	후순위채/NNG
200억원을	200/SN+억/NR+원/NNB+을/JKO
발행하면서	발행/NNG+하/XSV+면서/EC
물량	물량/NNG
소화를	소화/NNG+를/JKO
위해	위하/VV+아/EC
제일저축은행	제일저축은행/NNP
본점과	본점/NNG+과/JC
지점을	지점/NNG+을/JKO
통해서도	통하/VV+아서/EC+도/JX
고객에게	고객/NNG+에게/JKB
판매했다.	판매/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.43.6.2
제일2저축은행의 후순위채를 가지고 있는 한 투자자는 “제일저축은행 장충지점에 만기가 된 예금을 찾으러 갔다가 창구 직원이 후순위채를 권유해 가입했는데 나중에 알고 보니 제일2저축은행 채권이었다”고 말했다.

제일2저축은행의	제일2저축은행/NNP+의/JKG
후순위채를	후순위채/NNG+를/JKO
가지고	가지/VV+고/EC
있는	있/VX+는/ETM
한	한/MMN
투자자는	투자자/NNG+는/JX
“제일저축은행	“/SS+제일저축은행/NNP
장충지점에	장충/NNP+지점/NNG+에/JKB
만기가	만기/NNG+가/JKC
된	되/VV+ㄴ/ETM
예금을	예금/NNG+을/JKO
찾으러	찾/VV+으러/EC
갔다가	가/VV+았/EP+다가/EC
창구	창구/NNG
직원이	직원/NNG+이/JKS
권유해	권유/NNG+하/XSV+아/EC
가입했는데	가입/NNG+하/XSV+았/EP+는데/EC
나중에	나중/NNG+에/JKB
알고	알/VV+고/EC
보니	보/VX+니/EC
제일2저축은행	제일2저축은행/NNP
채권이었다”고	채권/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.43.7.1
금감원 관계자는 “계열사간 교차판매의 불법 여부를 따져보겠다”며 “불완전판매로 인정돼 보상을 받으려면 분쟁조정위원회가 여러 정황을 파악한 뒤에야 가능하다”고 말했다.

금감원	금감원/NNG
관계자는	관계자/NNG+는/JX
“계열사간	“/SS+계열사/NNG+간/NNB
교차판매의	교차/NNG+판매/NNG+의/JKG
불법	불법/NNG
여부를	여부/NNG+를/JKO
따져보겠다”며	따지/VV+어/EC+보/VX+겠/EP+다/EF+”/SS+며/EC
“불완전판매로	“/SS+불/XPN+완전/NNG+판매/NNG+로/JKB
인정돼	인정/NNG+되/XSV+어/EC
보상을	보상/NNG+을/JKO
받으려면	받/VV+으려면/EC
분쟁조정위원회가	분쟁/NNG+조정/NNG+위원회/NNG+가/JKS
여러	여러/MMN
정황을	정황/NNG+을/JKO
파악한	파악/NNG+하/XSV+ㄴ/ETM
뒤에야	뒤/NNG+에/JKB+야/JX
가능하다”고	가능/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


