# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.1
metadata : {}


# id : NWRW1800000054.1.1.1
국내 유통 '팸퍼스 기저귀' 4종 모두 조사

국내	국내/NNG
유기화합물이,	유기/NNG+화합물/NNG+이/JKS+,/SP
P&G의	P/SL+&/SW+G/SL+의/JKG
'팸퍼스	'/SS+팸퍼스/NNP
베이비	베이비/NNP
드라이'에서는	드라이/NNP+'/SS+에서/JKB+는/JX
살충제와	살충제/NNG+와/JC
다이옥신이,	다이옥신/NNG+이/JKS+,/SP
'카르푸	'/SS+카르푸/NNP
에코	에코/NNP
플래닛'에서는	플래닛/NNP+'/SS+에서/JKB+는/JX
글리포세이트(살충제)와	글리포세이트/NNG+(/SS+살충제/NNG+)/SS+와/JC
유기화합물,	유기/NNG+화합물/NNG+,/SP
다환방향족탄화수소가	다환/NNG+방향족/NNG+탄화수소/NNG+가/JKS
검출됐다고	검출/NNG+되/XSV+었/EP+다고/EC
고발하면서	고발/NNG+하/XSV+면서/EC
불거졌다.	불거지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.1.5.2
한국에는 '팸퍼스 베이비 드라이'만 정식 수입되고 있다.

한국에는	한국/NNP+에/JKB+는/JX
'팸퍼스	'/SS+팸퍼스/NNP
베이비	베이비/NNP
드라이'만	드라이/NNP+'/SS+만/JX
정식	정식/NNG
수입되고	수입/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.1.6.1
한편, 대형 마트들은 독성 기저귀 논란에 휘말린 '팸퍼스 베이비 드라이' 제품을 매장에서 회수하고 온·오프라인에서의 판매를 전면 중단하기로 했다.

한편,	한편/MAG+,/SP
대형	대형/NNG
마트들은	마트/NNG+들/XSN+은/JX
독성	독성/NNG
기저귀	기저귀/NNG
논란에	논란/NNG+에/JKB
휘말린	휘말리/VV+ㄴ/ETM
'팸퍼스	'/SS+팸퍼스/NNP
베이비	베이비/NNP
드라이'	드라이/NNP+'/SS
제품을	제품/NNG+을/JKO
매장에서	매장/NNG+에서/JKB
회수하고	회수/NNG+하/XSV+고/EC
온·오프라인에서의	온·오프라인/NNG+에서/JKB+의/JKG
판매를	판매/NNG+를/JKO
전면	전면/NNG
중단하기로	중단/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.1.6.2
롯데마트·홈플러스는 이날 "오늘 오전에 해당 제품을 매장에서 모두 철수시켰다"며 "온라인에서의 판매도 전면 중단하기로 했다"고 밝혔다.

롯데마트·홈플러스는	롯데마트/NNP+·/SP+홈플러스/NNP+는/JX
이날	이날/NNG
"오늘	"/SS+오늘/NNG
오전에	오전/NNG+에/JKB
해당	해당/NNG
제품을	제품/NNG+을/JKO
매장에서	매장/NNG+에서/JKB
모두	모두/MAG
철수시켰다"며	철수/NNG+시키/XSV+었/EP+다/EF+"/SS+며/EC
"온라인에서의	"/SS+온라인/NNG+에서/JKB+의/JKG
판매도	판매/NNG+도/JX
전면	전면/NNG
중단하기로	중단/NNG+하/XSV+기/ETN+로/JKB
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.1.6.3
해당 제품을 온라인몰에서만 판매 중인 이마트도 판매를 중단한다고 밝혔다.

해당	해당/NNG
제품을	제품/NNG+을/JKO
온라인몰에서만	온라인/NNG+몰/NNG+에서/JKB+만/JX
판매	판매/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
이마트도	이마트/NNP+도/JX
판매를	판매/NNG+를/JKO
중단한다고	중단/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.1.6.4
대형 마트 관계자는 "기저귀의 경우 워낙 민감한 상품이라 최대한 빠르게 조치했다"며 "국제적으로 검증받은 기관에서 확실히 안전하다는 검사 결과가 나오기 전에는 판매가 힘들 것 같다"고 말했다.

대형	대형/NNG
마트	마트/NNG
관계자는	관계자/NNG+는/JX
"기저귀의	"/SS+기저귀/NNG+의/JKG
경우	경우/NNG
워낙	워낙/MAG
민감한	민감/NNG+하/XSA+ㄴ/ETM
상품이라	상품/NNG+이/VCP+라/EC
최대한	최대한/MAG
빠르게	빠르/VA+게/EC
조치했다"며	조치/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"국제적으로	"/SS+국제/NNG+적/XSN+으로/JKB
검증받은	검증/NNG+받/XSV+은/ETM
기관에서	기관/NNG+에서/JKB
확실히	확실히/MAG
안전하다는	안전/NNG+하/XSA+다는/ETM
검사	검사/NNG
결과가	결과/NNG+가/JKS
나오기	나오/VV+기/ETN
전에는	전/NNG+에/JKB+는/JX
판매가	판매/NNG+가/JKS
힘들	힘들/VA+ㄹ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.1.7.1
이에 대해 한국P&G 측은 "아직 프랑스 정부에서 조사 중인 사안이라 리콜·환불 등에 대한 대응 조치는 결정된 바 없다"고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
한국P&G	한국P&G/NNP
측은	측/NNB+은/JX
"아직	"/SS+아직/MAG
프랑스	프랑스/NNP
정부에서	정부/NNG+에서/JKB
조사	조사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
사안이라	사안/NNG+이/VCP+라/EC
리콜·환불	리콜/NNG+·/SP+환불/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
대응	대응/NNG
조치는	조치/NNG+는/JX
결정된	결정/NNG+되/XSV+ㄴ/ETM
바	바/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


