# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.3
metadata : {}


# id : NWRW1800000040.3.1.1
‘현금 서비스’도 울고 갈 ‘할부 수수료’의 고금리

‘현금	‘/SS+현금/NNG
수수료를	수수료/NNG+를/JKO
낸	내/VV+ㄴ/ETM
고객	고객/NNG
비중도	비중/NNG+도/JX
35.6%나	35/SN+./SP+6/SN+%/SW+나/JX
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.3.7.3
현대카드는 이보다 조금 더 높은 편이다.

현대카드는	현대카드/NNP+는/JX
이보다	이/NP+보다/JKB
조금	조금/MAG
더	더/MAG
높은	높/VA+은/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.3.7.4
현대카드를 이용해 할부이자를 내고 물건을 구매한 고객 중 76.7%는 연 22~24%의 높은 금리를 적용받았다.

현대카드를	현대카드/NNP+를/JKO
이용해	이용/NNG+하/XSV+아/EC
할부이자를	할부/NNG+이자/NNG+를/JKO
내고	내/VV+고/EC
물건을	물건/NNG+을/JKO
구매한	구매/NNG+하/XSV+ㄴ/ETM
고객	고객/NNG
중	중/NNB
76.7%는	76/SN+./SP+7/SN+%/SW+는/JX
연	연/NNG
22~24%의	22/SN+~/SO+24/SN+%/SW+의/JKG
높은	높/VA+은/ETM
금리를	금리/NNG+를/JKO
적용받았다.	적용/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.3.7.5
이 밖에도 하나에스케이(SK)카드와 삼성카드의 경우에도 18% 이상의 수수료율이 적용된 고객 비중이 각각 71.8%, 60%나 됐고, 롯데카드의 경우엔 58.2%였다.

이	이/NP
밖에도	밖/NNG+에/JKB+도/JX
하나에스케이(SK)카드와	하나에스케이/NNP+(/SS+SK/SL+)/SS+카드/NNG+와/JC
삼성카드의	삼성카드/NNP+의/JKG
경우에도	경우/NNG+에/JKB+도/JX
18%	18/SN+%/SW
이상의	이상/NNG+의/JKG
수수료율이	수수료/NNG+율/XSN+이/JKS
적용된	적용/NNG+되/XSV+ㄴ/ETM
고객	고객/NNG
비중이	비중/NNG+이/JKS
각각	각각/MAG
71.8%,	71/SN+./SP+8/SN+%/SW+,/SP
60%나	60/SN+%/SW+나/JX
됐고,	되/VV+었/EP+고/EC+,/SP
롯데카드의	롯데카드/NNP+의/JKG
경우엔	경우/NNG+에/JKB+ㄴ/JX
58.2%였다.	58/SN+./SP+2/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.3.7.6
해당 고객의 절반 이상이 사실상 현금서비스에 버금가는 연 18% 이상의 높은 수수료 부담을 진 셈이다.

해당	해당/NNG
고객의	고객/NNG+의/JKG
절반	절반/NNG
이상이	이상/NNG+이/JKS
사실상	사실/NNG+상/XSN
현금서비스에	현금/NNG+서비스/NNG+에/JKB
버금가는	버금가/VV+는/ETM
연	연/NNG
18%	18/SN+%/SW
이상의	이상/NNG+의/JKG
높은	높/VA+은/ETM
수수료	수수료/NNG
부담을	부담/NNG+을/JKO
진	지/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.3.8.1
■ 현금서비스가 더 유리한 모순도 특히 할부수수료율이 현금서비스 수수료율보다 높은 사례도 속출했다.

■	■/SW
현금서비스가	현금/NNG+서비스/NNG+가/JKS
더	더/MAG
유리한	유리/NNG+하/XSA+ㄴ/ETM
모순도	모순/NNG+도/JX
특히	특히/MAG
할부수수료율이	할부/NNG+수수료/NNG+율/XSN+이/JKS
현금서비스	현금/NNG+서비스/NNG
수수료율보다	수수료/NNG+율/XSN+보다/JKB
높은	높/VA+은/ETM
사례도	사례/NNG+도/JX
속출했다.	속출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.3.8.2
지난해 카드사들이 적용한 현금서비스 수수료율은 연 6.5~28.5%로, 할부수수료율에 견줘 통상 폭이 넓은 편이다.

지난해	지난해/NNG
카드사들이	카드사/NNG+들/XSN+이/JKS
적용한	적용/NNG+하/XSV+ㄴ/ETM
현금서비스	현금/NNG+서비스/NNG
수수료율은	수수료/NNG+율/XSN+은/JX
연	연/NNG
6.5~28.5%로,	6/SN+./SP+5/SN+~/SO+28/SN+./SP+5/SN+%/SW+로/JKB+,/SP
할부수수료율에	할부/NNG+수수료/NNG+율/XSN+에/JKB
견줘	견주/VV+어/EC
통상	통상/NNG
폭이	폭/NNG+이/JKS
넓은	넓/VA+은/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.3.8.3
하지만 신용등급이 높은 고객의 경우엔 오히려 현금서비스를 이용하는 편이 더 유리한 것으로 드러났다.

하지만	하지만/MAJ
신용등급이	신용/NNG+등급/NNG+이/JKS
높은	높/VA+은/ETM
고객의	고객/NNG+의/JKG
경우엔	경우/NNG+에/JKB+ㄴ/JX
오히려	오히려/MAG
현금서비스를	현금/NNG+서비스/NNG+를/JKO
이용하는	이용/NNG+하/XSV+는/ETM
편이	편/NNB+이/JKS
더	더/MAG
유리한	유리/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.3.8.4
신한카드의 경우 상위 1~2등급에 해당하는 우수고객에게 적용되는 현금서비스 수수료율은 연 7.84~17.94%인 반면, 할부수수료율(3개월할부 기준)은 연 14.9~15.9%였다.

신한카드의	신한카드/NNP+의/JKG
경우	경우/NNG
상위	상위/NNG
1~2등급에	1/SN+~/SO+2/SN+등급/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
우수고객에게	우수/NNG+고객/NNG+에게/JKB
적용되는	적용/NNG+되/XSV+는/ETM
현금서비스	현금/NNG+서비스/NNG
수수료율은	수수료/NNG+율/XSN+은/JX
연	연/NNG
7.84~17.94%인	7/SN+./SP+84/SN+~/SO+17/SN+./SP+94/SN+%/SW+이/VCP+ㄴ/ETM
반면,	반면/NNG+,/SP
할부수수료율(3개월할부	할부/NNG+수수료/NNG+율/XSN+(/SS+3/SN+개월/NNB+할부/NNG
기준)은	기준/NNG+)/SS+은/JX
14.9~15.9%였다.	14/SN+./SP+9/SN+~/SO+15/SN+./SP+9/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.3.8.5
현대카드 역시 상위 1~3등급 회원의 현금서비스수수료율(연 7.5~13.5%)이 할부수수료율(연 10~14%)을 밑돌았다.

현대카드	현대카드/NNP
역시	역시/MAG
상위	상위/NNG
1~3등급	1/SN+~/SO+3/SN+등급/NNG
회원의	회원/NNG+의/JKG
현금서비스수수료율(연	현금/NNG+서비스/NNG+수수료/NNG+율/XSN+(/SS+연/NNG
7.5~13.5%)이	7/SN+./SP+5/SN+~/SO+13/SN+./SP+5/SN+%/SW+)/SS+이/JKS
할부수수료율(연	할부/NNG+수수료/NNG+율/XSN+(/SS+연/NNG
10~14%)을	10/SN+~/SO+14/SN+%/SW+)/SS+을/JKO
밑돌았다.	밑돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.3.8.6
할부로 물건을 사는 것보다는 현금서비스를 이용해 물건값을 치르는 게 더 유리한 셈이다.

할부로	할부/NNG+로/JKB
물건을	물건/NNG+을/JKO
사는	사/VV+는/ETM
것보다는	것/NNB+보다/JKB+는/JX
현금서비스를	현금/NNG+서비스/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
물건값을	물건값/NNG+을/JKO
치르는	치르/VV+는/ETM
게	거/NNB+이/JKS
더	더/MAG
유리한	유리/NNG+하/XSA+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.3.8.7
이는 카드사 입장에서 볼 때, 통상 할부결제 대금을 받지 못할 위험보다는 현금서비스 이용액을 떼일 위험이 더 크기 때문에 현금서비스 수수료율이 할부수수료율보다 더 높은 현실과는 정반대 모습이다.

이는	이/NP+는/JX
카드사	카드사/NNG
입장에서	입장/NNG+에서/JKB
볼	보/VV+ㄹ/ETM
때,	때/NNG+,/SP
통상	통상/NNG
할부결제	할부/NNG+결제/NNG
대금을	대금/NNG+을/JKO
받지	받/VV+지/EC
못할	못하/VX+ㄹ/ETM
위험보다는	위험/NNG+보다/JKB+는/JX
현금서비스	현금/NNG+서비스/NNG
이용액을	이용액/NNG+을/JKO
떼일	떼이/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
더	더/MAG
크기	크/VA+기/ETN
때문에	때문/NNB+에/JKB
수수료율이	수수료/NNG+율/XSN+이/JKS
할부수수료율보다	할부/NNG+수수료/NNG+율/XSN+보다/JKB
높은	높/VA+은/ETM
현실과는	현실/NNG+과/JKB+는/JX
정반대	정반대/NNG
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.3.9.1
■ “할부수수료 체계 고쳐야” 카드업계에선 현금서비스와 할부구매는 상품의 성격이 다르므로 이자율을 일률적으로 비교해선 안된다고 말한다.

■	■/SW
“할부수수료	“/SS+할부/NNG+수수료/NNG
체계	체계/NNG
고쳐야”	고치/VV+어야/EC+”/SS
카드업계에선	카드업/NNG+계/XSN+에서/JKB+ㄴ/JX
현금서비스와	현금/NNG+서비스/NNG+와/JC
할부구매는	할부/NNG+구매/NNG+는/JX
상품의	상품/NNG+의/JKG
성격이	성격/NNG+이/JKS
다르므로	다르/VA+므로/EC
이자율을	이자/NNG+율/XSN+을/JKO
일률적으로	일률/NNG+적/XSN+으로/JKB
비교해선	비교/NNG+하/XSV+아서/EC+ㄴ/JX
안된다고	안/MAG+되/XSV+ㄴ다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.3.9.2
할부는 신용판매 상품인 데 반해, 현금서비스는 금융상품이라 은행 등 다른 금융기관의 상품과 경쟁해야 하므로 시장이 전혀 다르다는 얘기다.

할부는	할부/NNG+는/JX
신용판매	신용/NNG+판매/NNG
상품인	상품/NNG+이/VCP+ㄴ/ETM
데	데/NNB
반해,	반하/VV+아/EC+,/SP
현금서비스는	현금/NNG+서비스/NNG+는/JX
금융상품이라	금융/NNG+상품/NNG+이/VCP+라/EC
은행	은행/NNG
등	등/NNB
다른	다른/MMD
금융기관의	금융/NNG+기관/NNG+의/JKG
상품과	상품/NNG+과/JKB
경쟁해야	경쟁/NNG+하/XSV+아야/EC
하므로	하/VX+므로/EC
시장이	시장/NNG+이/JKS
전혀	전혀/MAG
다르다는	다르/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.3.9.3
한 카드사 관계자는 “신용등급이 좋은 사람들은 대출이 필요할 때 현금서비스나 카드론보다 은행대출을 이용한다.

한	한/MMN
카드사	카드사/NNG
관계자는	관계자/NNG+는/JX
“신용등급이	“/SS+신용/NNG+등급/NNG+이/JKS
좋은	좋/VA+은/ETM
사람들은	사람/NNG+들/XSN+은/JX
대출이	대출/NNG+이/JKS
필요할	필요/NNG+하/XSA+ㄹ/ETM
때	때/NNG
현금서비스나	현금/NNG+서비스/NNG+나/JC
카드론보다	카드론/NNG+보다/JKB
은행대출을	은행/NNG+대출/NNG+을/JKO
이용한다.	이용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.3.9.4
우량고객을 놓고 카드사가 은행과 경쟁하다보니 현금서비스의 이자를 낮게 받는 것”이라고 말했다.

우량고객을	우량/NNG+고객/NNG+을/JKO
놓고	놓/VV+고/EC
카드사가	카드사/NNG+가/JKS
은행과	은행/NNG+과/JKB
경쟁하다보니	경쟁/NNG+하/XSV+다/EC+보/VX+니/EC
현금서비스의	현금/NNG+서비스/NNG+의/JKG
이자를	이자/NNG+를/JKO
낮게	낮/VA+게/EC
받는	받/VV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.3.10.1
하지만 과도한 수수료를 챙기는 카드사들의 영업행태를 꼬집는 목소리도 있다.

하지만	하지만/MAJ
과도한	과도/NNG+하/XSA+ㄴ/ETM
수수료를	수수료/NNG+를/JKO
챙기는	챙기/VV+는/ETM
카드사들의	카드사/NNG+들/XSN+의/JKG
영업행태를	영업/NNG+행태/NNG+를/JKO
꼬집는	꼬집/VV+는/ETM
목소리도	목소리/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.3.10.2
전성인 홍익대 교수(경제학)는 “카드사가 신용도가 좋은 사람에게 장사할 때는 할부금리를 높게 받아 돈을 벌고, 카드 빚을 막기 위해 자주 카드 대출을 받아야 하는 저소득층에게는 현금서비스, 카드론 등의 금리를 높게 받아 장사를 하고 있다”고 말했다.

전성인	전성인/NNP
홍익대	홍익대/NNP
교수(경제학)는	교수/NNG+(/SS+경제학/NNG+)/SS+는/JX
“카드사가	“/SS+카드사/NNG+가/JKS
신용도가	신용도/NNG+가/JKS
좋은	좋/VA+은/ETM
사람에게	사람/NNG+에게/JKB
장사할	장사/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
할부금리를	할부/NNG+금리/NNG+를/JKO
높게	높/VA+게/EC
받아	받/VV+아/EC
돈을	돈/NNG+을/JKO
벌고,	벌/VV+고/EC+,/SP
카드	카드/NNG
빚을	빚/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
자주	자주/MAG
대출을	대출/NNG+을/JKO
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
저소득층에게는	저/XPN+소득/NNG+층/XSN+에게/JKB+는/JX
현금서비스,	현금/NNG+서비스/NNG+,/SP
카드론	카드론/NNG
등의	등/NNB+의/JKG
금리를	금리/NNG+를/JKO
장사를	장사/NNG+를/JKO
하고	하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.3.11.1
이번 기회에 불합리한 할부수수료 체계를 고쳐야 한다는 목소리도 나온다.

이번	이번/NNG
기회에	기회/NNG+에/JKB
불합리한	불/XPN+합리/NNG+하/XSA+ㄴ/ETM
할부수수료	할부/NNG+수수료/NNG
체계를	체계/NNG+를/JKO
고쳐야	고치/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
목소리도	목소리/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.3.11.2
또 다른 카드사 관계자는 “지금까지는 대부분의 사람들이 무이자로 할부를 썼기 때문에 이런 모순점이 불거지지 않았다.

또	또/MAG
다른	다른/MMD
카드사	카드사/NNG
관계자는	관계자/NNG+는/JX
“지금까지는	“/SS+지금/NNG+까지/JX+는/JX
대부분의	대/XPN+부분/NNG+의/JKG
사람들이	사람/NNG+들/XSN+이/JKS
무이자로	무/XPN+이자/NNG+로/JKB
할부를	할부/NNG+를/JKO
썼기	쓰/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
이런	이런/MMD
모순점이	모순점/NNG+이/JKS
불거지지	불거지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.3.11.3
무이자할부가 없어지면 할부구매보다 현금서비스를 받는게 더 이득이 되는 현행 체계의 문제점이 드러날 것”이라고 말했다.

무이자할부가	무/XPN+이자/NNG+할부/NNG+가/JKS
없어지면	없어지/VV+면/EC
할부구매보다	할부/NNG+구매/NNG+보다/JKB
현금서비스를	현금/NNG+서비스/NNG+를/JKO
받는게	받/VV+는/ETM+거/NNB+이/JKS
더	더/MAG
이득이	이득/NNG+이/JKC
되는	되/VV+는/ETM
현행	현행/NNG
체계의	체계/NNG+의/JKG
문제점이	문제점/NNG+이/JKS
드러날	드러나/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


