# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.236
metadata : {}


# id : NWRW1800000052.236.1.1
[뉴스룸 토크] 멘탈갑 우병우의 미래

[뉴스룸	[/SS+뉴스룸/NNG
검찰 분위기도 안 좋다면서요… ‘공공의 적’이 됐다는 이야기가 많아요… ‘법무연수원 테니스장 눈 청소 사건’이라는 유명한 에피소드가 있죠… 테니스장?… 우병우가 검사장 승진 탈락하고 2012년 법무연수원에 근무한 적 있어요… 아, 거기 ㄱ이라는 선배 검사 한 명이 같은 테니스동호회원이었다고 했죠… 눈이 오니까 그 선배 검사가 테니스장 눈 치우자고 해서 다 같이 눈 청소를 하는데… 우병우가 ‘검사가 왜 이런 것까지 해야 하냐’고 했다가 한 소리 들었다죠… 후배들 존경받는 신망 있는 선배 검사였는데 지난 연말 인사 때 고검장 승진에서 탈락됐어요.

검찰	검찰/NNG
분위기도	분위기/NNG+도/JX
안	안/MAG
좋다면서요…	좋/VA+다면서/EC+요/JX+…/SE
‘공공의	‘/SS+공공/NNG+의/JKG
적’이	적/NNG+’/SS+이/JKC
됐다는	되/VV+었/EP+다는/ETM
이야기가	이야기/NNG+가/JKS
많아요…	많/VA+아요/EF+…/SE
‘법무연수원	‘/SS+법무/NNG+연수원/NNG
테니스장	테니스장/NNG
눈	눈/NNG
청소	청소/NNG
사건’이라는	사건/NNG+’/SS+이/VCP+라는/ETM
유명한	유명/NNG+하/XSA+ㄴ/ETM
에피소드가	에피소드/NNG+가/JKS
있죠…	있/VA+죠/EF+…/SE
테니스장?…	테니스장/NNG+?/SF+…/SE
우병우가	우병우/NNP+가/JKS
검사장	검사장/NNG
승진	승진/NNG
탈락하고	탈락/NNG+하/XSV+고/EC
2012년	2012/SN+년/NNB
법무연수원에	법무/NNG+연수원/NNG+에/JKB
근무한	근무/NNG+하/XSV+ㄴ/ETM
적	적/NNB
있어요…	있/VA+어요/EF+…/SE
아,	아/IC+,/SP
거기	거기/NP
ㄱ이라는	ㄱ/NNG+이/VCP+라는/ETM
선배	선배/NNG
검사	검사/NNG
한	한/MMN
명이	명/NNB+이/JKS
같은	같/VA+은/ETM
테니스동호회원이었다고	테니스/NNG+동호회원/NNG+이/VCP+었/EP+다고/EC
했죠…	하/VV+았/EP+죠/EF+…/SE
눈이	눈/NNG+이/JKS
오니까	오/VV+니까/EC
그	그/MMD
검사가	검사/NNG+가/JKS
치우자고	치우/VV+자고/EC
해서	하/VV+아서/EC
다	다/MAG
같이	같이/MAG
청소를	청소/NNG+를/JKO
하는데…	하/VV+는데/EC+…/SE
‘검사가	‘/SS+검사/NNG+가/JKS
왜	왜/MAG
이런	이런/MMD
것까지	것/NNB+까지/JX
해야	하/VV+아야/EC
하냐’고	하/VV+냐/EF+’/SS+고/JKQ
했다가	하/VV+았/EP+다가/EC
소리	소리/NNG
들었다죠…	듣/VV+었/EP+다죠/EF+…/SE
후배들	후배/NNG+들/XSN
존경받는	존경/NNG+받/XSV+는/ETM
신망	신망/NNG
있는	있/VA+는/ETM
검사였는데	검사/NNG+이/VCP+었/EP+는데/EC
지난	지나/VV+ㄴ/ETM
연말	연말/NNG
인사	인사/NNG
때	때/NNG
고검장	고검장/NNG
승진에서	승진/NNG+에서/JKB
탈락됐어요.	탈락/NNG+되/XSV+었/EP+어요/EF+./SF


# id : NWRW1800000052.236.3.2
이걸 놓고 우병우의 보복인사라며 검사들 사이에서 부글부글했답니다.

이걸	이거/NP+ㄹ/JKO
놓고	놓/VV+고/EC
우병우의	우병우/NNP+의/JKG
보복인사라며	보복/NNG+인사/NNG+이/VCP+라며/EC
검사들	검사/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
부글부글했답니다.	부글부글/MAG+하/XSV+았/EP+답니다/EF+./SF


# id : NWRW1800000052.236.4.1
우 수석 좋아하는 검사들도 있잖아요… 최근 요직을 줄줄이 꿰찬 검사들.

우	우/NNP
수석	수석/NNG
좋아하는	좋아하/VV+는/ETM
검사들도	검사/NNG+들/XSN+도/JX
있잖아요…	있/VA+잖아요/EF+…/SE
최근	최근/MAG
요직을	요직/NNG+을/JKO
줄줄이	줄줄이/MAG
꿰찬	꿰차/VV+ㄴ/ETM
검사들.	검사/NNG+들/XSN+./SF


# id : NWRW1800000052.236.4.2
주로 서울대 법대 84학번 동기들을 중심으로 최윤수(국정원 제2차장), 김진모(서울남부지검장), 안태근(법무부 검찰국장) 등등… 언제 물러날까요?

주로	주로/MAG
서울대	서울대/NNP
법대	법대/NNG
84학번	84/SN+학번/NNG
동기들을	동기/NNG+들/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
최윤수(국정원	최윤수/NNP+(/SS+국정원/NNG
제2차장),	제/XPN+2/SN+차장/NNG+)/SS+,/SP
김진모(서울남부지검장),	김진모/NNP+(/SS+서울남부지검장/NNG+)/SS+,/SP
안태근(법무부	안태근/NNP+(/SS+법무부/NNG
검찰국장)	검찰국장/NNG+)/SS
등등…	등등/NNB+…/SE
언제	언제/MAG
물러날까요?	물러나/VV+ㄹ까/EF+요/JX+?/SF


# id : NWRW1800000052.236.4.3
… 도덕적·정치적 타격을 받았지만 사법적으로 결정타를 맞지는 않았잖아요.

…	…/SE
도덕적·정치적	도덕/NNG+적/XSN+·/SP+정치/NNG+적/XSN
타격을	타격/NNG+을/JKO
받았지만	받/VV+았/EP+지만/EC
사법적으로	사법/NNG+적/XSN+으로/JKB
결정타를	결정타/NNG+를/JKO
맞지는	맞/VV+지/EC+는/JX
않았잖아요.	않/VX+았/EP+잖아요/EF+./SF


# id : NWRW1800000052.236.4.4
대통령이 자신을 내치지 못할 거라는 계산을 할 테니까 버티겠죠… 슬슬 사법적 문제도 드러날걸요.

대통령이	대통령/NNG+이/JKS
자신을	자신/NNG+을/JKO
내치지	내치/VV+지/EC
못할	못하/VX+ㄹ/ETM
거라는	거/NNB+이/VCP+라는/ETM
계산을	계산/NNG+을/JKO
할	하/VV+ㄹ/ETM
테니까	터/NNB+이/VCP+니까/EC
버티겠죠…	버티/VV+겠/EP+죠/EF+…/SE
슬슬	슬슬/MAG
사법적	사법/NNG+적/XSN
문제도	문제/NNG+도/JX
드러날걸요.	드러나/VV+ㄹ걸/EF+요/JX+./SF


# id : NWRW1800000052.236.4.5
농지법 위반도 있고 우 수석 가족회사 ‘정강’ 소유 차량이 ‘배임’으로 문제 될 수 있어요.

농지법	농지법/NNG
위반도	위반/NNG+도/JX
있고	있/VA+고/EC
우	우/NNP
수석	수석/NNG
가족회사	가족/NNG+회사/NNG
‘정강’	‘/SS+정강/NNP+’/SS
소유	소유/NNG
차량이	차량/NNG+이/JKS
‘배임’으로	‘/SS+배임/NNG+’/SS+으로/JKB
문제	문제/NNG
될	되/VV+ㄹ/ETM
수	수/NNB
있어요.	있/VA+어요/EF+./SF


# id : NWRW1800000052.236.4.6
오늘 신문 4면을 보세요.

오늘	오늘/NNG
신문	신문/NNG
4면을	4/SN+면/NNG+을/JKO
보세요.	보/VV+시/EP+어요/EF+./SF


# id : NWRW1800000052.236.4.7
(이상은 정치부 출신 에디터 한 명과 법조팀 출신 팀장 한 명과 나눈 대화를 섞어 구성했다.)

(이상은	(/SS+이상은/NNP
정치부	정치부/NNG
출신	출신/NNG
에디터	에디터/NNG
한	한/MMN
명과	명/NNB+과/JKB
법조팀	법조/NNG+팀/NNG
팀장	팀장/NNG
나눈	나누/VV+ㄴ/ETM
대화를	대화/NNG+를/JKO
섞어	섞/VV+어/EC
구성했다.)	구성/NNG+하/XSV+았/EP+다/EF+./SF+)/SS


