# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.322
metadata : {}


# id : NWRW1800000028.322.1.1
룸살롱 2차 장부에 목포가 ‘덜덜’

룸살롱	룸살롱/NNG
경찰 수사가 진행되면서 일부 공무원과 대기업 직원 등이 성매매에 연루됐다는 소문이 퍼졌다.

경찰	경찰/NNG
수사가	수사/NNG+가/JKS
진행되면서	진행/NNG+되/XSV+면서/EC
일부	일부/NNG
공무원과	공무원/NNG+과/JC
대기업	대/XPN+기업/NNG
직원	직원/NNG
등이	등/NNB+이/JKS
성매매에	성매매/NNG+에/JKB
연루됐다는	연루/NNG+되/XSV+었/EP+다는/ETM
소문이	소문/NNG+이/JKS
퍼졌다.	퍼지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.322.4.4
성매매 장부가 발견된 업소는 목포 하당지구에서 여종업원 7~8명을 둔 유흥주점으로 알려졌다.

성매매	성매매/NNG
장부가	장부/NNG+가/JKS
발견된	발견/NNG+되/XSV+ㄴ/ETM
업소는	업소/NNG+는/JX
목포	목포/NNP
하당지구에서	하당지구/NNP+에서/JKB
여종업원	여종업원/NNG
7~8명을	7/SN+~/SO+8/SN+명/NNB+을/JKO
둔	두/VV+ㄴ/ETM
유흥주점으로	유흥/NNG+주점/NNG+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.322.4.5
지난해 9월부터 지난 5월까지 이 업소에서 일했던 여종업원은 30~40명에 이르는 것으로 전해졌다.

지난해	지난해/NNG
9월부터	9/SN+월/NNB+부터/JX
지난	지나/VV+ㄴ/ETM
5월까지	5/SN+월/NNB+까지/JX
이	이/MMD
업소에서	업소/NNG+에서/JKB
일했던	일/NNG+하/XSV+았/EP+던/ETM
여종업원은	여종업원/NNG+은/JX
30~40명에	30/SN+~/SO+40/SN+명/NNB+에/JKB
이르는	이르/VV+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.322.4.6
경찰 관계자는 “이 업소는 ‘영업 방침’으로 성매매를 나가는 여종업원들에게 남성 고객의 휴대전화 번호 등 연락처를 알아오도록 해 비밀스럽게 관리해 왔다”고 말했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
“이	“/SS+이/MMD
업소는	업소/NNG+는/JX
‘영업	‘/SS+영업/NNG
방침’으로	방침/NNG+’/SS+으로/JKB
성매매를	성매매/NNG+를/JKO
나가는	나가/VV+는/ETM
여종업원들에게	여종업원/NNG+들/XSN+에게/JKB
남성	남성/NNG
고객의	고객/NNG+의/JKG
휴대전화	휴대/NNG+전화/NNG
번호	번호/NNG
등	등/NNB
연락처를	연락처/NNG+를/JKO
알아오도록	알/VV+아/EC+오/VV+도록/EC
해	하/VV+아/EC
비밀스럽게	비밀/NNG+스럽/XSA+게/EC
관리해	관리/NNG+하/XSV+아/EC
왔다”고	오/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.322.5.1
경찰 관계자는 “목포서 형사과 직원 대부분을 이 사건에 투입하고 있지만, 은밀하게 이뤄진 성매매를 진술에만 의존해 확인해야 하기 때문에 어려움을 겪고 있다”고 밝혔다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
“목포서	“/SS+목포서/NNP
형사과	형사과/NNG
직원	직원/NNG
대부분을	대/XPN+부분/NNG+을/JKO
이	이/MMD
사건에	사건/NNG+에/JKB
투입하고	투입/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
은밀하게	은밀하/VA+게/EC
이뤄진	이뤄지/VV+ㄴ/ETM
성매매를	성매매/NNG+를/JKO
진술에만	진술/NNG+에/JKB+만/JX
의존해	의존/NNG+하/XSV+아/EC
확인해야	확인/NNG+하/XSV+아야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


