# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.323
metadata : {}


# id : NWRW1800000021.323.1.1
[강원]출연료-관람료 NO… 나눔의 무대

[강원]출연료-관람료	[/SS+강원/NNP+]/SS+출연료/NNG+-/SO+관람료/NNG
음악회는	음악회/NNG+는/JX
소외	소외/NNG
계층을	계층/NNG+을/JKO
위해	위하/VV+아/EC
마련된	마련/NNG+되/XSV+ㄴ/ETM
행사로	행사/NNG+로/JKB
출연자들은	출연자/NNG+들/XSN+은/JX
노개런티로	노개런티/NNG+로/JKB
무대에	무대/NNG+에/JKB
선다.	서/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.323.6.2
관람료 역시 무료.

관람료	관람료/NNG
역시	역시/MAG
무료.	무료/NNG+./SF


# id : NWRW1800000021.323.6.3
관람객들이 공연을 본 뒤 내는 모금액은 전액 장애 청소년과 불우이웃을 돕는 데 사용된다.

관람객들이	관람객/NNG+들/XSN+이/JKS
공연을	공연/NNG+을/JKO
본	보/VV+ㄴ/ETM
뒤	뒤/NNG
내는	내/VV+는/ETM
모금액은	모금액/NNG+은/JX
전액	전액/NNG
장애	장애/NNG
청소년과	청소년/NNG+과/JC
불우이웃을	불우/NNG+이웃/NNG+을/JKO
돕는	돕/VV+는/ETM
데	데/NNB
사용된다.	사용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.323.7.1
최지순 도예총회장은 “자선음악회의 좋은 취지에 공감해 출연 제의를 흔쾌히 받아들였다”며 “이번 음악회가 나눔의 문화가 정착되는 계기가 되기를 바란다”고 말했다.

최지순	최지순/NNP
도예총회장은	도예총/NNG+회장/NNG+은/JX
“자선음악회의	“/SS+자선/NNG+음악회/NNG+의/JKG
좋은	좋/VA+은/ETM
취지에	취지/NNG+에/JKB
공감해	공감/NNG+하/XSV+아/EC
출연	출연/NNG
제의를	제의/NNG+를/JKO
흔쾌히	흔쾌히/MAG
받아들였다”며	받아들이/VV+었/EP+다/EF+”/SS+며/EC
“이번	“/SS+이번/NNG
음악회가	음악회/NNG+가/JKS
나눔의	나누/VV+ㅁ/ETN+의/JKG
문화가	문화/NNG+가/JKS
정착되는	정착/NNG+되/XSV+는/ETM
계기가	계기/NNG+가/JKC
되기를	되/VV+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


