# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.228
metadata : {}


# id : NWRW1800000046.228.1.1
이승엽 홈런 2방… 삼성, 한화 꺾고 선두 질주

이승엽	이승엽/NNP
# id : NWRW1800000046.228.4.1
이승엽은 1995년 입단 후 올해까지 KBO리그에서 13시즌 연속 세 자릿수 안타를 때리며 타율 0.322를 기록 중이다.

이승엽은	이승엽/NNP+은/JX
1995년	1995/SN+년/NNB
입단	입단/NNG
후	후/NNG
올해까지	올해/NNG+까지/JX
KBO리그에서	KBO/SL+리그/NNG+에서/JKB
13시즌	13/SN+시즌/NNG
연속	연속/NNG
세	세/MMN
자릿수	자릿수/NNG
안타를	안타/NNG+를/JKO
때리며	때리/VV+며/EC
타율	타율/NNG
0.322를	0/SN+./SP+322/SN+를/JKO
기록	기록/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.228.4.2
이날 시즌 16·17호 대포를 쏘아 올리며 자신이 보유한 KBO리그 통산 최다 홈런 기록도 407개로 늘렸다.

이날	이날/NNG
시즌	시즌/NNG
16·17호	16/SN+·/SP+17/SN+호/NNB
대포를	대포/NNG+를/JKO
쏘아	쏘/VV+아/EC
올리며	올리/VV+며/EC
자신이	자신/NNG+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
KBO리그	KBO/SL+리그/NNG
통산	통산/NNG
최다	최다/NNG
홈런	홈런/NNG
기록도	기록/NNG+도/JX
407개로	407/SN+개/NNB+로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.228.4.3
이승엽은 통산 득점 부문에선 전준호 현 NC 코치(1171점)를 제치고 단독 2위(1173점)가 됐다.

이승엽은	이승엽/NNP+은/JX
통산	통산/NNG
득점	득점/NNG
부문에선	부문/NNG+에서/JKB+ㄴ/JX
전준호	전준호/NNP
현	현/MMD
NC	NC/SL
코치(1171점)를	코치/NNG+(/SS+1171/SN+점/NNB+)/SS+를/JKO
제치고	제치/VV+고/EC
단독	단독/NNG
2위(1173점)가	2/SN+위/NNB+(/SS+1173/SN+점/NNB+)/SS+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.228.4.4
1위(1299점)는 양준혁(전 삼성)이다.

1위(1299점)는	1/SN+위/NNB+(/SS+1299/SN+점/NNB+)/SS+는/JX
양준혁(전	양준혁/NNP+(/SS+전/MMD
삼성)이다.	삼성/NNP+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.228.4.5
삼성은 7회 김경언과 이성열에게 연속타자 홈런을 맞고 3―2, 1점 차로 쫓겼으나 8·9회 한화 불펜을 집중 공략해 5점을 뽑아내며 한숨을 돌렸다.

삼성은	삼성/NNP+은/JX
7회	7/SN+회/NNB
김경언과	김경언/NNP+과/JC
이성열에게	이성열/NNP+에게/JKB
연속타자	연속/NNG+타자/NNG
홈런을	홈런/NNG+을/JKO
맞고	맞/VV+고/EC
3―2,	3/SN+―/SS+2/SN+,/SP
1점	1/SN+점/NNB
차로	차/NNG+로/JKB
쫓겼으나	쫓기/VV+었/EP+으나/EC
8·9회	8/SN+·/SP+9/SN+회/NNB
한화	한화/NNP
불펜을	불펜/NNG+을/JKO
집중	집중/NNG
공략해	공략/NNG+하/XSV+아/EC
5점을	5/SN+점/NNB+을/JKO
뽑아내며	뽑아내/VV+며/EC
한숨을	한/XPN+숨/NNG+을/JKO
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.228.5.1
마산에선 두산이 NC에 7대5로 승리하며 삼성에 이어 올 시즌 두 번째로 50승 고지를 밟으며 하루 만에 2위 자리를 되찾았다.

마산에선	마산/NNP+에서/JKB+ㄴ/JX
두산이	두산/NNP+이/JKS
NC에	NC/SL+에/JKB
7대5로	7/SN+대/NNB+5/SN+로/JKB
승리하며	승리/NNG+하/XSV+며/EC
삼성에	삼성/NNP+에/JKB
이어	잇/VV+어/EC
올	올/NNG
시즌	시즌/NNG
두	두/MMN
번째로	번/NNB+째/XSN+로/JKB
50승	50/SN+승/NNB
고지를	고지/NNG+를/JKO
밟으며	밟/VV+으며/EC
하루	하루/NNG
만에	만/NNB+에/JKB
2위	2/SN+위/NNB
자리를	자리/NNG+를/JKO
되찾았다.	되찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.228.5.2
두산 오재원은 6회 수비 도중 어지럼증을 호소하며 그라운드에 쓰러져 곧바로 인근 병원으로 후송됐다.

두산	두산/NNP
오재원은	오재원/NNP+은/JX
6회	6/SN+회/NNB
수비	수비/NNG
도중	도중/NNG
어지럼증을	어지럼증/NNG+을/JKO
호소하며	호소/NNG+하/XSV+며/EC
그라운드에	그라운드/NNG+에/JKB
쓰러져	쓰러지/VV+어/EC
곧바로	곧바로/MAG
인근	인근/NNG
병원으로	병원/NNG+으로/JKB
후송됐다.	후송/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.228.5.3
이동 도중 의식을 되찾았으나 정밀검사를 통해 정확한 몸 상태를 파악할 예정이다.

이동	이동/NNG
도중	도중/NNG
의식을	의식/NNG+을/JKO
되찾았으나	되찾/VV+았/EP+으나/EC
정밀검사를	정밀/NNG+검사/NNG+를/JKO
통해	통하/VV+아/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
몸	몸/NNG
상태를	상태/NNG+를/JKO
파악할	파악/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.228.6.1
넥센은 목동 홈경기에서 윤석민, 박헌도, 박동원, 스나이더, 김민성 등 5명의 대포 향연 속에 SK를 14대4로 대파했다.

넥센은	넥센/NNP+은/JX
목동	목동/NNP
홈경기에서	홈경기/NNG+에서/JKB
윤석민,	윤석민/NNP+,/SP
박헌도,	박헌도/NNP+,/SP
박동원,	박동원/NNP+,/SP
스나이더,	스나이더/NNP+,/SP
김민성	김민성/NNP
등	등/NNB
5명의	5/SN+명/NNB+의/JKG
대포	대포/NNG
향연	향연/NNG
속에	속/NNG+에/JKB
SK를	SK/SL+를/JKO
14대4로	14/SN+대/NNB+4/SN+로/JKB
대파했다.	대파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.228.6.2
LG는 잠실 홈경기에서 KT를 9대0으로 완파했고, 롯데는 광주 원정경기에서 연장 승부 끝에 홈팀 KIA를 4대2로 눌렀다.

LG는	LG/SL+는/JX
잠실	잠실/NNP
홈경기에서	홈경기/NNG+에서/JKB
KT를	KT/SL+를/JKO
9대0으로	9/SN+대/NNB+0/SN+으로/JKB
완파했고,	완파/NNG+하/XSV+았/EP+고/EC+,/SP
롯데는	롯데/NNP+는/JX
광주	광주/NNP
원정경기에서	원정/NNG+경기/NNG+에서/JKB
연장	연장/NNG
승부	승부/NNG
끝에	끝/NNG+에/JKB
홈팀	홈팀/NNG
KIA를	KIA/SL+를/JKO
4대2로	4/SN+대/NNB+2/SN+로/JKB
눌렀다.	누르/VV+었/EP+다/EF+./SF


