# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.179
metadata : {}


# id : NWRW1800000053.179.1.1
‘여중생 집단 성폭행’ 항소심 재판부 “사람이 할 짓인가” 1심보다 형량 높여

‘여중생	‘/SS+여중/NNG+생/XSN
7년을,	7/SN+년/NNB+을/JKO+,/SP
김모	김/NNP+모/NP
씨(22)와	씨/NNB+(/SS+22/SN+)/SS+와/JC
박모	박/NNP+모/NP
6년을	6/SN+년/NNB+을/JKO
각각	각각/MAG
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.179.5.2
한 씨의 형량은 1심과 같았지만 정 씨와 김 씨, 박 씨의 형량은 1심보다 1년씩 늘어났다.

한	한/NNP
씨의	씨/NNB+의/JKG
형량은	형량/NNG+은/JX
1심과	1심/NNG+과/JKB
같았지만	같/VA+았/EP+지만/EC
정	정/NNP
씨와	씨/NNB+와/JC
김	김/NNP
씨,	씨/NNB+,/SP
박	박/NNP
1심보다	1심/NNG+보다/JKB
1년씩	1/SN+년/NNB+씩/XSN
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.179.5.3
또 1심서 집행유예를 선고받았던 김모 씨(22)는 징역 2년 6개월을 선고받고 법정 구속됐다.

또	또/MAG
1심서	1심/NNG+서/JKB
집행유예를	집행/NNG+유예/NNG+를/JKO
선고받았던	선고/NNG+받/XSV+았/EP+던/ETM
김모	김/NNP+모/NP
씨(22)는	씨/NNB+(/SS+22/SN+)/SS+는/JX
징역	징역/NNG
2년	2/SN+년/NNB
6개월을	6/SN+개월/NNB+을/JKO
선고받고	선고/NNG+받/XSV+고/EC
법정	법정/NNG
구속됐다.	구속/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.179.5.4
또 다른 김모 씨(22)는 원심과 같이 집행유예를, 나머지 5명은 증거 부족으로 원심과 같이 무죄를 선고받았다.

또	또/MAG
다른	다른/MMD
김모	김/NNP+모/NP
씨(22)는	씨/NNB+(/SS+22/SN+)/SS+는/JX
원심과	원심/NNG+과/JKB
같이	같이/MAG
집행유예를,	집행/NNG+유예/NNG+를/JKO+,/SP
나머지	나머지/NNG
5명은	5/SN+명/NNB+은/JX
증거	증거/NNG
부족으로	부족/NNG+으로/JKB
무죄를	무죄/NNG+를/JKO
선고받았다.	선고/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.179.5.5
함 부장판사는 “범행 당시 청소년이었던 점이 양형에 고려됐다”며 “당시 성인이었다면 훨씬 무거운 형을 선고해야 한다”고 밝혔다.

함	함/NNP
부장판사는	부장/NNG+판사/NNG+는/JX
“범행	“/SS+범행/NNG
당시	당시/NNG
청소년이었던	청소년/NNG+이/VCP+었/EP+던/ETM
점이	점/NNG+이/JKS
양형에	양형/NNG+에/JKB
고려됐다”며	고려/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“당시	“/SS+당시/NNG
성인이었다면	성인/NNG+이/VCP+었/EP+다면/EC
훨씬	훨씬/MAG
무거운	무겁/VA+ㄴ/ETM
형을	형/NNG+을/JKO
선고해야	선고/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.179.6.1
재판부가 항소심에서 1심보다 높은 형량을 선고하자 일부 피고인 가족은 “어떻게 형이 더 늘어나느냐” “젊은 애들이 무슨 잘못이냐”며 항의했다.

재판부가	재판부/NNG+가/JKS
항소심에서	항소심/NNG+에서/JKB
1심보다	1심/NNG+보다/JKB
높은	높/VA+은/ETM
형량을	형량/NNG+을/JKO
선고하자	선고/NNG+하/XSV+자/EC
일부	일부/NNG
피고인	피고인/NNG
가족은	가족/NNG+은/JX
“어떻게	“/SS+어떻/VA+게/EC
형이	형/NNG+이/JKS
더	더/MAG
늘어나느냐”	늘어나/VV+느냐/EF+”/SS
“젊은	“/SS+젊/VA+은/ETM
애들이	애/NNG+들/XSN+이/JKS
무슨	무슨/MMD
잘못이냐”며	잘못/NNG+이/VCP+냐/EF+”/SS+며/EC
항의했다.	항의/NNG+하/XSV+았/EP+다/EF+./SF


