# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.238
metadata : {}


# id : NWRW1800000044.238.1.1
한겨레, 7회 연속 ‘기자들이 뽑은 신뢰도 1위 언론’

한겨레,	한겨레/NNP+,/SP
퍼져있음을	퍼지/VV+어/EC+있/VX+음/ETN+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.238.7.1
한편, 기자들은 가장 신뢰하는 언론으로 <한겨레>(23.4%)를 꼽았다.

한편,	한편/MAG+,/SP
기자들은	기자/NNG+들/XSN+은/JX
가장	가장/MAG
신뢰하는	신뢰/NNG+하/XSV+는/ETM
언론으로	언론/NNG+으로/JKB
<한겨레>(23.4%)를	</SS+한겨레/NNP+>/SS+(/SS+23/SN+./SP+4/SN+%/SW+)/SS+를/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.238.7.2
2위 <한국방송>(12.9%), 3위 <경향신문>(10.0%), 4위 <제이티비시>(7.9%) 순이었다.

2위	2/SN+위/NNB
<한국방송>(12.9%),	</SS+한국방송/NNP+>/SS+(/SS+12/SN+./SP+9/SN+%/SW+)/SS+,/SP
3위	3/SN+위/NNB
<경향신문>(10.0%),	</SS+경향신문/NNP+>/SS+(/SS+10/SN+./SP+0/SN+%/SW+)/SS+,/SP
4위	4/SN+위/NNB
<제이티비시>(7.9%)	</SS+제이티비시/NNP+>/SS+(/SS+7/SN+./SP+9/SN+%/SW+)/SS
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


