# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.348
metadata : {}


# id : NWRW1800000046.348.1.1
[통일이 미래다] "통일되면 北과 中동북 3성이 경제·평화 허브될 것"

[통일이	[/SS+통일/NNG+이/JKS
에너지망	에너지/NNG+망/NNG
구축,	구축/NNG+,/SP
초(超)국경	초/XPN+(/SS+超/SH+)/SS+국경/NNG
도시를	도시/NNG+를/JKO
건설하자고	건설/NNG+하/XSV+자고/EC
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.348.3.10
만하이펑 소장도 "중·남·북 3국이 각자 장점을 살려 AIIB 등을 통한 경제 협력 사업부터 시작하면 통일의 기반을 다질 수 있을 것"이라고 했다.

만하이펑	만하이펑/NNP
소장도	소장/NNG+도/JX
"중·남·북	"/SS+중/NNP+·/SP+남·북/NNP
3국이	3국/NNG+이/JKS
각자	각자/MAG
장점을	장점/NNG+을/JKO
살려	살리/VV+어/EC
AIIB	AIIB/SL
등을	등/NNB+을/JKO
통한	통하/VV+ㄴ/ETM
경제	경제/NNG
협력	협력/NNG
사업부터	사업/NNG+부터/JX
시작하면	시작/NNG+하/XSV+면/EC
통일의	통일/NNG+의/JKG
기반을	기반/NNG+을/JKO
다질	다지/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.348.3.11
최민자 성신여대 사회과학대 학장은 "세계는 지역별 경제 통합 추세인데, 동북아만 안보·역사 문제 등으로 앞으로 나아가지 못하고 있다"며 "두만강 지역에 '유엔(UN) 생태평화공원'을 구축하고, 북·중·러 합의하에 무(無)비자, 공동 화폐 도입을 내용으로 하는 광역 경제 협력 지대를 창설할 수도 있을 것"이라고 했다.

최민자	최민자/NNP
성신여대	성신여대/NNP
사회과학대	사회/NNG+과학대/NNG
학장은	학장/NNG+은/JX
"세계는	"/SS+세계/NNG+는/JX
지역별	지역/NNG+별/XSN
경제	경제/NNG
통합	통합/NNG
추세인데,	추세/NNG+이/VCP+ㄴ데/EC+,/SP
동북아만	동북아/NNP+만/JX
안보·역사	안보/NNG+·/SP+역사/NNG
문제	문제/NNG
등으로	등/NNB+으로/JKB
앞으로	앞/NNG+으로/JKB
나아가지	나아가/VV+지/EC
못하고	못하/VX+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"두만강	"/SS+두만강/NNP
지역에	지역/NNG+에/JKB
'유엔(UN)	'/SS+유엔/NNP+(/SS+UN/SL+)/SS
생태평화공원'을	생태/NNG+평화/NNG+공원/NNG+'/SS+을/JKO
구축하고,	구축/NNG+하/XSV+고/EC+,/SP
북·중·러	북·중/NNP+·/SP+러/NNP
합의하에	합의/NNG+하/XSN+에/JKB
무(無)비자,	무/XPN+(/SS+無/SH+)/SS+비자/NNG+,/SP
공동	공동/NNG
화폐	화폐/NNG
도입을	도입/NNG+을/JKO
내용으로	내용/NNG+으로/JKB
하는	하/VV+는/ETM
광역	광역/NNG
협력	협력/NNG
지대를	지대/NNG+를/JKO
창설할	창설/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.348.3.12
정재호 서울대 미·중관계연구센터 소장은 "남한은 통일 자체에, 미국은 비핵화에, 중국은 통일 후 동북아의 역학 관계에 더 관심이 있다"면서 "이 같은 시각차를 효율적으로 조정하면서 북한을 변화의 무대로 이끌어야 한다"고 했다.

정재호	정재호/NNP
서울대	서울대/NNP
미·중관계연구센터	미·중관계연구센터/NNP
소장은	소장/NNG+은/JX
"남한은	"/SS+남한/NNP+은/JX
통일	통일/NNG
자체에,	자체/NNG+에/JKB+,/SP
미국은	미국/NNP+은/JX
비핵화에,	비핵/NNG+화/XSN+에/JKB+,/SP
중국은	중국/NNP+은/JX
후	후/NNG
동북아의	동북아/NNP+의/JKG
역학	역학/NNG
관계에	관계/NNG+에/JKB
더	더/MAG
관심이	관심/NNG+이/JKS
있다"면서	있/VA+다/EF+"/SS+면서/EC
"이	"/SS+이/NP
같은	같/VA+은/ETM
시각차를	시각차/NNG+를/JKO
효율적으로	효율/NNG+적/XSN+으로/JKB
조정하면서	조정/NNG+하/XSV+면서/EC
북한을	북한/NNP+을/JKO
변화의	변화/NNG+의/JKG
무대로	무대/NNG+로/JKB
이끌어야	이끌/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.348.3.13
진창이(金强一) 옌볜대 교수는 "북한과의 교류 협력과 북핵 문제 해결을 위한 국제 제재가 서로 모순되고 있는 상황을 슬기롭게 극복해가면서 북한을 경제 개발의 길로 나오도록 해야 한다"고 했다.

진창이(金强一)	진창이/NNP+(/SS+金强一/SH+)/SS
옌볜대	옌볜대/NNP
교수는	교수/NNG+는/JX
"북한과의	"/SS+북한/NNP+과/JKB+의/JKG
교류	교류/NNG
협력과	협력/NNG+과/JC
북핵	북핵/NNG
문제	문제/NNG
해결을	해결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
국제	국제/NNG
제재가	제재/NNG+가/JKS
서로	서로/MAG
모순되고	모순/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
상황을	상황/NNG+을/JKO
슬기롭게	슬기/NNG+롭/XSA+게/EC
극복해가면서	극복/NNG+하/XSV+아/EC+가/VX+면서/EC
북한을	북한/NNP+을/JKO
경제	경제/NNG
개발의	개발/NNG+의/JKG
길로	길/NNG+로/JKB
나오도록	나오/VV+도록/EC
해야	하/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.348.3.14
현경대 민주평통 수석부의장은 "한국과 중국 동북 3성은 그간 북한에 의해 단절돼 발전의 잠재력을 충분히 발휘하지 못했다"며 "그 단절의 장벽이 없어지면 이 지역은 통일 한반도와 중국이라는 양대 경제의 연결 고리이자 동북아 평화 협력의 허브로 부상할 것"이라고 말했다.

현경대	현경대/NNP
민주평통	민주평통/NNG
수석부의장은	수석/NNG+부의장/NNG+은/JX
"한국과	"/SS+한국/NNP+과/JC
중국	중국/NNP
동북	동북/NNG
3성은	3/SN+성/NNG+은/JX
그간	그/NP+간/XSN
북한에	북한/NNP+에/JKB
의해	의하/VV+아/EC
단절돼	단절/NNG+되/XSV+어/EC
발전의	발전/NNG+의/JKG
잠재력을	잠재력/NNG+을/JKO
충분히	충분히/MAG
발휘하지	발휘/NNG+하/XSV+지/EC
못했다"며	못하/VX+았/EP+다/EF+"/SS+며/EC
"그	"/SS+그/MMD
단절의	단절/NNG+의/JKG
장벽이	장벽/NNG+이/JKS
없어지면	없어지/VV+면/EC
이	이/MMD
지역은	지역/NNG+은/JX
통일	통일/NNG
한반도와	한반도/NNP+와/JC
중국이라는	중국/NNP+이/VCP+라는/ETM
양대	양대/MMA
경제의	경제/NNG+의/JKG
연결	연결/NNG
고리이자	고리/NNG+이/VCP+자/EC
동북아	동북아/NNP
평화	평화/NNG
협력의	협력/NNG+의/JKG
허브로	허브/NNG+로/JKB
부상할	부상/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.348.3.15
리중린(李鐘林) 옌볜대 경제관리학원장도 "두만강 지역은 이미 중국과 러시아가 합작 투자를 하고 북한이 자원과 인력을 대는 '동북아 경제 협력의 새 무대'로 부상하고 있다"면서 "한반도 통일로 북핵 등 위협 요인이 제거되면 경제 협력이 더 탄력을 받을 것"이라고 했다.

리중린(李鐘林)	리중린/NNP+(/SS+李鐘林/SH+)/SS
옌볜대	옌볜대/NNP
경제관리학원장도	경제/NNG+관리/NNG+학원장/NNG+도/JX
"두만강	"/SS+두만강/NNP
지역은	지역/NNG+은/JX
이미	이미/MAG
중국과	중국/NNP+과/JC
러시아가	러시아/NNP+가/JKS
합작	합작/NNG
투자를	투자/NNG+를/JKO
하고	하/VV+고/EC
북한이	북한/NNP+이/JKS
자원과	자원/NNG+과/JC
인력을	인력/NNG+을/JKO
대는	대/VV+는/ETM
'동북아	'/SS+동북아/NNP
경제	경제/NNG
협력의	협력/NNG+의/JKG
새	새/MMA
무대'로	무대/NNG+'/SS+로/JKB
부상하고	부상/NNG+하/XSV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"한반도	"/SS+한반도/NNP
통일로	통일/NNG+로/JKB
북핵	북핵/NNG
등	등/NNB
위협	위협/NNG
요인이	요인/NNG+이/JKS
제거되면	제거/NNG+되/XSV+면/EC
협력이	협력/NNG+이/JKS
더	더/MAG
탄력을	탄력/NNG+을/JKO
받을	받/VV+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


